,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.89,0.99,762,volatile,0.0
1,1.0,0,0.96,0.96,581,volatile,0.0
2,1.0,0,0.58,0.58,439,volatile,0.0
3,0.0,0,0.52,0.33,455,volatile,0.0
4,1.0,1,0.02,0.92,381,volatile,0.0
5,1.0,0,0.93,0.34,610,volatile,0.0
6,0.0,0,0.08,0.28,436,volatile,0.0
7,0.0,0,0.44,0.91,536,volatile,0.0
8,1.0,0,0.6,0.78,443,volatile,0.0
9,0.0,1,0.35,0.42,269,volatile,0.0
10,0.0,0,0.5,0.82,534,volatile,0.0
11,1.0,0,0.42,0.39,581,volatile,0.0
12,0.0,0,0.29,0.54,591,volatile,0.0
13,1.0,0,0.85,0.05,465,volatile,0.0
14,0.0,0,0.96,0.99,631,volatile,0.0
15,1.0,1,0.74,0.48,536,volatile,0.0
16,1.0,0,0.95,0.93,878,volatile,0.0
17,0.0,0,0.33,0.68,664,volatile,0.0
18,0.0,0,0.87,0.46,558,volatile,0.0
19,0.0,0,0.85,0.98,523,volatile,0.0
20,0.0,1,0.24,0.3,640,volatile,0.0
21,1.0,1,0.36,0.32,2138,volatile,0.0
22,0.0,0,0.19,0.6,1042,volatile,0.0
23,1.0,1,0.57,0.91,599,volatile,0.0
24,1.0,0,0.44,0.37,666,volatile,0.0
25,0.0,1,0.45,0.28,546,volatile,0.0
26,0.0,1,0.52,0.51,651,volatile,0.0
27,0.0,1,0.72,0.55,2403,volatile,0.0
28,0.0,1,0.72,0.99,4290,volatile,0.0
29,1.0,1,0.07,0.71,1215,volatile,0.0
30,1.0,1,0.41,0.77,554,volatile,0.0
31,0.0,1,0.89,0.71,2548,volatile,0.0
32,1.0,1,0.56,0.72,714,volatile,0.0
33,1.0,1,0.41,0.71,2624,volatile,0.0
34,1.0,0,0.99,0.86,2681,volatile,0.0
35,0.0,1,0.61,0.98,3181,volatile,0.0
36,0.0,0,0.58,0.42,4847,volatile,0.0
37,0.0,0,0.72,0.68,818,volatile,0.0
38,1.0,0,0.56,0.46,757,volatile,0.0
39,0.0,0,0.4,0.41,1922,volatile,0.0
40,0.0,0,0.71,0.53,616,volatile,0.0
41,0.0,0,0.78,0.86,2035,volatile,0.0
42,1.0,0,0.33,0.33,2997,volatile,0.0
43,1.0,1,0.95,0.86,3197,volatile,0.0
44,1.0,1,0.03,0.53,1879,volatile,0.0
45,1.0,0,0.34,0.92,749,volatile,0.0
46,0.0,0,0.31,0.29,540,volatile,0.0
47,1.0,0,0.72,0.93,735,volatile,0.0
48,1.0,0,0.42,0.86,924,volatile,0.0
49,1.0,0,0.91,0.32,747,volatile,0.0
50,1.0,1,0.64,0.13,464,volatile,0.0
51,1.0,0,0.45,0.67,1100,volatile,0.0
52,0.0,0,0.46,0.79,1031,volatile,0.0
53,1.0,0,0.88,0.39,1081,volatile,0.0
54,1.0,0,0.38,0.39,474,volatile,0.0
55,1.0,0,0.71,0.85,499,volatile,0.0
56,1.0,0,0.32,0.1,748,volatile,0.0
57,1.0,1,0.86,0.45,727,volatile,0.0
58,1.0,0,0.92,0.83,641,volatile,0.0
59,0.0,1,0.16,0.84,5244,volatile,0.0
60,0.0,0,0.34,0.89,990,volatile,1.0
61,0.0,1,0.35,0.75,2242,volatile,1.0
62,0.0,1,0.92,0.68,542,volatile,1.0
63,0.0,1,0.25,0.13,1394,volatile,1.0
64,0.0,1,0.77,0.74,412,volatile,1.0
65,1.0,1,0.13,0.62,387,volatile,1.0
66,1.0,0,0.65,0.73,393,volatile,1.0
67,0.0,0,0.37,0.95,547,volatile,1.0
68,0.0,0,0.96,0.63,439,volatile,1.0
69,1.0,1,0.39,0.47,644,volatile,1.0
70,0.0,1,0.59,0.49,640,volatile,1.0
71,1.0,1,0.43,0.87,553,volatile,1.0
72,0.0,1,0.04,0.82,575,volatile,1.0
73,0.0,1,0.27,0.61,465,volatile,1.0
74,0.0,1,0.36,0.57,488,volatile,1.0
75,1.0,1,0.25,0.67,1231,volatile,1.0
76,0.0,1,0.83,0.51,521,volatile,1.0
77,0.0,1,0.38,0.87,755,volatile,1.0
78,1.0,1,0.78,0.3,551,volatile,1.0
79,0.0,1,0.95,0.84,546,volatile,1.0
80,0.0,0,0.93,0.68,563,volatile,1.0
81,1.0,0,0.54,0.3,670,volatile,1.0
82,0.0,0,0.72,0.91,552,volatile,1.0
83,1.0,1,0.02,0.77,462,volatile,1.0
84,1.0,1,0.49,0.53,1109,volatile,1.0
85,0.0,0,0.56,0.51,648,volatile,1.0
86,1.0,0,0.54,0.49,740,volatile,1.0
87,1.0,0,0.51,0.85,296,volatile,1.0
88,0.0,0,0.06,0.88,1559,volatile,1.0
89,0.0,0,0.84,0.93,867,volatile,1.0
90,0.0,1,0.84,0.97,1376,stable,1.0
91,1.0,1,0.8,0.32,598,stable,1.0
92,1.0,1,0.12,0.58,847,stable,1.0
93,1.0,0,0.72,0.17,578,stable,1.0
94,1.0,1,0.98,0.72,814,stable,1.0
95,1.0,1,0.1,0.63,774,stable,1.0
96,0.0,1,0.83,0.35,462,stable,1.0
97,0.0,0,0.29,0.49,714,stable,1.0
98,1.0,1,0.06,0.98,596,stable,1.0
99,1.0,0,0.95,0.54,975,stable,1.0
