,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.84,0.97,1812,stable,0.0
1,1.0,1,0.8,0.32,937,stable,0.0
2,1.0,1,0.12,0.58,818,stable,0.0
3,1.0,0,0.72,0.17,1542,stable,0.0
4,1.0,1,0.98,0.72,943,stable,0.0
5,0.0,1,0.1,0.63,1273,stable,0.0
6,1.0,1,0.83,0.35,1130,stable,0.0
7,1.0,0,0.29,0.49,1928,stable,0.0
8,0.0,1,0.06,0.98,1030,stable,0.0
9,1.0,0,0.95,0.54,948,stable,0.0
10,1.0,1,0.8,0.64,970,stable,0.0
11,1.0,1,0.55,0.36,1146,stable,0.0
12,0.0,0,0.22,0.98,1129,stable,0.0
13,1.0,0,0.31,0.14,1200,stable,0.0
14,1.0,1,0.6,0.28,962,stable,0.0
15,1.0,0,0.68,0.73,887,stable,0.0
16,1.0,0,0.6,0.46,1078,stable,0.0
17,0.0,1,0.32,0.85,1145,stable,0.0
18,1.0,1,0.88,0.99,951,stable,0.0
19,1.0,1,0.97,0.87,1064,stable,0.0
20,1.0,0,0.92,0.41,1012,stable,0.0
21,1.0,1,0.36,0.32,1881,stable,0.0
22,0.0,1,0.13,0.59,1289,stable,0.0
23,1.0,0,0.5,0.8,1415,stable,0.0
24,1.0,0,0.49,0.61,1569,stable,0.0
25,1.0,1,0.92,0.87,1179,stable,0.0
26,0.0,1,0.28,0.95,1487,stable,0.0
27,1.0,1,0.64,0.33,1051,stable,0.0
28,0.0,1,0.59,0.97,1238,stable,0.0
29,0.0,1,0.44,0.52,1371,stable,0.0
30,1.0,0,0.9,0.2,920,stable,0.0
31,0.0,1,0.13,0.65,1129,stable,0.0
32,0.0,1,0.47,0.69,1317,stable,0.0
33,1.0,0,0.33,0.38,1192,stable,0.0
34,0.0,1,0.21,0.71,1172,stable,0.0
35,1.0,1,0.81,0.55,918,stable,0.0
36,1.0,0,0.83,0.05,767,stable,0.0
37,1.0,1,0.75,0.71,948,stable,0.0
38,1.0,1,0.79,0.73,886,stable,0.0
39,1.0,1,0.93,0.2,1113,stable,0.0
40,1.0,1,0.8,0.89,1021,stable,0.0
41,1.0,0,0.9,0.1,1118,stable,0.0
