,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,0.84,0.97,1288,stable,0.0
1,1.0,1,0.8,0.32,637,stable,0.0
2,1.0,1,0.12,0.58,626,stable,0.0
3,1.0,0,0.72,0.17,845,stable,0.0
4,0.0,1,0.98,0.72,601,stable,0.0
5,0.0,1,0.1,0.63,825,stable,0.0
6,1.0,1,0.83,0.35,613,stable,0.0
7,1.0,0,0.29,0.49,624,stable,0.0
8,0.0,1,0.06,0.98,1000,stable,0.0
9,0.0,0,0.95,0.54,1081,stable,0.0
10,0.0,1,0.8,0.64,1237,stable,0.0
11,1.0,1,0.55,0.36,1578,stable,0.0
12,1.0,0,0.22,0.98,513,stable,0.0
13,0.0,0,0.31,0.14,442,stable,0.0
14,1.0,1,0.6,0.28,497,stable,0.0
15,1.0,0,0.68,0.73,441,stable,0.0
16,1.0,0,0.6,0.46,962,stable,0.0
17,0.0,1,0.32,0.85,604,stable,0.0
18,0.0,1,0.88,0.99,890,stable,0.0
19,0.0,1,0.97,0.87,1029,stable,0.0
20,1.0,0,0.92,0.41,617,stable,0.0
21,1.0,1,0.36,0.32,706,stable,0.0
22,1.0,1,0.13,0.59,520,stable,0.0
23,1.0,0,0.5,0.8,489,stable,0.0
24,1.0,0,0.49,0.61,1161,stable,0.0
25,0.0,1,0.92,0.87,574,stable,0.0
26,1.0,1,0.28,0.95,793,stable,0.0
27,1.0,1,0.64,0.33,537,stable,0.0
28,1.0,1,0.59,0.97,793,stable,0.0
29,1.0,1,0.44,0.52,654,stable,0.0
30,1.0,0,0.9,0.2,538,stable,0.0
31,0.0,1,0.13,0.65,863,stable,0.0
32,1.0,1,0.47,0.69,586,stable,0.0
33,1.0,0,0.33,0.38,570,stable,0.0
34,0.0,1,0.21,0.71,1436,stable,0.0
35,1.0,1,0.81,0.55,745,stable,0.0
36,0.0,0,0.83,0.05,1506,stable,0.0
37,0.0,1,0.75,0.71,3225,stable,0.0
38,1.0,1,0.79,0.73,2202,stable,0.0
39,1.0,1,0.93,0.2,592,stable,0.0
40,1.0,1,0.8,0.89,1248,stable,0.0
41,1.0,0,0.9,0.1,1410,stable,0.0
42,1.0,1,0.63,0.17,920,stable,0.0
43,1.0,0,0.74,0.05,2531,stable,0.0
44,1.0,1,0.4,0.62,746,stable,0.0
45,1.0,1,0.17,0.43,1799,stable,0.0
46,1.0,1,0.3,0.9,698,stable,0.0
47,0.0,0,0.9,0.56,3579,stable,0.0
48,0.0,1,0.88,0.37,1154,stable,0.0
49,1.0,1,0.4,0.38,1113,stable,0.0
50,0.0,1,0.5,0.54,776,stable,0.0
51,1.0,0,0.56,0.07,1697,stable,0.0
52,1.0,0,0.9,0.61,777,stable,0.0
53,1.0,0,0.82,0.12,713,stable,0.0
54,0.0,1,0.9,0.19,1105,stable,0.0
55,1.0,1,0.46,0.51,1849,stable,0.0
56,1.0,1,0.85,0.51,1153,stable,0.0
57,1.0,1,0.65,0.41,1116,stable,0.0
58,0.0,0,0.31,0.64,681,stable,0.0
59,0.0,1,0.07,0.76,1008,stable,0.0
60,0.0,1,0.13,0.65,1346,stable,1.0
61,0.0,1,0.94,0.74,1121,stable,1.0
62,1.0,0,0.87,0.37,1155,stable,1.0
63,0.0,1,0.43,0.4,964,stable,1.0
64,1.0,1,0.25,0.58,517,stable,1.0
65,1.0,1,0.78,0.1,649,stable,1.0
66,1.0,1,0.33,0.83,938,stable,1.0
67,1.0,0,0.63,0.07,567,stable,1.0
68,1.0,1,0.71,0.59,802,stable,1.0
69,1.0,1,0.89,0.56,704,stable,1.0
70,1.0,1,0.44,0.91,912,stable,1.0
71,1.0,1,0.96,0.22,777,stable,1.0
72,1.0,1,0.55,0.3,1257,stable,1.0
73,0.0,0,0.69,0.86,1026,stable,1.0
74,0.0,0,0.45,0.91,847,stable,1.0
75,1.0,0,0.87,0.09,1073,stable,1.0
76,1.0,1,0.45,0.87,898,stable,1.0
77,1.0,1,0.55,0.92,673,stable,1.0
78,1.0,1,0.57,0.9,826,stable,1.0
79,0.0,1,0.33,0.67,993,stable,1.0
80,1.0,1,0.52,0.39,784,stable,1.0
81,0.0,1,0.9,0.83,889,stable,1.0
82,1.0,0,0.23,0.38,848,stable,1.0
83,1.0,1,0.45,0.59,938,stable,1.0
84,1.0,1,0.6,0.25,788,stable,1.0
85,0.0,1,0.81,0.94,824,stable,1.0
86,1.0,1,0.49,0.43,1312,stable,1.0
87,1.0,0,0.42,0.65,1188,stable,1.0
88,1.0,1,0.5,0.66,685,stable,1.0
89,1.0,1,0.89,0.35,784,stable,1.0
90,1.0,1,0.89,0.99,2977,volatile,1.0
91,1.0,0,0.96,0.96,808,volatile,1.0
92,1.0,0,0.58,0.58,569,volatile,1.0
93,0.0,0,0.52,0.33,928,volatile,1.0
94,0.0,1,0.02,0.92,771,volatile,1.0
95,1.0,0,0.93,0.34,722,volatile,1.0
96,0.0,0,0.08,0.28,589,volatile,1.0
97,0.0,0,0.44,0.91,593,volatile,1.0
98,0.0,0,0.6,0.78,489,volatile,1.0
99,1.0,1,0.35,0.42,663,volatile,1.0
100,0.0,0,0.5,0.82,632,volatile,1.0
101,0.0,0,0.42,0.39,561,volatile,1.0
102,0.0,0,0.29,0.54,545,volatile,1.0
103,0.0,0,0.85,0.05,612,volatile,1.0
104,0.0,0,0.96,0.99,642,volatile,1.0
105,0.0,1,0.74,0.48,506,volatile,1.0
106,0.0,0,0.95,0.93,587,volatile,1.0
107,0.0,0,0.33,0.68,574,volatile,1.0
108,0.0,0,0.87,0.46,777,volatile,1.0
109,0.0,0,0.85,0.98,657,volatile,1.0
110,0.0,1,0.24,0.3,530,volatile,1.0
111,0.0,1,0.36,0.32,1096,volatile,1.0
112,0.0,0,0.19,0.6,1234,volatile,1.0
113,0.0,1,0.57,0.91,722,volatile,1.0
114,0.0,0,0.44,0.37,1340,volatile,1.0
115,1.0,1,0.45,0.28,933,volatile,1.0
116,0.0,1,0.52,0.51,1985,volatile,1.0
117,1.0,1,0.72,0.55,1593,volatile,1.0
118,1.0,1,0.72,0.99,1050,volatile,1.0
119,1.0,1,0.07,0.71,528,volatile,1.0
120,0.0,1,0.41,0.77,1034,volatile,2.0
121,1.0,1,0.89,0.71,673,volatile,2.0
122,1.0,1,0.56,0.72,1641,volatile,2.0
123,1.0,1,0.41,0.71,544,volatile,2.0
124,1.0,0,0.99,0.86,622,volatile,2.0
125,0.0,1,0.61,0.98,1016,volatile,2.0
126,1.0,0,0.58,0.42,545,volatile,2.0
127,0.0,0,0.72,0.68,449,volatile,2.0
128,0.0,0,0.56,0.46,663,volatile,2.0
129,1.0,0,0.4,0.41,729,volatile,2.0
130,1.0,0,0.71,0.53,977,volatile,2.0
131,1.0,0,0.78,0.86,706,volatile,2.0
132,1.0,0,0.33,0.33,1433,volatile,2.0
133,0.0,1,0.95,0.86,849,volatile,2.0
134,0.0,1,0.03,0.53,890,volatile,2.0
135,1.0,0,0.34,0.92,1118,volatile,2.0
136,0.0,0,0.31,0.29,521,volatile,2.0
137,0.0,0,0.72,0.93,537,volatile,2.0
138,0.0,0,0.42,0.86,624,volatile,2.0
139,0.0,0,0.91,0.32,576,volatile,2.0
140,0.0,1,0.64,0.13,729,volatile,2.0
141,1.0,0,0.45,0.67,537,volatile,2.0
142,0.0,0,0.46,0.79,573,volatile,2.0
143,0.0,0,0.88,0.39,553,volatile,2.0
144,0.0,0,0.38,0.39,594,volatile,2.0
145,1.0,0,0.71,0.85,1074,volatile,2.0
146,1.0,0,0.32,0.1,841,volatile,2.0
147,1.0,1,0.86,0.45,1278,volatile,2.0
148,1.0,0,0.92,0.83,620,volatile,2.0
149,1.0,1,0.16,0.84,1000,volatile,2.0
150,1.0,0,0.34,0.89,649,volatile,2.0
151,1.0,1,0.35,0.75,788,volatile,2.0
152,1.0,1,0.92,0.68,565,volatile,2.0
153,1.0,1,0.25,0.13,584,volatile,2.0
154,1.0,1,0.77,0.74,488,volatile,2.0
155,1.0,1,0.13,0.62,604,volatile,2.0
156,1.0,0,0.65,0.73,613,volatile,2.0
157,1.0,0,0.37,0.95,544,volatile,2.0
158,1.0,0,0.96,0.63,564,volatile,2.0
159,1.0,1,0.39,0.47,551,volatile,2.0
160,1.0,1,0.59,0.49,478,volatile,2.0
161,1.0,1,0.43,0.87,497,volatile,2.0
162,1.0,1,0.04,0.82,570,volatile,2.0
163,1.0,1,0.27,0.61,535,volatile,2.0
164,1.0,1,0.36,0.57,587,volatile,2.0
165,1.0,1,0.25,0.67,751,volatile,2.0
166,1.0,1,0.83,0.51,513,volatile,2.0
167,1.0,1,0.38,0.87,641,volatile,2.0
168,1.0,1,0.78,0.3,543,volatile,2.0
169,1.0,1,0.95,0.84,551,volatile,2.0
