,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,0,0.2,0.01,962,volatile,0.0
1,1.0,0,0.43,0.12,1257,volatile,0.0
2,0.0,0,0.21,0.9,964,volatile,0.0
3,0.0,1,0.26,0.62,647,volatile,0.0
4,1.0,0,0.95,0.19,1250,volatile,0.0
5,0.0,0,0.1,0.61,1736,volatile,0.0
6,1.0,0,0.9,0.12,795,volatile,0.0
7,0.0,0,0.47,0.99,982,volatile,0.0
8,1.0,0,0.08,0.06,1343,volatile,0.0
9,1.0,0,0.29,0.81,1284,volatile,0.0
10,1.0,0,0.49,0.34,573,volatile,0.0
11,1.0,0,0.74,0.99,650,volatile,0.0
12,1.0,0,0.8,0.87,1176,volatile,0.0
13,0.0,0,0.02,0.28,903,volatile,0.0
14,0.0,0,0.4,0.81,751,volatile,0.0
15,1.0,0,0.45,0.78,703,volatile,0.0
16,1.0,1,0.28,0.28,853,volatile,0.0
17,0.0,1,0.35,0.22,950,volatile,0.0
18,0.0,1,0.39,0.94,2078,volatile,0.0
19,1.0,0,0.72,0.43,618,volatile,0.0
20,1.0,1,0.35,0.59,636,volatile,0.0
21,1.0,1,0.85,0.83,765,volatile,0.0
22,1.0,1,0.89,0.81,743,volatile,0.0
23,1.0,1,0.93,0.99,1086,volatile,0.0
24,1.0,1,0.42,0.5,1321,volatile,0.0
25,0.0,0,0.46,0.73,1107,volatile,0.0
26,1.0,1,0.5,0.51,1227,volatile,0.0
27,1.0,1,0.74,0.03,829,volatile,0.0
28,1.0,1,0.85,0.32,1061,volatile,0.0
29,0.0,1,0.3,0.68,1172,volatile,0.0
30,1.0,0,0.12,0.25,666,volatile,0.0
31,0.0,1,0.52,0.46,785,volatile,0.0
32,0.0,1,0.87,0.12,714,volatile,0.0
33,1.0,1,0.29,0.76,1050,volatile,0.0
34,1.0,0,0.42,0.82,1017,volatile,0.0
35,1.0,1,0.65,0.39,1108,volatile,0.0
36,0.0,0,0.26,0.24,768,volatile,0.0
37,1.0,0,0.5,0.4,835,volatile,0.0
38,0.0,0,0.61,0.66,1071,volatile,0.0
39,0.0,0,0.14,0.95,1256,volatile,0.0
40,0.0,0,0.11,0.33,1363,volatile,0.0
41,1.0,0,0.68,0.4,1453,volatile,0.0
42,1.0,0,0.3,0.45,726,volatile,0.0
43,1.0,1,0.7,0.52,832,volatile,0.0
44,1.0,0,0.64,0.79,1644,volatile,0.0
45,0.0,0,0.19,0.67,1492,volatile,0.0
46,1.0,0,0.22,0.11,1259,volatile,0.0
47,1.0,1,0.21,0.1,914,volatile,0.0
