,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.84,0.97,3545,stable,0.0
1,1.0,1,0.8,0.32,1290,stable,0.0
2,1.0,1,0.12,0.58,1874,stable,0.0
3,1.0,0,0.72,0.17,1163,stable,0.0
4,1.0,1,0.98,0.72,1454,stable,0.0
5,0.0,1,0.1,0.63,2637,stable,0.0
6,1.0,1,0.83,0.35,982,stable,0.0
7,1.0,0,0.29,0.49,2349,stable,0.0
8,0.0,1,0.06,0.98,1901,stable,0.0
9,1.0,0,0.95,0.54,936,stable,0.0
10,1.0,1,0.8,0.64,1012,stable,0.0
11,1.0,1,0.55,0.36,1508,stable,0.0
12,1.0,0,0.22,0.98,1194,stable,0.0
13,1.0,0,0.31,0.14,1535,stable,0.0
14,1.0,1,0.6,0.28,1104,stable,0.0
15,1.0,0,0.68,0.73,1254,stable,0.0
16,1.0,0,0.6,0.46,988,stable,0.0
17,1.0,1,0.32,0.85,949,stable,0.0
18,0.0,1,0.88,0.99,918,stable,0.0
19,0.0,1,0.97,0.87,873,stable,0.0
20,0.0,0,0.92,0.41,905,stable,0.0
21,1.0,1,0.36,0.32,1268,stable,0.0
22,0.0,1,0.13,0.59,1120,stable,0.0
23,0.0,0,0.5,0.8,1161,stable,0.0
24,1.0,0,0.49,0.61,1074,stable,0.0
25,1.0,1,0.92,0.87,951,stable,0.0
26,1.0,1,0.28,0.95,1461,stable,0.0
27,0.0,1,0.64,0.33,1004,stable,0.0
28,0.0,1,0.59,0.97,1639,stable,0.0
29,0.0,1,0.44,0.52,1125,stable,0.0
30,1.0,0,0.9,0.2,1233,stable,0.0
31,0.0,1,0.13,0.65,1446,stable,0.0
32,0.0,1,0.47,0.69,743,stable,0.0
33,0.0,0,0.33,0.38,1421,stable,0.0
34,0.0,1,0.21,0.71,918,stable,0.0
35,0.0,1,0.81,0.55,927,stable,0.0
36,1.0,0,0.83,0.05,928,stable,0.0
37,1.0,1,0.75,0.71,929,stable,0.0
38,1.0,1,0.79,0.73,997,stable,0.0
39,1.0,1,0.93,0.2,948,stable,0.0
40,1.0,1,0.8,0.89,776,stable,0.0
41,1.0,0,0.9,0.1,951,stable,0.0
42,1.0,1,0.63,0.17,1036,stable,0.0
43,1.0,0,0.74,0.05,1025,stable,0.0
44,1.0,1,0.4,0.62,822,stable,0.0
45,0.0,1,0.17,0.43,2613,stable,0.0
46,0.0,1,0.3,0.9,1020,stable,0.0
47,1.0,0,0.9,0.56,1026,stable,0.0
48,1.0,1,0.88,0.37,1123,stable,0.0
49,1.0,1,0.4,0.38,1289,stable,0.0
50,1.0,1,0.5,0.54,769,stable,0.0
51,1.0,0,0.56,0.07,1672,stable,0.0
52,1.0,0,0.9,0.61,1405,stable,0.0
53,1.0,0,0.82,0.12,804,stable,0.0
54,1.0,1,0.9,0.19,1270,stable,0.0
55,1.0,1,0.46,0.51,812,stable,0.0
56,0.0,1,0.85,0.51,2045,stable,0.0
57,1.0,1,0.65,0.41,973,stable,0.0
58,1.0,0,0.31,0.64,988,stable,0.0
59,0.0,1,0.07,0.76,1653,stable,0.0
60,0.0,1,0.13,0.65,1607,stable,1.0
61,1.0,1,0.94,0.74,1575,stable,1.0
62,1.0,0,0.87,0.37,773,stable,1.0
63,0.0,1,0.43,0.4,958,stable,1.0
64,0.0,1,0.25,0.58,1505,stable,1.0
65,1.0,1,0.78,0.1,803,stable,1.0
66,0.0,1,0.33,0.83,1763,stable,1.0
67,1.0,0,0.63,0.07,799,stable,1.0
68,1.0,1,0.71,0.59,1346,stable,1.0
69,1.0,1,0.89,0.56,1543,stable,1.0
70,1.0,1,0.44,0.91,1966,stable,1.0
71,0.0,1,0.96,0.22,1282,stable,1.0
72,1.0,1,0.55,0.3,1409,stable,1.0
73,0.0,0,0.69,0.86,2645,stable,1.0
74,0.0,0,0.45,0.91,1002,stable,1.0
75,1.0,0,0.87,0.09,1134,stable,1.0
76,0.0,1,0.45,0.87,2017,stable,1.0
77,1.0,1,0.55,0.92,696,stable,1.0
78,0.0,1,0.57,0.9,1680,stable,1.0
79,1.0,1,0.33,0.67,1141,stable,1.0
80,1.0,1,0.52,0.39,774,stable,1.0
81,1.0,1,0.9,0.83,1286,stable,1.0
82,1.0,0,0.23,0.38,2521,stable,1.0
83,0.0,1,0.45,0.59,1911,stable,1.0
84,1.0,1,0.6,0.25,947,stable,1.0
85,1.0,1,0.81,0.94,926,stable,1.0
86,1.0,1,0.49,0.43,830,stable,1.0
87,1.0,0,0.42,0.65,807,stable,1.0
88,0.0,1,0.5,0.66,2146,stable,1.0
89,1.0,1,0.89,0.35,1196,stable,1.0
90,1.0,1,0.89,0.99,3739,volatile,1.0
91,1.0,0,0.96,0.96,2103,volatile,1.0
92,1.0,0,0.58,0.58,1715,volatile,1.0
93,0.0,0,0.52,0.33,806,volatile,1.0
94,1.0,1,0.02,0.92,1834,volatile,1.0
95,1.0,0,0.93,0.34,1295,volatile,1.0
96,1.0,0,0.08,0.28,1581,volatile,1.0
97,0.0,0,0.44,0.91,1060,volatile,1.0
98,0.0,0,0.6,0.78,929,volatile,1.0
99,1.0,1,0.35,0.42,1444,volatile,1.0
100,1.0,0,0.5,0.82,2056,volatile,1.0
101,1.0,0,0.42,0.39,1592,volatile,1.0
102,0.0,0,0.29,0.54,1317,volatile,1.0
103,1.0,0,0.85,0.05,1569,volatile,1.0
104,0.0,0,0.96,0.99,981,volatile,1.0
105,1.0,1,0.74,0.48,1664,volatile,1.0
106,1.0,0,0.95,0.93,1327,volatile,1.0
107,0.0,0,0.33,0.68,1374,volatile,1.0
108,1.0,0,0.87,0.46,1642,volatile,1.0
109,1.0,0,0.85,0.98,1384,volatile,1.0
110,0.0,1,0.24,0.3,1262,volatile,1.0
111,1.0,1,0.36,0.32,1108,volatile,1.0
112,1.0,0,0.19,0.6,694,volatile,1.0
113,0.0,1,0.57,0.91,1073,volatile,1.0
114,1.0,0,0.44,0.37,1378,volatile,1.0
115,1.0,1,0.45,0.28,1225,volatile,1.0
116,1.0,1,0.52,0.51,973,volatile,1.0
117,1.0,1,0.72,0.55,902,volatile,1.0
118,0.0,1,0.72,0.99,1446,volatile,1.0
119,1.0,1,0.07,0.71,1415,volatile,1.0
120,1.0,1,0.41,0.77,1283,volatile,2.0
121,1.0,1,0.89,0.71,1594,volatile,2.0
122,1.0,1,0.56,0.72,2021,volatile,2.0
123,1.0,1,0.41,0.71,1470,volatile,2.0
124,1.0,0,0.99,0.86,822,volatile,2.0
125,0.0,1,0.61,0.98,976,volatile,2.0
126,0.0,0,0.58,0.42,785,volatile,2.0
127,0.0,0,0.72,0.68,1071,volatile,2.0
128,1.0,0,0.56,0.46,1078,volatile,2.0
129,0.0,0,0.4,0.41,810,volatile,2.0
130,1.0,0,0.71,0.53,1276,volatile,2.0
131,0.0,0,0.78,0.86,1024,volatile,2.0
132,1.0,0,0.33,0.33,812,volatile,2.0
133,0.0,1,0.95,0.86,913,volatile,2.0
134,0.0,1,0.03,0.53,999,volatile,2.0
135,0.0,0,0.34,0.92,2267,volatile,2.0
136,0.0,0,0.31,0.29,1294,volatile,2.0
137,0.0,0,0.72,0.93,1398,volatile,2.0
138,0.0,0,0.42,0.86,1192,volatile,2.0
139,1.0,0,0.91,0.32,2343,volatile,2.0
140,0.0,1,0.64,0.13,826,volatile,2.0
141,1.0,0,0.45,0.67,858,volatile,2.0
142,0.0,0,0.46,0.79,910,volatile,2.0
143,0.0,0,0.88,0.39,1063,volatile,2.0
144,0.0,0,0.38,0.39,1055,volatile,2.0
145,0.0,0,0.71,0.85,1178,volatile,2.0
146,1.0,0,0.32,0.1,2121,volatile,2.0
147,0.0,1,0.86,0.45,911,volatile,2.0
148,1.0,0,0.92,0.83,974,volatile,2.0
149,0.0,1,0.16,0.84,1171,volatile,2.0
150,0.0,0,0.34,0.89,1190,volatile,2.0
151,0.0,1,0.35,0.75,940,volatile,2.0
152,0.0,1,0.92,0.68,1194,volatile,2.0
153,1.0,1,0.25,0.13,1105,volatile,2.0
154,1.0,1,0.77,0.74,894,volatile,2.0
155,0.0,1,0.13,0.62,2875,volatile,2.0
156,1.0,0,0.65,0.73,890,volatile,2.0
157,0.0,0,0.37,0.95,894,volatile,2.0
158,0.0,0,0.96,0.63,868,volatile,2.0
159,0.0,1,0.39,0.47,852,volatile,2.0
160,0.0,1,0.59,0.49,786,volatile,2.0
161,0.0,1,0.43,0.87,1920,volatile,2.0
162,0.0,1,0.04,0.82,1344,volatile,2.0
163,1.0,1,0.27,0.61,1232,volatile,2.0
164,1.0,1,0.36,0.57,942,volatile,2.0
165,0.0,1,0.25,0.67,2343,volatile,2.0
166,1.0,1,0.83,0.51,992,volatile,2.0
167,1.0,1,0.38,0.87,862,volatile,2.0
168,1.0,1,0.78,0.3,1036,volatile,2.0
169,1.0,1,0.95,0.84,897,volatile,2.0
170,1.0,0,0.93,0.68,953,volatile,2.0
171,0.0,0,0.54,0.3,1682,volatile,2.0
172,0.0,0,0.72,0.91,862,volatile,2.0
173,0.0,1,0.02,0.77,792,volatile,2.0
174,0.0,1,0.49,0.53,836,volatile,2.0
175,1.0,0,0.56,0.51,943,volatile,2.0
176,1.0,0,0.54,0.49,830,volatile,2.0
177,0.0,0,0.51,0.85,833,volatile,2.0
178,0.0,0,0.06,0.88,1169,volatile,2.0
179,1.0,0,0.84,0.93,1817,volatile,2.0
