,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,0.84,0.97,3446,stable,0.0
1,1.0,1,0.8,0.32,1115,stable,0.0
2,0.0,1,0.12,0.58,2861,stable,0.0
3,1.0,0,0.72,0.17,840,stable,0.0
4,1.0,1,0.98,0.72,1886,stable,0.0
5,0.0,1,0.1,0.63,1224,stable,0.0
6,1.0,1,0.83,0.35,1005,stable,0.0
7,0.0,0,0.29,0.49,3098,stable,0.0
8,0.0,1,0.06,0.98,4248,stable,0.0
9,1.0,0,0.95,0.54,4525,stable,0.0
10,1.0,1,0.8,0.64,2640,stable,0.0
11,,1,0.55,0.36,7000,stable,0.0
12,0.0,0,0.22,0.98,2517,stable,0.0
13,1.0,0,0.31,0.14,4481,stable,0.0
14,1.0,1,0.6,0.28,1616,stable,0.0
15,0.0,0,0.68,0.73,2674,stable,0.0
16,1.0,0,0.6,0.46,3679,stable,0.0
17,1.0,1,0.32,0.85,823,stable,0.0
18,0.0,1,0.88,0.99,2185,stable,0.0
19,1.0,1,0.97,0.87,2555,stable,0.0
20,1.0,0,0.92,0.41,2359,stable,0.0
21,1.0,1,0.36,0.32,2238,stable,0.0
22,0.0,1,0.13,0.59,1760,stable,0.0
23,0.0,0,0.5,0.8,1345,stable,0.0
24,0.0,0,0.49,0.61,1703,stable,0.0
25,1.0,1,0.92,0.87,2429,stable,0.0
26,0.0,1,0.28,0.95,2050,stable,0.0
27,1.0,1,0.64,0.33,1912,stable,0.0
28,0.0,1,0.59,0.97,3806,stable,0.0
29,0.0,1,0.44,0.52,2102,stable,0.0
30,1.0,0,0.9,0.2,1680,stable,0.0
31,0.0,1,0.13,0.65,1945,stable,0.0
32,0.0,1,0.47,0.69,1732,stable,0.0
33,0.0,0,0.33,0.38,2369,stable,0.0
34,0.0,1,0.21,0.71,1727,stable,0.0
35,1.0,1,0.81,0.55,2657,stable,0.0
36,1.0,0,0.83,0.05,1020,stable,0.0
37,1.0,1,0.75,0.71,1828,stable,0.0
38,1.0,1,0.79,0.73,2157,stable,0.0
39,1.0,1,0.93,0.2,2711,stable,0.0
40,0.0,1,0.8,0.89,2631,stable,0.0
41,1.0,0,0.9,0.1,1281,stable,0.0
42,1.0,1,0.63,0.17,1995,stable,0.0
43,1.0,0,0.74,0.05,1407,stable,0.0
44,1.0,1,0.4,0.62,1696,stable,0.0
45,0.0,1,0.17,0.43,2809,stable,0.0
46,0.0,1,0.3,0.9,1968,stable,0.0
47,1.0,0,0.9,0.56,1959,stable,0.0
48,1.0,1,0.88,0.37,1523,stable,0.0
49,1.0,1,0.4,0.38,2279,stable,0.0
50,1.0,1,0.5,0.54,4715,stable,0.0
51,1.0,0,0.56,0.07,1854,stable,0.0
52,1.0,0,0.9,0.61,1826,stable,0.0
53,1.0,0,0.82,0.12,5583,stable,0.0
54,1.0,1,0.9,0.19,1351,stable,0.0
55,0.0,1,0.46,0.51,2496,stable,0.0
56,1.0,1,0.85,0.51,1597,stable,0.0
57,1.0,1,0.65,0.41,1585,stable,0.0
58,0.0,0,0.31,0.64,2209,stable,0.0
59,0.0,1,0.07,0.76,2136,stable,0.0
60,0.0,1,0.13,0.65,1184,stable,1.0
61,1.0,1,0.94,0.74,1568,stable,1.0
62,1.0,0,0.87,0.37,2080,stable,1.0
63,1.0,1,0.43,0.4,5049,stable,1.0
64,0.0,1,0.25,0.58,5248,stable,1.0
65,1.0,1,0.78,0.1,1727,stable,1.0
66,0.0,1,0.33,0.83,1816,stable,1.0
67,1.0,0,0.63,0.07,1303,stable,1.0
68,1.0,1,0.71,0.59,1586,stable,1.0
69,1.0,1,0.89,0.56,4097,stable,1.0
70,,1,0.44,0.91,6251,stable,1.0
71,1.0,1,0.96,0.22,1686,stable,1.0
72,1.0,1,0.55,0.3,1998,stable,1.0
73,0.0,0,0.69,0.86,1801,stable,1.0
74,0.0,0,0.45,0.91,1922,stable,1.0
75,1.0,0,0.87,0.09,1596,stable,1.0
76,0.0,1,0.45,0.87,1915,stable,1.0
77,1.0,1,0.55,0.92,2328,stable,1.0
78,1.0,1,0.57,0.9,3153,stable,1.0
79,0.0,1,0.33,0.67,3894,stable,1.0
80,1.0,1,0.52,0.39,2144,stable,1.0
81,1.0,1,0.9,0.83,2264,stable,1.0
82,0.0,0,0.23,0.38,3367,stable,1.0
83,0.0,1,0.45,0.59,2626,stable,1.0
84,1.0,1,0.6,0.25,1816,stable,1.0
85,0.0,1,0.81,0.94,1721,stable,1.0
86,1.0,1,0.49,0.43,2102,stable,1.0
87,0.0,0,0.42,0.65,2823,stable,1.0
88,0.0,1,0.5,0.66,2634,stable,1.0
89,1.0,1,0.89,0.35,2056,stable,1.0
90,0.0,1,0.89,0.99,2335,volatile,1.0
91,1.0,0,0.96,0.96,2362,volatile,1.0
92,1.0,0,0.58,0.58,1926,volatile,1.0
93,1.0,0,0.52,0.33,1888,volatile,1.0
94,0.0,1,0.02,0.92,1668,volatile,1.0
95,1.0,0,0.93,0.34,2080,volatile,1.0
96,0.0,0,0.08,0.28,1978,volatile,1.0
97,0.0,0,0.44,0.91,2083,volatile,1.0
98,0.0,0,0.6,0.78,2233,volatile,1.0
99,1.0,1,0.35,0.42,2416,volatile,1.0
100,0.0,0,0.5,0.82,1960,volatile,1.0
101,1.0,0,0.42,0.39,3417,volatile,1.0
102,,0,0.29,0.54,6252,volatile,1.0
103,,0,0.85,0.05,6250,volatile,1.0
104,1.0,0,0.96,0.99,3106,volatile,1.0
105,,1,0.74,0.48,6762,volatile,1.0
106,,0,0.95,0.93,7000,volatile,1.0
107,1.0,0,0.33,0.68,3977,volatile,1.0
108,1.0,0,0.87,0.46,2149,volatile,1.0
109,,0,0.85,0.98,6999,volatile,1.0
110,,1,0.24,0.3,7000,volatile,1.0
111,,1,0.36,0.32,7013,volatile,1.0
112,,0,0.19,0.6,6992,volatile,1.0
113,0.0,1,0.57,0.91,3427,volatile,1.0
114,,0,0.44,0.37,6997,volatile,1.0
115,,1,0.45,0.28,7000,volatile,1.0
116,,1,0.52,0.51,7000,volatile,1.0
117,,1,0.72,0.55,7001,volatile,1.0
118,,1,0.72,0.99,6998,volatile,1.0
119,,1,0.07,0.71,6999,volatile,1.0
120,,1,0.41,0.77,7003,volatile,2.0
121,1.0,1,0.89,0.71,1969,volatile,2.0
122,0.0,1,0.56,0.72,2107,volatile,2.0
123,,1,0.41,0.71,6999,volatile,2.0
124,,0,0.99,0.86,6990,volatile,2.0
125,,1,0.61,0.98,7000,volatile,2.0
126,,0,0.58,0.42,7000,volatile,2.0
127,,0,0.72,0.68,6999,volatile,2.0
128,,0,0.56,0.46,6999,volatile,2.0
129,,0,0.4,0.41,7000,volatile,2.0
130,,0,0.71,0.53,7000,volatile,2.0
131,,0,0.78,0.86,7000,volatile,2.0
132,,0,0.33,0.33,6999,volatile,2.0
133,,1,0.95,0.86,6981,volatile,2.0
134,,1,0.03,0.53,7002,volatile,2.0
135,0.0,0,0.34,0.92,2249,volatile,2.0
136,0.0,0,0.31,0.29,1487,volatile,2.0
137,0.0,0,0.72,0.93,1424,volatile,2.0
138,0.0,0,0.42,0.86,1551,volatile,2.0
139,1.0,0,0.91,0.32,2745,volatile,2.0
140,,1,0.64,0.13,6995,volatile,2.0
141,,0,0.45,0.67,7001,volatile,2.0
142,,0,0.46,0.79,6999,volatile,2.0
143,,0,0.88,0.39,6999,volatile,2.0
144,,0,0.38,0.39,7003,volatile,2.0
145,,0,0.71,0.85,7000,volatile,2.0
146,,0,0.32,0.1,7000,volatile,2.0
147,1.0,1,0.86,0.45,4972,volatile,2.0
148,1.0,0,0.92,0.83,1651,volatile,2.0
149,0.0,1,0.16,0.84,1301,volatile,2.0
150,,0,0.34,0.89,7000,volatile,2.0
151,,1,0.35,0.75,7000,volatile,2.0
152,,1,0.92,0.68,7001,volatile,2.0
153,1.0,1,0.25,0.13,1701,volatile,2.0
154,1.0,1,0.77,0.74,1966,volatile,2.0
155,0.0,1,0.13,0.62,1793,volatile,2.0
156,,0,0.65,0.73,6999,volatile,2.0
157,,0,0.37,0.95,7000,volatile,2.0
158,,0,0.96,0.63,7001,volatile,2.0
159,,1,0.39,0.47,6999,volatile,2.0
160,,1,0.59,0.49,6973,volatile,2.0
161,,1,0.43,0.87,6999,volatile,2.0
162,,1,0.04,0.82,7005,volatile,2.0
163,,1,0.27,0.61,7908,volatile,2.0
164,,1,0.36,0.57,7000,volatile,2.0
165,0.0,1,0.25,0.67,2563,volatile,2.0
166,1.0,1,0.83,0.51,4576,volatile,2.0
167,,1,0.38,0.87,6250,volatile,2.0
168,0.0,1,0.78,0.3,1648,volatile,2.0
169,1.0,1,0.95,0.84,2029,volatile,2.0
170,1.0,0,0.93,0.68,2209,volatile,2.0
171,1.0,0,0.54,0.3,2162,volatile,2.0
172,,0,0.72,0.91,6251,volatile,2.0
173,0.0,1,0.02,0.77,5435,volatile,2.0
174,0.0,1,0.49,0.53,2544,volatile,2.0
175,1.0,0,0.56,0.51,2642,volatile,2.0
176,1.0,0,0.54,0.49,2074,volatile,2.0
177,,0,0.51,0.85,6816,volatile,2.0
178,0.0,0,0.06,0.88,2503,volatile,2.0
179,0.0,0,0.84,0.93,1350,volatile,2.0
