,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.89,0.99,1291,volatile,0.0
1,1.0,0,0.96,0.96,294,volatile,0.0
2,1.0,0,0.58,0.58,414,volatile,0.0
3,0.0,0,0.52,0.33,703,volatile,0.0
4,0.0,1,0.02,0.92,278,volatile,0.0
5,0.0,0,0.93,0.34,1094,volatile,0.0
6,1.0,0,0.08,0.28,598,volatile,0.0
7,1.0,0,0.44,0.91,419,volatile,0.0
8,0.0,0,0.6,0.78,374,volatile,0.0
9,0.0,1,0.35,0.42,372,volatile,0.0
10,0.0,0,0.5,0.82,552,volatile,0.0
11,0.0,0,0.42,0.39,391,volatile,0.0
12,1.0,0,0.29,0.54,271,volatile,0.0
13,1.0,0,0.85,0.05,531,volatile,0.0
14,0.0,0,0.96,0.99,448,volatile,0.0
15,1.0,1,0.74,0.48,409,volatile,0.0
16,1.0,0,0.95,0.93,283,volatile,0.0
17,0.0,0,0.33,0.68,329,volatile,0.0
18,0.0,0,0.87,0.46,434,volatile,0.0
19,1.0,0,0.85,0.98,269,volatile,0.0
20,0.0,1,0.24,0.3,423,volatile,0.0
21,0.0,1,0.36,0.32,739,volatile,0.0
22,1.0,0,0.19,0.6,596,volatile,0.0
23,0.0,1,0.57,0.91,426,volatile,0.0
24,0.0,0,0.44,0.37,395,volatile,0.0
25,1.0,1,0.45,0.28,381,volatile,0.0
26,1.0,1,0.52,0.51,255,volatile,0.0
27,1.0,1,0.72,0.55,429,volatile,0.0
28,0.0,1,0.72,0.99,257,volatile,0.0
29,1.0,1,0.07,0.71,605,volatile,0.0
30,1.0,1,0.41,0.77,444,volatile,0.0
31,0.0,1,0.89,0.71,346,volatile,0.0
32,0.0,1,0.56,0.72,475,volatile,0.0
33,0.0,1,0.41,0.71,458,volatile,0.0
34,0.0,0,0.99,0.86,568,volatile,0.0
35,0.0,1,0.61,0.98,1143,volatile,0.0
36,0.0,0,0.58,0.42,520,volatile,0.0
37,0.0,0,0.72,0.68,510,volatile,0.0
38,0.0,0,0.56,0.46,607,volatile,0.0
39,0.0,0,0.4,0.41,592,volatile,0.0
40,0.0,0,0.71,0.53,263,volatile,0.0
41,1.0,0,0.78,0.86,417,volatile,0.0
42,1.0,0,0.33,0.33,436,volatile,0.0
43,1.0,1,0.95,0.86,492,volatile,0.0
44,1.0,1,0.03,0.53,266,volatile,0.0
45,1.0,0,0.34,0.92,1340,volatile,0.0
46,0.0,0,0.31,0.29,416,volatile,0.0
47,1.0,0,0.72,0.93,550,volatile,0.0
48,1.0,0,0.42,0.86,451,volatile,0.0
49,0.0,0,0.91,0.32,498,volatile,0.0
50,1.0,1,0.64,0.13,298,volatile,0.0
51,0.0,0,0.45,0.67,448,volatile,0.0
52,1.0,0,0.46,0.79,577,volatile,0.0
53,0.0,0,0.88,0.39,393,volatile,0.0
54,0.0,0,0.38,0.39,481,volatile,0.0
55,1.0,0,0.71,0.85,295,volatile,0.0
56,1.0,0,0.32,0.1,289,volatile,0.0
57,1.0,1,0.86,0.45,415,volatile,0.0
58,1.0,0,0.92,0.83,258,volatile,0.0
59,0.0,1,0.16,0.84,252,volatile,0.0
60,0.0,0,0.34,0.89,407,volatile,1.0
61,0.0,1,0.35,0.75,878,volatile,1.0
62,0.0,1,0.92,0.68,268,volatile,1.0
63,1.0,1,0.25,0.13,290,volatile,1.0
64,1.0,1,0.77,0.74,282,volatile,1.0
65,1.0,1,0.13,0.62,259,volatile,1.0
66,1.0,0,0.65,0.73,375,volatile,1.0
67,0.0,0,0.37,0.95,334,volatile,1.0
68,1.0,0,0.96,0.63,288,volatile,1.0
69,1.0,1,0.39,0.47,300,volatile,1.0
70,1.0,1,0.59,0.49,408,volatile,1.0
71,0.0,1,0.43,0.87,388,volatile,1.0
72,0.0,1,0.04,0.82,402,volatile,1.0
73,1.0,1,0.27,0.61,272,volatile,1.0
74,0.0,1,0.36,0.57,427,volatile,1.0
75,0.0,1,0.25,0.67,600,volatile,1.0
76,1.0,1,0.83,0.51,373,volatile,1.0
77,0.0,1,0.38,0.87,277,volatile,1.0
78,1.0,1,0.78,0.3,423,volatile,1.0
79,1.0,1,0.95,0.84,266,volatile,1.0
80,1.0,0,0.93,0.68,383,volatile,1.0
81,0.0,0,0.54,0.3,317,volatile,1.0
82,0.0,0,0.72,0.91,355,volatile,1.0
83,0.0,1,0.02,0.77,452,volatile,1.0
84,1.0,1,0.49,0.53,299,volatile,1.0
85,0.0,0,0.56,0.51,471,volatile,1.0
86,1.0,0,0.54,0.49,329,volatile,1.0
87,0.0,0,0.51,0.85,416,volatile,1.0
88,0.0,0,0.06,0.88,311,volatile,1.0
89,1.0,0,0.84,0.93,584,volatile,1.0
90,0.0,1,0.84,0.97,2061,stable,1.0
91,0.0,1,0.8,0.32,303,stable,1.0
92,1.0,1,0.12,0.58,317,stable,1.0
93,0.0,0,0.72,0.17,480,stable,1.0
94,0.0,1,0.98,0.72,420,stable,1.0
95,1.0,1,0.1,0.63,705,stable,1.0
