,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,0.89,0.99,900,volatile,0.0
1,1.0,0,0.96,0.96,821,volatile,0.0
2,1.0,0,0.58,0.58,814,volatile,0.0
3,0.0,0,0.52,0.33,927,volatile,0.0
4,0.0,1,0.02,0.92,602,volatile,0.0
5,1.0,0,0.93,0.34,353,volatile,0.0
6,1.0,0,0.08,0.28,692,volatile,0.0
7,0.0,0,0.44,0.91,443,volatile,0.0
8,0.0,0,0.6,0.78,546,volatile,0.0
9,0.0,1,0.35,0.42,690,volatile,0.0
10,0.0,0,0.5,0.82,320,volatile,0.0
11,0.0,0,0.42,0.39,476,volatile,0.0
12,1.0,0,0.29,0.54,760,volatile,0.0
13,1.0,0,0.85,0.05,771,volatile,0.0
14,0.0,0,0.96,0.99,782,volatile,0.0
15,0.0,1,0.74,0.48,490,volatile,0.0
16,0.0,0,0.95,0.93,645,volatile,0.0
17,0.0,0,0.33,0.68,502,volatile,0.0
18,0.0,0,0.87,0.46,476,volatile,0.0
19,0.0,0,0.85,0.98,542,volatile,0.0
20,0.0,1,0.24,0.3,558,volatile,0.0
21,0.0,1,0.36,0.32,1333,volatile,0.0
22,0.0,0,0.19,0.6,614,volatile,0.0
23,0.0,1,0.57,0.91,690,volatile,0.0
24,0.0,0,0.44,0.37,1217,volatile,0.0
25,0.0,1,0.45,0.28,1073,volatile,0.0
26,0.0,1,0.52,0.51,510,volatile,0.0
27,0.0,1,0.72,0.55,677,volatile,0.0
28,0.0,1,0.72,0.99,1392,volatile,0.0
29,0.0,1,0.07,0.71,1400,volatile,0.0
30,1.0,1,0.41,0.77,507,volatile,0.0
31,1.0,1,0.89,0.71,545,volatile,0.0
32,1.0,1,0.56,0.72,736,volatile,0.0
33,1.0,1,0.41,0.71,1148,volatile,0.0
34,0.0,0,0.99,0.86,5114,volatile,0.0
35,0.0,1,0.61,0.98,643,volatile,0.0
36,0.0,0,0.58,0.42,2645,volatile,0.0
37,0.0,0,0.72,0.68,1751,volatile,0.0
38,0.0,0,0.56,0.46,1648,volatile,0.0
39,0.0,0,0.4,0.41,1953,volatile,0.0
40,0.0,0,0.71,0.53,850,volatile,0.0
41,0.0,0,0.78,0.86,586,volatile,0.0
42,1.0,0,0.33,0.33,538,volatile,0.0
43,0.0,1,0.95,0.86,496,volatile,0.0
44,0.0,1,0.03,0.53,716,volatile,0.0
45,1.0,0,0.34,0.92,763,volatile,0.0
46,1.0,0,0.31,0.29,711,volatile,0.0
47,0.0,0,0.72,0.93,568,volatile,0.0
48,0.0,0,0.42,0.86,778,volatile,0.0
49,1.0,0,0.91,0.32,1344,volatile,0.0
50,0.0,1,0.64,0.13,703,volatile,0.0
51,0.0,0,0.45,0.67,781,volatile,0.0
52,0.0,0,0.46,0.79,1163,volatile,0.0
53,1.0,0,0.88,0.39,1368,volatile,0.0
54,0.0,0,0.38,0.39,756,volatile,0.0
55,0.0,0,0.71,0.85,780,volatile,0.0
56,0.0,0,0.32,0.1,1016,volatile,0.0
57,0.0,1,0.86,0.45,531,volatile,0.0
58,0.0,0,0.92,0.83,811,volatile,0.0
59,0.0,1,0.16,0.84,768,volatile,0.0
60,0.0,0,0.34,0.89,556,volatile,1.0
61,0.0,1,0.35,0.75,756,volatile,1.0
62,0.0,1,0.92,0.68,622,volatile,1.0
63,1.0,1,0.25,0.13,679,volatile,1.0
64,1.0,1,0.77,0.74,500,volatile,1.0
65,1.0,1,0.13,0.62,869,volatile,1.0
66,1.0,0,0.65,0.73,847,volatile,1.0
67,1.0,0,0.37,0.95,950,volatile,1.0
68,0.0,0,0.96,0.63,870,volatile,1.0
69,0.0,1,0.39,0.47,1131,volatile,1.0
70,1.0,1,0.59,0.49,770,volatile,1.0
71,1.0,1,0.43,0.87,646,volatile,1.0
72,1.0,1,0.04,0.82,912,volatile,1.0
73,1.0,1,0.27,0.61,914,volatile,1.0
74,1.0,1,0.36,0.57,1015,volatile,1.0
75,1.0,1,0.25,0.67,1219,volatile,1.0
76,1.0,1,0.83,0.51,806,volatile,1.0
77,1.0,1,0.38,0.87,959,volatile,1.0
78,1.0,1,0.78,0.3,688,volatile,1.0
79,1.0,1,0.95,0.84,746,volatile,1.0
80,1.0,0,0.93,0.68,668,volatile,1.0
81,1.0,0,0.54,0.3,892,volatile,1.0
82,0.0,0,0.72,0.91,968,volatile,1.0
83,0.0,1,0.02,0.77,655,volatile,1.0
84,0.0,1,0.49,0.53,901,volatile,1.0
85,1.0,0,0.56,0.51,712,volatile,1.0
86,1.0,0,0.54,0.49,958,volatile,1.0
87,0.0,0,0.51,0.85,771,volatile,1.0
88,0.0,0,0.06,0.88,670,volatile,1.0
89,0.0,0,0.84,0.93,729,volatile,1.0
90,0.0,1,0.84,0.97,1269,stable,1.0
91,0.0,1,0.8,0.32,566,stable,1.0
92,1.0,1,0.12,0.58,426,stable,1.0
93,1.0,0,0.72,0.17,511,stable,1.0
94,1.0,1,0.98,0.72,1130,stable,1.0
95,0.0,1,0.1,0.63,1151,stable,1.0
96,1.0,1,0.83,0.35,701,stable,1.0
97,1.0,0,0.29,0.49,1207,stable,1.0
98,0.0,1,0.06,0.98,972,stable,1.0
99,1.0,0,0.95,0.54,690,stable,1.0
100,1.0,1,0.8,0.64,1052,stable,1.0
101,0.0,1,0.55,0.36,916,stable,1.0
102,0.0,0,0.22,0.98,963,stable,1.0
103,1.0,0,0.31,0.14,848,stable,1.0
104,0.0,1,0.6,0.28,874,stable,1.0
105,1.0,0,0.68,0.73,1125,stable,1.0
106,1.0,0,0.6,0.46,601,stable,1.0
107,1.0,1,0.32,0.85,1115,stable,1.0
108,0.0,1,0.88,0.99,781,stable,1.0
109,0.0,1,0.97,0.87,665,stable,1.0
110,1.0,0,0.92,0.41,744,stable,1.0
111,1.0,1,0.36,0.32,993,stable,1.0
112,0.0,1,0.13,0.59,1038,stable,1.0
113,0.0,0,0.5,0.8,1128,stable,1.0
114,1.0,0,0.49,0.61,827,stable,1.0
115,1.0,1,0.92,0.87,680,stable,1.0
116,1.0,1,0.28,0.95,768,stable,1.0
117,0.0,1,0.64,0.33,643,stable,1.0
118,0.0,1,0.59,0.97,953,stable,1.0
119,1.0,1,0.44,0.52,905,stable,1.0
120,1.0,0,0.9,0.2,1104,stable,2.0
121,0.0,1,0.13,0.65,950,stable,2.0
122,0.0,1,0.47,0.69,1150,stable,2.0
123,1.0,0,0.33,0.38,644,stable,2.0
124,0.0,1,0.21,0.71,1237,stable,2.0
125,1.0,1,0.81,0.55,832,stable,2.0
126,1.0,0,0.83,0.05,604,stable,2.0
127,1.0,1,0.75,0.71,753,stable,2.0
128,1.0,1,0.79,0.73,737,stable,2.0
129,1.0,1,0.93,0.2,1006,stable,2.0
130,1.0,1,0.8,0.89,1288,stable,2.0
131,1.0,0,0.9,0.1,837,stable,2.0
