,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,0.84,0.97,1170,stable,0.0
1,1.0,1,0.8,0.32,512,stable,0.0
2,1.0,1,0.12,0.58,673,stable,0.0
3,1.0,0,0.72,0.17,1103,stable,0.0
4,1.0,1,0.98,0.72,769,stable,0.0
5,0.0,1,0.1,0.63,717,stable,0.0
6,1.0,1,0.83,0.35,850,stable,0.0
7,1.0,0,0.29,0.49,696,stable,0.0
8,1.0,1,0.06,0.98,666,stable,0.0
9,1.0,0,0.95,0.54,645,stable,0.0
10,1.0,1,0.8,0.64,569,stable,0.0
11,1.0,1,0.55,0.36,672,stable,0.0
12,1.0,0,0.22,0.98,1177,stable,0.0
13,1.0,0,0.31,0.14,1038,stable,0.0
14,0.0,1,0.6,0.28,833,stable,0.0
15,1.0,0,0.68,0.73,610,stable,0.0
16,0.0,0,0.6,0.46,1109,stable,0.0
17,0.0,1,0.32,0.85,545,stable,0.0
18,1.0,1,0.88,0.99,642,stable,0.0
19,1.0,1,0.97,0.87,638,stable,0.0
20,1.0,0,0.92,0.41,695,stable,0.0
21,1.0,1,0.36,0.32,562,stable,0.0
22,1.0,1,0.13,0.59,625,stable,0.0
23,1.0,0,0.5,0.8,702,stable,0.0
24,1.0,0,0.49,0.61,646,stable,0.0
25,1.0,1,0.92,0.87,490,stable,0.0
26,0.0,1,0.28,0.95,929,stable,0.0
27,1.0,1,0.64,0.33,616,stable,0.0
28,1.0,1,0.59,0.97,663,stable,0.0
29,1.0,1,0.44,0.52,577,stable,0.0
30,1.0,0,0.9,0.2,1368,stable,0.0
31,1.0,1,0.13,0.65,554,stable,0.0
32,1.0,1,0.47,0.69,584,stable,0.0
33,1.0,0,0.33,0.38,706,stable,0.0
34,1.0,1,0.21,0.71,577,stable,0.0
35,1.0,1,0.81,0.55,667,stable,0.0
36,1.0,0,0.83,0.05,775,stable,0.0
37,1.0,1,0.75,0.71,552,stable,0.0
38,1.0,1,0.79,0.73,679,stable,0.0
39,1.0,1,0.93,0.2,1081,stable,0.0
40,1.0,1,0.8,0.89,590,stable,0.0
41,1.0,0,0.9,0.1,646,stable,0.0
42,1.0,1,0.63,0.17,551,stable,0.0
43,1.0,0,0.74,0.05,578,stable,0.0
44,1.0,1,0.4,0.62,817,stable,0.0
45,1.0,1,0.17,0.43,1216,stable,0.0
46,1.0,1,0.3,0.9,775,stable,0.0
47,1.0,0,0.9,0.56,599,stable,0.0
48,1.0,1,0.88,0.37,577,stable,0.0
49,1.0,1,0.4,0.38,695,stable,0.0
50,1.0,1,0.5,0.54,583,stable,0.0
51,1.0,0,0.56,0.07,807,stable,0.0
52,1.0,0,0.9,0.61,633,stable,0.0
53,1.0,0,0.82,0.12,722,stable,0.0
54,1.0,1,0.9,0.19,670,stable,0.0
55,1.0,1,0.46,0.51,745,stable,0.0
56,1.0,1,0.85,0.51,761,stable,0.0
57,1.0,1,0.65,0.41,786,stable,0.0
58,1.0,0,0.31,0.64,772,stable,0.0
59,1.0,1,0.07,0.76,745,stable,0.0
60,1.0,1,0.13,0.65,801,stable,1.0
61,1.0,1,0.94,0.74,721,stable,1.0
62,1.0,0,0.87,0.37,645,stable,1.0
63,1.0,1,0.43,0.4,705,stable,1.0
64,1.0,1,0.25,0.58,816,stable,1.0
65,1.0,1,0.78,0.1,752,stable,1.0
66,1.0,1,0.33,0.83,695,stable,1.0
67,1.0,0,0.63,0.07,656,stable,1.0
68,1.0,1,0.71,0.59,681,stable,1.0
69,1.0,1,0.89,0.56,679,stable,1.0
70,1.0,1,0.44,0.91,730,stable,1.0
71,1.0,1,0.96,0.22,800,stable,1.0
72,1.0,1,0.55,0.3,673,stable,1.0
73,1.0,0,0.69,0.86,704,stable,1.0
