,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,0.89,0.99,1153,volatile,0.0
1,1.0,0,0.96,0.96,2144,volatile,0.0
2,1.0,0,0.58,0.58,1290,volatile,0.0
3,1.0,0,0.52,0.33,998,volatile,0.0
4,0.0,1,0.02,0.92,508,volatile,0.0
5,0.0,0,0.93,0.34,553,volatile,0.0
6,0.0,0,0.08,0.28,1328,volatile,0.0
7,1.0,0,0.44,0.91,763,volatile,0.0
8,0.0,0,0.6,0.78,1332,volatile,0.0
9,0.0,1,0.35,0.42,1365,volatile,0.0
10,0.0,0,0.5,0.82,1154,volatile,0.0
11,0.0,0,0.42,0.39,1197,volatile,0.0
12,0.0,0,0.29,0.54,1619,volatile,0.0
13,1.0,0,0.85,0.05,880,volatile,0.0
14,0.0,0,0.96,0.99,1454,volatile,0.0
15,1.0,1,0.74,0.48,3679,volatile,0.0
16,0.0,0,0.95,0.93,2295,volatile,0.0
17,1.0,0,0.33,0.68,1052,volatile,0.0
18,1.0,0,0.87,0.46,1204,volatile,0.0
19,1.0,0,0.85,0.98,1258,volatile,0.0
20,0.0,1,0.24,0.3,2201,volatile,0.0
21,1.0,1,0.36,0.32,958,volatile,0.0
22,0.0,0,0.19,0.6,1174,volatile,0.0
23,1.0,1,0.57,0.91,958,volatile,0.0
24,1.0,0,0.44,0.37,1223,volatile,0.0
25,0.0,1,0.45,0.28,1066,volatile,0.0
26,0.0,1,0.52,0.51,1930,volatile,0.0
27,1.0,1,0.72,0.55,1066,volatile,0.0
28,0.0,1,0.72,0.99,998,volatile,0.0
29,0.0,1,0.07,0.71,871,volatile,0.0
30,0.0,1,0.41,0.77,1078,volatile,0.0
31,0.0,1,0.89,0.71,764,volatile,0.0
32,1.0,1,0.56,0.72,1142,volatile,0.0
33,0.0,1,0.41,0.71,985,volatile,0.0
34,1.0,0,0.99,0.86,1146,volatile,0.0
35,0.0,1,0.61,0.98,1034,volatile,0.0
36,1.0,0,0.58,0.42,951,volatile,0.0
37,1.0,0,0.72,0.68,425,volatile,0.0
38,1.0,0,0.56,0.46,1198,volatile,0.0
39,1.0,0,0.4,0.41,903,volatile,0.0
40,1.0,0,0.71,0.53,856,volatile,0.0
41,1.0,0,0.78,0.86,1678,volatile,0.0
42,1.0,0,0.33,0.33,1112,volatile,0.0
43,1.0,1,0.95,0.86,852,volatile,0.0
44,0.0,1,0.03,0.53,788,volatile,0.0
45,1.0,0,0.34,0.92,2447,volatile,0.0
46,1.0,0,0.31,0.29,1398,volatile,0.0
47,0.0,0,0.72,0.93,1779,volatile,0.0
48,0.0,0,0.42,0.86,1251,volatile,0.0
49,1.0,0,0.91,0.32,1354,volatile,0.0
50,1.0,1,0.64,0.13,1218,volatile,0.0
51,0.0,0,0.45,0.67,1105,volatile,0.0
52,0.0,0,0.46,0.79,1818,volatile,0.0
53,1.0,0,0.88,0.39,1351,volatile,0.0
54,1.0,0,0.38,0.39,1444,volatile,0.0
55,0.0,0,0.71,0.85,1274,volatile,0.0
56,1.0,0,0.32,0.1,968,volatile,0.0
57,1.0,1,0.86,0.45,1412,volatile,0.0
58,0.0,0,0.92,0.83,1080,volatile,0.0
59,0.0,1,0.16,0.84,1578,volatile,0.0
60,0.0,0,0.34,0.89,1276,volatile,1.0
61,0.0,1,0.35,0.75,1371,volatile,1.0
62,1.0,1,0.92,0.68,1423,volatile,1.0
63,1.0,1,0.25,0.13,1030,volatile,1.0
64,0.0,1,0.77,0.74,1176,volatile,1.0
65,0.0,1,0.13,0.62,1222,volatile,1.0
66,0.0,0,0.65,0.73,1269,volatile,1.0
67,0.0,0,0.37,0.95,1151,volatile,1.0
68,1.0,0,0.96,0.63,1008,volatile,1.0
69,0.0,1,0.39,0.47,1153,volatile,1.0
70,0.0,1,0.59,0.49,3517,volatile,1.0
71,0.0,1,0.43,0.87,967,volatile,1.0
72,0.0,1,0.04,0.82,1425,volatile,1.0
73,0.0,1,0.27,0.61,1023,volatile,1.0
74,0.0,1,0.36,0.57,1217,volatile,1.0
75,0.0,1,0.25,0.67,994,volatile,1.0
76,1.0,1,0.83,0.51,1029,volatile,1.0
77,0.0,1,0.38,0.87,1166,volatile,1.0
78,1.0,1,0.78,0.3,1052,volatile,1.0
79,1.0,1,0.95,0.84,1485,volatile,1.0
80,1.0,0,0.93,0.68,1693,volatile,1.0
81,1.0,0,0.54,0.3,1535,volatile,1.0
82,0.0,0,0.72,0.91,1368,volatile,1.0
83,0.0,1,0.02,0.77,5359,volatile,1.0
84,0.0,1,0.49,0.53,2008,volatile,1.0
85,1.0,0,0.56,0.51,962,volatile,1.0
86,1.0,0,0.54,0.49,2026,volatile,1.0
87,0.0,0,0.51,0.85,1190,volatile,1.0
88,0.0,0,0.06,0.88,1007,volatile,1.0
89,0.0,0,0.84,0.93,2371,volatile,1.0
90,0.0,1,0.84,0.97,2490,stable,1.0
91,1.0,1,0.8,0.32,1243,stable,1.0
92,0.0,1,0.12,0.58,1298,stable,1.0
93,1.0,0,0.72,0.17,1156,stable,1.0
94,1.0,1,0.98,0.72,1833,stable,1.0
95,0.0,1,0.1,0.63,906,stable,1.0
96,1.0,1,0.83,0.35,1164,stable,1.0
97,0.0,0,0.29,0.49,1335,stable,1.0
98,0.0,1,0.06,0.98,1115,stable,1.0
99,1.0,0,0.95,0.54,1378,stable,1.0
100,1.0,1,0.8,0.64,2965,stable,1.0
101,1.0,1,0.55,0.36,1162,stable,1.0
102,0.0,0,0.22,0.98,1092,stable,1.0
103,1.0,0,0.31,0.14,916,stable,1.0
104,1.0,1,0.6,0.28,859,stable,1.0
105,0.0,0,0.68,0.73,1216,stable,1.0
106,1.0,0,0.6,0.46,994,stable,1.0
107,0.0,1,0.32,0.85,2222,stable,1.0
108,1.0,1,0.88,0.99,1006,stable,1.0
109,1.0,1,0.97,0.87,1394,stable,1.0
110,1.0,0,0.92,0.41,1103,stable,1.0
111,0.0,1,0.36,0.32,1089,stable,1.0
112,0.0,1,0.13,0.59,834,stable,1.0
113,0.0,0,0.5,0.8,1162,stable,1.0
114,0.0,0,0.49,0.61,1520,stable,1.0
115,1.0,1,0.92,0.87,1081,stable,1.0
116,0.0,1,0.28,0.95,1035,stable,1.0
117,1.0,1,0.64,0.33,1219,stable,1.0
118,0.0,1,0.59,0.97,1084,stable,1.0
119,1.0,1,0.44,0.52,1164,stable,1.0
120,1.0,0,0.9,0.2,840,stable,2.0
121,0.0,1,0.13,0.65,1107,stable,2.0
122,1.0,1,0.47,0.69,1003,stable,2.0
123,1.0,0,0.33,0.38,1605,stable,2.0
124,0.0,1,0.21,0.71,1187,stable,2.0
125,1.0,1,0.81,0.55,1085,stable,2.0
126,0.0,0,0.83,0.05,1582,stable,2.0
127,1.0,1,0.75,0.71,1065,stable,2.0
128,1.0,1,0.79,0.73,1251,stable,2.0
129,1.0,1,0.93,0.2,1667,stable,2.0
130,0.0,1,0.8,0.89,1230,stable,2.0
131,1.0,0,0.9,0.1,1180,stable,2.0
132,1.0,1,0.63,0.17,987,stable,2.0
133,1.0,0,0.74,0.05,985,stable,2.0
134,0.0,1,0.4,0.62,1180,stable,2.0
135,0.0,1,0.17,0.43,1727,stable,2.0
136,0.0,1,0.3,0.9,1148,stable,2.0
137,1.0,0,0.9,0.56,1245,stable,2.0
138,1.0,1,0.88,0.37,1116,stable,2.0
139,1.0,1,0.4,0.38,1209,stable,2.0
140,1.0,1,0.5,0.54,1004,stable,2.0
141,1.0,0,0.56,0.07,772,stable,2.0
142,1.0,0,0.9,0.61,1204,stable,2.0
143,0.0,0,0.82,0.12,819,stable,2.0
144,1.0,1,0.9,0.19,1461,stable,2.0
145,1.0,1,0.46,0.51,902,stable,2.0
146,1.0,1,0.85,0.51,1063,stable,2.0
147,1.0,1,0.65,0.41,662,stable,2.0
148,1.0,0,0.31,0.64,680,stable,2.0
149,1.0,1,0.07,0.76,1022,stable,2.0
150,1.0,1,0.13,0.65,661,stable,2.0
151,1.0,1,0.94,0.74,780,stable,2.0
152,1.0,0,0.87,0.37,664,stable,2.0
153,1.0,1,0.43,0.4,796,stable,2.0
154,1.0,1,0.25,0.58,1562,stable,2.0
155,1.0,1,0.78,0.1,3058,stable,2.0
156,1.0,1,0.33,0.83,1102,stable,2.0
157,1.0,0,0.63,0.07,742,stable,2.0
158,1.0,1,0.71,0.59,867,stable,2.0
159,1.0,1,0.89,0.56,1095,stable,2.0
160,1.0,1,0.44,0.91,692,stable,2.0
161,1.0,1,0.96,0.22,694,stable,2.0
