,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.84,0.97,769,stable,0.0
1,1.0,1,0.8,0.32,613,stable,0.0
2,1.0,1,0.12,0.58,1358,stable,0.0
3,0.0,0,0.72,0.17,947,stable,0.0
4,1.0,1,0.98,0.72,569,stable,0.0
5,1.0,1,0.1,0.63,689,stable,0.0
6,1.0,1,0.83,0.35,890,stable,0.0
7,1.0,0,0.29,0.49,1144,stable,0.0
8,1.0,1,0.06,0.98,1074,stable,0.0
9,0.0,0,0.95,0.54,548,stable,0.0
10,0.0,1,0.8,0.64,556,stable,0.0
11,1.0,1,0.55,0.36,961,stable,0.0
12,1.0,0,0.22,0.98,858,stable,0.0
13,0.0,0,0.31,0.14,794,stable,0.0
14,1.0,1,0.6,0.28,762,stable,0.0
15,1.0,0,0.68,0.73,609,stable,0.0
16,1.0,0,0.6,0.46,835,stable,0.0
17,0.0,1,0.32,0.85,1139,stable,0.0
18,0.0,1,0.88,0.99,576,stable,0.0
19,0.0,1,0.97,0.87,552,stable,0.0
20,1.0,0,0.92,0.41,1211,stable,0.0
21,1.0,1,0.36,0.32,450,stable,0.0
22,0.0,1,0.13,0.59,1217,stable,0.0
23,1.0,0,0.5,0.8,795,stable,0.0
24,0.0,0,0.49,0.61,474,stable,0.0
25,1.0,1,0.92,0.87,729,stable,0.0
26,0.0,1,0.28,0.95,535,stable,0.0
27,0.0,1,0.64,0.33,619,stable,0.0
28,1.0,1,0.59,0.97,1058,stable,0.0
29,1.0,1,0.44,0.52,1123,stable,0.0
30,1.0,0,0.9,0.2,1160,stable,0.0
31,0.0,1,0.13,0.65,953,stable,0.0
32,1.0,1,0.47,0.69,565,stable,0.0
33,1.0,0,0.33,0.38,1091,stable,0.0
34,0.0,1,0.21,0.71,641,stable,0.0
35,0.0,1,0.81,0.55,515,stable,0.0
36,1.0,0,0.83,0.05,833,stable,0.0
37,0.0,1,0.75,0.71,601,stable,0.0
38,1.0,1,0.79,0.73,690,stable,0.0
39,1.0,1,0.93,0.2,774,stable,0.0
40,0.0,1,0.8,0.89,898,stable,0.0
41,1.0,0,0.9,0.1,711,stable,0.0
42,1.0,1,0.63,0.17,784,stable,0.0
43,1.0,0,0.74,0.05,658,stable,0.0
44,1.0,1,0.4,0.62,665,stable,0.0
45,0.0,1,0.17,0.43,1226,stable,0.0
46,1.0,1,0.3,0.9,555,stable,0.0
47,0.0,0,0.9,0.56,573,stable,0.0
48,1.0,1,0.88,0.37,681,stable,0.0
49,1.0,1,0.4,0.38,546,stable,0.0
50,1.0,1,0.5,0.54,506,stable,0.0
51,0.0,0,0.56,0.07,643,stable,0.0
52,1.0,0,0.9,0.61,543,stable,0.0
53,1.0,0,0.82,0.12,560,stable,0.0
54,1.0,1,0.9,0.19,520,stable,0.0
55,1.0,1,0.46,0.51,775,stable,0.0
56,1.0,1,0.85,0.51,638,stable,0.0
57,1.0,1,0.65,0.41,759,stable,0.0
58,1.0,0,0.31,0.64,560,stable,0.0
59,0.0,1,0.07,0.76,607,stable,0.0
60,0.0,1,0.13,0.65,593,stable,1.0
61,0.0,1,0.94,0.74,673,stable,1.0
62,0.0,0,0.87,0.37,597,stable,1.0
63,0.0,1,0.43,0.4,569,stable,1.0
64,0.0,1,0.25,0.58,562,stable,1.0
65,1.0,1,0.78,0.1,516,stable,1.0
66,1.0,1,0.33,0.83,1286,stable,1.0
67,1.0,0,0.63,0.07,621,stable,1.0
68,1.0,1,0.71,0.59,498,stable,1.0
69,1.0,1,0.89,0.56,577,stable,1.0
70,0.0,1,0.44,0.91,678,stable,1.0
71,0.0,1,0.96,0.22,662,stable,1.0
72,1.0,1,0.55,0.3,587,stable,1.0
73,1.0,0,0.69,0.86,1178,stable,1.0
74,1.0,0,0.45,0.91,536,stable,1.0
75,1.0,0,0.87,0.09,563,stable,1.0
76,1.0,1,0.45,0.87,626,stable,1.0
77,0.0,1,0.55,0.92,665,stable,1.0
