,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.89,0.99,1841,volatile,0.0
1,1.0,0,0.96,0.96,1058,volatile,0.0
2,1.0,0,0.58,0.58,914,volatile,0.0
3,0.0,0,0.52,0.33,676,volatile,0.0
4,0.0,1,0.02,0.92,589,volatile,0.0
5,0.0,0,0.93,0.34,634,volatile,0.0
6,0.0,0,0.08,0.28,680,volatile,0.0
7,0.0,0,0.44,0.91,670,volatile,0.0
8,0.0,0,0.6,0.78,558,volatile,0.0
9,0.0,1,0.35,0.42,657,volatile,0.0
10,0.0,0,0.5,0.82,537,volatile,0.0
11,0.0,0,0.42,0.39,554,volatile,0.0
12,0.0,0,0.29,0.54,641,volatile,0.0
13,0.0,0,0.85,0.05,498,volatile,0.0
14,0.0,0,0.96,0.99,647,volatile,0.0
15,0.0,1,0.74,0.48,622,volatile,0.0
16,0.0,0,0.95,0.93,510,volatile,0.0
17,0.0,0,0.33,0.68,529,volatile,0.0
18,0.0,0,0.87,0.46,1138,volatile,0.0
19,0.0,0,0.85,0.98,665,volatile,0.0
20,0.0,1,0.24,0.3,1037,volatile,0.0
21,0.0,1,0.36,0.32,509,volatile,0.0
22,0.0,0,0.19,0.6,952,volatile,0.0
23,0.0,1,0.57,0.91,722,volatile,0.0
24,0.0,0,0.44,0.37,1069,volatile,0.0
25,0.0,1,0.45,0.28,606,volatile,0.0
26,0.0,1,0.52,0.51,771,volatile,0.0
27,0.0,1,0.72,0.55,730,volatile,0.0
28,0.0,1,0.72,0.99,506,volatile,0.0
29,0.0,1,0.07,0.71,688,volatile,0.0
30,1.0,1,0.41,0.77,595,volatile,0.0
31,0.0,1,0.89,0.71,2890,volatile,0.0
32,0.0,1,0.56,0.72,691,volatile,0.0
33,1.0,1,0.41,0.71,651,volatile,0.0
34,1.0,0,0.99,0.86,768,volatile,0.0
35,1.0,1,0.61,0.98,515,volatile,0.0
36,1.0,0,0.58,0.42,732,volatile,0.0
37,0.0,0,0.72,0.68,751,volatile,0.0
38,0.0,0,0.56,0.46,955,volatile,0.0
39,0.0,0,0.4,0.41,728,volatile,0.0
40,0.0,0,0.71,0.53,695,volatile,0.0
41,0.0,0,0.78,0.86,766,volatile,0.0
42,1.0,0,0.33,0.33,494,volatile,0.0
43,0.0,1,0.95,0.86,613,volatile,0.0
44,0.0,1,0.03,0.53,801,volatile,0.0
45,0.0,0,0.34,0.92,1447,volatile,0.0
46,0.0,0,0.31,0.29,576,volatile,0.0
47,0.0,0,0.72,0.93,820,volatile,0.0
48,0.0,0,0.42,0.86,665,volatile,0.0
49,0.0,0,0.91,0.32,701,volatile,0.0
50,0.0,1,0.64,0.13,566,volatile,0.0
51,0.0,0,0.45,0.67,581,volatile,0.0
52,0.0,0,0.46,0.79,679,volatile,0.0
53,0.0,0,0.88,0.39,547,volatile,0.0
54,0.0,0,0.38,0.39,743,volatile,0.0
55,0.0,0,0.71,0.85,530,volatile,0.0
56,0.0,0,0.32,0.1,543,volatile,0.0
57,0.0,1,0.86,0.45,1034,volatile,0.0
58,0.0,0,0.92,0.83,675,volatile,0.0
59,0.0,1,0.16,0.84,541,volatile,0.0
60,0.0,0,0.34,0.89,611,volatile,1.0
61,0.0,1,0.35,0.75,754,volatile,1.0
62,0.0,1,0.92,0.68,690,volatile,1.0
63,1.0,1,0.25,0.13,780,volatile,1.0
64,0.0,1,0.77,0.74,721,volatile,1.0
65,1.0,1,0.13,0.62,661,volatile,1.0
66,0.0,0,0.65,0.73,551,volatile,1.0
67,0.0,0,0.37,0.95,526,volatile,1.0
68,0.0,0,0.96,0.63,823,volatile,1.0
69,0.0,1,0.39,0.47,614,volatile,1.0
70,0.0,1,0.59,0.49,984,volatile,1.0
71,0.0,1,0.43,0.87,500,volatile,1.0
72,0.0,1,0.04,0.82,692,volatile,1.0
73,0.0,1,0.27,0.61,695,volatile,1.0
74,0.0,1,0.36,0.57,668,volatile,1.0
75,1.0,1,0.25,0.67,561,volatile,1.0
76,1.0,1,0.83,0.51,632,volatile,1.0
77,1.0,1,0.38,0.87,668,volatile,1.0
78,1.0,1,0.78,0.3,579,volatile,1.0
79,1.0,1,0.95,0.84,637,volatile,1.0
80,1.0,0,0.93,0.68,614,volatile,1.0
81,1.0,0,0.54,0.3,761,volatile,1.0
82,0.0,0,0.72,0.91,600,volatile,1.0
83,0.0,1,0.02,0.77,762,volatile,1.0
84,1.0,1,0.49,0.53,1078,volatile,1.0
85,1.0,0,0.56,0.51,548,volatile,1.0
86,0.0,0,0.54,0.49,752,volatile,1.0
87,1.0,0,0.51,0.85,718,volatile,1.0
88,1.0,0,0.06,0.88,623,volatile,1.0
89,1.0,0,0.84,0.93,636,volatile,1.0
90,0.0,1,0.84,0.97,1354,stable,1.0
91,0.0,1,0.8,0.32,850,stable,1.0
92,1.0,1,0.12,0.58,569,stable,1.0
93,1.0,0,0.72,0.17,709,stable,1.0
94,0.0,1,0.98,0.72,548,stable,1.0
95,0.0,1,0.1,0.63,982,stable,1.0
96,0.0,1,0.83,0.35,931,stable,1.0
97,1.0,0,0.29,0.49,775,stable,1.0
98,0.0,1,0.06,0.98,989,stable,1.0
99,1.0,0,0.95,0.54,518,stable,1.0
100,0.0,1,0.8,0.64,841,stable,1.0
101,1.0,1,0.55,0.36,637,stable,1.0
102,1.0,0,0.22,0.98,660,stable,1.0
103,1.0,0,0.31,0.14,604,stable,1.0
104,0.0,1,0.6,0.28,734,stable,1.0
105,1.0,0,0.68,0.73,520,stable,1.0
106,1.0,0,0.6,0.46,667,stable,1.0
107,0.0,1,0.32,0.85,764,stable,1.0
108,1.0,1,0.88,0.99,623,stable,1.0
109,1.0,1,0.97,0.87,536,stable,1.0
110,1.0,0,0.92,0.41,952,stable,1.0
111,0.0,1,0.36,0.32,1114,stable,1.0
112,0.0,1,0.13,0.59,470,stable,1.0
113,0.0,0,0.5,0.8,569,stable,1.0
114,0.0,0,0.49,0.61,702,stable,1.0
115,0.0,1,0.92,0.87,550,stable,1.0
116,0.0,1,0.28,0.95,1316,stable,1.0
117,0.0,1,0.64,0.33,655,stable,1.0
118,0.0,1,0.59,0.97,692,stable,1.0
119,0.0,1,0.44,0.52,957,stable,1.0
120,1.0,0,0.9,0.2,1036,stable,2.0
121,0.0,1,0.13,0.65,675,stable,2.0
122,1.0,1,0.47,0.69,692,stable,2.0
123,1.0,0,0.33,0.38,915,stable,2.0
124,1.0,1,0.21,0.71,523,stable,2.0
125,1.0,1,0.81,0.55,722,stable,2.0
126,1.0,0,0.83,0.05,748,stable,2.0
127,1.0,1,0.75,0.71,569,stable,2.0
128,1.0,1,0.79,0.73,692,stable,2.0
129,0.0,1,0.93,0.2,2580,stable,2.0
130,1.0,1,0.8,0.89,586,stable,2.0
131,1.0,0,0.9,0.1,722,stable,2.0
