,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.84,0.97,1961,stable,0.0
1,0.0,1,0.8,0.32,567,stable,0.0
2,1.0,1,0.12,0.58,929,stable,0.0
3,1.0,0,0.72,0.17,807,stable,0.0
4,1.0,1,0.98,0.72,2307,stable,0.0
5,1.0,1,0.1,0.63,1289,stable,0.0
6,0.0,1,0.83,0.35,633,stable,0.0
7,0.0,0,0.29,0.49,1537,stable,0.0
8,0.0,1,0.06,0.98,2090,stable,0.0
9,1.0,0,0.95,0.54,1077,stable,0.0
10,0.0,1,0.8,0.64,2566,stable,0.0
11,1.0,1,0.55,0.36,1806,stable,0.0
12,0.0,0,0.22,0.98,2447,stable,0.0
13,1.0,0,0.31,0.14,3138,stable,0.0
14,1.0,1,0.6,0.28,2045,stable,0.0
15,0.0,0,0.68,0.73,3833,stable,0.0
16,1.0,0,0.6,0.46,2007,stable,0.0
17,0.0,1,0.32,0.85,1181,stable,0.0
18,0.0,1,0.88,0.99,904,stable,0.0
19,1.0,1,0.97,0.87,1084,stable,0.0
20,0.0,0,0.92,0.41,1335,stable,0.0
21,1.0,1,0.36,0.32,711,stable,0.0
22,1.0,1,0.13,0.59,596,stable,0.0
23,1.0,0,0.5,0.8,602,stable,0.0
24,1.0,0,0.49,0.61,974,stable,0.0
25,1.0,1,0.92,0.87,583,stable,0.0
26,0.0,1,0.28,0.95,2056,stable,0.0
27,0.0,1,0.64,0.33,1429,stable,0.0
28,0.0,1,0.59,0.97,1470,stable,0.0
29,1.0,1,0.44,0.52,1137,stable,0.0
30,1.0,0,0.9,0.2,1820,stable,0.0
31,1.0,1,0.13,0.65,615,stable,0.0
32,1.0,1,0.47,0.69,1188,stable,0.0
33,1.0,0,0.33,0.38,1203,stable,0.0
34,0.0,1,0.21,0.71,1326,stable,0.0
35,1.0,1,0.81,0.55,1733,stable,0.0
36,1.0,0,0.83,0.05,958,stable,0.0
37,1.0,1,0.75,0.71,1224,stable,0.0
38,1.0,1,0.79,0.73,1169,stable,0.0
39,1.0,1,0.93,0.2,2016,stable,0.0
40,0.0,1,0.8,0.89,1319,stable,0.0
41,1.0,0,0.9,0.1,1663,stable,0.0
42,1.0,1,0.63,0.17,1381,stable,0.0
43,1.0,0,0.74,0.05,675,stable,0.0
44,1.0,1,0.4,0.62,1051,stable,0.0
45,1.0,1,0.17,0.43,4600,stable,0.0
46,1.0,1,0.3,0.9,1889,stable,0.0
47,1.0,0,0.9,0.56,1250,stable,0.0
48,1.0,1,0.88,0.37,1972,stable,0.0
49,1.0,1,0.4,0.38,1326,stable,0.0
50,1.0,1,0.5,0.54,1478,stable,0.0
51,0.0,0,0.56,0.07,1486,stable,0.0
52,0.0,0,0.9,0.61,1539,stable,0.0
53,1.0,0,0.82,0.12,1258,stable,0.0
54,1.0,1,0.9,0.19,666,stable,0.0
55,1.0,1,0.46,0.51,1155,stable,0.0
56,1.0,1,0.85,0.51,612,stable,0.0
57,0.0,1,0.65,0.41,1634,stable,0.0
58,0.0,0,0.31,0.64,1732,stable,0.0
59,0.0,1,0.07,0.76,1553,stable,0.0
60,1.0,1,0.13,0.65,1302,stable,1.0
61,1.0,1,0.94,0.74,864,stable,1.0
62,1.0,0,0.87,0.37,1314,stable,1.0
63,1.0,1,0.43,0.4,1378,stable,1.0
64,1.0,1,0.25,0.58,2492,stable,1.0
65,1.0,1,0.78,0.1,894,stable,1.0
66,1.0,1,0.33,0.83,626,stable,1.0
67,1.0,0,0.63,0.07,1889,stable,1.0
68,1.0,1,0.71,0.59,672,stable,1.0
69,1.0,1,0.89,0.56,1482,stable,1.0
70,1.0,1,0.44,0.91,794,stable,1.0
71,0.0,1,0.96,0.22,1467,stable,1.0
72,1.0,1,0.55,0.3,1531,stable,1.0
73,0.0,0,0.69,0.86,1348,stable,1.0
74,0.0,0,0.45,0.91,1071,stable,1.0
75,1.0,0,0.87,0.09,1549,stable,1.0
76,0.0,1,0.45,0.87,1283,stable,1.0
77,1.0,1,0.55,0.92,647,stable,1.0
78,1.0,1,0.57,0.9,2020,stable,1.0
79,1.0,1,0.33,0.67,2764,stable,1.0
80,1.0,1,0.52,0.39,1698,stable,1.0
81,1.0,1,0.9,0.83,2298,stable,1.0
82,0.0,0,0.23,0.38,1064,stable,1.0
83,1.0,1,0.45,0.59,798,stable,1.0
84,1.0,1,0.6,0.25,1456,stable,1.0
85,1.0,1,0.81,0.94,1315,stable,1.0
86,1.0,1,0.49,0.43,1344,stable,1.0
87,1.0,0,0.42,0.65,1240,stable,1.0
88,1.0,1,0.5,0.66,1511,stable,1.0
89,1.0,1,0.89,0.35,763,stable,1.0
90,1.0,1,0.89,0.99,2853,volatile,1.0
91,1.0,0,0.96,0.96,1220,volatile,1.0
92,1.0,0,0.58,0.58,720,volatile,1.0
93,1.0,0,0.52,0.33,766,volatile,1.0
94,0.0,1,0.02,0.92,860,volatile,1.0
95,1.0,0,0.93,0.34,2033,volatile,1.0
96,0.0,0,0.08,0.28,3929,volatile,1.0
97,0.0,0,0.44,0.91,1568,volatile,1.0
98,0.0,0,0.6,0.78,1614,volatile,1.0
99,0.0,1,0.35,0.42,1404,volatile,1.0
100,0.0,0,0.5,0.82,1498,volatile,1.0
101,0.0,0,0.42,0.39,1630,volatile,1.0
102,0.0,0,0.29,0.54,862,volatile,1.0
103,1.0,0,0.85,0.05,2046,volatile,1.0
104,1.0,0,0.96,0.99,1807,volatile,1.0
105,1.0,1,0.74,0.48,1487,volatile,1.0
