,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.84,0.97,1345,stable,0.0
1,0.0,1,0.8,0.32,707,stable,0.0
2,1.0,1,0.12,0.58,579,stable,0.0
3,1.0,0,0.72,0.17,593,stable,0.0
4,1.0,1,0.98,0.72,586,stable,0.0
5,1.0,1,0.1,0.63,528,stable,0.0
6,1.0,1,0.83,0.35,632,stable,0.0
7,1.0,0,0.29,0.49,495,stable,0.0
8,1.0,1,0.06,0.98,667,stable,0.0
9,1.0,0,0.95,0.54,633,stable,0.0
10,1.0,1,0.8,0.64,629,stable,0.0
11,1.0,1,0.55,0.36,529,stable,0.0
12,1.0,0,0.22,0.98,615,stable,0.0
13,1.0,0,0.31,0.14,650,stable,0.0
14,1.0,1,0.6,0.28,511,stable,0.0
15,1.0,0,0.68,0.73,599,stable,0.0
16,1.0,0,0.6,0.46,634,stable,0.0
17,1.0,1,0.32,0.85,591,stable,0.0
18,1.0,1,0.88,0.99,695,stable,0.0
19,1.0,1,0.97,0.87,552,stable,0.0
20,1.0,0,0.92,0.41,822,stable,0.0
21,1.0,1,0.36,0.32,716,stable,0.0
22,1.0,1,0.13,0.59,602,stable,0.0
23,1.0,0,0.5,0.8,548,stable,0.0
24,1.0,0,0.49,0.61,560,stable,0.0
25,1.0,1,0.92,0.87,607,stable,0.0
26,1.0,1,0.28,0.95,693,stable,0.0
27,1.0,1,0.64,0.33,681,stable,0.0
28,1.0,1,0.59,0.97,692,stable,0.0
29,1.0,1,0.44,0.52,681,stable,0.0
30,1.0,0,0.9,0.2,725,stable,0.0
31,1.0,1,0.13,0.65,650,stable,0.0
32,1.0,1,0.47,0.69,873,stable,0.0
33,1.0,0,0.33,0.38,663,stable,0.0
34,1.0,1,0.21,0.71,650,stable,0.0
35,1.0,1,0.81,0.55,601,stable,0.0
36,1.0,0,0.83,0.05,612,stable,0.0
37,0.0,1,0.75,0.71,547,stable,0.0
38,1.0,1,0.79,0.73,630,stable,0.0
39,1.0,1,0.93,0.2,871,stable,0.0
40,1.0,1,0.8,0.89,987,stable,0.0
41,1.0,0,0.9,0.1,532,stable,0.0
42,1.0,1,0.63,0.17,715,stable,0.0
43,1.0,0,0.74,0.05,567,stable,0.0
44,1.0,1,0.4,0.62,673,stable,0.0
45,1.0,1,0.17,0.43,1334,stable,0.0
46,1.0,1,0.3,0.9,487,stable,0.0
47,1.0,0,0.9,0.56,626,stable,0.0
48,1.0,1,0.88,0.37,539,stable,0.0
49,1.0,1,0.4,0.38,583,stable,0.0
50,1.0,1,0.5,0.54,591,stable,0.0
51,1.0,0,0.56,0.07,559,stable,0.0
52,1.0,0,0.9,0.61,571,stable,0.0
53,1.0,0,0.82,0.12,339,stable,0.0
54,1.0,1,0.9,0.19,604,stable,0.0
55,1.0,1,0.46,0.51,635,stable,0.0
56,1.0,1,0.85,0.51,539,stable,0.0
57,1.0,1,0.65,0.41,519,stable,0.0
58,1.0,0,0.31,0.64,449,stable,0.0
59,1.0,1,0.07,0.76,523,stable,0.0
60,1.0,1,0.13,0.65,567,stable,1.0
61,1.0,1,0.94,0.74,535,stable,1.0
62,1.0,0,0.87,0.37,875,stable,1.0
63,1.0,1,0.43,0.4,704,stable,1.0
64,1.0,1,0.25,0.58,630,stable,1.0
65,1.0,1,0.78,0.1,528,stable,1.0
66,1.0,1,0.33,0.83,716,stable,1.0
67,1.0,0,0.63,0.07,510,stable,1.0
68,1.0,1,0.71,0.59,541,stable,1.0
69,1.0,1,0.89,0.56,529,stable,1.0
70,1.0,1,0.44,0.91,784,stable,1.0
71,1.0,1,0.96,0.22,673,stable,1.0
72,0.0,1,0.55,0.3,831,stable,1.0
73,1.0,0,0.69,0.86,479,stable,1.0
74,1.0,0,0.45,0.91,761,stable,1.0
75,0.0,0,0.87,0.09,959,stable,1.0
76,0.0,1,0.45,0.87,600,stable,1.0
77,0.0,1,0.55,0.92,585,stable,1.0
78,0.0,1,0.57,0.9,655,stable,1.0
79,1.0,1,0.33,0.67,510,stable,1.0
80,1.0,1,0.52,0.39,479,stable,1.0
81,1.0,1,0.9,0.83,630,stable,1.0
82,1.0,0,0.23,0.38,467,stable,1.0
