,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.89,0.99,1669,volatile,0.0
1,1.0,0,0.96,0.96,837,volatile,0.0
2,1.0,0,0.58,0.58,1065,volatile,0.0
3,0.0,0,0.52,0.33,501,volatile,0.0
4,0.0,1,0.02,0.92,1237,volatile,0.0
5,1.0,0,0.93,0.34,1560,volatile,0.0
6,1.0,0,0.08,0.28,1299,volatile,0.0
7,1.0,0,0.44,0.91,1420,volatile,0.0
8,0.0,0,0.6,0.78,988,volatile,0.0
9,0.0,1,0.35,0.42,705,volatile,0.0
10,0.0,0,0.5,0.82,929,volatile,0.0
11,0.0,0,0.42,0.39,1033,volatile,0.0
12,0.0,0,0.29,0.54,953,volatile,0.0
13,1.0,0,0.85,0.05,1102,volatile,0.0
14,0.0,0,0.96,0.99,605,volatile,0.0
15,0.0,1,0.74,0.48,1024,volatile,0.0
16,0.0,0,0.95,0.93,835,volatile,0.0
17,0.0,0,0.33,0.68,1289,volatile,0.0
18,0.0,0,0.87,0.46,979,volatile,0.0
19,0.0,0,0.85,0.98,800,volatile,0.0
20,0.0,1,0.24,0.3,1286,volatile,0.0
21,0.0,1,0.36,0.32,917,volatile,0.0
22,1.0,0,0.19,0.6,1423,volatile,0.0
23,0.0,1,0.57,0.91,932,volatile,0.0
24,1.0,0,0.44,0.37,1010,volatile,0.0
25,1.0,1,0.45,0.28,932,volatile,0.0
26,1.0,1,0.52,0.51,2102,volatile,0.0
27,1.0,1,0.72,0.55,1185,volatile,0.0
28,0.0,1,0.72,0.99,1584,volatile,0.0
29,0.0,1,0.07,0.71,1343,volatile,0.0
30,1.0,1,0.41,0.77,753,volatile,0.0
31,1.0,1,0.89,0.71,1032,volatile,0.0
32,0.0,1,0.56,0.72,1255,volatile,0.0
33,1.0,1,0.41,0.71,1052,volatile,0.0
34,1.0,0,0.99,0.86,984,volatile,0.0
35,0.0,1,0.61,0.98,752,volatile,0.0
36,1.0,0,0.58,0.42,1269,volatile,0.0
37,0.0,0,0.72,0.68,669,volatile,0.0
38,0.0,0,0.56,0.46,1049,volatile,0.0
39,0.0,0,0.4,0.41,905,volatile,0.0
40,0.0,0,0.71,0.53,901,volatile,0.0
41,0.0,0,0.78,0.86,1320,volatile,0.0
42,1.0,0,0.33,0.33,1067,volatile,0.0
43,0.0,1,0.95,0.86,1049,volatile,0.0
44,0.0,1,0.03,0.53,946,volatile,0.0
45,0.0,0,0.34,0.92,1484,volatile,0.0
46,0.0,0,0.31,0.29,1374,volatile,0.0
47,0.0,0,0.72,0.93,837,volatile,0.0
48,0.0,0,0.42,0.86,832,volatile,0.0
49,0.0,0,0.91,0.32,985,volatile,0.0
50,0.0,1,0.64,0.13,806,volatile,0.0
51,0.0,0,0.45,0.67,838,volatile,0.0
52,1.0,0,0.46,0.79,740,volatile,0.0
53,0.0,0,0.88,0.39,638,volatile,0.0
54,0.0,0,0.38,0.39,1230,volatile,0.0
55,0.0,0,0.71,0.85,875,volatile,0.0
56,0.0,0,0.32,0.1,1092,volatile,0.0
57,0.0,1,0.86,0.45,1131,volatile,0.0
58,1.0,0,0.92,0.83,1035,volatile,0.0
59,0.0,1,0.16,0.84,851,volatile,0.0
60,1.0,0,0.34,0.89,580,volatile,1.0
61,1.0,1,0.35,0.75,969,volatile,1.0
62,1.0,1,0.92,0.68,885,volatile,1.0
63,1.0,1,0.25,0.13,1085,volatile,1.0
64,1.0,1,0.77,0.74,765,volatile,1.0
65,1.0,1,0.13,0.62,981,volatile,1.0
66,1.0,0,0.65,0.73,968,volatile,1.0
