,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,0.89,0.99,962,volatile,0.0
1,1.0,0,0.96,0.96,639,volatile,0.0
2,1.0,0,0.58,0.58,580,volatile,0.0
3,0.0,0,0.52,0.33,1345,volatile,0.0
4,0.0,1,0.02,0.92,644,volatile,0.0
5,0.0,0,0.93,0.34,1408,volatile,0.0
6,0.0,0,0.08,0.28,544,volatile,0.0
7,0.0,0,0.44,0.91,565,volatile,0.0
8,0.0,0,0.6,0.78,766,volatile,0.0
9,0.0,1,0.35,0.42,756,volatile,0.0
10,0.0,0,0.5,0.82,640,volatile,0.0
11,0.0,0,0.42,0.39,625,volatile,0.0
12,0.0,0,0.29,0.54,643,volatile,0.0
13,0.0,0,0.85,0.05,592,volatile,0.0
14,0.0,0,0.96,0.99,722,volatile,0.0
15,0.0,1,0.74,0.48,655,volatile,0.0
16,0.0,0,0.95,0.93,671,volatile,0.0
17,0.0,0,0.33,0.68,598,volatile,0.0
18,0.0,0,0.87,0.46,626,volatile,0.0
19,0.0,0,0.85,0.98,657,volatile,0.0
20,0.0,1,0.24,0.3,752,volatile,0.0
21,0.0,1,0.36,0.32,578,volatile,0.0
22,0.0,0,0.19,0.6,769,volatile,0.0
23,0.0,1,0.57,0.91,685,volatile,0.0
24,0.0,0,0.44,0.37,547,volatile,0.0
25,0.0,1,0.45,0.28,579,volatile,0.0
26,0.0,1,0.52,0.51,581,volatile,0.0
27,0.0,1,0.72,0.55,521,volatile,0.0
28,0.0,1,0.72,0.99,612,volatile,0.0
29,1.0,1,0.07,0.71,755,volatile,0.0
30,1.0,1,0.41,0.77,547,volatile,0.0
31,1.0,1,0.89,0.71,595,volatile,0.0
32,1.0,1,0.56,0.72,592,volatile,0.0
33,1.0,1,0.41,0.71,565,volatile,0.0
34,1.0,0,0.99,0.86,765,volatile,0.0
35,1.0,1,0.61,0.98,987,volatile,0.0
36,1.0,0,0.58,0.42,692,volatile,0.0
37,0.0,0,0.72,0.68,550,volatile,0.0
38,0.0,0,0.56,0.46,658,volatile,0.0
39,0.0,0,0.4,0.41,579,volatile,0.0
40,0.0,0,0.71,0.53,613,volatile,0.0
41,0.0,0,0.78,0.86,662,volatile,0.0
42,1.0,0,0.33,0.33,687,volatile,0.0
43,0.0,1,0.95,0.86,706,volatile,0.0
44,0.0,1,0.03,0.53,754,volatile,0.0
