,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,0.89,0.99,1116,volatile,0.0
1,1.0,0,0.96,0.96,371,volatile,0.0
2,1.0,0,0.58,0.58,534,volatile,0.0
3,1.0,0,0.52,0.33,754,volatile,0.0
4,0.0,1,0.02,0.92,677,volatile,0.0
5,0.0,0,0.93,0.34,801,volatile,0.0
6,0.0,0,0.08,0.28,759,volatile,0.0
7,0.0,0,0.44,0.91,628,volatile,0.0
8,1.0,0,0.6,0.78,699,volatile,0.0
9,1.0,1,0.35,0.42,564,volatile,0.0
10,1.0,0,0.5,0.82,747,volatile,0.0
11,0.0,0,0.42,0.39,586,volatile,0.0
12,0.0,0,0.29,0.54,551,volatile,0.0
13,0.0,0,0.85,0.05,554,volatile,0.0
14,1.0,0,0.96,0.99,600,volatile,0.0
15,1.0,1,0.74,0.48,601,volatile,0.0
16,0.0,0,0.95,0.93,705,volatile,0.0
17,0.0,0,0.33,0.68,616,volatile,0.0
18,0.0,0,0.87,0.46,618,volatile,0.0
19,0.0,0,0.85,0.98,580,volatile,0.0
20,1.0,1,0.24,0.3,654,volatile,0.0
21,0.0,1,0.36,0.32,485,volatile,0.0
22,0.0,0,0.19,0.6,1296,volatile,0.0
23,0.0,1,0.57,0.91,639,volatile,0.0
24,1.0,0,0.44,0.37,532,volatile,0.0
25,1.0,1,0.45,0.28,969,volatile,0.0
26,1.0,1,0.52,0.51,636,volatile,0.0
27,0.0,1,0.72,0.55,533,volatile,0.0
28,0.0,1,0.72,0.99,737,volatile,0.0
29,0.0,1,0.07,0.71,592,volatile,0.0
30,0.0,1,0.41,0.77,705,volatile,0.0
31,0.0,1,0.89,0.71,670,volatile,0.0
32,0.0,1,0.56,0.72,1064,volatile,0.0
33,0.0,1,0.41,0.71,695,volatile,0.0
34,0.0,0,0.99,0.86,784,volatile,0.0
35,1.0,1,0.61,0.98,628,volatile,0.0
36,1.0,0,0.58,0.42,504,volatile,0.0
37,1.0,0,0.72,0.68,661,volatile,0.0
38,1.0,0,0.56,0.46,602,volatile,0.0
39,0.0,0,0.4,0.41,670,volatile,0.0
40,0.0,0,0.71,0.53,557,volatile,0.0
41,0.0,0,0.78,0.86,554,volatile,0.0
42,1.0,0,0.33,0.33,600,volatile,0.0
43,0.0,1,0.95,0.86,566,volatile,0.0
44,1.0,1,0.03,0.53,569,volatile,0.0
45,0.0,0,0.34,0.92,1326,volatile,0.0
46,0.0,0,0.31,0.29,773,volatile,0.0
47,1.0,0,0.72,0.93,519,volatile,0.0
48,0.0,0,0.42,0.86,555,volatile,0.0
49,0.0,0,0.91,0.32,500,volatile,0.0
50,1.0,1,0.64,0.13,470,volatile,0.0
51,1.0,0,0.45,0.67,538,volatile,0.0
52,0.0,0,0.46,0.79,591,volatile,0.0
53,0.0,0,0.88,0.39,582,volatile,0.0
54,0.0,0,0.38,0.39,570,volatile,0.0
55,0.0,0,0.71,0.85,657,volatile,0.0
56,1.0,0,0.32,0.1,587,volatile,0.0
57,0.0,1,0.86,0.45,552,volatile,0.0
58,1.0,0,0.92,0.83,602,volatile,0.0
59,0.0,1,0.16,0.84,562,volatile,0.0
60,1.0,0,0.34,0.89,565,volatile,1.0
61,1.0,1,0.35,0.75,569,volatile,1.0
62,0.0,1,0.92,0.68,578,volatile,1.0
63,1.0,1,0.25,0.13,554,volatile,1.0
64,1.0,1,0.77,0.74,531,volatile,1.0
65,1.0,1,0.13,0.62,517,volatile,1.0
66,1.0,0,0.65,0.73,524,volatile,1.0
67,0.0,0,0.37,0.95,568,volatile,1.0
68,0.0,0,0.96,0.63,570,volatile,1.0
69,0.0,1,0.39,0.47,550,volatile,1.0
70,0.0,1,0.59,0.49,542,volatile,1.0
71,1.0,1,0.43,0.87,569,volatile,1.0
72,1.0,1,0.04,0.82,539,volatile,1.0
73,1.0,1,0.27,0.61,631,volatile,1.0
74,1.0,1,0.36,0.57,724,volatile,1.0
75,0.0,1,0.25,0.67,594,volatile,1.0
76,0.0,1,0.83,0.51,537,volatile,1.0
77,0.0,1,0.38,0.87,553,volatile,1.0
78,0.0,1,0.78,0.3,547,volatile,1.0
79,0.0,1,0.95,0.84,581,volatile,1.0
80,0.0,0,0.93,0.68,511,volatile,1.0
81,0.0,0,0.54,0.3,511,volatile,1.0
82,1.0,0,0.72,0.91,568,volatile,1.0
83,0.0,1,0.02,0.77,570,volatile,1.0
84,0.0,1,0.49,0.53,553,volatile,1.0
85,0.0,0,0.56,0.51,563,volatile,1.0
86,0.0,0,0.54,0.49,620,volatile,1.0
87,1.0,0,0.51,0.85,405,volatile,1.0
88,0.0,0,0.06,0.88,647,volatile,1.0
89,0.0,0,0.84,0.93,521,volatile,1.0
90,1.0,1,0.84,0.97,862,stable,1.0
91,0.0,1,0.8,0.32,502,stable,1.0
92,1.0,1,0.12,0.58,561,stable,1.0
93,1.0,0,0.72,0.17,531,stable,1.0
94,1.0,1,0.98,0.72,601,stable,1.0
95,,1,0.1,0.63,6262,stable,1.0
96,,1,0.83,0.35,6264,stable,1.0
97,,0,0.29,0.49,6263,stable,1.0
98,,1,0.06,0.98,6257,stable,1.0
99,,0,0.95,0.54,6257,stable,1.0
100,,1,0.8,0.64,6262,stable,1.0
101,,1,0.55,0.36,6258,stable,1.0
102,,0,0.22,0.98,6258,stable,1.0
103,,0,0.31,0.14,6267,stable,1.0
104,,1,0.6,0.28,6264,stable,1.0
105,,0,0.68,0.73,6255,stable,1.0
106,,0,0.6,0.46,6266,stable,1.0
107,,1,0.32,0.85,6261,stable,1.0
108,,1,0.88,0.99,6261,stable,1.0
109,,1,0.97,0.87,6254,stable,1.0
110,,0,0.92,0.41,6252,stable,1.0
111,,1,0.36,0.32,6253,stable,1.0
112,,1,0.13,0.59,6261,stable,1.0
113,,0,0.5,0.8,6254,stable,1.0
114,,0,0.49,0.61,6261,stable,1.0
115,,1,0.92,0.87,6253,stable,1.0
116,,1,0.28,0.95,6253,stable,1.0
117,,1,0.64,0.33,6252,stable,1.0
118,,1,0.59,0.97,6254,stable,1.0
119,,1,0.44,0.52,6265,stable,1.0
120,,0,0.9,0.2,6260,stable,2.0
121,,1,0.13,0.65,6252,stable,2.0
122,,1,0.47,0.69,6252,stable,2.0
123,,0,0.33,0.38,6253,stable,2.0
124,,1,0.21,0.71,6252,stable,2.0
125,,1,0.81,0.55,6251,stable,2.0
126,,0,0.83,0.05,6255,stable,2.0
127,,1,0.75,0.71,6262,stable,2.0
128,,1,0.79,0.73,6265,stable,2.0
129,,1,0.93,0.2,6254,stable,2.0
130,,1,0.8,0.89,6255,stable,2.0
131,,0,0.9,0.1,6256,stable,2.0
132,,1,0.63,0.17,6260,stable,2.0
133,,0,0.74,0.05,6271,stable,2.0
134,,1,0.4,0.62,6253,stable,2.0
135,,1,0.17,0.43,6253,stable,2.0
136,,1,0.3,0.9,8217,stable,2.0
137,,0,0.9,0.56,7001,stable,2.0
138,,1,0.88,0.37,7001,stable,2.0
139,,1,0.4,0.38,6999,stable,2.0
140,,1,0.5,0.54,7001,stable,2.0
141,,0,0.56,0.07,6998,stable,2.0
142,,0,0.9,0.61,7000,stable,2.0
143,,0,0.82,0.12,6997,stable,2.0
144,,1,0.9,0.19,6954,stable,2.0
145,,1,0.46,0.51,6998,stable,2.0
146,,1,0.85,0.51,7002,stable,2.0
147,,1,0.65,0.41,7004,stable,2.0
148,,0,0.31,0.64,7003,stable,2.0
149,,1,0.07,0.76,7002,stable,2.0
150,,1,0.13,0.65,7033,stable,2.0
151,,1,0.94,0.74,7003,stable,2.0
152,,0,0.87,0.37,7002,stable,2.0
153,,1,0.43,0.4,6976,stable,2.0
154,0.0,1,0.25,0.58,5362,stable,2.0
155,1.0,1,0.78,0.1,614,stable,2.0
156,1.0,1,0.33,0.83,455,stable,2.0
157,1.0,0,0.63,0.07,617,stable,2.0
158,1.0,1,0.71,0.59,686,stable,2.0
159,1.0,1,0.89,0.56,516,stable,2.0
160,0.0,1,0.44,0.91,538,stable,2.0
161,0.0,1,0.96,0.22,608,stable,2.0
162,1.0,1,0.55,0.3,538,stable,2.0
163,0.0,0,0.69,0.86,532,stable,2.0
164,1.0,0,0.45,0.91,485,stable,2.0
165,0.0,0,0.87,0.09,685,stable,2.0
166,0.0,1,0.45,0.87,535,stable,2.0
167,0.0,1,0.55,0.92,765,stable,2.0
168,0.0,1,0.57,0.9,471,stable,2.0
169,0.0,1,0.33,0.67,459,stable,2.0
170,0.0,1,0.52,0.39,534,stable,2.0
171,0.0,1,0.9,0.83,604,stable,2.0
172,1.0,0,0.23,0.38,531,stable,2.0
173,1.0,1,0.45,0.59,469,stable,2.0
174,1.0,1,0.6,0.25,529,stable,2.0
175,1.0,1,0.81,0.94,482,stable,2.0
