,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.84,0.97,1321,stable,0.0
1,0.0,1,0.8,0.32,2361,stable,0.0
2,0.0,1,0.12,0.58,1188,stable,0.0
3,0.0,0,0.72,0.17,754,stable,0.0
4,0.0,1,0.98,0.72,1579,stable,0.0
5,0.0,1,0.1,0.63,783,stable,0.0
6,0.0,1,0.83,0.35,1130,stable,0.0
7,0.0,0,0.29,0.49,878,stable,0.0
8,0.0,1,0.06,0.98,970,stable,0.0
9,0.0,0,0.95,0.54,1560,stable,0.0
10,0.0,1,0.8,0.64,1161,stable,0.0
11,0.0,1,0.55,0.36,1386,stable,0.0
12,0.0,0,0.22,0.98,1234,stable,0.0
13,0.0,0,0.31,0.14,1792,stable,0.0
14,0.0,1,0.6,0.28,1330,stable,0.0
15,0.0,0,0.68,0.73,1404,stable,0.0
16,1.0,0,0.6,0.46,2218,stable,0.0
17,1.0,1,0.32,0.85,1439,stable,0.0
18,1.0,1,0.88,0.99,1364,stable,0.0
19,1.0,1,0.97,0.87,1184,stable,0.0
20,1.0,0,0.92,0.41,1273,stable,0.0
21,0.0,1,0.36,0.32,722,stable,0.0
22,1.0,1,0.13,0.59,1150,stable,0.0
23,1.0,0,0.5,0.8,1222,stable,0.0
24,0.0,0,0.49,0.61,1068,stable,0.0
25,0.0,1,0.92,0.87,1606,stable,0.0
26,1.0,1,0.28,0.95,649,stable,0.0
27,1.0,1,0.64,0.33,1343,stable,0.0
28,1.0,1,0.59,0.97,1037,stable,0.0
29,1.0,1,0.44,0.52,1227,stable,0.0
30,1.0,0,0.9,0.2,1672,stable,0.0
31,1.0,1,0.13,0.65,709,stable,0.0
32,1.0,1,0.47,0.69,1089,stable,0.0
33,1.0,0,0.33,0.38,1024,stable,0.0
34,1.0,1,0.21,0.71,1658,stable,0.0
35,1.0,1,0.81,0.55,1107,stable,0.0
36,1.0,0,0.83,0.05,1364,stable,0.0
37,1.0,1,0.75,0.71,1553,stable,0.0
38,0.0,1,0.79,0.73,924,stable,0.0
39,0.0,1,0.93,0.2,968,stable,0.0
40,1.0,1,0.8,0.89,565,stable,0.0
41,1.0,0,0.9,0.1,1293,stable,0.0
42,1.0,1,0.63,0.17,1702,stable,0.0
43,1.0,0,0.74,0.05,1181,stable,0.0
44,0.0,1,0.4,0.62,1219,stable,0.0
45,1.0,1,0.17,0.43,2293,stable,0.0
46,1.0,1,0.3,0.9,1459,stable,0.0
47,1.0,0,0.9,0.56,854,stable,0.0
48,0.0,1,0.88,0.37,1092,stable,0.0
49,1.0,1,0.4,0.38,731,stable,0.0
50,0.0,1,0.5,0.54,1725,stable,0.0
51,1.0,0,0.56,0.07,1258,stable,0.0
52,1.0,0,0.9,0.61,607,stable,0.0
53,1.0,0,0.82,0.12,736,stable,0.0
54,1.0,1,0.9,0.19,991,stable,0.0
55,1.0,1,0.46,0.51,892,stable,0.0
56,1.0,1,0.85,0.51,763,stable,0.0
57,0.0,1,0.65,0.41,1419,stable,0.0
58,1.0,0,0.31,0.64,1279,stable,0.0
59,0.0,1,0.07,0.76,1473,stable,0.0
60,0.0,1,0.13,0.65,955,stable,1.0
61,1.0,1,0.94,0.74,638,stable,1.0
62,1.0,0,0.87,0.37,792,stable,1.0
63,1.0,1,0.43,0.4,1319,stable,1.0
64,1.0,1,0.25,0.58,991,stable,1.0
65,1.0,1,0.78,0.1,998,stable,1.0
66,1.0,1,0.33,0.83,1274,stable,1.0
67,1.0,0,0.63,0.07,841,stable,1.0
68,1.0,1,0.71,0.59,1134,stable,1.0
69,0.0,1,0.89,0.56,1340,stable,1.0
70,1.0,1,0.44,0.91,1195,stable,1.0
71,1.0,1,0.96,0.22,837,stable,1.0
72,1.0,1,0.55,0.3,837,stable,1.0
73,1.0,0,0.69,0.86,1474,stable,1.0
74,1.0,0,0.45,0.91,982,stable,1.0
75,1.0,0,0.87,0.09,1299,stable,1.0
76,1.0,1,0.45,0.87,1213,stable,1.0
77,1.0,1,0.55,0.92,2156,stable,1.0
78,1.0,1,0.57,0.9,1045,stable,1.0
79,1.0,1,0.33,0.67,2392,stable,1.0
80,1.0,1,0.52,0.39,685,stable,1.0
81,1.0,1,0.9,0.83,1155,stable,1.0
82,0.0,0,0.23,0.38,1375,stable,1.0
83,1.0,1,0.45,0.59,910,stable,1.0
84,1.0,1,0.6,0.25,1508,stable,1.0
85,1.0,1,0.81,0.94,1467,stable,1.0
