,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.84,0.97,1433,stable,0.0
1,1.0,1,0.8,0.32,809,stable,0.0
2,1.0,1,0.12,0.58,783,stable,0.0
3,1.0,0,0.72,0.17,602,stable,0.0
4,0.0,1,0.98,0.72,945,stable,0.0
5,1.0,1,0.1,0.63,673,stable,0.0
6,1.0,1,0.83,0.35,574,stable,0.0
7,1.0,0,0.29,0.49,649,stable,0.0
8,0.0,1,0.06,0.98,981,stable,0.0
9,1.0,0,0.95,0.54,711,stable,0.0
10,0.0,1,0.8,0.64,768,stable,0.0
11,1.0,1,0.55,0.36,800,stable,0.0
12,1.0,0,0.22,0.98,664,stable,0.0
13,1.0,0,0.31,0.14,700,stable,0.0
14,0.0,1,0.6,0.28,498,stable,0.0
15,1.0,0,0.68,0.73,728,stable,0.0
16,0.0,0,0.6,0.46,633,stable,0.0
17,0.0,1,0.32,0.85,629,stable,0.0
18,1.0,1,0.88,0.99,905,stable,0.0
19,0.0,1,0.97,0.87,1148,stable,0.0
20,1.0,0,0.92,0.41,604,stable,0.0
21,1.0,1,0.36,0.32,927,stable,0.0
22,0.0,1,0.13,0.59,1235,stable,0.0
23,1.0,0,0.5,0.8,1229,stable,0.0
24,0.0,0,0.49,0.61,1384,stable,0.0
25,1.0,1,0.92,0.87,1614,stable,0.0
26,0.0,1,0.28,0.95,1001,stable,0.0
27,0.0,1,0.64,0.33,870,stable,0.0
28,0.0,1,0.59,0.97,1057,stable,0.0
29,0.0,1,0.44,0.52,1176,stable,0.0
30,1.0,0,0.9,0.2,1457,stable,0.0
31,1.0,1,0.13,0.65,648,stable,0.0
32,0.0,1,0.47,0.69,1645,stable,0.0
33,1.0,0,0.33,0.38,1577,stable,0.0
34,0.0,1,0.21,0.71,1451,stable,0.0
35,0.0,1,0.81,0.55,1099,stable,0.0
36,0.0,0,0.83,0.05,1258,stable,0.0
37,1.0,1,0.75,0.71,1469,stable,0.0
38,0.0,1,0.79,0.73,2085,stable,0.0
39,1.0,1,0.93,0.2,1548,stable,0.0
40,0.0,1,0.8,0.89,1430,stable,0.0
41,1.0,0,0.9,0.1,1141,stable,0.0
42,1.0,1,0.63,0.17,1349,stable,0.0
