,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,0.89,0.99,655,volatile,0.0
1,1.0,0,0.96,0.96,669,volatile,0.0
2,1.0,0,0.58,0.58,689,volatile,0.0
3,0.0,0,0.52,0.33,646,volatile,0.0
4,0.0,1,0.02,0.92,574,volatile,0.0
5,0.0,0,0.93,0.34,761,volatile,0.0
6,0.0,0,0.08,0.28,625,volatile,0.0
7,0.0,0,0.44,0.91,530,volatile,0.0
8,0.0,0,0.6,0.78,519,volatile,0.0
9,0.0,1,0.35,0.42,458,volatile,0.0
10,0.0,0,0.5,0.82,523,volatile,0.0
11,0.0,0,0.42,0.39,566,volatile,0.0
12,0.0,0,0.29,0.54,729,volatile,0.0
13,0.0,0,0.85,0.05,547,volatile,0.0
14,0.0,0,0.96,0.99,552,volatile,0.0
15,0.0,1,0.74,0.48,507,volatile,0.0
16,0.0,0,0.95,0.93,520,volatile,0.0
17,0.0,0,0.33,0.68,506,volatile,0.0
18,0.0,0,0.87,0.46,498,volatile,0.0
19,0.0,0,0.85,0.98,561,volatile,0.0
20,0.0,1,0.24,0.3,538,volatile,0.0
21,0.0,1,0.36,0.32,514,volatile,0.0
22,0.0,0,0.19,0.6,491,volatile,0.0
23,0.0,1,0.57,0.91,665,volatile,0.0
24,0.0,0,0.44,0.37,642,volatile,0.0
25,0.0,1,0.45,0.28,601,volatile,0.0
26,0.0,1,0.52,0.51,473,volatile,0.0
27,0.0,1,0.72,0.55,512,volatile,0.0
28,1.0,1,0.72,0.99,480,volatile,0.0
29,1.0,1,0.07,0.71,482,volatile,0.0
30,1.0,1,0.41,0.77,483,volatile,0.0
31,1.0,1,0.89,0.71,497,volatile,0.0
32,1.0,1,0.56,0.72,442,volatile,0.0
33,1.0,1,0.41,0.71,483,volatile,0.0
34,1.0,0,0.99,0.86,458,volatile,0.0
35,1.0,1,0.61,0.98,474,volatile,0.0
36,1.0,0,0.58,0.42,521,volatile,0.0
37,0.0,0,0.72,0.68,498,volatile,0.0
38,0.0,0,0.56,0.46,474,volatile,0.0
39,0.0,0,0.4,0.41,465,volatile,0.0
40,0.0,0,0.71,0.53,434,volatile,0.0
41,0.0,0,0.78,0.86,521,volatile,0.0
42,1.0,0,0.33,0.33,554,volatile,0.0
43,0.0,1,0.95,0.86,475,volatile,0.0
44,0.0,1,0.03,0.53,472,volatile,0.0
45,1.0,0,0.34,0.92,1248,volatile,0.0
46,1.0,0,0.31,0.29,2840,volatile,0.0
47,0.0,0,0.72,0.93,809,volatile,0.0
48,0.0,0,0.42,0.86,496,volatile,0.0
49,0.0,0,0.91,0.32,521,volatile,0.0
50,0.0,1,0.64,0.13,663,volatile,0.0
51,1.0,0,0.45,0.67,539,volatile,0.0
52,0.0,0,0.46,0.79,473,volatile,0.0
53,0.0,0,0.88,0.39,794,volatile,0.0
54,0.0,0,0.38,0.39,529,volatile,0.0
55,0.0,0,0.71,0.85,522,volatile,0.0
56,0.0,0,0.32,0.1,585,volatile,0.0
57,0.0,1,0.86,0.45,514,volatile,0.0
58,0.0,0,0.92,0.83,707,volatile,0.0
59,0.0,1,0.16,0.84,625,volatile,0.0
60,0.0,0,0.34,0.89,618,volatile,1.0
61,0.0,1,0.35,0.75,594,volatile,1.0
62,0.0,1,0.92,0.68,522,volatile,1.0
63,1.0,1,0.25,0.13,475,volatile,1.0
64,1.0,1,0.77,0.74,498,volatile,1.0
65,1.0,1,0.13,0.62,632,volatile,1.0
66,1.0,0,0.65,0.73,563,volatile,1.0
67,0.0,0,0.37,0.95,481,volatile,1.0
68,0.0,0,0.96,0.63,530,volatile,1.0
69,0.0,1,0.39,0.47,474,volatile,1.0
70,0.0,1,0.59,0.49,537,volatile,1.0
71,0.0,1,0.43,0.87,592,volatile,1.0
72,1.0,1,0.04,0.82,642,volatile,1.0
73,1.0,1,0.27,0.61,450,volatile,1.0
74,1.0,1,0.36,0.57,451,volatile,1.0
75,1.0,1,0.25,0.67,500,volatile,1.0
76,1.0,1,0.83,0.51,567,volatile,1.0
77,1.0,1,0.38,0.87,538,volatile,1.0
78,1.0,1,0.78,0.3,538,volatile,1.0
79,1.0,1,0.95,0.84,651,volatile,1.0
80,1.0,0,0.93,0.68,554,volatile,1.0
81,1.0,0,0.54,0.3,697,volatile,1.0
82,1.0,0,0.72,0.91,618,volatile,1.0
83,0.0,1,0.02,0.77,718,volatile,1.0
84,0.0,1,0.49,0.53,783,volatile,1.0
85,1.0,0,0.56,0.51,586,volatile,1.0
86,0.0,0,0.54,0.49,1090,volatile,1.0
87,1.0,0,0.51,0.85,939,volatile,1.0
88,1.0,0,0.06,0.88,866,volatile,1.0
89,0.0,0,0.84,0.93,434,volatile,1.0
90,0.0,1,0.84,0.97,1296,stable,1.0
91,1.0,1,0.8,0.32,696,stable,1.0
92,1.0,1,0.12,0.58,608,stable,1.0
93,1.0,0,0.72,0.17,513,stable,1.0
94,1.0,1,0.98,0.72,522,stable,1.0
95,1.0,1,0.1,0.63,594,stable,1.0
96,1.0,1,0.83,0.35,570,stable,1.0
97,1.0,0,0.29,0.49,731,stable,1.0
98,0.0,1,0.06,0.98,571,stable,1.0
99,0.0,0,0.95,0.54,705,stable,1.0
100,0.0,1,0.8,0.64,617,stable,1.0
101,0.0,1,0.55,0.36,682,stable,1.0
102,0.0,0,0.22,0.98,634,stable,1.0
103,0.0,0,0.31,0.14,667,stable,1.0
104,0.0,1,0.6,0.28,686,stable,1.0
105,1.0,0,0.68,0.73,806,stable,1.0
106,0.0,0,0.6,0.46,617,stable,1.0
107,0.0,1,0.32,0.85,612,stable,1.0
108,0.0,1,0.88,0.99,511,stable,1.0
109,1.0,1,0.97,0.87,610,stable,1.0
110,1.0,0,0.92,0.41,562,stable,1.0
111,1.0,1,0.36,0.32,611,stable,1.0
112,1.0,1,0.13,0.59,634,stable,1.0
113,1.0,0,0.5,0.8,498,stable,1.0
114,1.0,0,0.49,0.61,587,stable,1.0
115,1.0,1,0.92,0.87,635,stable,1.0
116,1.0,1,0.28,0.95,521,stable,1.0
117,1.0,1,0.64,0.33,714,stable,1.0
118,1.0,1,0.59,0.97,619,stable,1.0
119,1.0,1,0.44,0.52,553,stable,1.0
120,1.0,0,0.9,0.2,596,stable,2.0
121,1.0,1,0.13,0.65,577,stable,2.0
122,1.0,1,0.47,0.69,596,stable,2.0
123,1.0,0,0.33,0.38,520,stable,2.0
124,1.0,1,0.21,0.71,595,stable,2.0
125,1.0,1,0.81,0.55,587,stable,2.0
126,1.0,0,0.83,0.05,524,stable,2.0
127,0.0,1,0.75,0.71,632,stable,2.0
128,0.0,1,0.79,0.73,571,stable,2.0
129,1.0,1,0.93,0.2,746,stable,2.0
130,0.0,1,0.8,0.89,914,stable,2.0
131,1.0,0,0.9,0.1,547,stable,2.0
132,0.0,1,0.63,0.17,763,stable,2.0
133,1.0,0,0.74,0.05,729,stable,2.0
134,1.0,1,0.4,0.62,529,stable,2.0
135,1.0,1,0.17,0.43,1590,stable,2.0
136,1.0,1,0.3,0.9,978,stable,2.0
137,1.0,0,0.9,0.56,554,stable,2.0
138,1.0,1,0.88,0.37,499,stable,2.0
139,1.0,1,0.4,0.38,531,stable,2.0
140,1.0,1,0.5,0.54,509,stable,2.0
141,1.0,0,0.56,0.07,562,stable,2.0
142,1.0,0,0.9,0.61,698,stable,2.0
143,0.0,0,0.82,0.12,802,stable,2.0
144,0.0,1,0.9,0.19,594,stable,2.0
145,0.0,1,0.46,0.51,587,stable,2.0
146,1.0,1,0.85,0.51,602,stable,2.0
147,1.0,1,0.65,0.41,562,stable,2.0
148,1.0,0,0.31,0.64,498,stable,2.0
149,0.0,1,0.07,0.76,618,stable,2.0
