,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.89,0.99,1493,volatile,0.0
1,1.0,0,0.96,0.96,1803,volatile,0.0
2,1.0,0,0.58,0.58,1765,volatile,0.0
3,0.0,0,0.52,0.33,883,volatile,0.0
4,0.0,1,0.02,0.92,1364,volatile,0.0
5,1.0,0,0.93,0.34,686,volatile,0.0
6,0.0,0,0.08,0.28,1625,volatile,0.0
7,0.0,0,0.44,0.91,793,volatile,0.0
8,0.0,0,0.6,0.78,1124,volatile,0.0
9,0.0,1,0.35,0.42,1215,volatile,0.0
10,0.0,0,0.5,0.82,1352,volatile,0.0
11,1.0,0,0.42,0.39,1006,volatile,0.0
12,0.0,0,0.29,0.54,1008,volatile,0.0
13,1.0,0,0.85,0.05,833,volatile,0.0
14,0.0,0,0.96,0.99,1367,volatile,0.0
15,1.0,1,0.74,0.48,1476,volatile,0.0
16,1.0,0,0.95,0.93,1072,volatile,0.0
17,0.0,0,0.33,0.68,1069,volatile,0.0
18,1.0,0,0.87,0.46,1104,volatile,0.0
19,0.0,0,0.85,0.98,1216,volatile,0.0
20,1.0,1,0.24,0.3,1866,volatile,0.0
21,0.0,1,0.36,0.32,1141,volatile,0.0
22,0.0,0,0.19,0.6,1590,volatile,0.0
23,0.0,1,0.57,0.91,1078,volatile,0.0
24,1.0,0,0.44,0.37,2372,volatile,0.0
25,0.0,1,0.45,0.28,1028,volatile,0.0
26,1.0,1,0.52,0.51,855,volatile,0.0
27,1.0,1,0.72,0.55,720,volatile,0.0
28,1.0,1,0.72,0.99,820,volatile,0.0
29,0.0,1,0.07,0.71,1650,volatile,0.0
30,0.0,1,0.41,0.77,980,volatile,0.0
31,1.0,1,0.89,0.71,1190,volatile,0.0
32,0.0,1,0.56,0.72,1323,volatile,0.0
33,0.0,1,0.41,0.71,984,volatile,0.0
34,0.0,0,0.99,0.86,1590,volatile,0.0
35,1.0,1,0.61,0.98,1265,volatile,0.0
36,0.0,0,0.58,0.42,1687,volatile,0.0
37,1.0,0,0.72,0.68,1592,volatile,0.0
38,0.0,0,0.56,0.46,1117,volatile,0.0
39,1.0,0,0.4,0.41,1295,volatile,0.0
40,0.0,0,0.71,0.53,1953,volatile,0.0
41,0.0,0,0.78,0.86,1396,volatile,0.0
42,1.0,0,0.33,0.33,946,volatile,0.0
43,0.0,1,0.95,0.86,1641,volatile,0.0
