,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,0.84,0.97,935,stable,0.0
1,1.0,1,0.8,0.32,957,stable,0.0
2,0.0,1,0.12,0.58,828,stable,0.0
3,1.0,0,0.72,0.17,698,stable,0.0
4,1.0,1,0.98,0.72,562,stable,0.0
5,1.0,1,0.1,0.63,930,stable,0.0
6,1.0,1,0.83,0.35,812,stable,0.0
7,0.0,0,0.29,0.49,1067,stable,0.0
8,0.0,1,0.06,0.98,746,stable,0.0
9,1.0,0,0.95,0.54,731,stable,0.0
10,1.0,1,0.8,0.64,745,stable,0.0
11,1.0,1,0.55,0.36,793,stable,0.0
12,0.0,0,0.22,0.98,778,stable,0.0
13,1.0,0,0.31,0.14,643,stable,0.0
14,1.0,1,0.6,0.28,632,stable,0.0
15,0.0,0,0.68,0.73,667,stable,0.0
16,0.0,0,0.6,0.46,852,stable,0.0
17,0.0,1,0.32,0.85,825,stable,0.0
18,1.0,1,0.88,0.99,809,stable,0.0
19,1.0,1,0.97,0.87,655,stable,0.0
20,1.0,0,0.92,0.41,897,stable,0.0
21,0.0,1,0.36,0.32,851,stable,0.0
22,0.0,1,0.13,0.59,697,stable,0.0
23,1.0,0,0.5,0.8,520,stable,0.0
24,1.0,0,0.49,0.61,660,stable,0.0
25,0.0,1,0.92,0.87,481,stable,0.0
26,0.0,1,0.28,0.95,610,stable,0.0
27,0.0,1,0.64,0.33,692,stable,0.0
28,1.0,1,0.59,0.97,514,stable,0.0
29,0.0,1,0.44,0.52,780,stable,0.0
30,1.0,0,0.9,0.2,529,stable,0.0
31,1.0,1,0.13,0.65,564,stable,0.0
32,1.0,1,0.47,0.69,735,stable,0.0
33,1.0,0,0.33,0.38,621,stable,0.0
34,1.0,1,0.21,0.71,642,stable,0.0
35,1.0,1,0.81,0.55,867,stable,0.0
36,1.0,0,0.83,0.05,548,stable,0.0
37,1.0,1,0.75,0.71,539,stable,0.0
38,1.0,1,0.79,0.73,731,stable,0.0
39,1.0,1,0.93,0.2,674,stable,0.0
40,1.0,1,0.8,0.89,898,stable,0.0
41,1.0,0,0.9,0.1,857,stable,0.0
42,1.0,1,0.63,0.17,746,stable,0.0
43,1.0,0,0.74,0.05,803,stable,0.0
44,0.0,1,0.4,0.62,914,stable,0.0
45,0.0,1,0.17,0.43,1686,stable,0.0
46,1.0,1,0.3,0.9,565,stable,0.0
