,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,0,0.2,0.01,1794,volatile,0.0
1,1.0,0,0.43,0.12,1241,volatile,0.0
2,0.0,0,0.21,0.9,1010,volatile,0.0
3,0.0,1,0.26,0.62,1435,volatile,0.0
4,1.0,0,0.95,0.19,1030,volatile,0.0
5,0.0,0,0.1,0.61,918,volatile,0.0
6,1.0,0,0.9,0.12,1015,volatile,0.0
7,1.0,0,0.47,0.99,939,volatile,0.0
8,1.0,0,0.08,0.06,859,volatile,0.0
9,0.0,0,0.29,0.81,707,volatile,0.0
10,0.0,0,0.49,0.34,735,volatile,0.0
11,0.0,0,0.74,0.99,860,volatile,0.0
12,1.0,0,0.8,0.87,644,volatile,0.0
13,0.0,0,0.02,0.28,700,volatile,0.0
14,0.0,0,0.4,0.81,798,volatile,0.0
15,0.0,0,0.45,0.78,493,volatile,0.0
16,1.0,1,0.28,0.28,560,volatile,0.0
17,0.0,1,0.35,0.22,1378,volatile,0.0
18,0.0,1,0.39,0.94,1207,volatile,0.0
19,0.0,0,0.72,0.43,707,volatile,0.0
20,0.0,1,0.35,0.59,713,volatile,0.0
21,0.0,1,0.85,0.83,781,volatile,0.0
22,1.0,1,0.89,0.81,838,volatile,0.0
23,0.0,1,0.93,0.99,2526,volatile,0.0
24,1.0,1,0.42,0.5,877,volatile,0.0
25,0.0,0,0.46,0.73,1266,volatile,0.0
26,,1,0.5,0.51,6260,volatile,0.0
27,1.0,1,0.74,0.03,2261,volatile,0.0
28,0.0,1,0.85,0.32,1358,volatile,0.0
29,0.0,1,0.3,0.68,840,volatile,0.0
30,0.0,0,0.12,0.25,733,volatile,0.0
31,0.0,1,0.52,0.46,766,volatile,0.0
32,1.0,1,0.87,0.12,1515,volatile,0.0
33,0.0,1,0.29,0.76,986,volatile,0.0
34,0.0,0,0.42,0.82,704,volatile,0.0
35,0.0,1,0.65,0.39,567,volatile,0.0
36,1.0,0,0.26,0.24,971,volatile,0.0
37,0.0,0,0.5,0.4,760,volatile,0.0
38,0.0,0,0.61,0.66,477,volatile,0.0
39,0.0,0,0.14,0.95,540,volatile,0.0
40,0.0,0,0.11,0.33,546,volatile,0.0
41,0.0,0,0.68,0.4,990,volatile,0.0
42,0.0,0,0.3,0.45,584,volatile,0.0
43,0.0,1,0.7,0.52,498,volatile,0.0
44,0.0,0,0.64,0.79,797,volatile,0.0
45,0.0,0,0.19,0.67,3172,volatile,0.0
46,,0,0.22,0.11,6251,volatile,0.0
47,0.0,1,0.21,0.1,762,volatile,0.0
48,0.0,0,0.13,0.76,1281,volatile,0.0
49,0.0,0,0.61,0.28,554,volatile,0.0
50,0.0,1,0.74,0.56,598,volatile,0.0
51,,0,0.34,0.39,6250,volatile,0.0
52,0.0,0,0.18,0.89,1435,volatile,0.0
53,0.0,0,0.78,0.54,472,volatile,0.0
54,1.0,0,0.87,0.02,1367,volatile,0.0
55,0.0,1,0.27,0.19,6000,volatile,0.0
56,0.0,1,0.32,0.28,1214,volatile,0.0
57,0.0,0,0.85,0.17,706,volatile,0.0
58,0.0,0,0.17,0.57,594,volatile,0.0
59,0.0,0,0.21,0.88,572,volatile,0.0
60,0.0,1,0.46,0.19,587,volatile,1.0
61,0.0,1,0.06,0.53,616,volatile,1.0
62,0.0,1,0.69,0.55,558,volatile,1.0
63,0.0,1,0.81,0.89,449,volatile,1.0
64,1.0,1,0.83,0.54,1095,volatile,1.0
65,0.0,1,0.39,0.7,1360,volatile,1.0
66,1.0,1,0.5,0.36,1155,volatile,1.0
67,1.0,1,0.8,0.17,878,volatile,1.0
68,1.0,1,0.44,0.3,1128,volatile,1.0
69,0.0,1,0.22,0.59,870,volatile,1.0
70,1.0,1,0.75,0.65,1402,volatile,1.0
71,0.0,1,0.34,0.71,1538,volatile,1.0
72,1.0,0,0.78,0.53,1295,volatile,1.0
73,0.0,1,0.59,0.83,1385,volatile,1.0
74,1.0,0,0.71,0.21,1380,volatile,1.0
75,1.0,1,0.78,0.78,1041,volatile,1.0
76,0.0,1,0.47,0.83,1643,volatile,1.0
77,1.0,1,0.59,0.47,1474,volatile,1.0
78,0.0,0,0.42,0.87,1532,volatile,1.0
79,1.0,1,0.15,0.15,1632,volatile,1.0
80,0.0,0,0.02,0.19,1860,volatile,1.0
81,0.0,0,0.04,0.36,1090,volatile,1.0
82,1.0,0,0.36,0.07,1228,volatile,1.0
83,1.0,0,0.72,0.62,1720,volatile,1.0
84,0.0,1,0.32,0.4,2564,volatile,1.0
85,1.0,0,0.62,0.35,3282,volatile,1.0
86,1.0,0,0.91,0.9,1934,volatile,1.0
