,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,0.89,0.99,793,volatile,0.0
1,1.0,0,0.96,0.96,528,volatile,0.0
2,1.0,0,0.58,0.58,1083,volatile,0.0
3,0.0,0,0.52,0.33,725,volatile,0.0
4,1.0,1,0.02,0.92,794,volatile,0.0
5,1.0,0,0.93,0.34,771,volatile,0.0
6,0.0,0,0.08,0.28,743,volatile,0.0
7,0.0,0,0.44,0.91,522,volatile,0.0
8,0.0,0,0.6,0.78,528,volatile,0.0
9,0.0,1,0.35,0.42,736,volatile,0.0
10,0.0,0,0.5,0.82,610,volatile,0.0
11,0.0,0,0.42,0.39,622,volatile,0.0
12,0.0,0,0.29,0.54,517,volatile,0.0
13,1.0,0,0.85,0.05,526,volatile,0.0
14,1.0,0,0.96,0.99,629,volatile,0.0
15,0.0,1,0.74,0.48,514,volatile,0.0
16,0.0,0,0.95,0.93,526,volatile,0.0
17,0.0,0,0.33,0.68,506,volatile,0.0
18,0.0,0,0.87,0.46,453,volatile,0.0
19,0.0,0,0.85,0.98,520,volatile,0.0
20,0.0,1,0.24,0.3,624,volatile,0.0
21,0.0,1,0.36,0.32,745,volatile,0.0
22,1.0,0,0.19,0.6,992,volatile,0.0
23,0.0,1,0.57,0.91,995,volatile,0.0
24,0.0,0,0.44,0.37,632,volatile,0.0
25,1.0,1,0.45,0.28,559,volatile,0.0
26,0.0,1,0.52,0.51,529,volatile,0.0
27,0.0,1,0.72,0.55,646,volatile,0.0
28,0.0,1,0.72,0.99,565,volatile,0.0
29,0.0,1,0.07,0.71,1047,volatile,0.0
30,1.0,1,0.41,0.77,568,volatile,0.0
31,1.0,1,0.89,0.71,495,volatile,0.0
32,0.0,1,0.56,0.72,531,volatile,0.0
33,1.0,1,0.41,0.71,448,volatile,0.0
34,1.0,0,0.99,0.86,520,volatile,0.0
35,1.0,1,0.61,0.98,615,volatile,0.0
36,1.0,0,0.58,0.42,788,volatile,0.0
37,0.0,0,0.72,0.68,997,volatile,0.0
38,0.0,0,0.56,0.46,918,volatile,0.0
39,1.0,0,0.4,0.41,867,volatile,0.0
40,1.0,0,0.71,0.53,1042,volatile,0.0
41,1.0,0,0.78,0.86,1139,volatile,0.0
42,1.0,0,0.33,0.33,1065,volatile,0.0
43,1.0,1,0.95,0.86,1075,volatile,0.0
44,0.0,1,0.03,0.53,709,volatile,0.0
45,1.0,0,0.34,0.92,1005,volatile,0.0
46,0.0,0,0.31,0.29,549,volatile,0.0
47,0.0,0,0.72,0.93,612,volatile,0.0
48,0.0,0,0.42,0.86,505,volatile,0.0
49,0.0,0,0.91,0.32,594,volatile,0.0
50,0.0,1,0.64,0.13,502,volatile,0.0
51,0.0,0,0.45,0.67,552,volatile,0.0
52,0.0,0,0.46,0.79,466,volatile,0.0
53,0.0,0,0.88,0.39,513,volatile,0.0
54,0.0,0,0.38,0.39,469,volatile,0.0
55,0.0,0,0.71,0.85,687,volatile,0.0
56,0.0,0,0.32,0.1,478,volatile,0.0
57,0.0,1,0.86,0.45,511,volatile,0.0
58,0.0,0,0.92,0.83,475,volatile,0.0
59,0.0,1,0.16,0.84,525,volatile,0.0
60,1.0,0,0.34,0.89,676,volatile,1.0
61,1.0,1,0.35,0.75,513,volatile,1.0
62,0.0,1,0.92,0.68,512,volatile,1.0
63,1.0,1,0.25,0.13,517,volatile,1.0
64,1.0,1,0.77,0.74,496,volatile,1.0
65,1.0,1,0.13,0.62,498,volatile,1.0
66,1.0,0,0.65,0.73,526,volatile,1.0
67,1.0,0,0.37,0.95,497,volatile,1.0
68,0.0,0,0.96,0.63,530,volatile,1.0
69,0.0,1,0.39,0.47,960,volatile,1.0
70,1.0,1,0.59,0.49,473,volatile,1.0
71,1.0,1,0.43,0.87,474,volatile,1.0
72,1.0,1,0.04,0.82,523,volatile,1.0
73,1.0,1,0.27,0.61,525,volatile,1.0
74,1.0,1,0.36,0.57,554,volatile,1.0
75,1.0,1,0.25,0.67,473,volatile,1.0
76,1.0,1,0.83,0.51,624,volatile,1.0
77,1.0,1,0.38,0.87,537,volatile,1.0
78,1.0,1,0.78,0.3,500,volatile,1.0
79,1.0,1,0.95,0.84,495,volatile,1.0
80,1.0,0,0.93,0.68,689,volatile,1.0
81,0.0,0,0.54,0.3,462,volatile,1.0
82,0.0,0,0.72,0.91,819,volatile,1.0
83,0.0,1,0.02,0.77,498,volatile,1.0
84,1.0,1,0.49,0.53,552,volatile,1.0
85,1.0,0,0.56,0.51,507,volatile,1.0
86,0.0,0,0.54,0.49,496,volatile,1.0
87,0.0,0,0.51,0.85,556,volatile,1.0
88,0.0,0,0.06,0.88,573,volatile,1.0
89,0.0,0,0.84,0.93,494,volatile,1.0
90,0.0,1,0.84,0.97,1025,stable,1.0
91,1.0,1,0.8,0.32,538,stable,1.0
92,1.0,1,0.12,0.58,555,stable,1.0
93,1.0,0,0.72,0.17,513,stable,1.0
94,0.0,1,0.98,0.72,523,stable,1.0
95,1.0,1,0.1,0.63,501,stable,1.0
96,1.0,1,0.83,0.35,552,stable,1.0
97,1.0,0,0.29,0.49,591,stable,1.0
98,0.0,1,0.06,0.98,560,stable,1.0
99,1.0,0,0.95,0.54,565,stable,1.0
100,0.0,1,0.8,0.64,775,stable,1.0
101,0.0,1,0.55,0.36,505,stable,1.0
102,1.0,0,0.22,0.98,504,stable,1.0
103,0.0,0,0.31,0.14,465,stable,1.0
104,0.0,1,0.6,0.28,452,stable,1.0
105,0.0,0,0.68,0.73,442,stable,1.0
106,1.0,0,0.6,0.46,529,stable,1.0
107,1.0,1,0.32,0.85,673,stable,1.0
108,0.0,1,0.88,0.99,506,stable,1.0
109,1.0,1,0.97,0.87,624,stable,1.0
110,0.0,0,0.92,0.41,541,stable,1.0
111,0.0,1,0.36,0.32,1001,stable,1.0
112,0.0,1,0.13,0.59,470,stable,1.0
113,1.0,0,0.5,0.8,486,stable,1.0
114,1.0,0,0.49,0.61,457,stable,1.0
115,1.0,1,0.92,0.87,444,stable,1.0
116,0.0,1,0.28,0.95,517,stable,1.0
117,0.0,1,0.64,0.33,513,stable,1.0
118,1.0,1,0.59,0.97,498,stable,1.0
119,1.0,1,0.44,0.52,566,stable,1.0
120,1.0,0,0.9,0.2,526,stable,2.0
121,0.0,1,0.13,0.65,512,stable,2.0
122,1.0,1,0.47,0.69,523,stable,2.0
123,0.0,0,0.33,0.38,1076,stable,2.0
124,0.0,1,0.21,0.71,1654,stable,2.0
125,1.0,1,0.81,0.55,478,stable,2.0
