,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.84,0.97,1031,stable,0.0
1,1.0,1,0.8,0.32,724,stable,0.0
2,1.0,1,0.12,0.58,666,stable,0.0
3,1.0,0,0.72,0.17,742,stable,0.0
4,0.0,1,0.98,0.72,875,stable,0.0
5,1.0,1,0.1,0.63,610,stable,0.0
6,1.0,1,0.83,0.35,729,stable,0.0
7,1.0,0,0.29,0.49,740,stable,0.0
8,1.0,1,0.06,0.98,606,stable,0.0
9,1.0,0,0.95,0.54,762,stable,0.0
10,1.0,1,0.8,0.64,643,stable,0.0
11,1.0,1,0.55,0.36,555,stable,0.0
12,1.0,0,0.22,0.98,620,stable,0.0
13,1.0,0,0.31,0.14,1029,stable,0.0
14,1.0,1,0.6,0.28,730,stable,0.0
15,1.0,0,0.68,0.73,637,stable,0.0
16,0.0,0,0.6,0.46,696,stable,0.0
17,0.0,1,0.32,0.85,682,stable,0.0
18,1.0,1,0.88,0.99,618,stable,0.0
19,1.0,1,0.97,0.87,538,stable,0.0
20,0.0,0,0.92,0.41,775,stable,0.0
21,1.0,1,0.36,0.32,770,stable,0.0
22,1.0,1,0.13,0.59,582,stable,0.0
23,0.0,0,0.5,0.8,649,stable,0.0
24,1.0,0,0.49,0.61,748,stable,0.0
25,1.0,1,0.92,0.87,667,stable,0.0
26,0.0,1,0.28,0.95,609,stable,0.0
27,1.0,1,0.64,0.33,558,stable,0.0
28,1.0,1,0.59,0.97,784,stable,0.0
29,0.0,1,0.44,0.52,669,stable,0.0
30,1.0,0,0.9,0.2,619,stable,0.0
31,1.0,1,0.13,0.65,621,stable,0.0
32,1.0,1,0.47,0.69,631,stable,0.0
33,1.0,0,0.33,0.38,642,stable,0.0
34,1.0,1,0.21,0.71,691,stable,0.0
35,1.0,1,0.81,0.55,1113,stable,0.0
36,1.0,0,0.83,0.05,513,stable,0.0
37,1.0,1,0.75,0.71,638,stable,0.0
38,0.0,1,0.79,0.73,711,stable,0.0
39,1.0,1,0.93,0.2,877,stable,0.0
40,1.0,1,0.8,0.89,893,stable,0.0
41,1.0,0,0.9,0.1,657,stable,0.0
42,1.0,1,0.63,0.17,588,stable,0.0
43,1.0,0,0.74,0.05,737,stable,0.0
44,0.0,1,0.4,0.62,780,stable,0.0
45,1.0,1,0.17,0.43,1035,stable,0.0
46,1.0,1,0.3,0.9,746,stable,0.0
47,1.0,0,0.9,0.56,982,stable,0.0
48,1.0,1,0.88,0.37,587,stable,0.0
49,1.0,1,0.4,0.38,549,stable,0.0
50,1.0,1,0.5,0.54,600,stable,0.0
51,0.0,0,0.56,0.07,656,stable,0.0
52,1.0,0,0.9,0.61,860,stable,0.0
53,1.0,0,0.82,0.12,699,stable,0.0
54,0.0,1,0.9,0.19,530,stable,0.0
55,0.0,1,0.46,0.51,589,stable,0.0
56,1.0,1,0.85,0.51,631,stable,0.0
57,1.0,1,0.65,0.41,556,stable,0.0
58,1.0,0,0.31,0.64,732,stable,0.0
59,1.0,1,0.07,0.76,582,stable,0.0
60,1.0,1,0.13,0.65,737,stable,1.0
61,1.0,1,0.94,0.74,827,stable,1.0
62,1.0,0,0.87,0.37,769,stable,1.0
63,1.0,1,0.43,0.4,910,stable,1.0
64,1.0,1,0.25,0.58,565,stable,1.0
65,1.0,1,0.78,0.1,657,stable,1.0
66,1.0,1,0.33,0.83,818,stable,1.0
67,1.0,0,0.63,0.07,1305,stable,1.0
68,1.0,1,0.71,0.59,1218,stable,1.0
69,1.0,1,0.89,0.56,743,stable,1.0
70,1.0,1,0.44,0.91,1166,stable,1.0
71,1.0,1,0.96,0.22,857,stable,1.0
72,1.0,1,0.55,0.3,815,stable,1.0
73,1.0,0,0.69,0.86,608,stable,1.0
74,1.0,0,0.45,0.91,698,stable,1.0
75,1.0,0,0.87,0.09,770,stable,1.0
76,1.0,1,0.45,0.87,1151,stable,1.0
77,1.0,1,0.55,0.92,1277,stable,1.0
78,1.0,1,0.57,0.9,1038,stable,1.0
79,1.0,1,0.33,0.67,874,stable,1.0
80,1.0,1,0.52,0.39,1298,stable,1.0
81,1.0,1,0.9,0.83,1002,stable,1.0
82,1.0,0,0.23,0.38,1505,stable,1.0
83,0.0,1,0.45,0.59,1216,stable,1.0
84,0.0,1,0.6,0.25,623,stable,1.0
85,1.0,1,0.81,0.94,621,stable,1.0
86,1.0,1,0.49,0.43,664,stable,1.0
87,1.0,0,0.42,0.65,592,stable,1.0
88,0.0,1,0.5,0.66,783,stable,1.0
89,1.0,1,0.89,0.35,681,stable,1.0
90,1.0,1,0.89,0.99,1206,volatile,1.0
91,1.0,0,0.96,0.96,538,volatile,1.0
92,1.0,0,0.58,0.58,557,volatile,1.0
93,1.0,0,0.52,0.33,552,volatile,1.0
94,1.0,1,0.02,0.92,572,volatile,1.0
95,1.0,0,0.93,0.34,661,volatile,1.0
96,1.0,0,0.08,0.28,491,volatile,1.0
97,0.0,0,0.44,0.91,544,volatile,1.0
98,0.0,0,0.6,0.78,599,volatile,1.0
99,0.0,1,0.35,0.42,614,volatile,1.0
100,0.0,0,0.5,0.82,556,volatile,1.0
101,0.0,0,0.42,0.39,621,volatile,1.0
102,0.0,0,0.29,0.54,981,volatile,1.0
103,0.0,0,0.85,0.05,1296,volatile,1.0
104,1.0,0,0.96,0.99,679,volatile,1.0
105,0.0,1,0.74,0.48,575,volatile,1.0
106,0.0,0,0.95,0.93,607,volatile,1.0
107,0.0,0,0.33,0.68,627,volatile,1.0
108,0.0,0,0.87,0.46,536,volatile,1.0
109,0.0,0,0.85,0.98,650,volatile,1.0
110,0.0,1,0.24,0.3,625,volatile,1.0
111,0.0,1,0.36,0.32,673,volatile,1.0
112,0.0,0,0.19,0.6,705,volatile,1.0
113,0.0,1,0.57,0.91,1686,volatile,1.0
114,0.0,0,0.44,0.37,755,volatile,1.0
115,0.0,1,0.45,0.28,961,volatile,1.0
116,1.0,1,0.52,0.51,831,volatile,1.0
117,1.0,1,0.72,0.55,740,volatile,1.0
118,1.0,1,0.72,0.99,522,volatile,1.0
119,1.0,1,0.07,0.71,1303,volatile,1.0
120,1.0,1,0.41,0.77,836,volatile,2.0
121,1.0,1,0.89,0.71,657,volatile,2.0
122,1.0,1,0.56,0.72,706,volatile,2.0
123,1.0,1,0.41,0.71,651,volatile,2.0
124,1.0,0,0.99,0.86,704,volatile,2.0
125,0.0,1,0.61,0.98,1027,volatile,2.0
126,1.0,0,0.58,0.42,1572,volatile,2.0
127,0.0,0,0.72,0.68,619,volatile,2.0
128,0.0,0,0.56,0.46,599,volatile,2.0
129,0.0,0,0.4,0.41,621,volatile,2.0
130,0.0,0,0.71,0.53,740,volatile,2.0
131,0.0,0,0.78,0.86,657,volatile,2.0
132,1.0,0,0.33,0.33,673,volatile,2.0
133,1.0,1,0.95,0.86,957,volatile,2.0
134,1.0,1,0.03,0.53,557,volatile,2.0
135,0.0,0,0.34,0.92,610,volatile,2.0
136,0.0,0,0.31,0.29,621,volatile,2.0
137,0.0,0,0.72,0.93,544,volatile,2.0
138,0.0,0,0.42,0.86,1122,volatile,2.0
139,0.0,0,0.91,0.32,1238,volatile,2.0
140,0.0,1,0.64,0.13,1076,volatile,2.0
141,1.0,0,0.45,0.67,1151,volatile,2.0
142,1.0,0,0.46,0.79,685,volatile,2.0
143,0.0,0,0.88,0.39,557,volatile,2.0
144,0.0,0,0.38,0.39,549,volatile,2.0
145,0.0,0,0.71,0.85,648,volatile,2.0
146,0.0,0,0.32,0.1,692,volatile,2.0
147,0.0,1,0.86,0.45,616,volatile,2.0
148,1.0,0,0.92,0.83,731,volatile,2.0
149,0.0,1,0.16,0.84,527,volatile,2.0
150,0.0,0,0.34,0.89,699,volatile,2.0
151,0.0,1,0.35,0.75,567,volatile,2.0
152,0.0,1,0.92,0.68,562,volatile,2.0
153,1.0,1,0.25,0.13,873,volatile,2.0
154,1.0,1,0.77,0.74,585,volatile,2.0
155,1.0,1,0.13,0.62,815,volatile,2.0
156,1.0,0,0.65,0.73,732,volatile,2.0
157,1.0,0,0.37,0.95,515,volatile,2.0
158,1.0,0,0.96,0.63,477,volatile,2.0
159,0.0,1,0.39,0.47,625,volatile,2.0
160,0.0,1,0.59,0.49,497,volatile,2.0
161,1.0,1,0.43,0.87,737,volatile,2.0
162,1.0,1,0.04,0.82,597,volatile,2.0
163,1.0,1,0.27,0.61,667,volatile,2.0
164,0.0,1,0.36,0.57,682,volatile,2.0
165,1.0,1,0.25,0.67,1865,volatile,2.0
166,1.0,1,0.83,0.51,748,volatile,2.0
167,1.0,1,0.38,0.87,723,volatile,2.0
168,1.0,1,0.78,0.3,716,volatile,2.0
169,1.0,1,0.95,0.84,832,volatile,2.0
170,1.0,0,0.93,0.68,722,volatile,2.0
171,1.0,0,0.54,0.3,840,volatile,2.0
172,1.0,0,0.72,0.91,483,volatile,2.0
173,0.0,1,0.02,0.77,935,volatile,2.0
174,1.0,1,0.49,0.53,589,volatile,2.0
175,1.0,0,0.56,0.51,642,volatile,2.0
176,0.0,0,0.54,0.49,917,volatile,2.0
177,0.0,0,0.51,0.85,643,volatile,2.0
178,0.0,0,0.06,0.88,562,volatile,2.0
179,0.0,0,0.84,0.93,791,volatile,2.0
