,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.84,0.97,750,stable,0.0
1,1.0,1,0.8,0.32,691,stable,0.0
2,1.0,1,0.12,0.58,565,stable,0.0
3,0.0,0,0.72,0.17,446,stable,0.0
4,1.0,1,0.98,0.72,553,stable,0.0
5,0.0,1,0.1,0.63,505,stable,0.0
6,1.0,1,0.83,0.35,1519,stable,0.0
7,1.0,0,0.29,0.49,863,stable,0.0
8,0.0,1,0.06,0.98,2340,stable,0.0
9,1.0,0,0.95,0.54,679,stable,0.0
10,1.0,1,0.8,0.64,464,stable,0.0
11,0.0,1,0.55,0.36,864,stable,0.0
12,0.0,0,0.22,0.98,1179,stable,0.0
13,0.0,0,0.31,0.14,527,stable,0.0
14,0.0,1,0.6,0.28,669,stable,0.0
15,1.0,0,0.68,0.73,561,stable,0.0
16,0.0,0,0.6,0.46,397,stable,0.0
17,0.0,1,0.32,0.85,395,stable,0.0
18,0.0,1,0.88,0.99,588,stable,0.0
19,1.0,1,0.97,0.87,460,stable,0.0
20,0.0,0,0.92,0.41,299,stable,0.0
21,0.0,1,0.36,0.32,306,stable,0.0
22,0.0,1,0.13,0.59,300,stable,0.0
23,1.0,0,0.5,0.8,296,stable,0.0
24,0.0,0,0.49,0.61,434,stable,0.0
25,1.0,1,0.92,0.87,394,stable,0.0
26,0.0,1,0.28,0.95,586,stable,0.0
27,1.0,1,0.64,0.33,479,stable,0.0
28,0.0,1,0.59,0.97,534,stable,0.0
29,0.0,1,0.44,0.52,446,stable,0.0
30,1.0,0,0.9,0.2,447,stable,0.0
31,1.0,1,0.13,0.65,510,stable,0.0
32,1.0,1,0.47,0.69,3282,stable,0.0
33,0.0,0,0.33,0.38,846,stable,0.0
34,0.0,1,0.21,0.71,264,stable,0.0
35,0.0,1,0.81,0.55,410,stable,0.0
36,1.0,0,0.83,0.05,1206,stable,0.0
37,1.0,1,0.75,0.71,845,stable,0.0
38,0.0,1,0.79,0.73,702,stable,0.0
39,0.0,1,0.93,0.2,304,stable,0.0
40,0.0,1,0.8,0.89,810,stable,0.0
41,0.0,0,0.9,0.1,333,stable,0.0
42,0.0,1,0.63,0.17,272,stable,0.0
43,1.0,0,0.74,0.05,1440,stable,0.0
44,1.0,1,0.4,0.62,418,stable,0.0
45,0.0,1,0.17,0.43,594,stable,0.0
46,0.0,1,0.3,0.9,370,stable,0.0
47,1.0,0,0.9,0.56,398,stable,0.0
48,1.0,1,0.88,0.37,811,stable,0.0
49,1.0,1,0.4,0.38,524,stable,0.0
50,0.0,1,0.5,0.54,803,stable,0.0
51,1.0,0,0.56,0.07,491,stable,0.0
52,0.0,0,0.9,0.61,741,stable,0.0
53,0.0,0,0.82,0.12,1080,stable,0.0
54,1.0,1,0.9,0.19,480,stable,0.0
55,0.0,1,0.46,0.51,1231,stable,0.0
56,0.0,1,0.85,0.51,1432,stable,0.0
57,1.0,1,0.65,0.41,284,stable,0.0
58,0.0,0,0.31,0.64,855,stable,0.0
59,0.0,1,0.07,0.76,400,stable,0.0
60,0.0,1,0.13,0.65,489,stable,1.0
61,1.0,1,0.94,0.74,358,stable,1.0
62,1.0,0,0.87,0.37,464,stable,1.0
63,1.0,1,0.43,0.4,378,stable,1.0
64,0.0,1,0.25,0.58,546,stable,1.0
65,0.0,1,0.78,0.1,458,stable,1.0
66,1.0,1,0.33,0.83,332,stable,1.0
67,0.0,0,0.63,0.07,280,stable,1.0
68,0.0,1,0.71,0.59,1589,stable,1.0
69,1.0,1,0.89,0.56,434,stable,1.0
70,0.0,1,0.44,0.91,637,stable,1.0
71,0.0,1,0.96,0.22,1612,stable,1.0
72,0.0,1,0.55,0.3,308,stable,1.0
73,0.0,0,0.69,0.86,738,stable,1.0
74,1.0,0,0.45,0.91,290,stable,1.0
75,1.0,0,0.87,0.09,1512,stable,1.0
76,0.0,1,0.45,0.87,1219,stable,1.0
77,1.0,1,0.55,0.92,783,stable,1.0
78,1.0,1,0.57,0.9,315,stable,1.0
79,1.0,1,0.33,0.67,398,stable,1.0
80,1.0,1,0.52,0.39,535,stable,1.0
81,0.0,1,0.9,0.83,356,stable,1.0
82,1.0,0,0.23,0.38,356,stable,1.0
83,0.0,1,0.45,0.59,1716,stable,1.0
