,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,,1,0.89,0.99,7011,volatile,0.0
1,,0,0.96,0.96,6257,volatile,0.0
2,,0,0.58,0.58,6257,volatile,0.0
3,,0,0.52,0.33,6253,volatile,0.0
4,,1,0.02,0.92,6253,volatile,0.0
5,,0,0.93,0.34,6253,volatile,0.0
6,,0,0.08,0.28,6257,volatile,0.0
7,,0,0.44,0.91,6252,volatile,0.0
8,,0,0.6,0.78,6253,volatile,0.0
9,,1,0.35,0.42,6254,volatile,0.0
10,,0,0.5,0.82,6254,volatile,0.0
11,,0,0.42,0.39,6256,volatile,0.0
12,,0,0.29,0.54,6255,volatile,0.0
13,,0,0.85,0.05,6253,volatile,0.0
14,,0,0.96,0.99,6254,volatile,0.0
15,,1,0.74,0.48,6254,volatile,0.0
16,,0,0.95,0.93,6254,volatile,0.0
17,,0,0.33,0.68,6252,volatile,0.0
18,,0,0.87,0.46,6252,volatile,0.0
19,,0,0.85,0.98,6251,volatile,0.0
20,,1,0.24,0.3,6254,volatile,0.0
21,,1,0.36,0.32,6249,volatile,0.0
22,,0,0.19,0.6,6251,volatile,0.0
23,,1,0.57,0.91,6254,volatile,0.0
24,,0,0.44,0.37,6253,volatile,0.0
25,,1,0.45,0.28,6253,volatile,0.0
26,,1,0.52,0.51,6251,volatile,0.0
27,,1,0.72,0.55,6255,volatile,0.0
28,,1,0.72,0.99,6254,volatile,0.0
29,,1,0.07,0.71,6249,volatile,0.0
30,1.0,1,0.41,0.77,489,volatile,0.0
31,0.0,1,0.89,0.71,4283,volatile,0.0
32,1.0,1,0.56,0.72,494,volatile,0.0
33,1.0,1,0.41,0.71,726,volatile,0.0
34,1.0,0,0.99,0.86,511,volatile,0.0
35,1.0,1,0.61,0.98,682,volatile,0.0
36,1.0,0,0.58,0.42,537,volatile,0.0
37,1.0,0,0.72,0.68,519,volatile,0.0
38,,0,0.56,0.46,6254,volatile,0.0
39,,0,0.4,0.41,6256,volatile,0.0
40,,0,0.71,0.53,6254,volatile,0.0
41,,0,0.78,0.86,6253,volatile,0.0
42,,0,0.33,0.33,6254,volatile,0.0
43,,1,0.95,0.86,6251,volatile,0.0
44,,1,0.03,0.53,6254,volatile,0.0
45,0.0,0,0.34,0.92,1495,volatile,0.0
46,1.0,0,0.31,0.29,487,volatile,0.0
47,0.0,0,0.72,0.93,498,volatile,0.0
48,0.0,0,0.42,0.86,541,volatile,0.0
49,0.0,0,0.91,0.32,481,volatile,0.0
50,0.0,1,0.64,0.13,514,volatile,0.0
51,,0,0.45,0.67,6253,volatile,0.0
52,,0,0.46,0.79,6255,volatile,0.0
53,,0,0.88,0.39,6254,volatile,0.0
54,,0,0.38,0.39,6252,volatile,0.0
