,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.89,0.99,1455,volatile,0.0
1,1.0,0,0.96,0.96,1198,volatile,0.0
2,1.0,0,0.58,0.58,912,volatile,0.0
3,1.0,0,0.52,0.33,688,volatile,0.0
4,0.0,1,0.02,0.92,489,volatile,0.0
5,1.0,0,0.93,0.34,722,volatile,0.0
6,0.0,0,0.08,0.28,444,volatile,0.0
7,1.0,0,0.44,0.91,402,volatile,0.0
8,0.0,0,0.6,0.78,339,volatile,0.0
9,1.0,1,0.35,0.42,310,volatile,0.0
10,0.0,0,0.5,0.82,469,volatile,0.0
11,1.0,0,0.42,0.39,368,volatile,0.0
12,0.0,0,0.29,0.54,353,volatile,0.0
13,0.0,0,0.85,0.05,345,volatile,0.0
14,1.0,0,0.96,0.99,1390,volatile,0.0
15,0.0,1,0.74,0.48,788,volatile,0.0
16,1.0,0,0.95,0.93,800,volatile,0.0
17,1.0,0,0.33,0.68,1147,volatile,0.0
18,0.0,0,0.87,0.46,353,volatile,0.0
19,0.0,0,0.85,0.98,342,volatile,0.0
20,1.0,1,0.24,0.3,974,volatile,0.0
21,0.0,1,0.36,0.32,322,volatile,0.0
22,1.0,0,0.19,0.6,601,volatile,0.0
23,0.0,1,0.57,0.91,587,volatile,0.0
24,1.0,0,0.44,0.37,490,volatile,0.0
25,1.0,1,0.45,0.28,964,volatile,0.0
26,0.0,1,0.52,0.51,611,volatile,0.0
27,1.0,1,0.72,0.55,622,volatile,0.0
28,1.0,1,0.72,0.99,475,volatile,0.0
29,0.0,1,0.07,0.71,630,volatile,0.0
30,0.0,1,0.41,0.77,1236,volatile,0.0
31,1.0,1,0.89,0.71,434,volatile,0.0
32,0.0,1,0.56,0.72,662,volatile,0.0
33,0.0,1,0.41,0.71,395,volatile,0.0
34,1.0,0,0.99,0.86,377,volatile,0.0
35,0.0,1,0.61,0.98,481,volatile,0.0
36,1.0,0,0.58,0.42,388,volatile,0.0
37,1.0,0,0.72,0.68,398,volatile,0.0
38,0.0,0,0.56,0.46,835,volatile,0.0
39,0.0,0,0.4,0.41,735,volatile,0.0
40,0.0,0,0.71,0.53,674,volatile,0.0
41,0.0,0,0.78,0.86,687,volatile,0.0
42,1.0,0,0.33,0.33,619,volatile,0.0
43,0.0,1,0.95,0.86,737,volatile,0.0
44,0.0,1,0.03,0.53,523,volatile,0.0
45,0.0,0,0.34,0.92,2187,volatile,0.0
46,0.0,0,0.31,0.29,768,volatile,0.0
47,1.0,0,0.72,0.93,612,volatile,0.0
48,1.0,0,0.42,0.86,397,volatile,0.0
49,1.0,0,0.91,0.32,470,volatile,0.0
50,0.0,1,0.64,0.13,929,volatile,0.0
51,0.0,0,0.45,0.67,682,volatile,0.0
52,1.0,0,0.46,0.79,798,volatile,0.0
53,0.0,0,0.88,0.39,566,volatile,0.0
54,1.0,0,0.38,0.39,746,volatile,0.0
55,1.0,0,0.71,0.85,635,volatile,0.0
56,1.0,0,0.32,0.1,1431,volatile,0.0
57,0.0,1,0.86,0.45,604,volatile,0.0
58,1.0,0,0.92,0.83,1242,volatile,0.0
59,1.0,1,0.16,0.84,1352,volatile,0.0
60,0.0,0,0.34,0.89,1071,volatile,1.0
61,0.0,1,0.35,0.75,2307,volatile,1.0
62,0.0,1,0.92,0.68,1829,volatile,1.0
63,1.0,1,0.25,0.13,606,volatile,1.0
64,0.0,1,0.77,0.74,1456,volatile,1.0
65,0.0,1,0.13,0.62,688,volatile,1.0
66,0.0,0,0.65,0.73,1610,volatile,1.0
67,1.0,0,0.37,0.95,671,volatile,1.0
