,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.89,0.99,1133,volatile,0.0
1,1.0,0,0.96,0.96,1157,volatile,0.0
2,1.0,0,0.58,0.58,2027,volatile,0.0
3,0.0,0,0.52,0.33,521,volatile,0.0
4,0.0,1,0.02,0.92,572,volatile,0.0
5,0.0,0,0.93,0.34,603,volatile,0.0
6,0.0,0,0.08,0.28,563,volatile,0.0
7,0.0,0,0.44,0.91,729,volatile,0.0
8,0.0,0,0.6,0.78,799,volatile,0.0
9,0.0,1,0.35,0.42,900,volatile,0.0
10,0.0,0,0.5,0.82,938,volatile,0.0
11,0.0,0,0.42,0.39,866,volatile,0.0
12,0.0,0,0.29,0.54,776,volatile,0.0
13,1.0,0,0.85,0.05,907,volatile,0.0
14,0.0,0,0.96,0.99,672,volatile,0.0
15,1.0,1,0.74,0.48,995,volatile,0.0
16,0.0,0,0.95,0.93,596,volatile,0.0
17,0.0,0,0.33,0.68,744,volatile,0.0
18,1.0,0,0.87,0.46,882,volatile,0.0
19,0.0,0,0.85,0.98,756,volatile,0.0
20,0.0,1,0.24,0.3,1115,volatile,0.0
21,0.0,1,0.36,0.32,1217,volatile,0.0
22,0.0,0,0.19,0.6,899,volatile,0.0
23,0.0,1,0.57,0.91,868,volatile,0.0
24,1.0,0,0.44,0.37,1075,volatile,0.0
25,1.0,1,0.45,0.28,1227,volatile,0.0
26,0.0,1,0.52,0.51,1200,volatile,0.0
27,1.0,1,0.72,0.55,1119,volatile,0.0
28,0.0,1,0.72,0.99,1175,volatile,0.0
29,0.0,1,0.07,0.71,987,volatile,0.0
30,0.0,1,0.41,0.77,1023,volatile,0.0
31,1.0,1,0.89,0.71,1571,volatile,0.0
32,0.0,1,0.56,0.72,1769,volatile,0.0
33,0.0,1,0.41,0.71,1086,volatile,0.0
34,1.0,0,0.99,0.86,920,volatile,0.0
35,0.0,1,0.61,0.98,1094,volatile,0.0
36,1.0,0,0.58,0.42,2370,volatile,0.0
37,0.0,0,0.72,0.68,772,volatile,0.0
38,1.0,0,0.56,0.46,913,volatile,0.0
39,0.0,0,0.4,0.41,1084,volatile,0.0
40,0.0,0,0.71,0.53,817,volatile,0.0
41,0.0,0,0.78,0.86,1038,volatile,0.0
42,1.0,0,0.33,0.33,935,volatile,0.0
43,0.0,1,0.95,0.86,783,volatile,0.0
44,0.0,1,0.03,0.53,718,volatile,0.0
45,0.0,0,0.34,0.92,1200,volatile,0.0
46,0.0,0,0.31,0.29,816,volatile,0.0
47,0.0,0,0.72,0.93,537,volatile,0.0
48,0.0,0,0.42,0.86,570,volatile,0.0
49,0.0,0,0.91,0.32,545,volatile,0.0
50,1.0,1,0.64,0.13,877,volatile,0.0
51,0.0,0,0.45,0.67,806,volatile,0.0
52,0.0,0,0.46,0.79,896,volatile,0.0
53,1.0,0,0.88,0.39,1099,volatile,0.0
54,1.0,0,0.38,0.39,1143,volatile,0.0
55,1.0,0,0.71,0.85,824,volatile,0.0
56,1.0,0,0.32,0.1,1131,volatile,0.0
57,1.0,1,0.86,0.45,948,volatile,0.0
58,1.0,0,0.92,0.83,951,volatile,0.0
59,0.0,1,0.16,0.84,887,volatile,0.0
60,0.0,0,0.34,0.89,843,volatile,1.0
61,0.0,1,0.35,0.75,1373,volatile,1.0
62,1.0,1,0.92,0.68,753,volatile,1.0
63,1.0,1,0.25,0.13,941,volatile,1.0
64,0.0,1,0.77,0.74,884,volatile,1.0
65,0.0,1,0.13,0.62,757,volatile,1.0
66,0.0,0,0.65,0.73,869,volatile,1.0
67,0.0,0,0.37,0.95,804,volatile,1.0
68,1.0,0,0.96,0.63,951,volatile,1.0
