,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,0.89,0.99,1931,volatile,0.0
1,1.0,0,0.96,0.96,1296,volatile,0.0
2,1.0,0,0.58,0.58,1333,volatile,0.0
3,0.0,0,0.52,0.33,1616,volatile,0.0
4,0.0,1,0.02,0.92,1581,volatile,0.0
5,1.0,0,0.93,0.34,1541,volatile,0.0
6,0.0,0,0.08,0.28,1233,volatile,0.0
7,1.0,0,0.44,0.91,1920,volatile,0.0
8,1.0,0,0.6,0.78,778,volatile,0.0
9,0.0,1,0.35,0.42,537,volatile,0.0
10,0.0,0,0.5,0.82,635,volatile,0.0
11,0.0,0,0.42,0.39,1108,volatile,0.0
12,0.0,0,0.29,0.54,870,volatile,0.0
13,1.0,0,0.85,0.05,1470,volatile,0.0
14,0.0,0,0.96,0.99,1470,volatile,0.0
15,0.0,1,0.74,0.48,1395,volatile,0.0
16,0.0,0,0.95,0.93,777,volatile,0.0
17,0.0,0,0.33,0.68,1407,volatile,0.0
18,0.0,0,0.87,0.46,1161,volatile,0.0
19,1.0,0,0.85,0.98,1388,volatile,0.0
20,1.0,1,0.24,0.3,1042,volatile,0.0
21,0.0,1,0.36,0.32,874,volatile,0.0
22,0.0,0,0.19,0.6,754,volatile,0.0
23,0.0,1,0.57,0.91,1160,volatile,0.0
24,0.0,0,0.44,0.37,972,volatile,0.0
25,0.0,1,0.45,0.28,1286,volatile,0.0
26,0.0,1,0.52,0.51,524,volatile,0.0
27,0.0,1,0.72,0.55,1178,volatile,0.0
28,0.0,1,0.72,0.99,580,volatile,0.0
29,0.0,1,0.07,0.71,571,volatile,0.0
30,0.0,1,0.41,0.77,564,volatile,0.0
31,0.0,1,0.89,0.71,562,volatile,0.0
32,0.0,1,0.56,0.72,607,volatile,0.0
33,0.0,1,0.41,0.71,601,volatile,0.0
34,0.0,0,0.99,0.86,545,volatile,0.0
35,0.0,1,0.61,0.98,636,volatile,0.0
36,0.0,0,0.58,0.42,709,volatile,0.0
37,0.0,0,0.72,0.68,813,volatile,0.0
38,0.0,0,0.56,0.46,853,volatile,0.0
