,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,0,0.2,0.01,3218,volatile,0.0
1,1.0,0,0.43,0.12,1217,volatile,0.0
2,0.0,0,0.21,0.9,1048,volatile,0.0
3,0.0,1,0.26,0.62,1054,volatile,0.0
4,1.0,0,0.95,0.19,1406,volatile,0.0
5,0.0,0,0.1,0.61,961,volatile,0.0
6,0.0,0,0.9,0.12,2380,volatile,0.0
7,1.0,0,0.47,0.99,1677,volatile,0.0
8,1.0,0,0.08,0.06,1502,volatile,0.0
9,0.0,0,0.29,0.81,1423,volatile,0.0
10,1.0,0,0.49,0.34,1635,volatile,0.0
11,0.0,0,0.74,0.99,1340,volatile,0.0
12,0.0,0,0.8,0.87,1469,volatile,0.0
13,0.0,0,0.02,0.28,1655,volatile,0.0
14,0.0,0,0.4,0.81,1548,volatile,0.0
15,0.0,0,0.45,0.78,1161,volatile,0.0
16,1.0,1,0.28,0.28,1229,volatile,0.0
17,0.0,1,0.35,0.22,1854,volatile,0.0
18,1.0,1,0.39,0.94,1574,volatile,0.0
19,1.0,0,0.72,0.43,1494,volatile,0.0
20,1.0,1,0.35,0.59,1896,volatile,0.0
21,1.0,1,0.85,0.83,1424,volatile,0.0
22,1.0,1,0.89,0.81,1501,volatile,0.0
23,0.0,1,0.93,0.99,3345,volatile,0.0
24,1.0,1,0.42,0.5,1297,volatile,0.0
25,1.0,0,0.46,0.73,1064,volatile,0.0
26,0.0,1,0.5,0.51,1477,volatile,0.0
27,1.0,1,0.74,0.03,1448,volatile,0.0
28,1.0,1,0.85,0.32,1171,volatile,0.0
29,0.0,1,0.3,0.68,1580,volatile,0.0
30,0.0,0,0.12,0.25,1257,volatile,0.0
31,1.0,1,0.52,0.46,1535,volatile,0.0
32,1.0,1,0.87,0.12,1180,volatile,0.0
33,0.0,1,0.29,0.76,1249,volatile,0.0
34,0.0,0,0.42,0.82,1784,volatile,0.0
35,0.0,1,0.65,0.39,2247,volatile,0.0
36,0.0,0,0.26,0.24,2005,volatile,0.0
37,0.0,0,0.5,0.4,1224,volatile,0.0
38,0.0,0,0.61,0.66,1170,volatile,0.0
39,0.0,0,0.14,0.95,1061,volatile,0.0
40,0.0,0,0.11,0.33,1064,volatile,0.0
41,0.0,0,0.68,0.4,1312,volatile,0.0
42,0.0,0,0.3,0.45,989,volatile,0.0
43,0.0,1,0.7,0.52,1522,volatile,0.0
