,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.89,0.99,1386,volatile,0.0
1,1.0,0,0.96,0.96,1278,volatile,0.0
2,1.0,0,0.58,0.58,1180,volatile,0.0
3,0.0,0,0.52,0.33,1507,volatile,0.0
4,0.0,1,0.02,0.92,823,volatile,0.0
5,0.0,0,0.93,0.34,1623,volatile,0.0
6,1.0,0,0.08,0.28,1594,volatile,0.0
7,0.0,0,0.44,0.91,1151,volatile,0.0
8,0.0,0,0.6,0.78,868,volatile,0.0
9,0.0,1,0.35,0.42,755,volatile,0.0
10,0.0,0,0.5,0.82,642,volatile,0.0
11,0.0,0,0.42,0.39,654,volatile,0.0
12,0.0,0,0.29,0.54,891,volatile,0.0
13,0.0,0,0.85,0.05,756,volatile,0.0
14,0.0,0,0.96,0.99,848,volatile,0.0
15,0.0,1,0.74,0.48,640,volatile,0.0
16,0.0,0,0.95,0.93,752,volatile,0.0
17,0.0,0,0.33,0.68,701,volatile,0.0
18,0.0,0,0.87,0.46,781,volatile,0.0
19,0.0,0,0.85,0.98,750,volatile,0.0
20,0.0,1,0.24,0.3,625,volatile,0.0
21,0.0,1,0.36,0.32,882,volatile,0.0
22,0.0,0,0.19,0.6,780,volatile,0.0
23,0.0,1,0.57,0.91,637,volatile,0.0
24,0.0,0,0.44,0.37,620,volatile,0.0
25,0.0,1,0.45,0.28,677,volatile,0.0
26,0.0,1,0.52,0.51,948,volatile,0.0
27,1.0,1,0.72,0.55,673,volatile,0.0
28,1.0,1,0.72,0.99,933,volatile,0.0
29,1.0,1,0.07,0.71,811,volatile,0.0
30,1.0,1,0.41,0.77,631,volatile,0.0
31,1.0,1,0.89,0.71,603,volatile,0.0
32,1.0,1,0.56,0.72,544,volatile,0.0
33,1.0,1,0.41,0.71,598,volatile,0.0
34,1.0,0,0.99,0.86,724,volatile,0.0
35,1.0,1,0.61,0.98,720,volatile,0.0
36,1.0,0,0.58,0.42,708,volatile,0.0
37,1.0,0,0.72,0.68,626,volatile,0.0
38,0.0,0,0.56,0.46,665,volatile,0.0
39,0.0,0,0.4,0.41,866,volatile,0.0
40,0.0,0,0.71,0.53,662,volatile,0.0
41,0.0,0,0.78,0.86,890,volatile,0.0
42,1.0,0,0.33,0.33,629,volatile,0.0
43,0.0,1,0.95,0.86,894,volatile,0.0
44,0.0,1,0.03,0.53,706,volatile,0.0
45,0.0,0,0.34,0.92,1112,volatile,0.0
46,0.0,0,0.31,0.29,606,volatile,0.0
47,0.0,0,0.72,0.93,697,volatile,0.0
48,0.0,0,0.42,0.86,664,volatile,0.0
49,0.0,0,0.91,0.32,605,volatile,0.0
50,0.0,1,0.64,0.13,605,volatile,0.0
51,1.0,0,0.45,0.67,729,volatile,0.0
52,0.0,0,0.46,0.79,764,volatile,0.0
53,0.0,0,0.88,0.39,690,volatile,0.0
54,0.0,0,0.38,0.39,713,volatile,0.0
55,0.0,0,0.71,0.85,934,volatile,0.0
56,0.0,0,0.32,0.1,609,volatile,0.0
57,0.0,1,0.86,0.45,618,volatile,0.0
58,1.0,0,0.92,0.83,639,volatile,0.0
59,0.0,1,0.16,0.84,584,volatile,0.0
60,1.0,0,0.34,0.89,708,volatile,1.0
61,0.0,1,0.35,0.75,904,volatile,1.0
62,0.0,1,0.92,0.68,510,volatile,1.0
63,1.0,1,0.25,0.13,589,volatile,1.0
64,1.0,1,0.77,0.74,652,volatile,1.0
65,1.0,1,0.13,0.62,633,volatile,1.0
66,1.0,0,0.65,0.73,804,volatile,1.0
67,0.0,0,0.37,0.95,618,volatile,1.0
68,0.0,0,0.96,0.63,618,volatile,1.0
69,0.0,1,0.39,0.47,566,volatile,1.0
70,1.0,1,0.59,0.49,735,volatile,1.0
71,1.0,1,0.43,0.87,655,volatile,1.0
72,1.0,1,0.04,0.82,1106,volatile,1.0
73,1.0,1,0.27,0.61,778,volatile,1.0
74,1.0,1,0.36,0.57,693,volatile,1.0
75,1.0,1,0.25,0.67,693,volatile,1.0
76,1.0,1,0.83,0.51,643,volatile,1.0
77,1.0,1,0.38,0.87,546,volatile,1.0
78,1.0,1,0.78,0.3,653,volatile,1.0
79,1.0,1,0.95,0.84,579,volatile,1.0
80,1.0,0,0.93,0.68,691,volatile,1.0
81,0.0,0,0.54,0.3,558,volatile,1.0
82,0.0,0,0.72,0.91,799,volatile,1.0
83,0.0,1,0.02,0.77,968,volatile,1.0
84,1.0,1,0.49,0.53,700,volatile,1.0
85,1.0,0,0.56,0.51,671,volatile,1.0
86,1.0,0,0.54,0.49,896,volatile,1.0
87,0.0,0,0.51,0.85,649,volatile,1.0
88,0.0,0,0.06,0.88,687,volatile,1.0
89,0.0,0,0.84,0.93,858,volatile,1.0
90,0.0,1,0.84,0.97,1492,stable,1.0
91,1.0,1,0.8,0.32,697,stable,1.0
92,1.0,1,0.12,0.58,622,stable,1.0
93,1.0,0,0.72,0.17,635,stable,1.0
94,0.0,1,0.98,0.72,594,stable,1.0
95,1.0,1,0.1,0.63,668,stable,1.0
96,1.0,1,0.83,0.35,1004,stable,1.0
97,1.0,0,0.29,0.49,768,stable,1.0
98,0.0,1,0.06,0.98,676,stable,1.0
99,0.0,0,0.95,0.54,760,stable,1.0
100,0.0,1,0.8,0.64,605,stable,1.0
101,1.0,1,0.55,0.36,636,stable,1.0
102,1.0,0,0.22,0.98,653,stable,1.0
103,0.0,0,0.31,0.14,667,stable,1.0
104,0.0,1,0.6,0.28,633,stable,1.0
105,1.0,0,0.68,0.73,1023,stable,1.0
106,0.0,0,0.6,0.46,596,stable,1.0
107,0.0,1,0.32,0.85,638,stable,1.0
108,1.0,1,0.88,0.99,687,stable,1.0
109,1.0,1,0.97,0.87,729,stable,1.0
110,1.0,0,0.92,0.41,813,stable,1.0
111,0.0,1,0.36,0.32,731,stable,1.0
112,1.0,1,0.13,0.59,1204,stable,1.0
113,1.0,0,0.5,0.8,630,stable,1.0
114,0.0,0,0.49,0.61,958,stable,1.0
115,0.0,1,0.92,0.87,669,stable,1.0
116,0.0,1,0.28,0.95,699,stable,1.0
117,1.0,1,0.64,0.33,660,stable,1.0
118,1.0,1,0.59,0.97,1337,stable,1.0
119,1.0,1,0.44,0.52,623,stable,1.0
120,1.0,0,0.9,0.2,1052,stable,2.0
121,0.0,1,0.13,0.65,570,stable,2.0
122,1.0,1,0.47,0.69,587,stable,2.0
123,1.0,0,0.33,0.38,1128,stable,2.0
124,0.0,1,0.21,0.71,537,stable,2.0
125,1.0,1,0.81,0.55,603,stable,2.0
126,1.0,0,0.83,0.05,900,stable,2.0
127,0.0,1,0.75,0.71,1191,stable,2.0
