,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.84,0.97,1548,stable,0.0
1,1.0,1,0.8,0.32,632,stable,0.0
2,1.0,1,0.12,0.58,659,stable,0.0
3,1.0,0,0.72,0.17,2274,stable,0.0
4,1.0,1,0.98,0.72,1284,stable,0.0
5,1.0,1,0.1,0.63,683,stable,0.0
6,0.0,1,0.83,0.35,418,stable,0.0
7,1.0,0,0.29,0.49,715,stable,0.0
8,0.0,1,0.06,0.98,627,stable,0.0
9,1.0,0,0.95,0.54,914,stable,0.0
10,1.0,1,0.8,0.64,1171,stable,0.0
11,1.0,1,0.55,0.36,898,stable,0.0
12,1.0,0,0.22,0.98,1234,stable,0.0
13,0.0,0,0.31,0.14,986,stable,0.0
14,1.0,1,0.6,0.28,1243,stable,0.0
15,0.0,0,0.68,0.73,1147,stable,0.0
16,1.0,0,0.6,0.46,876,stable,0.0
17,1.0,1,0.32,0.85,659,stable,0.0
18,1.0,1,0.88,0.99,579,stable,0.0
19,1.0,1,0.97,0.87,641,stable,0.0
20,1.0,0,0.92,0.41,1004,stable,0.0
21,1.0,1,0.36,0.32,1199,stable,0.0
22,0.0,1,0.13,0.59,1147,stable,0.0
23,0.0,0,0.5,0.8,436,stable,0.0
24,1.0,0,0.49,0.61,697,stable,0.0
25,1.0,1,0.92,0.87,1431,stable,0.0
26,1.0,1,0.28,0.95,1569,stable,0.0
27,1.0,1,0.64,0.33,651,stable,0.0
28,1.0,1,0.59,0.97,603,stable,0.0
29,1.0,1,0.44,0.52,580,stable,0.0
30,1.0,0,0.9,0.2,787,stable,0.0
31,1.0,1,0.13,0.65,547,stable,0.0
32,1.0,1,0.47,0.69,747,stable,0.0
33,1.0,0,0.33,0.38,707,stable,0.0
34,1.0,1,0.21,0.71,2002,stable,0.0
35,1.0,1,0.81,0.55,1683,stable,0.0
36,1.0,0,0.83,0.05,1452,stable,0.0
37,1.0,1,0.75,0.71,1843,stable,0.0
38,1.0,1,0.79,0.73,843,stable,0.0
39,1.0,1,0.93,0.2,899,stable,0.0
40,1.0,1,0.8,0.89,770,stable,0.0
41,1.0,0,0.9,0.1,2011,stable,0.0
42,1.0,1,0.63,0.17,636,stable,0.0
43,1.0,0,0.74,0.05,443,stable,0.0
44,1.0,1,0.4,0.62,1946,stable,0.0
45,1.0,1,0.17,0.43,1942,stable,0.0
46,1.0,1,0.3,0.9,668,stable,0.0
47,1.0,0,0.9,0.56,819,stable,0.0
48,1.0,1,0.88,0.37,571,stable,0.0
49,1.0,1,0.4,0.38,804,stable,0.0
50,1.0,1,0.5,0.54,795,stable,0.0
51,1.0,0,0.56,0.07,795,stable,0.0
52,1.0,0,0.9,0.61,667,stable,0.0
53,1.0,0,0.82,0.12,740,stable,0.0
54,1.0,1,0.9,0.19,587,stable,0.0
55,1.0,1,0.46,0.51,787,stable,0.0
56,1.0,1,0.85,0.51,748,stable,0.0
57,1.0,1,0.65,0.41,779,stable,0.0
58,1.0,0,0.31,0.64,899,stable,0.0
59,0.0,1,0.07,0.76,1396,stable,0.0
60,1.0,1,0.13,0.65,651,stable,1.0
61,1.0,1,0.94,0.74,683,stable,1.0
62,1.0,0,0.87,0.37,1099,stable,1.0
63,1.0,1,0.43,0.4,1140,stable,1.0
64,1.0,1,0.25,0.58,515,stable,1.0
65,1.0,1,0.78,0.1,1155,stable,1.0
66,0.0,1,0.33,0.83,1708,stable,1.0
67,1.0,0,0.63,0.07,859,stable,1.0
68,1.0,1,0.71,0.59,827,stable,1.0
69,1.0,1,0.89,0.56,580,stable,1.0
70,1.0,1,0.44,0.91,1211,stable,1.0
71,1.0,1,0.96,0.22,603,stable,1.0
72,1.0,1,0.55,0.3,524,stable,1.0
73,1.0,0,0.69,0.86,515,stable,1.0
74,1.0,0,0.45,0.91,811,stable,1.0
75,1.0,0,0.87,0.09,643,stable,1.0
76,1.0,1,0.45,0.87,1428,stable,1.0
77,1.0,1,0.55,0.92,788,stable,1.0
78,1.0,1,0.57,0.9,715,stable,1.0
79,1.0,1,0.33,0.67,676,stable,1.0
80,1.0,1,0.52,0.39,747,stable,1.0
81,1.0,1,0.9,0.83,619,stable,1.0
82,1.0,0,0.23,0.38,884,stable,1.0
83,1.0,1,0.45,0.59,547,stable,1.0
84,1.0,1,0.6,0.25,779,stable,1.0
85,1.0,1,0.81,0.94,570,stable,1.0
86,1.0,1,0.49,0.43,1116,stable,1.0
87,1.0,0,0.42,0.65,714,stable,1.0
88,1.0,1,0.5,0.66,635,stable,1.0
89,1.0,1,0.89,0.35,923,stable,1.0
90,1.0,1,0.89,0.99,2340,volatile,1.0
91,1.0,0,0.96,0.96,1252,volatile,1.0
92,1.0,0,0.58,0.58,987,volatile,1.0
93,1.0,0,0.52,0.33,1115,volatile,1.0
94,0.0,1,0.02,0.92,739,volatile,1.0
95,0.0,0,0.93,0.34,803,volatile,1.0
96,0.0,0,0.08,0.28,1067,volatile,1.0
97,1.0,0,0.44,0.91,1195,volatile,1.0
98,0.0,0,0.6,0.78,971,volatile,1.0
99,0.0,1,0.35,0.42,803,volatile,1.0
100,1.0,0,0.5,0.82,1323,volatile,1.0
101,0.0,0,0.42,0.39,1334,volatile,1.0
102,0.0,0,0.29,0.54,1283,volatile,1.0
103,1.0,0,0.85,0.05,1027,volatile,1.0
104,1.0,0,0.96,0.99,2211,volatile,1.0
105,1.0,1,0.74,0.48,987,volatile,1.0
106,0.0,0,0.95,0.93,1259,volatile,1.0
107,0.0,0,0.33,0.68,924,volatile,1.0
108,1.0,0,0.87,0.46,1243,volatile,1.0
109,0.0,0,0.85,0.98,882,volatile,1.0
110,0.0,1,0.24,0.3,1116,volatile,1.0
111,1.0,1,0.36,0.32,1386,volatile,1.0
112,0.0,0,0.19,0.6,1003,volatile,1.0
113,1.0,1,0.57,0.91,1155,volatile,1.0
