,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.89,0.99,1469,volatile,0.0
1,1.0,0,0.96,0.96,1034,volatile,0.0
2,1.0,0,0.58,0.58,721,volatile,0.0
3,0.0,0,0.52,0.33,511,volatile,0.0
4,0.0,1,0.02,0.92,753,volatile,0.0
5,1.0,0,0.93,0.34,658,volatile,0.0
6,0.0,0,0.08,0.28,456,volatile,0.0
7,1.0,0,0.44,0.91,509,volatile,0.0
8,0.0,0,0.6,0.78,583,volatile,0.0
9,0.0,1,0.35,0.42,693,volatile,0.0
10,1.0,0,0.5,0.82,491,volatile,0.0
11,1.0,0,0.42,0.39,480,volatile,0.0
12,1.0,0,0.29,0.54,471,volatile,0.0
13,0.0,0,0.85,0.05,446,volatile,0.0
14,1.0,0,0.96,0.99,569,volatile,0.0
15,1.0,1,0.74,0.48,640,volatile,0.0
16,1.0,0,0.95,0.93,688,volatile,0.0
17,0.0,0,0.33,0.68,460,volatile,0.0
18,1.0,0,0.87,0.46,1115,volatile,0.0
19,1.0,0,0.85,0.98,692,volatile,0.0
20,0.0,1,0.24,0.3,458,volatile,0.0
21,1.0,1,0.36,0.32,488,volatile,0.0
22,0.0,0,0.19,0.6,1014,volatile,0.0
23,0.0,1,0.57,0.91,726,volatile,0.0
24,1.0,0,0.44,0.37,549,volatile,0.0
25,1.0,1,0.45,0.28,592,volatile,0.0
26,1.0,1,0.52,0.51,771,volatile,0.0
27,1.0,1,0.72,0.55,732,volatile,0.0
28,1.0,1,0.72,0.99,856,volatile,0.0
29,0.0,1,0.07,0.71,523,volatile,0.0
30,0.0,1,0.41,0.77,546,volatile,0.0
31,0.0,1,0.89,0.71,489,volatile,0.0
32,1.0,1,0.56,0.72,524,volatile,0.0
33,1.0,1,0.41,0.71,588,volatile,0.0
34,1.0,0,0.99,0.86,678,volatile,0.0
35,0.0,1,0.61,0.98,514,volatile,0.0
36,1.0,0,0.58,0.42,759,volatile,0.0
37,1.0,0,0.72,0.68,670,volatile,0.0
38,0.0,0,0.56,0.46,482,volatile,0.0
39,1.0,0,0.4,0.41,925,volatile,0.0
40,1.0,0,0.71,0.53,703,volatile,0.0
41,1.0,0,0.78,0.86,530,volatile,0.0
42,1.0,0,0.33,0.33,841,volatile,0.0
43,0.0,1,0.95,0.86,584,volatile,0.0
44,1.0,1,0.03,0.53,834,volatile,0.0
45,1.0,0,0.34,0.92,1008,volatile,0.0
46,1.0,0,0.31,0.29,498,volatile,0.0
47,1.0,0,0.72,0.93,765,volatile,0.0
48,1.0,0,0.42,0.86,417,volatile,0.0
49,0.0,0,0.91,0.32,454,volatile,0.0
50,0.0,1,0.64,0.13,871,volatile,0.0
51,1.0,0,0.45,0.67,648,volatile,0.0
52,0.0,0,0.46,0.79,505,volatile,0.0
53,1.0,0,0.88,0.39,736,volatile,0.0
54,0.0,0,0.38,0.39,521,volatile,0.0
55,1.0,0,0.71,0.85,470,volatile,0.0
56,1.0,0,0.32,0.1,489,volatile,0.0
57,0.0,1,0.86,0.45,339,volatile,0.0
58,1.0,0,0.92,0.83,451,volatile,0.0
59,0.0,1,0.16,0.84,448,volatile,0.0
60,0.0,0,0.34,0.89,530,volatile,1.0
61,1.0,1,0.35,0.75,646,volatile,1.0
62,1.0,1,0.92,0.68,504,volatile,1.0
63,1.0,1,0.25,0.13,538,volatile,1.0
64,1.0,1,0.77,0.74,402,volatile,1.0
65,1.0,1,0.13,0.62,718,volatile,1.0
66,0.0,0,0.65,0.73,470,volatile,1.0
67,1.0,0,0.37,0.95,616,volatile,1.0
68,0.0,0,0.96,0.63,758,volatile,1.0
69,0.0,1,0.39,0.47,547,volatile,1.0
70,0.0,1,0.59,0.49,448,volatile,1.0
71,0.0,1,0.43,0.87,425,volatile,1.0
72,0.0,1,0.04,0.82,525,volatile,1.0
73,0.0,1,0.27,0.61,498,volatile,1.0
74,1.0,1,0.36,0.57,449,volatile,1.0
75,0.0,1,0.25,0.67,589,volatile,1.0
76,0.0,1,0.83,0.51,433,volatile,1.0
77,1.0,1,0.38,0.87,637,volatile,1.0
78,0.0,1,0.78,0.3,560,volatile,1.0
79,0.0,1,0.95,0.84,470,volatile,1.0
80,0.0,0,0.93,0.68,513,volatile,1.0
81,1.0,0,0.54,0.3,659,volatile,1.0
82,1.0,0,0.72,0.91,512,volatile,1.0
83,1.0,1,0.02,0.77,397,volatile,1.0
84,0.0,1,0.49,0.53,676,volatile,1.0
85,1.0,0,0.56,0.51,463,volatile,1.0
86,1.0,0,0.54,0.49,443,volatile,1.0
87,0.0,0,0.51,0.85,577,volatile,1.0
88,1.0,0,0.06,0.88,1169,volatile,1.0
89,0.0,0,0.84,0.93,560,volatile,1.0
90,1.0,1,0.84,0.97,1327,stable,1.0
91,1.0,1,0.8,0.32,603,stable,1.0
92,0.0,1,0.12,0.58,522,stable,1.0
93,0.0,0,0.72,0.17,416,stable,1.0
94,0.0,1,0.98,0.72,351,stable,1.0
95,1.0,1,0.1,0.63,501,stable,1.0
96,1.0,1,0.83,0.35,428,stable,1.0
97,0.0,0,0.29,0.49,750,stable,1.0
98,1.0,1,0.06,0.98,393,stable,1.0
99,0.0,0,0.95,0.54,452,stable,1.0
100,1.0,1,0.8,0.64,399,stable,1.0
101,1.0,1,0.55,0.36,421,stable,1.0
102,1.0,0,0.22,0.98,484,stable,1.0
103,0.0,0,0.31,0.14,445,stable,1.0
104,0.0,1,0.6,0.28,416,stable,1.0
105,1.0,0,0.68,0.73,498,stable,1.0
106,1.0,0,0.6,0.46,450,stable,1.0
107,1.0,1,0.32,0.85,538,stable,1.0
108,1.0,1,0.88,0.99,548,stable,1.0
109,1.0,1,0.97,0.87,715,stable,1.0
110,1.0,0,0.92,0.41,773,stable,1.0
111,1.0,1,0.36,0.32,594,stable,1.0
112,1.0,1,0.13,0.59,666,stable,1.0
