,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.84,0.97,1233,stable,0.0
1,1.0,1,0.8,0.32,1284,stable,0.0
2,1.0,1,0.12,0.58,1384,stable,0.0
3,1.0,0,0.72,0.17,714,stable,0.0
4,1.0,1,0.98,0.72,825,stable,0.0
5,1.0,1,0.1,0.63,794,stable,0.0
6,1.0,1,0.83,0.35,516,stable,0.0
7,1.0,0,0.29,0.49,631,stable,0.0
8,1.0,1,0.06,0.98,676,stable,0.0
9,1.0,0,0.95,0.54,601,stable,0.0
10,1.0,1,0.8,0.64,601,stable,0.0
11,1.0,1,0.55,0.36,554,stable,0.0
12,1.0,0,0.22,0.98,527,stable,0.0
13,1.0,0,0.31,0.14,647,stable,0.0
14,1.0,1,0.6,0.28,602,stable,0.0
15,1.0,0,0.68,0.73,729,stable,0.0
16,1.0,0,0.6,0.46,577,stable,0.0
17,1.0,1,0.32,0.85,586,stable,0.0
18,1.0,1,0.88,0.99,571,stable,0.0
19,1.0,1,0.97,0.87,582,stable,0.0
20,1.0,0,0.92,0.41,503,stable,0.0
21,1.0,1,0.36,0.32,571,stable,0.0
22,1.0,1,0.13,0.59,552,stable,0.0
23,1.0,0,0.5,0.8,536,stable,0.0
24,1.0,0,0.49,0.61,521,stable,0.0
25,1.0,1,0.92,0.87,522,stable,0.0
26,1.0,1,0.28,0.95,586,stable,0.0
27,1.0,1,0.64,0.33,523,stable,0.0
28,1.0,1,0.59,0.97,652,stable,0.0
29,1.0,1,0.44,0.52,585,stable,0.0
30,1.0,0,0.9,0.2,610,stable,0.0
31,1.0,1,0.13,0.65,632,stable,0.0
32,1.0,1,0.47,0.69,697,stable,0.0
33,1.0,0,0.33,0.38,666,stable,0.0
34,1.0,1,0.21,0.71,602,stable,0.0
35,1.0,1,0.81,0.55,621,stable,0.0
36,1.0,0,0.83,0.05,585,stable,0.0
37,1.0,1,0.75,0.71,620,stable,0.0
38,1.0,1,0.79,0.73,651,stable,0.0
39,1.0,1,0.93,0.2,518,stable,0.0
40,1.0,1,0.8,0.89,585,stable,0.0
