,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.84,0.97,971,stable,0.0
1,1.0,1,0.8,0.32,582,stable,0.0
2,1.0,1,0.12,0.58,504,stable,0.0
3,1.0,0,0.72,0.17,516,stable,0.0
4,0.0,1,0.98,0.72,584,stable,0.0
5,0.0,1,0.1,0.63,633,stable,0.0
6,1.0,1,0.83,0.35,570,stable,0.0
7,1.0,0,0.29,0.49,573,stable,0.0
8,1.0,1,0.06,0.98,617,stable,0.0
9,1.0,0,0.95,0.54,847,stable,0.0
10,0.0,1,0.8,0.64,836,stable,0.0
11,1.0,1,0.55,0.36,1377,stable,0.0
12,1.0,0,0.22,0.98,885,stable,0.0
13,1.0,0,0.31,0.14,754,stable,0.0
14,1.0,1,0.6,0.28,799,stable,0.0
15,1.0,0,0.68,0.73,624,stable,0.0
16,1.0,0,0.6,0.46,745,stable,0.0
17,1.0,1,0.32,0.85,714,stable,0.0
18,1.0,1,0.88,0.99,1186,stable,0.0
19,1.0,1,0.97,0.87,946,stable,0.0
20,1.0,0,0.92,0.41,895,stable,0.0
21,1.0,1,0.36,0.32,1828,stable,0.0
22,0.0,1,0.13,0.59,1440,stable,0.0
23,0.0,0,0.5,0.8,1081,stable,0.0
24,1.0,0,0.49,0.61,1588,stable,0.0
25,1.0,1,0.92,0.87,1809,stable,0.0
26,0.0,1,0.28,0.95,1629,stable,0.0
27,1.0,1,0.64,0.33,1342,stable,0.0
28,0.0,1,0.59,0.97,1847,stable,0.0
29,0.0,1,0.44,0.52,1365,stable,0.0
30,1.0,0,0.9,0.2,1663,stable,0.0
31,0.0,1,0.13,0.65,1652,stable,0.0
32,0.0,1,0.47,0.69,2195,stable,0.0
33,1.0,0,0.33,0.38,1909,stable,0.0
34,0.0,1,0.21,0.71,1429,stable,0.0
35,1.0,1,0.81,0.55,1494,stable,0.0
36,1.0,0,0.83,0.05,1724,stable,0.0
37,1.0,1,0.75,0.71,1539,stable,0.0
38,1.0,1,0.79,0.73,1467,stable,0.0
39,1.0,1,0.93,0.2,1825,stable,0.0
40,1.0,1,0.8,0.89,1488,stable,0.0
41,1.0,0,0.9,0.1,1531,stable,0.0
42,1.0,1,0.63,0.17,1580,stable,0.0
43,1.0,0,0.74,0.05,1337,stable,0.0
44,1.0,1,0.4,0.62,1702,stable,0.0
45,1.0,1,0.17,0.43,2507,stable,0.0
46,1.0,1,0.3,0.9,2250,stable,0.0
47,0.0,0,0.9,0.56,2542,stable,0.0
48,0.0,1,0.88,0.37,1618,stable,0.0
49,1.0,1,0.4,0.38,2544,stable,0.0
50,1.0,1,0.5,0.54,1599,stable,0.0
51,1.0,0,0.56,0.07,1894,stable,0.0
52,1.0,0,0.9,0.61,1950,stable,0.0
53,1.0,0,0.82,0.12,1799,stable,0.0
54,1.0,1,0.9,0.19,2488,stable,0.0
55,1.0,1,0.46,0.51,2067,stable,0.0
56,1.0,1,0.85,0.51,1718,stable,0.0
57,1.0,1,0.65,0.41,833,stable,0.0
58,0.0,0,0.31,0.64,1056,stable,0.0
59,0.0,1,0.07,0.76,1170,stable,0.0
60,1.0,1,0.13,0.65,1117,stable,1.0
61,1.0,1,0.94,0.74,1201,stable,1.0
62,0.0,0,0.87,0.37,1117,stable,1.0
63,0.0,1,0.43,0.4,1835,stable,1.0
64,0.0,1,0.25,0.58,1071,stable,1.0
65,0.0,1,0.78,0.1,1450,stable,1.0
66,1.0,1,0.33,0.83,740,stable,1.0
67,0.0,0,0.63,0.07,3588,stable,1.0
68,1.0,1,0.71,0.59,2009,stable,1.0
69,1.0,1,0.89,0.56,1210,stable,1.0
70,1.0,1,0.44,0.91,1704,stable,1.0
71,1.0,1,0.96,0.22,1771,stable,1.0
72,1.0,1,0.55,0.3,1650,stable,1.0
73,1.0,0,0.69,0.86,1651,stable,1.0
74,1.0,0,0.45,0.91,1006,stable,1.0
75,1.0,0,0.87,0.09,989,stable,1.0
76,1.0,1,0.45,0.87,2140,stable,1.0
77,1.0,1,0.55,0.92,2529,stable,1.0
78,1.0,1,0.57,0.9,2177,stable,1.0
79,1.0,1,0.33,0.67,1021,stable,1.0
80,1.0,1,0.52,0.39,1533,stable,1.0
81,1.0,1,0.9,0.83,2289,stable,1.0
82,1.0,0,0.23,0.38,1299,stable,1.0
83,1.0,1,0.45,0.59,1054,stable,1.0
84,1.0,1,0.6,0.25,1807,stable,1.0
85,1.0,1,0.81,0.94,993,stable,1.0
86,1.0,1,0.49,0.43,1173,stable,1.0
87,1.0,0,0.42,0.65,689,stable,1.0
88,1.0,1,0.5,0.66,1730,stable,1.0
89,1.0,1,0.89,0.35,1000,stable,1.0
90,1.0,1,0.89,0.99,1255,volatile,1.0
91,1.0,0,0.96,0.96,1641,volatile,1.0
92,1.0,0,0.58,0.58,849,volatile,1.0
93,1.0,0,0.52,0.33,1633,volatile,1.0
94,0.0,1,0.02,0.92,1972,volatile,1.0
95,1.0,0,0.93,0.34,1930,volatile,1.0
96,1.0,0,0.08,0.28,1250,volatile,1.0
97,1.0,0,0.44,0.91,928,volatile,1.0
98,1.0,0,0.6,0.78,2335,volatile,1.0
99,1.0,1,0.35,0.42,2190,volatile,1.0
100,1.0,0,0.5,0.82,1598,volatile,1.0
101,1.0,0,0.42,0.39,1644,volatile,1.0
102,1.0,0,0.29,0.54,1571,volatile,1.0
103,1.0,0,0.85,0.05,1651,volatile,1.0
104,1.0,0,0.96,0.99,1853,volatile,1.0
105,1.0,1,0.74,0.48,2046,volatile,1.0
106,1.0,0,0.95,0.93,1721,volatile,1.0
107,1.0,0,0.33,0.68,1735,volatile,1.0
108,1.0,0,0.87,0.46,1555,volatile,1.0
109,1.0,0,0.85,0.98,1864,volatile,1.0
110,1.0,1,0.24,0.3,877,volatile,1.0
111,1.0,1,0.36,0.32,695,volatile,1.0
112,1.0,0,0.19,0.6,2289,volatile,1.0
113,1.0,1,0.57,0.91,1346,volatile,1.0
114,1.0,0,0.44,0.37,2346,volatile,1.0
115,1.0,1,0.45,0.28,1810,volatile,1.0
116,1.0,1,0.52,0.51,815,volatile,1.0
117,1.0,1,0.72,0.55,889,volatile,1.0
118,1.0,1,0.72,0.99,636,volatile,1.0
119,0.0,1,0.07,0.71,1229,volatile,1.0
120,0.0,1,0.41,0.77,2038,volatile,2.0
121,0.0,1,0.89,0.71,706,volatile,2.0
122,0.0,1,0.56,0.72,2349,volatile,2.0
123,1.0,1,0.41,0.71,2263,volatile,2.0
124,1.0,0,0.99,0.86,1245,volatile,2.0
125,1.0,1,0.61,0.98,2386,volatile,2.0
126,1.0,0,0.58,0.42,2549,volatile,2.0
127,1.0,0,0.72,0.68,1312,volatile,2.0
128,1.0,0,0.56,0.46,1928,volatile,2.0
129,1.0,0,0.4,0.41,2736,volatile,2.0
130,1.0,0,0.71,0.53,2591,volatile,2.0
131,1.0,0,0.78,0.86,2990,volatile,2.0
132,1.0,0,0.33,0.33,1575,volatile,2.0
133,1.0,1,0.95,0.86,1833,volatile,2.0
134,0.0,1,0.03,0.53,2652,volatile,2.0
135,1.0,0,0.34,0.92,1606,volatile,2.0
136,1.0,0,0.31,0.29,2880,volatile,2.0
137,1.0,0,0.72,0.93,1126,volatile,2.0
138,1.0,0,0.42,0.86,1175,volatile,2.0
139,1.0,0,0.91,0.32,931,volatile,2.0
140,1.0,1,0.64,0.13,925,volatile,2.0
141,1.0,0,0.45,0.67,2433,volatile,2.0
142,1.0,0,0.46,0.79,1471,volatile,2.0
143,1.0,0,0.88,0.39,1874,volatile,2.0
144,1.0,0,0.38,0.39,1880,volatile,2.0
145,1.0,0,0.71,0.85,1507,volatile,2.0
146,1.0,0,0.32,0.1,1251,volatile,2.0
147,1.0,1,0.86,0.45,1032,volatile,2.0
148,1.0,0,0.92,0.83,1883,volatile,2.0
149,1.0,1,0.16,0.84,1648,volatile,2.0
150,1.0,0,0.34,0.89,1548,volatile,2.0
151,1.0,1,0.35,0.75,1790,volatile,2.0
152,1.0,1,0.92,0.68,1964,volatile,2.0
153,1.0,1,0.25,0.13,3523,volatile,2.0
154,1.0,1,0.77,0.74,4334,volatile,2.0
155,1.0,1,0.13,0.62,2910,volatile,2.0
156,1.0,0,0.65,0.73,1536,volatile,2.0
157,1.0,0,0.37,0.95,1586,volatile,2.0
158,1.0,0,0.96,0.63,1706,volatile,2.0
159,0.0,1,0.39,0.47,1153,volatile,2.0
160,1.0,1,0.59,0.49,3062,volatile,2.0
161,1.0,1,0.43,0.87,1999,volatile,2.0
162,0.0,1,0.04,0.82,1876,volatile,2.0
163,1.0,1,0.27,0.61,1532,volatile,2.0
164,1.0,1,0.36,0.57,1505,volatile,2.0
165,0.0,1,0.25,0.67,466,volatile,2.0
166,0.0,1,0.83,0.51,426,volatile,2.0
167,1.0,1,0.38,0.87,1719,volatile,2.0
168,1.0,1,0.78,0.3,1354,volatile,2.0
169,0.0,1,0.95,0.84,4628,volatile,2.0
170,0.0,0,0.93,0.68,888,volatile,2.0
171,0.0,0,0.54,0.3,1701,volatile,2.0
172,1.0,0,0.72,0.91,1336,volatile,2.0
173,0.0,1,0.02,0.77,1147,volatile,2.0
174,0.0,1,0.49,0.53,1300,volatile,2.0
175,1.0,0,0.56,0.51,699,volatile,2.0
176,1.0,0,0.54,0.49,1332,volatile,2.0
177,1.0,0,0.51,0.85,563,volatile,2.0
178,1.0,0,0.06,0.88,2135,volatile,2.0
179,1.0,0,0.84,0.93,1368,volatile,2.0
