,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.89,0.99,1893,volatile,0.0
1,1.0,0,0.96,0.96,1302,volatile,0.0
2,1.0,0,0.58,0.58,515,volatile,0.0
3,1.0,0,0.52,0.33,1338,volatile,0.0
4,0.0,1,0.02,0.92,862,volatile,0.0
5,1.0,0,0.93,0.34,971,volatile,0.0
6,0.0,0,0.08,0.28,788,volatile,0.0
7,1.0,0,0.44,0.91,1153,volatile,0.0
8,0.0,0,0.6,0.78,943,volatile,0.0
9,0.0,1,0.35,0.42,1122,volatile,0.0
10,0.0,0,0.5,0.82,1107,volatile,0.0
11,1.0,0,0.42,0.39,1170,volatile,0.0
12,0.0,0,0.29,0.54,974,volatile,0.0
13,1.0,0,0.85,0.05,913,volatile,0.0
14,0.0,0,0.96,0.99,1009,volatile,0.0
15,1.0,1,0.74,0.48,1130,volatile,0.0
16,0.0,0,0.95,0.93,864,volatile,0.0
17,1.0,0,0.33,0.68,890,volatile,0.0
18,1.0,0,0.87,0.46,1057,volatile,0.0
19,0.0,0,0.85,0.98,1655,volatile,0.0
20,0.0,1,0.24,0.3,960,volatile,0.0
21,0.0,1,0.36,0.32,1004,volatile,0.0
22,0.0,0,0.19,0.6,817,volatile,0.0
23,0.0,1,0.57,0.91,730,volatile,0.0
24,1.0,0,0.44,0.37,1128,volatile,0.0
25,1.0,1,0.45,0.28,906,volatile,0.0
26,1.0,1,0.52,0.51,975,volatile,0.0
27,0.0,1,0.72,0.55,885,volatile,0.0
28,1.0,1,0.72,0.99,771,volatile,0.0
29,0.0,1,0.07,0.71,745,volatile,0.0
30,0.0,1,0.41,0.77,1228,volatile,0.0
31,1.0,1,0.89,0.71,850,volatile,0.0
32,0.0,1,0.56,0.72,968,volatile,0.0
33,0.0,1,0.41,0.71,1114,volatile,0.0
34,1.0,0,0.99,0.86,1035,volatile,0.0
35,0.0,1,0.61,0.98,735,volatile,0.0
36,1.0,0,0.58,0.42,472,volatile,0.0
37,1.0,0,0.72,0.68,832,volatile,0.0
38,1.0,0,0.56,0.46,882,volatile,0.0
39,0.0,0,0.4,0.41,710,volatile,0.0
40,1.0,0,0.71,0.53,973,volatile,0.0
41,1.0,0,0.78,0.86,962,volatile,0.0
42,1.0,0,0.33,0.33,947,volatile,0.0
43,1.0,1,0.95,0.86,904,volatile,0.0
44,0.0,1,0.03,0.53,866,volatile,0.0
45,0.0,0,0.34,0.92,1648,volatile,0.0
46,1.0,0,0.31,0.29,1165,volatile,0.0
47,0.0,0,0.72,0.93,838,volatile,0.0
48,0.0,0,0.42,0.86,994,volatile,0.0
49,1.0,0,0.91,0.32,1022,volatile,0.0
50,1.0,1,0.64,0.13,989,volatile,0.0
51,0.0,0,0.45,0.67,905,volatile,0.0
52,0.0,0,0.46,0.79,683,volatile,0.0
53,1.0,0,0.88,0.39,850,volatile,0.0
54,1.0,0,0.38,0.39,793,volatile,0.0
55,1.0,0,0.71,0.85,844,volatile,0.0
56,1.0,0,0.32,0.1,734,volatile,0.0
57,1.0,1,0.86,0.45,858,volatile,0.0
58,1.0,0,0.92,0.83,1104,volatile,0.0
59,0.0,1,0.16,0.84,1249,volatile,0.0
60,0.0,0,0.34,0.89,1132,volatile,1.0
61,0.0,1,0.35,0.75,1027,volatile,1.0
62,1.0,1,0.92,0.68,738,volatile,1.0
63,1.0,1,0.25,0.13,986,volatile,1.0
64,1.0,1,0.77,0.74,1186,volatile,1.0
65,0.0,1,0.13,0.62,906,volatile,1.0
66,0.0,0,0.65,0.73,882,volatile,1.0
67,0.0,0,0.37,0.95,969,volatile,1.0
68,1.0,0,0.96,0.63,986,volatile,1.0
69,1.0,1,0.39,0.47,826,volatile,1.0
70,1.0,1,0.59,0.49,862,volatile,1.0
71,0.0,1,0.43,0.87,986,volatile,1.0
72,0.0,1,0.04,0.82,864,volatile,1.0
73,0.0,1,0.27,0.61,2641,volatile,1.0
74,0.0,1,0.36,0.57,1010,volatile,1.0
75,0.0,1,0.25,0.67,1052,volatile,1.0
76,1.0,1,0.83,0.51,1066,volatile,1.0
77,0.0,1,0.38,0.87,827,volatile,1.0
78,1.0,1,0.78,0.3,863,volatile,1.0
79,1.0,1,0.95,0.84,807,volatile,1.0
80,1.0,0,0.93,0.68,1074,volatile,1.0
81,1.0,0,0.54,0.3,923,volatile,1.0
82,0.0,0,0.72,0.91,1034,volatile,1.0
83,0.0,1,0.02,0.77,1129,volatile,1.0
84,0.0,1,0.49,0.53,1396,volatile,1.0
85,1.0,0,0.56,0.51,1714,volatile,1.0
86,1.0,0,0.54,0.49,1091,volatile,1.0
87,0.0,0,0.51,0.85,1027,volatile,1.0
88,0.0,0,0.06,0.88,1125,volatile,1.0
89,0.0,0,0.84,0.93,1193,volatile,1.0
90,0.0,1,0.84,0.97,1173,stable,1.0
91,1.0,1,0.8,0.32,868,stable,1.0
92,0.0,1,0.12,0.58,755,stable,1.0
