,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.84,0.97,974,stable,0.0
1,1.0,1,0.8,0.32,421,stable,0.0
2,1.0,1,0.12,0.58,1011,stable,0.0
3,1.0,0,0.72,0.17,546,stable,0.0
4,1.0,1,0.98,0.72,732,stable,0.0
5,1.0,1,0.1,0.63,1013,stable,0.0
6,1.0,1,0.83,0.35,747,stable,0.0
7,1.0,0,0.29,0.49,584,stable,0.0
8,0.0,1,0.06,0.98,976,stable,0.0
9,1.0,0,0.95,0.54,631,stable,0.0
10,1.0,1,0.8,0.64,632,stable,0.0
11,1.0,1,0.55,0.36,631,stable,0.0
12,0.0,0,0.22,0.98,1015,stable,0.0
13,1.0,0,0.31,0.14,718,stable,0.0
14,1.0,1,0.6,0.28,714,stable,0.0
15,1.0,0,0.68,0.73,1018,stable,0.0
16,1.0,0,0.6,0.46,937,stable,0.0
17,1.0,1,0.32,0.85,793,stable,0.0
18,1.0,1,0.88,0.99,795,stable,0.0
19,1.0,1,0.97,0.87,496,stable,0.0
20,1.0,0,0.92,0.41,737,stable,0.0
21,1.0,1,0.36,0.32,732,stable,0.0
22,0.0,1,0.13,0.59,917,stable,0.0
23,1.0,0,0.5,0.8,639,stable,0.0
24,1.0,0,0.49,0.61,647,stable,0.0
25,1.0,1,0.92,0.87,731,stable,0.0
26,1.0,1,0.28,0.95,1317,stable,0.0
27,1.0,1,0.64,0.33,804,stable,0.0
28,1.0,1,0.59,0.97,774,stable,0.0
29,1.0,1,0.44,0.52,736,stable,0.0
30,1.0,0,0.9,0.2,778,stable,0.0
31,0.0,1,0.13,0.65,1115,stable,0.0
32,1.0,1,0.47,0.69,757,stable,0.0
33,1.0,0,0.33,0.38,825,stable,0.0
34,1.0,1,0.21,0.71,738,stable,0.0
35,1.0,1,0.81,0.55,792,stable,0.0
36,1.0,0,0.83,0.05,610,stable,0.0
37,1.0,1,0.75,0.71,709,stable,0.0
38,1.0,1,0.79,0.73,645,stable,0.0
39,1.0,1,0.93,0.2,630,stable,0.0
40,1.0,1,0.8,0.89,762,stable,0.0
41,1.0,0,0.9,0.1,738,stable,0.0
42,1.0,1,0.63,0.17,700,stable,0.0
43,1.0,0,0.74,0.05,537,stable,0.0
44,1.0,1,0.4,0.62,809,stable,0.0
45,1.0,1,0.17,0.43,1001,stable,0.0
46,0.0,1,0.3,0.9,933,stable,0.0
47,1.0,0,0.9,0.56,740,stable,0.0
48,1.0,1,0.88,0.37,804,stable,0.0
49,1.0,1,0.4,0.38,1134,stable,0.0
50,1.0,1,0.5,0.54,895,stable,0.0
51,1.0,0,0.56,0.07,672,stable,0.0
52,1.0,0,0.9,0.61,1237,stable,0.0
53,1.0,0,0.82,0.12,602,stable,0.0
54,1.0,1,0.9,0.19,1002,stable,0.0
55,1.0,1,0.46,0.51,839,stable,0.0
56,1.0,1,0.85,0.51,720,stable,0.0
57,1.0,1,0.65,0.41,643,stable,0.0
58,1.0,0,0.31,0.64,914,stable,0.0
59,0.0,1,0.07,0.76,932,stable,0.0
60,0.0,1,0.13,0.65,977,stable,1.0
61,1.0,1,0.94,0.74,588,stable,1.0
62,1.0,0,0.87,0.37,702,stable,1.0
63,1.0,1,0.43,0.4,1205,stable,1.0
64,0.0,1,0.25,0.58,962,stable,1.0
65,1.0,1,0.78,0.1,830,stable,1.0
66,1.0,1,0.33,0.83,1141,stable,1.0
67,1.0,0,0.63,0.07,820,stable,1.0
68,1.0,1,0.71,0.59,788,stable,1.0
69,1.0,1,0.89,0.56,1106,stable,1.0
70,1.0,1,0.44,0.91,569,stable,1.0
71,1.0,1,0.96,0.22,736,stable,1.0
72,1.0,1,0.55,0.3,768,stable,1.0
73,1.0,0,0.69,0.86,831,stable,1.0
74,1.0,0,0.45,0.91,839,stable,1.0
75,1.0,0,0.87,0.09,592,stable,1.0
76,1.0,1,0.45,0.87,688,stable,1.0
77,1.0,1,0.55,0.92,692,stable,1.0
78,1.0,1,0.57,0.9,941,stable,1.0
79,1.0,1,0.33,0.67,965,stable,1.0
80,1.0,1,0.52,0.39,918,stable,1.0
81,1.0,1,0.9,0.83,655,stable,1.0
82,1.0,0,0.23,0.38,1077,stable,1.0
83,1.0,1,0.45,0.59,907,stable,1.0
84,1.0,1,0.6,0.25,1233,stable,1.0
85,1.0,1,0.81,0.94,910,stable,1.0
86,1.0,1,0.49,0.43,572,stable,1.0
87,1.0,0,0.42,0.65,657,stable,1.0
88,1.0,1,0.5,0.66,725,stable,1.0
89,1.0,1,0.89,0.35,569,stable,1.0
90,1.0,1,0.89,0.99,1042,volatile,1.0
91,1.0,0,0.96,0.96,697,volatile,1.0
92,1.0,0,0.58,0.58,568,volatile,1.0
93,1.0,0,0.52,0.33,471,volatile,1.0
94,1.0,1,0.02,0.92,1075,volatile,1.0
95,1.0,0,0.93,0.34,630,volatile,1.0
96,0.0,0,0.08,0.28,1249,volatile,1.0
97,1.0,0,0.44,0.91,2718,volatile,1.0
98,1.0,0,0.6,0.78,786,volatile,1.0
99,1.0,1,0.35,0.42,645,volatile,1.0
100,1.0,0,0.5,0.82,798,volatile,1.0
101,1.0,0,0.42,0.39,1147,volatile,1.0
102,1.0,0,0.29,0.54,905,volatile,1.0
103,1.0,0,0.85,0.05,1169,volatile,1.0
104,1.0,0,0.96,0.99,965,volatile,1.0
105,1.0,1,0.74,0.48,648,volatile,1.0
106,1.0,0,0.95,0.93,745,volatile,1.0
107,0.0,0,0.33,0.68,918,volatile,1.0
108,1.0,0,0.87,0.46,919,volatile,1.0
109,0.0,0,0.85,0.98,1498,volatile,1.0
110,0.0,1,0.24,0.3,1238,volatile,1.0
111,1.0,1,0.36,0.32,802,volatile,1.0
112,0.0,0,0.19,0.6,772,volatile,1.0
113,0.0,1,0.57,0.91,976,volatile,1.0
114,1.0,0,0.44,0.37,1283,volatile,1.0
115,1.0,1,0.45,0.28,853,volatile,1.0
116,0.0,1,0.52,0.51,1325,volatile,1.0
117,1.0,1,0.72,0.55,1029,volatile,1.0
118,0.0,1,0.72,0.99,1042,volatile,1.0
119,0.0,1,0.07,0.71,1232,volatile,1.0
120,0.0,1,0.41,0.77,1367,volatile,2.0
121,1.0,1,0.89,0.71,755,volatile,2.0
122,1.0,1,0.56,0.72,1189,volatile,2.0
123,1.0,1,0.41,0.71,1064,volatile,2.0
124,1.0,0,0.99,0.86,1042,volatile,2.0
125,1.0,1,0.61,0.98,1047,volatile,2.0
126,1.0,0,0.58,0.42,729,volatile,2.0
127,1.0,0,0.72,0.68,1024,volatile,2.0
128,1.0,0,0.56,0.46,1297,volatile,2.0
129,1.0,0,0.4,0.41,976,volatile,2.0
130,1.0,0,0.71,0.53,720,volatile,2.0
131,1.0,0,0.78,0.86,770,volatile,2.0
132,1.0,0,0.33,0.33,915,volatile,2.0
133,1.0,1,0.95,0.86,1241,volatile,2.0
134,0.0,1,0.03,0.53,949,volatile,2.0
135,0.0,0,0.34,0.92,978,volatile,2.0
136,0.0,0,0.31,0.29,1019,volatile,2.0
137,1.0,0,0.72,0.93,850,volatile,2.0
138,0.0,0,0.42,0.86,783,volatile,2.0
139,1.0,0,0.91,0.32,743,volatile,2.0
140,1.0,1,0.64,0.13,1229,volatile,2.0
141,0.0,0,0.45,0.67,1284,volatile,2.0
142,0.0,0,0.46,0.79,927,volatile,2.0
143,1.0,0,0.88,0.39,1499,volatile,2.0
144,1.0,0,0.38,0.39,803,volatile,2.0
145,1.0,0,0.71,0.85,773,volatile,2.0
146,1.0,0,0.32,0.1,641,volatile,2.0
147,1.0,1,0.86,0.45,689,volatile,2.0
148,1.0,0,0.92,0.83,571,volatile,2.0
149,0.0,1,0.16,0.84,1094,volatile,2.0
150,0.0,0,0.34,0.89,850,volatile,2.0
151,0.0,1,0.35,0.75,781,volatile,2.0
152,1.0,1,0.92,0.68,850,volatile,2.0
153,1.0,1,0.25,0.13,801,volatile,2.0
154,1.0,1,0.77,0.74,931,volatile,2.0
155,0.0,1,0.13,0.62,695,volatile,2.0
156,1.0,0,0.65,0.73,1015,volatile,2.0
157,1.0,0,0.37,0.95,707,volatile,2.0
158,1.0,0,0.96,0.63,722,volatile,2.0
159,1.0,1,0.39,0.47,906,volatile,2.0
160,1.0,1,0.59,0.49,807,volatile,2.0
161,1.0,1,0.43,0.87,1215,volatile,2.0
162,0.0,1,0.04,0.82,1282,volatile,2.0
163,0.0,1,0.27,0.61,883,volatile,2.0
164,0.0,1,0.36,0.57,1230,volatile,2.0
165,0.0,1,0.25,0.67,879,volatile,2.0
166,1.0,1,0.83,0.51,752,volatile,2.0
167,0.0,1,0.38,0.87,1060,volatile,2.0
168,1.0,1,0.78,0.3,729,volatile,2.0
169,1.0,1,0.95,0.84,900,volatile,2.0
170,1.0,0,0.93,0.68,984,volatile,2.0
171,1.0,0,0.54,0.3,980,volatile,2.0
172,1.0,0,0.72,0.91,999,volatile,2.0
173,0.0,1,0.02,0.77,705,volatile,2.0
174,1.0,1,0.49,0.53,1192,volatile,2.0
175,1.0,0,0.56,0.51,623,volatile,2.0
176,1.0,0,0.54,0.49,543,volatile,2.0
177,1.0,0,0.51,0.85,861,volatile,2.0
178,0.0,0,0.06,0.88,783,volatile,2.0
179,0.0,0,0.84,0.93,1051,volatile,2.0
