,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.84,0.97,1463,stable,0.0
1,1.0,1,0.8,0.32,795,stable,0.0
2,0.0,1,0.12,0.58,604,stable,0.0
3,1.0,0,0.72,0.17,471,stable,0.0
4,1.0,1,0.98,0.72,620,stable,0.0
5,,1,0.1,0.63,6251,stable,0.0
6,1.0,1,0.83,0.35,3513,stable,0.0
7,1.0,0,0.29,0.49,601,stable,0.0
8,1.0,1,0.06,0.98,536,stable,0.0
9,0.0,0,0.95,0.54,1020,stable,0.0
10,1.0,1,0.8,0.64,1289,stable,0.0
11,0.0,1,0.55,0.36,1048,stable,0.0
12,1.0,0,0.22,0.98,734,stable,0.0
13,0.0,0,0.31,0.14,527,stable,0.0
14,1.0,1,0.6,0.28,795,stable,0.0
15,1.0,0,0.68,0.73,986,stable,0.0
16,0.0,0,0.6,0.46,873,stable,0.0
17,0.0,1,0.32,0.85,723,stable,0.0
18,1.0,1,0.88,0.99,724,stable,0.0
19,1.0,1,0.97,0.87,547,stable,0.0
20,1.0,0,0.92,0.41,780,stable,0.0
21,1.0,1,0.36,0.32,1703,stable,0.0
22,1.0,1,0.13,0.59,724,stable,0.0
23,0.0,0,0.5,0.8,542,stable,0.0
24,1.0,0,0.49,0.61,893,stable,0.0
25,1.0,1,0.92,0.87,745,stable,0.0
26,0.0,1,0.28,0.95,1148,stable,0.0
27,1.0,1,0.64,0.33,702,stable,0.0
28,1.0,1,0.59,0.97,779,stable,0.0
29,1.0,1,0.44,0.52,572,stable,0.0
30,1.0,0,0.9,0.2,550,stable,0.0
31,0.0,1,0.13,0.65,828,stable,0.0
32,1.0,1,0.47,0.69,1520,stable,0.0
33,1.0,0,0.33,0.38,4536,stable,0.0
34,1.0,1,0.21,0.71,2428,stable,0.0
35,1.0,1,0.81,0.55,1124,stable,0.0
36,1.0,0,0.83,0.05,1340,stable,0.0
37,0.0,1,0.75,0.71,611,stable,0.0
38,1.0,1,0.79,0.73,543,stable,0.0
39,0.0,1,0.93,0.2,697,stable,0.0
40,0.0,1,0.8,0.89,635,stable,0.0
41,1.0,0,0.9,0.1,739,stable,0.0
42,0.0,1,0.63,0.17,260,stable,0.0
43,0.0,0,0.74,0.05,821,stable,0.0
44,0.0,1,0.4,0.62,687,stable,0.0
45,0.0,1,0.17,0.43,1153,stable,0.0
46,0.0,1,0.3,0.9,587,stable,0.0
47,1.0,0,0.9,0.56,340,stable,0.0
48,1.0,1,0.88,0.37,753,stable,0.0
49,1.0,1,0.4,0.38,735,stable,0.0
50,1.0,1,0.5,0.54,600,stable,0.0
51,0.0,0,0.56,0.07,777,stable,0.0
52,0.0,0,0.9,0.61,976,stable,0.0
53,0.0,0,0.82,0.12,796,stable,0.0
54,1.0,1,0.9,0.19,621,stable,0.0
55,1.0,1,0.46,0.51,650,stable,0.0
56,1.0,1,0.85,0.51,610,stable,0.0
57,0.0,1,0.65,0.41,363,stable,0.0
58,1.0,0,0.31,0.64,962,stable,0.0
59,0.0,1,0.07,0.76,862,stable,0.0
60,1.0,1,0.13,0.65,566,stable,1.0
61,0.0,1,0.94,0.74,623,stable,1.0
62,0.0,0,0.87,0.37,936,stable,1.0
63,0.0,1,0.43,0.4,587,stable,1.0
64,,1,0.25,0.58,6250,stable,1.0
65,1.0,1,0.78,0.1,912,stable,1.0
66,0.0,1,0.33,0.83,722,stable,1.0
67,0.0,0,0.63,0.07,665,stable,1.0
68,1.0,1,0.71,0.59,616,stable,1.0
69,0.0,1,0.89,0.56,750,stable,1.0
70,,1,0.44,0.91,6251,stable,1.0
71,1.0,1,0.96,0.22,1006,stable,1.0
72,1.0,1,0.55,0.3,5676,stable,1.0
73,0.0,0,0.69,0.86,1015,stable,1.0
74,1.0,0,0.45,0.91,595,stable,1.0
75,0.0,0,0.87,0.09,550,stable,1.0
76,1.0,1,0.45,0.87,577,stable,1.0
77,0.0,1,0.55,0.92,1966,stable,1.0
78,0.0,1,0.57,0.9,509,stable,1.0
79,0.0,1,0.33,0.67,309,stable,1.0
80,1.0,1,0.52,0.39,656,stable,1.0
81,1.0,1,0.9,0.83,641,stable,1.0
82,0.0,0,0.23,0.38,550,stable,1.0
83,1.0,1,0.45,0.59,1433,stable,1.0
84,0.0,1,0.6,0.25,3279,stable,1.0
85,1.0,1,0.81,0.94,879,stable,1.0
86,,1,0.49,0.43,6251,stable,1.0
87,1.0,0,0.42,0.65,2131,stable,1.0
88,,1,0.5,0.66,6250,stable,1.0
89,0.0,1,0.89,0.35,500,stable,1.0
90,0.0,1,0.89,0.99,1855,volatile,1.0
91,,0,0.96,0.96,6250,volatile,1.0
92,,0,0.58,0.58,6999,volatile,1.0
93,,0,0.52,0.33,6999,volatile,1.0
94,,1,0.02,0.92,6999,volatile,1.0
95,,0,0.93,0.34,6999,volatile,1.0
96,,0,0.08,0.28,7000,volatile,1.0
97,,0,0.44,0.91,7000,volatile,1.0
98,,0,0.6,0.78,7000,volatile,1.0
99,0.0,1,0.35,0.42,3179,volatile,1.0
100,,0,0.5,0.82,6274,volatile,1.0
101,,0,0.42,0.39,6250,volatile,1.0
102,,0,0.29,0.54,6250,volatile,1.0
103,,0,0.85,0.05,6251,volatile,1.0
104,,0,0.96,0.99,6251,volatile,1.0
105,,1,0.74,0.48,6250,volatile,1.0
106,,0,0.95,0.93,6251,volatile,1.0
107,,0,0.33,0.68,6250,volatile,1.0
108,1.0,0,0.87,0.46,624,volatile,1.0
109,,0,0.85,0.98,6251,volatile,1.0
110,,1,0.24,0.3,6251,volatile,1.0
111,,1,0.36,0.32,6250,volatile,1.0
112,,0,0.19,0.6,6250,volatile,1.0
113,,1,0.57,0.91,6251,volatile,1.0
114,,0,0.44,0.37,6251,volatile,1.0
115,,1,0.45,0.28,6252,volatile,1.0
116,,1,0.52,0.51,6251,volatile,1.0
117,,1,0.72,0.55,6251,volatile,1.0
118,,1,0.72,0.99,6250,volatile,1.0
119,,1,0.07,0.71,6250,volatile,1.0
120,,1,0.41,0.77,6251,volatile,2.0
121,,1,0.89,0.71,6251,volatile,2.0
122,,1,0.56,0.72,6251,volatile,2.0
123,,1,0.41,0.71,6251,volatile,2.0
124,,0,0.99,0.86,6251,volatile,2.0
125,,1,0.61,0.98,6251,volatile,2.0
126,,0,0.58,0.42,6250,volatile,2.0
127,,0,0.72,0.68,6250,volatile,2.0
128,,0,0.56,0.46,6250,volatile,2.0
129,,0,0.4,0.41,6251,volatile,2.0
130,,0,0.71,0.53,6250,volatile,2.0
131,,0,0.78,0.86,6250,volatile,2.0
132,,0,0.33,0.33,6251,volatile,2.0
133,,1,0.95,0.86,6254,volatile,2.0
134,,1,0.03,0.53,6251,volatile,2.0
135,1.0,0,0.34,0.92,1767,volatile,2.0
136,1.0,0,0.31,0.29,743,volatile,2.0
137,0.0,0,0.72,0.93,897,volatile,2.0
138,1.0,0,0.42,0.86,555,volatile,2.0
139,0.0,0,0.91,0.32,2195,volatile,2.0
140,1.0,1,0.64,0.13,666,volatile,2.0
141,0.0,0,0.45,0.67,800,volatile,2.0
142,1.0,0,0.46,0.79,3941,volatile,2.0
143,1.0,0,0.88,0.39,1952,volatile,2.0
144,1.0,0,0.38,0.39,938,volatile,2.0
145,0.0,0,0.71,0.85,347,volatile,2.0
146,1.0,0,0.32,0.1,1080,volatile,2.0
147,1.0,1,0.86,0.45,571,volatile,2.0
148,0.0,0,0.92,0.83,958,volatile,2.0
149,1.0,1,0.16,0.84,1788,volatile,2.0
150,1.0,0,0.34,0.89,1023,volatile,2.0
151,1.0,1,0.35,0.75,1416,volatile,2.0
152,1.0,1,0.92,0.68,524,volatile,2.0
153,1.0,1,0.25,0.13,1425,volatile,2.0
154,,1,0.77,0.74,6251,volatile,2.0
155,0.0,1,0.13,0.62,500,volatile,2.0
156,0.0,0,0.65,0.73,499,volatile,2.0
157,1.0,0,0.37,0.95,1226,volatile,2.0
158,1.0,0,0.96,0.63,520,volatile,2.0
159,1.0,1,0.39,0.47,519,volatile,2.0
160,0.0,1,0.59,0.49,512,volatile,2.0
161,0.0,1,0.43,0.87,268,volatile,2.0
162,,1,0.04,0.82,6251,volatile,2.0
163,1.0,1,0.27,0.61,1500,volatile,2.0
164,1.0,1,0.36,0.57,637,volatile,2.0
165,0.0,1,0.25,0.67,516,volatile,2.0
166,0.0,1,0.83,0.51,629,volatile,2.0
167,0.0,1,0.38,0.87,581,volatile,2.0
168,0.0,1,0.78,0.3,554,volatile,2.0
169,1.0,1,0.95,0.84,505,volatile,2.0
170,0.0,0,0.93,0.68,706,volatile,2.0
171,0.0,0,0.54,0.3,695,volatile,2.0
172,1.0,0,0.72,0.91,1230,volatile,2.0
173,1.0,1,0.02,0.77,935,volatile,2.0
174,,1,0.49,0.53,6250,volatile,2.0
175,,0,0.56,0.51,6251,volatile,2.0
176,0.0,0,0.54,0.49,1604,volatile,2.0
177,0.0,0,0.51,0.85,858,volatile,2.0
178,0.0,0,0.06,0.88,539,volatile,2.0
179,0.0,0,0.84,0.93,670,volatile,2.0
