,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.89,0.99,984,volatile,0.0
1,1.0,0,0.96,0.96,818,volatile,0.0
2,1.0,0,0.58,0.58,696,volatile,0.0
3,1.0,0,0.52,0.33,926,volatile,0.0
4,0.0,1,0.02,0.92,781,volatile,0.0
5,1.0,0,0.93,0.34,693,volatile,0.0
6,1.0,0,0.08,0.28,830,volatile,0.0
7,0.0,0,0.44,0.91,743,volatile,0.0
8,0.0,0,0.6,0.78,929,volatile,0.0
9,0.0,1,0.35,0.42,842,volatile,0.0
10,1.0,0,0.5,0.82,762,volatile,0.0
11,0.0,0,0.42,0.39,743,volatile,0.0
12,0.0,0,0.29,0.54,924,volatile,0.0
13,1.0,0,0.85,0.05,694,volatile,0.0
14,0.0,0,0.96,0.99,900,volatile,0.0
15,1.0,1,0.74,0.48,773,volatile,0.0
16,0.0,0,0.95,0.93,869,volatile,0.0
17,0.0,0,0.33,0.68,856,volatile,0.0
18,1.0,0,0.87,0.46,1058,volatile,0.0
19,0.0,0,0.85,0.98,745,volatile,0.0
20,0.0,1,0.24,0.3,1798,volatile,0.0
21,1.0,1,0.36,0.32,1163,volatile,0.0
22,0.0,0,0.19,0.6,851,volatile,0.0
23,0.0,1,0.57,0.91,1036,volatile,0.0
24,1.0,0,0.44,0.37,908,volatile,0.0
25,1.0,1,0.45,0.28,706,volatile,0.0
26,1.0,1,0.52,0.51,798,volatile,0.0
27,0.0,1,0.72,0.55,708,volatile,0.0
28,1.0,1,0.72,0.99,679,volatile,0.0
29,0.0,1,0.07,0.71,822,volatile,0.0
30,0.0,1,0.41,0.77,721,volatile,0.0
31,1.0,1,0.89,0.71,1074,volatile,0.0
32,0.0,1,0.56,0.72,983,volatile,0.0
33,0.0,1,0.41,0.71,903,volatile,0.0
34,1.0,0,0.99,0.86,717,volatile,0.0
35,0.0,1,0.61,0.98,789,volatile,0.0
36,1.0,0,0.58,0.42,693,volatile,0.0
37,0.0,0,0.72,0.68,792,volatile,0.0
38,0.0,0,0.56,0.46,953,volatile,0.0
39,0.0,0,0.4,0.41,595,volatile,0.0
40,0.0,0,0.71,0.53,852,volatile,0.0
41,0.0,0,0.78,0.86,832,volatile,0.0
42,1.0,0,0.33,0.33,925,volatile,0.0
43,0.0,1,0.95,0.86,794,volatile,0.0
44,1.0,1,0.03,0.53,727,volatile,0.0
45,0.0,0,0.34,0.92,1588,volatile,0.0
46,0.0,0,0.31,0.29,726,volatile,0.0
47,0.0,0,0.72,0.93,705,volatile,0.0
48,0.0,0,0.42,0.86,587,volatile,0.0
49,0.0,0,0.91,0.32,664,volatile,0.0
50,0.0,1,0.64,0.13,730,volatile,0.0
51,1.0,0,0.45,0.67,721,volatile,0.0
52,0.0,0,0.46,0.79,577,volatile,0.0
53,0.0,0,0.88,0.39,625,volatile,0.0
54,0.0,0,0.38,0.39,606,volatile,0.0
55,1.0,0,0.71,0.85,672,volatile,0.0
56,0.0,0,0.32,0.1,638,volatile,0.0
57,0.0,1,0.86,0.45,898,volatile,0.0
58,0.0,0,0.92,0.83,826,volatile,0.0
59,0.0,1,0.16,0.84,664,volatile,0.0
60,0.0,0,0.34,0.89,584,volatile,1.0
61,0.0,1,0.35,0.75,628,volatile,1.0
62,0.0,1,0.92,0.68,691,volatile,1.0
63,1.0,1,0.25,0.13,606,volatile,1.0
64,1.0,1,0.77,0.74,545,volatile,1.0
65,1.0,1,0.13,0.62,693,volatile,1.0
66,1.0,0,0.65,0.73,856,volatile,1.0
67,1.0,0,0.37,0.95,968,volatile,1.0
68,0.0,0,0.96,0.63,580,volatile,1.0
69,0.0,1,0.39,0.47,834,volatile,1.0
70,1.0,1,0.59,0.49,571,volatile,1.0
71,1.0,1,0.43,0.87,748,volatile,1.0
72,1.0,1,0.04,0.82,544,volatile,1.0
73,1.0,1,0.27,0.61,726,volatile,1.0
74,1.0,1,0.36,0.57,655,volatile,1.0
75,1.0,1,0.25,0.67,656,volatile,1.0
76,1.0,1,0.83,0.51,590,volatile,1.0
77,1.0,1,0.38,0.87,545,volatile,1.0
78,1.0,1,0.78,0.3,715,volatile,1.0
79,1.0,1,0.95,0.84,1877,volatile,1.0
80,1.0,0,0.93,0.68,568,volatile,1.0
81,0.0,0,0.54,0.3,545,volatile,1.0
82,0.0,0,0.72,0.91,571,volatile,1.0
83,0.0,1,0.02,0.77,498,volatile,1.0
84,1.0,1,0.49,0.53,1496,volatile,1.0
85,1.0,0,0.56,0.51,590,volatile,1.0
86,0.0,0,0.54,0.49,657,volatile,1.0
87,0.0,0,0.51,0.85,531,volatile,1.0
88,0.0,0,0.06,0.88,555,volatile,1.0
89,0.0,0,0.84,0.93,1414,volatile,1.0
90,0.0,1,0.84,0.97,973,stable,1.0
91,1.0,1,0.8,0.32,2331,stable,1.0
92,1.0,1,0.12,0.58,755,stable,1.0
93,1.0,0,0.72,0.17,640,stable,1.0
94,0.0,1,0.98,0.72,627,stable,1.0
95,1.0,1,0.1,0.63,569,stable,1.0
96,1.0,1,0.83,0.35,544,stable,1.0
97,1.0,0,0.29,0.49,743,stable,1.0
98,0.0,1,0.06,0.98,513,stable,1.0
99,1.0,0,0.95,0.54,566,stable,1.0
100,1.0,1,0.8,0.64,565,stable,1.0
101,0.0,1,0.55,0.36,592,stable,1.0
102,1.0,0,0.22,0.98,601,stable,1.0
103,0.0,0,0.31,0.14,547,stable,1.0
104,0.0,1,0.6,0.28,517,stable,1.0
105,1.0,0,0.68,0.73,609,stable,1.0
106,0.0,0,0.6,0.46,557,stable,1.0
107,1.0,1,0.32,0.85,635,stable,1.0
108,0.0,1,0.88,0.99,556,stable,1.0
109,1.0,1,0.97,0.87,721,stable,1.0
110,1.0,0,0.92,0.41,723,stable,1.0
111,0.0,1,0.36,0.32,593,stable,1.0
112,0.0,1,0.13,0.59,536,stable,1.0
113,1.0,0,0.5,0.8,566,stable,1.0
114,1.0,0,0.49,0.61,567,stable,1.0
115,0.0,1,0.92,0.87,656,stable,1.0
116,1.0,1,0.28,0.95,547,stable,1.0
117,1.0,1,0.64,0.33,519,stable,1.0
118,1.0,1,0.59,0.97,552,stable,1.0
119,1.0,1,0.44,0.52,647,stable,1.0
120,1.0,0,0.9,0.2,494,stable,2.0
121,0.0,1,0.13,0.65,738,stable,2.0
122,1.0,1,0.47,0.69,571,stable,2.0
123,1.0,0,0.33,0.38,553,stable,2.0
124,1.0,1,0.21,0.71,631,stable,2.0
125,1.0,1,0.81,0.55,709,stable,2.0
126,1.0,0,0.83,0.05,747,stable,2.0
127,1.0,1,0.75,0.71,615,stable,2.0
128,1.0,1,0.79,0.73,548,stable,2.0
129,0.0,1,0.93,0.2,565,stable,2.0
130,0.0,1,0.8,0.89,662,stable,2.0
131,1.0,0,0.9,0.1,729,stable,2.0
132,1.0,1,0.63,0.17,1413,stable,2.0
133,1.0,0,0.74,0.05,891,stable,2.0
134,0.0,1,0.4,0.62,1057,stable,2.0
135,0.0,1,0.17,0.43,1203,stable,2.0
136,1.0,1,0.3,0.9,527,stable,2.0
137,1.0,0,0.9,0.56,663,stable,2.0
138,0.0,1,0.88,0.37,686,stable,2.0
139,0.0,1,0.4,0.38,778,stable,2.0
140,1.0,1,0.5,0.54,529,stable,2.0
141,1.0,0,0.56,0.07,646,stable,2.0
142,1.0,0,0.9,0.61,512,stable,2.0
143,0.0,0,0.82,0.12,730,stable,2.0
144,0.0,1,0.9,0.19,553,stable,2.0
145,1.0,1,0.46,0.51,560,stable,2.0
146,1.0,1,0.85,0.51,744,stable,2.0
147,1.0,1,0.65,0.41,624,stable,2.0
148,1.0,0,0.31,0.64,884,stable,2.0
149,0.0,1,0.07,0.76,494,stable,2.0
150,0.0,1,0.13,0.65,1141,stable,2.0
151,1.0,1,0.94,0.74,543,stable,2.0
