,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.84,0.97,1244,stable,0.0
1,1.0,1,0.8,0.32,613,stable,0.0
2,1.0,1,0.12,0.58,1549,stable,0.0
3,1.0,0,0.72,0.17,549,stable,0.0
4,0.0,1,0.98,0.72,1179,stable,0.0
5,0.0,1,0.1,0.63,1464,stable,0.0
6,1.0,1,0.83,0.35,861,stable,0.0
7,1.0,0,0.29,0.49,1184,stable,0.0
8,0.0,1,0.06,0.98,844,stable,0.0
9,1.0,0,0.95,0.54,680,stable,0.0
10,1.0,1,0.8,0.64,929,stable,0.0
11,1.0,1,0.55,0.36,1123,stable,0.0
12,0.0,0,0.22,0.98,1142,stable,0.0
13,0.0,0,0.31,0.14,1667,stable,0.0
14,0.0,1,0.6,0.28,1573,stable,0.0
15,0.0,0,0.68,0.73,1530,stable,0.0
16,1.0,0,0.6,0.46,1101,stable,0.0
17,0.0,1,0.32,0.85,1749,stable,0.0
18,0.0,1,0.88,0.99,969,stable,0.0
19,1.0,1,0.97,0.87,1086,stable,0.0
20,1.0,0,0.92,0.41,1404,stable,0.0
21,1.0,1,0.36,0.32,1872,stable,0.0
22,0.0,1,0.13,0.59,1159,stable,0.0
23,1.0,0,0.5,0.8,1871,stable,0.0
24,0.0,0,0.49,0.61,948,stable,0.0
25,1.0,1,0.92,0.87,1063,stable,0.0
26,0.0,1,0.28,0.95,1680,stable,0.0
27,1.0,1,0.64,0.33,1405,stable,0.0
28,0.0,1,0.59,0.97,1328,stable,0.0
29,0.0,1,0.44,0.52,1289,stable,0.0
30,1.0,0,0.9,0.2,981,stable,0.0
31,0.0,1,0.13,0.65,948,stable,0.0
32,0.0,1,0.47,0.69,1028,stable,0.0
33,0.0,0,0.33,0.38,807,stable,0.0
34,0.0,1,0.21,0.71,1146,stable,0.0
35,1.0,1,0.81,0.55,2594,stable,0.0
36,1.0,0,0.83,0.05,684,stable,0.0
37,1.0,1,0.75,0.71,1066,stable,0.0
38,1.0,1,0.79,0.73,836,stable,0.0
39,1.0,1,0.93,0.2,2572,stable,0.0
40,0.0,1,0.8,0.89,2136,stable,0.0
41,1.0,0,0.9,0.1,1873,stable,0.0
42,1.0,1,0.63,0.17,1473,stable,0.0
43,1.0,0,0.74,0.05,1240,stable,0.0
44,0.0,1,0.4,0.62,1495,stable,0.0
45,0.0,1,0.17,0.43,1327,stable,0.0
46,0.0,1,0.3,0.9,736,stable,0.0
47,1.0,0,0.9,0.56,767,stable,0.0
48,1.0,1,0.88,0.37,1237,stable,0.0
49,0.0,1,0.4,0.38,1402,stable,0.0
50,1.0,1,0.5,0.54,957,stable,0.0
51,1.0,0,0.56,0.07,964,stable,0.0
52,0.0,0,0.9,0.61,969,stable,0.0
53,1.0,0,0.82,0.12,783,stable,0.0
54,1.0,1,0.9,0.19,902,stable,0.0
55,0.0,1,0.46,0.51,930,stable,0.0
56,1.0,1,0.85,0.51,646,stable,0.0
57,1.0,1,0.65,0.41,948,stable,0.0
58,0.0,0,0.31,0.64,1040,stable,0.0
59,0.0,1,0.07,0.76,791,stable,0.0
60,1.0,1,0.13,0.65,734,stable,1.0
61,1.0,1,0.94,0.74,854,stable,1.0
62,1.0,0,0.87,0.37,977,stable,1.0
63,1.0,1,0.43,0.4,1097,stable,1.0
64,1.0,1,0.25,0.58,1060,stable,1.0
65,1.0,1,0.78,0.1,1502,stable,1.0
66,1.0,1,0.33,0.83,716,stable,1.0
67,0.0,0,0.63,0.07,1642,stable,1.0
68,0.0,1,0.71,0.59,615,stable,1.0
69,1.0,1,0.89,0.56,867,stable,1.0
70,0.0,1,0.44,0.91,1170,stable,1.0
71,1.0,1,0.96,0.22,877,stable,1.0
72,1.0,1,0.55,0.3,947,stable,1.0
73,0.0,0,0.69,0.86,1210,stable,1.0
74,0.0,0,0.45,0.91,808,stable,1.0
75,1.0,0,0.87,0.09,642,stable,1.0
76,0.0,1,0.45,0.87,994,stable,1.0
77,0.0,1,0.55,0.92,2980,stable,1.0
78,,1,0.57,0.9,6250,stable,1.0
79,0.0,1,0.33,0.67,1855,stable,1.0
80,1.0,1,0.52,0.39,1263,stable,1.0
81,1.0,1,0.9,0.83,1432,stable,1.0
82,1.0,0,0.23,0.38,2112,stable,1.0
83,1.0,1,0.45,0.59,1440,stable,1.0
84,1.0,1,0.6,0.25,1301,stable,1.0
85,0.0,1,0.81,0.94,1353,stable,1.0
86,1.0,1,0.49,0.43,1315,stable,1.0
87,1.0,0,0.42,0.65,849,stable,1.0
88,0.0,1,0.5,0.66,848,stable,1.0
89,1.0,1,0.89,0.35,898,stable,1.0
90,0.0,1,0.89,0.99,1622,volatile,1.0
91,1.0,0,0.96,0.96,766,volatile,1.0
92,1.0,0,0.58,0.58,1135,volatile,1.0
93,1.0,0,0.52,0.33,1343,volatile,1.0
94,0.0,1,0.02,0.92,736,volatile,1.0
95,1.0,0,0.93,0.34,518,volatile,1.0
96,0.0,0,0.08,0.28,803,volatile,1.0
97,1.0,0,0.44,0.91,852,volatile,1.0
98,1.0,0,0.6,0.78,592,volatile,1.0
99,0.0,1,0.35,0.42,959,volatile,1.0
100,1.0,0,0.5,0.82,1011,volatile,1.0
101,1.0,0,0.42,0.39,1168,volatile,1.0
102,0.0,0,0.29,0.54,970,volatile,1.0
103,1.0,0,0.85,0.05,809,volatile,1.0
104,0.0,0,0.96,0.99,738,volatile,1.0
105,1.0,1,0.74,0.48,1018,volatile,1.0
106,1.0,0,0.95,0.93,1545,volatile,1.0
107,0.0,0,0.33,0.68,1401,volatile,1.0
108,1.0,0,0.87,0.46,902,volatile,1.0
109,0.0,0,0.85,0.98,970,volatile,1.0
110,0.0,1,0.24,0.3,853,volatile,1.0
111,1.0,1,0.36,0.32,875,volatile,1.0
112,0.0,0,0.19,0.6,990,volatile,1.0
113,0.0,1,0.57,0.91,689,volatile,1.0
114,1.0,0,0.44,0.37,730,volatile,1.0
115,1.0,1,0.45,0.28,1387,volatile,1.0
116,1.0,1,0.52,0.51,1737,volatile,1.0
117,1.0,1,0.72,0.55,1578,volatile,1.0
118,1.0,1,0.72,0.99,1375,volatile,1.0
119,0.0,1,0.07,0.71,658,volatile,1.0
120,1.0,1,0.41,0.77,1064,volatile,2.0
121,1.0,1,0.89,0.71,1955,volatile,2.0
122,0.0,1,0.56,0.72,1087,volatile,2.0
123,0.0,1,0.41,0.71,1064,volatile,2.0
124,0.0,0,0.99,0.86,646,volatile,2.0
125,0.0,1,0.61,0.98,648,volatile,2.0
126,1.0,0,0.58,0.42,872,volatile,2.0
127,1.0,0,0.72,0.68,664,volatile,2.0
128,1.0,0,0.56,0.46,749,volatile,2.0
129,1.0,0,0.4,0.41,919,volatile,2.0
130,1.0,0,0.71,0.53,808,volatile,2.0
131,1.0,0,0.78,0.86,3062,volatile,2.0
132,1.0,0,0.33,0.33,1095,volatile,2.0
133,0.0,1,0.95,0.86,1473,volatile,2.0
134,0.0,1,0.03,0.53,646,volatile,2.0
135,1.0,0,0.34,0.92,1379,volatile,2.0
136,1.0,0,0.31,0.29,637,volatile,2.0
137,1.0,0,0.72,0.93,674,volatile,2.0
138,0.0,0,0.42,0.86,641,volatile,2.0
139,1.0,0,0.91,0.32,716,volatile,2.0
140,0.0,1,0.64,0.13,777,volatile,2.0
141,0.0,0,0.45,0.67,556,volatile,2.0
142,1.0,0,0.46,0.79,646,volatile,2.0
143,1.0,0,0.88,0.39,861,volatile,2.0
144,0.0,0,0.38,0.39,713,volatile,2.0
145,0.0,0,0.71,0.85,842,volatile,2.0
146,1.0,0,0.32,0.1,830,volatile,2.0
147,1.0,1,0.86,0.45,772,volatile,2.0
148,0.0,0,0.92,0.83,706,volatile,2.0
149,0.0,1,0.16,0.84,1794,volatile,2.0
150,0.0,0,0.34,0.89,1214,volatile,2.0
151,0.0,1,0.35,0.75,781,volatile,2.0
152,1.0,1,0.92,0.68,741,volatile,2.0
153,1.0,1,0.25,0.13,875,volatile,2.0
154,1.0,1,0.77,0.74,762,volatile,2.0
155,1.0,1,0.13,0.62,869,volatile,2.0
156,0.0,0,0.65,0.73,701,volatile,2.0
157,0.0,0,0.37,0.95,737,volatile,2.0
158,1.0,0,0.96,0.63,892,volatile,2.0
159,0.0,1,0.39,0.47,711,volatile,2.0
160,1.0,1,0.59,0.49,812,volatile,2.0
161,0.0,1,0.43,0.87,955,volatile,2.0
162,0.0,1,0.04,0.82,918,volatile,2.0
163,,1,0.27,0.61,6251,volatile,2.0
164,,1,0.36,0.57,6250,volatile,2.0
165,,1,0.25,0.67,6250,volatile,2.0
166,,1,0.83,0.51,7061,volatile,2.0
167,,1,0.38,0.87,7001,volatile,2.0
168,,1,0.78,0.3,7000,volatile,2.0
169,,1,0.95,0.84,7000,volatile,2.0
170,,0,0.93,0.68,6330,volatile,2.0
