,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,0.84,0.97,2536,stable,0.0
1,1.0,1,0.8,0.32,700,stable,0.0
2,1.0,1,0.12,0.58,1053,stable,0.0
3,1.0,0,0.72,0.17,831,stable,0.0
4,0.0,1,0.98,0.72,607,stable,0.0
5,0.0,1,0.1,0.63,961,stable,0.0
6,1.0,1,0.83,0.35,1183,stable,0.0
7,1.0,0,0.29,0.49,605,stable,0.0
8,0.0,1,0.06,0.98,1121,stable,0.0
9,1.0,0,0.95,0.54,896,stable,0.0
10,1.0,1,0.8,0.64,1023,stable,0.0
11,1.0,1,0.55,0.36,863,stable,0.0
12,0.0,0,0.22,0.98,1666,stable,0.0
13,0.0,0,0.31,0.14,1281,stable,0.0
14,0.0,1,0.6,0.28,703,stable,0.0
15,1.0,0,0.68,0.73,1056,stable,0.0
16,1.0,0,0.6,0.46,1024,stable,0.0
17,0.0,1,0.32,0.85,864,stable,0.0
18,1.0,1,0.88,0.99,702,stable,0.0
19,1.0,1,0.97,0.87,702,stable,0.0
20,1.0,0,0.92,0.41,671,stable,0.0
21,1.0,1,0.36,0.32,1024,stable,0.0
22,1.0,1,0.13,0.59,1377,stable,0.0
23,1.0,0,0.5,0.8,769,stable,0.0
24,0.0,0,0.49,0.61,768,stable,0.0
25,1.0,1,0.92,0.87,1281,stable,0.0
26,0.0,1,0.28,0.95,959,stable,0.0
27,1.0,1,0.64,0.33,2181,stable,0.0
28,0.0,1,0.59,0.97,1185,stable,0.0
29,1.0,1,0.44,0.52,1089,stable,0.0
30,1.0,0,0.9,0.2,864,stable,0.0
31,1.0,1,0.13,0.65,670,stable,0.0
32,1.0,1,0.47,0.69,671,stable,0.0
33,1.0,0,0.33,0.38,671,stable,0.0
34,0.0,1,0.21,0.71,609,stable,0.0
35,1.0,1,0.81,0.55,606,stable,0.0
36,1.0,0,0.83,0.05,551,stable,0.0
37,1.0,1,0.75,0.71,543,stable,0.0
38,1.0,1,0.79,0.73,478,stable,0.0
39,1.0,1,0.93,0.2,831,stable,0.0
40,1.0,1,0.8,0.89,478,stable,0.0
41,1.0,0,0.9,0.1,575,stable,0.0
42,1.0,1,0.63,0.17,541,stable,0.0
43,1.0,0,0.74,0.05,446,stable,0.0
44,1.0,1,0.4,0.62,703,stable,0.0
45,1.0,1,0.17,0.43,845,stable,0.0
46,1.0,1,0.3,0.9,607,stable,0.0
47,1.0,0,0.9,0.56,479,stable,0.0
48,1.0,1,0.88,0.37,478,stable,0.0
49,1.0,1,0.4,0.38,446,stable,0.0
50,1.0,1,0.5,0.54,606,stable,0.0
51,1.0,0,0.56,0.07,447,stable,0.0
52,1.0,0,0.9,0.61,510,stable,0.0
53,1.0,0,0.82,0.12,607,stable,0.0
54,0.0,1,0.9,0.19,551,stable,0.0
55,1.0,1,0.46,0.51,992,stable,0.0
56,1.0,1,0.85,0.51,543,stable,0.0
57,1.0,1,0.65,0.41,606,stable,0.0
58,1.0,0,0.31,0.64,639,stable,0.0
59,0.0,1,0.07,0.76,1313,stable,0.0
60,1.0,1,0.13,0.65,703,stable,1.0
61,1.0,1,0.94,0.74,671,stable,1.0
62,1.0,0,0.87,0.37,543,stable,1.0
63,1.0,1,0.43,0.4,606,stable,1.0
64,1.0,1,0.25,0.58,574,stable,1.0
65,0.0,1,0.78,0.1,638,stable,1.0
66,1.0,1,0.33,0.83,735,stable,1.0
67,1.0,0,0.63,0.07,638,stable,1.0
68,1.0,1,0.71,0.59,544,stable,1.0
69,1.0,1,0.89,0.56,704,stable,1.0
70,1.0,1,0.44,0.91,607,stable,1.0
71,1.0,1,0.96,0.22,511,stable,1.0
72,1.0,1,0.55,0.3,575,stable,1.0
73,1.0,0,0.69,0.86,542,stable,1.0
74,1.0,0,0.45,0.91,671,stable,1.0
75,1.0,0,0.87,0.09,1056,stable,1.0
76,0.0,1,0.45,0.87,1217,stable,1.0
77,1.0,1,0.55,0.92,1024,stable,1.0
78,1.0,1,0.57,0.9,606,stable,1.0
79,1.0,1,0.33,0.67,544,stable,1.0
80,1.0,1,0.52,0.39,510,stable,1.0
81,1.0,1,0.9,0.83,510,stable,1.0
82,1.0,0,0.23,0.38,735,stable,1.0
83,1.0,1,0.45,0.59,992,stable,1.0
84,1.0,1,0.6,0.25,607,stable,1.0
85,1.0,1,0.81,0.94,767,stable,1.0
86,0.0,1,0.49,0.43,1120,stable,1.0
87,1.0,0,0.42,0.65,864,stable,1.0
88,1.0,1,0.5,0.66,606,stable,1.0
89,1.0,1,0.89,0.35,638,stable,1.0
90,1.0,1,0.89,0.99,1316,volatile,1.0
91,1.0,0,0.96,0.96,711,volatile,1.0
92,1.0,0,0.58,0.58,542,volatile,1.0
93,0.0,0,0.52,0.33,831,volatile,1.0
94,1.0,1,0.02,0.92,671,volatile,1.0
95,1.0,0,0.93,0.34,478,volatile,1.0
96,0.0,0,0.08,0.28,992,volatile,1.0
97,0.0,0,0.44,0.91,929,volatile,1.0
98,0.0,0,0.6,0.78,545,volatile,1.0
99,0.0,1,0.35,0.42,574,volatile,1.0
100,0.0,0,0.5,0.82,1248,volatile,1.0
101,0.0,0,0.42,0.39,1089,volatile,1.0
