,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.84,0.97,1684,stable,0.0
1,1.0,1,0.8,0.32,1617,stable,0.0
2,0.0,1,0.12,0.58,1431,stable,0.0
3,1.0,0,0.72,0.17,1233,stable,0.0
4,1.0,1,0.98,0.72,1691,stable,0.0
5,0.0,1,0.1,0.63,1088,stable,0.0
6,1.0,1,0.83,0.35,1476,stable,0.0
7,0.0,0,0.29,0.49,1344,stable,0.0
8,0.0,1,0.06,0.98,1043,stable,0.0
9,1.0,0,0.95,0.54,1282,stable,0.0
10,1.0,1,0.8,0.64,1586,stable,0.0
11,1.0,1,0.55,0.36,1692,stable,0.0
12,0.0,0,0.22,0.98,939,stable,0.0
13,1.0,0,0.31,0.14,1287,stable,0.0
14,1.0,1,0.6,0.28,1701,stable,0.0
15,0.0,0,0.68,0.73,1641,stable,0.0
16,1.0,0,0.6,0.46,1990,stable,0.0
17,0.0,1,0.32,0.85,993,stable,0.0
18,0.0,1,0.88,0.99,1227,stable,0.0
19,1.0,1,0.97,0.87,1897,stable,0.0
20,1.0,0,0.92,0.41,1052,stable,0.0
21,0.0,1,0.36,0.32,1555,stable,0.0
22,0.0,1,0.13,0.59,1104,stable,0.0
23,0.0,0,0.5,0.8,1442,stable,0.0
24,0.0,0,0.49,0.61,951,stable,0.0
25,1.0,1,0.92,0.87,1636,stable,0.0
26,0.0,1,0.28,0.95,1167,stable,0.0
27,1.0,1,0.64,0.33,1174,stable,0.0
28,0.0,1,0.59,0.97,1353,stable,0.0
29,0.0,1,0.44,0.52,1586,stable,0.0
30,1.0,0,0.9,0.2,1170,stable,0.0
31,0.0,1,0.13,0.65,937,stable,0.0
32,0.0,1,0.47,0.69,1307,stable,0.0
33,1.0,0,0.33,0.38,1468,stable,0.0
34,0.0,1,0.21,0.71,1017,stable,0.0
35,1.0,1,0.81,0.55,834,stable,0.0
36,1.0,0,0.83,0.05,843,stable,0.0
37,0.0,1,0.75,0.71,2112,stable,0.0
38,1.0,1,0.79,0.73,1227,stable,0.0
39,1.0,1,0.93,0.2,973,stable,0.0
40,0.0,1,0.8,0.89,1403,stable,0.0
41,1.0,0,0.9,0.1,1106,stable,0.0
42,1.0,1,0.63,0.17,874,stable,0.0
43,1.0,0,0.74,0.05,931,stable,0.0
44,0.0,1,0.4,0.62,1853,stable,0.0
45,0.0,1,0.17,0.43,2403,stable,0.0
46,0.0,1,0.3,0.9,892,stable,0.0
47,1.0,0,0.9,0.56,1577,stable,0.0
48,0.0,1,0.88,0.37,1121,stable,0.0
49,1.0,1,0.4,0.38,1371,stable,0.0
50,0.0,1,0.5,0.54,1419,stable,0.0
51,1.0,0,0.56,0.07,945,stable,0.0
52,0.0,0,0.9,0.61,1352,stable,0.0
53,1.0,0,0.82,0.12,1473,stable,0.0
54,1.0,1,0.9,0.19,856,stable,0.0
55,0.0,1,0.46,0.51,1551,stable,0.0
56,1.0,1,0.85,0.51,1264,stable,0.0
57,1.0,1,0.65,0.41,1289,stable,0.0
58,0.0,0,0.31,0.64,1754,stable,0.0
59,0.0,1,0.07,0.76,996,stable,0.0
60,0.0,1,0.13,0.65,982,stable,1.0
61,1.0,1,0.94,0.74,1288,stable,1.0
62,1.0,0,0.87,0.37,1032,stable,1.0
63,1.0,1,0.43,0.4,1019,stable,1.0
64,0.0,1,0.25,0.58,1651,stable,1.0
65,1.0,1,0.78,0.1,887,stable,1.0
66,0.0,1,0.33,0.83,1328,stable,1.0
67,1.0,0,0.63,0.07,792,stable,1.0
68,1.0,1,0.71,0.59,1116,stable,1.0
69,1.0,1,0.89,0.56,1196,stable,1.0
70,0.0,1,0.44,0.91,1732,stable,1.0
71,1.0,1,0.96,0.22,960,stable,1.0
72,1.0,1,0.55,0.3,1099,stable,1.0
73,1.0,0,0.69,0.86,1157,stable,1.0
74,0.0,0,0.45,0.91,1493,stable,1.0
75,1.0,0,0.87,0.09,954,stable,1.0
76,0.0,1,0.45,0.87,1181,stable,1.0
77,0.0,1,0.55,0.92,1329,stable,1.0
78,0.0,1,0.57,0.9,1426,stable,1.0
79,0.0,1,0.33,0.67,1459,stable,1.0
80,1.0,1,0.52,0.39,1050,stable,1.0
81,1.0,1,0.9,0.83,1051,stable,1.0
82,1.0,0,0.23,0.38,1880,stable,1.0
83,1.0,1,0.45,0.59,1338,stable,1.0
84,1.0,1,0.6,0.25,1005,stable,1.0
85,1.0,1,0.81,0.94,1026,stable,1.0
86,1.0,1,0.49,0.43,1074,stable,1.0
87,1.0,0,0.42,0.65,1646,stable,1.0
88,1.0,1,0.5,0.66,1497,stable,1.0
89,1.0,1,0.89,0.35,1017,stable,1.0
90,0.0,1,0.89,0.99,1484,volatile,1.0
91,1.0,0,0.96,0.96,1678,volatile,1.0
92,1.0,0,0.58,0.58,2237,volatile,1.0
93,1.0,0,0.52,0.33,1303,volatile,1.0
94,0.0,1,0.02,0.92,907,volatile,1.0
95,1.0,0,0.93,0.34,1746,volatile,1.0
96,0.0,0,0.08,0.28,1114,volatile,1.0
97,0.0,0,0.44,0.91,1123,volatile,1.0
98,0.0,0,0.6,0.78,1199,volatile,1.0
99,0.0,1,0.35,0.42,1036,volatile,1.0
100,0.0,0,0.5,0.82,1099,volatile,1.0
101,0.0,0,0.42,0.39,1355,volatile,1.0
102,0.0,0,0.29,0.54,969,volatile,1.0
103,1.0,0,0.85,0.05,1338,volatile,1.0
104,0.0,0,0.96,0.99,1458,volatile,1.0
105,0.0,1,0.74,0.48,1495,volatile,1.0
106,0.0,0,0.95,0.93,1065,volatile,1.0
107,0.0,0,0.33,0.68,1170,volatile,1.0
108,0.0,0,0.87,0.46,1963,volatile,1.0
109,0.0,0,0.85,0.98,1363,volatile,1.0
110,0.0,1,0.24,0.3,1068,volatile,1.0
111,0.0,1,0.36,0.32,960,volatile,1.0
112,0.0,0,0.19,0.6,824,volatile,1.0
113,0.0,1,0.57,0.91,1000,volatile,1.0
114,0.0,0,0.44,0.37,1326,volatile,1.0
115,0.0,1,0.45,0.28,1391,volatile,1.0
116,0.0,1,0.52,0.51,1205,volatile,1.0
117,1.0,1,0.72,0.55,1769,volatile,1.0
118,0.0,1,0.72,0.99,1017,volatile,1.0
119,0.0,1,0.07,0.71,794,volatile,1.0
120,1.0,1,0.41,0.77,1562,volatile,2.0
121,1.0,1,0.89,0.71,1300,volatile,2.0
122,1.0,1,0.56,0.72,1226,volatile,2.0
123,1.0,1,0.41,0.71,1240,volatile,2.0
124,1.0,0,0.99,0.86,758,volatile,2.0
125,0.0,1,0.61,0.98,1984,volatile,2.0
126,1.0,0,0.58,0.42,1038,volatile,2.0
127,0.0,0,0.72,0.68,1376,volatile,2.0
128,0.0,0,0.56,0.46,1242,volatile,2.0
129,0.0,0,0.4,0.41,1220,volatile,2.0
130,0.0,0,0.71,0.53,850,volatile,2.0
131,0.0,0,0.78,0.86,1163,volatile,2.0
132,1.0,0,0.33,0.33,939,volatile,2.0
133,0.0,1,0.95,0.86,1403,volatile,2.0
134,0.0,1,0.03,0.53,1005,volatile,2.0
135,0.0,0,0.34,0.92,1031,volatile,2.0
136,0.0,0,0.31,0.29,963,volatile,2.0
137,0.0,0,0.72,0.93,775,volatile,2.0
138,0.0,0,0.42,0.86,793,volatile,2.0
139,0.0,0,0.91,0.32,825,volatile,2.0
140,1.0,1,0.64,0.13,1698,volatile,2.0
141,0.0,0,0.45,0.67,1618,volatile,2.0
142,0.0,0,0.46,0.79,996,volatile,2.0
143,1.0,0,0.88,0.39,1738,volatile,2.0
144,0.0,0,0.38,0.39,1151,volatile,2.0
145,0.0,0,0.71,0.85,842,volatile,2.0
146,0.0,0,0.32,0.1,1417,volatile,2.0
147,0.0,1,0.86,0.45,871,volatile,2.0
148,0.0,0,0.92,0.83,1504,volatile,2.0
149,0.0,1,0.16,0.84,940,volatile,2.0
150,0.0,0,0.34,0.89,1186,volatile,2.0
151,0.0,1,0.35,0.75,1051,volatile,2.0
152,1.0,1,0.92,0.68,1514,volatile,2.0
153,1.0,1,0.25,0.13,2468,volatile,2.0
154,0.0,1,0.77,0.74,1925,volatile,2.0
155,0.0,1,0.13,0.62,1381,volatile,2.0
156,1.0,0,0.65,0.73,1149,volatile,2.0
157,0.0,0,0.37,0.95,983,volatile,2.0
158,1.0,0,0.96,0.63,1054,volatile,2.0
159,0.0,1,0.39,0.47,1232,volatile,2.0
160,1.0,1,0.59,0.49,1986,volatile,2.0
161,0.0,1,0.43,0.87,987,volatile,2.0
162,0.0,1,0.04,0.82,738,volatile,2.0
163,0.0,1,0.27,0.61,1155,volatile,2.0
164,1.0,1,0.36,0.57,922,volatile,2.0
165,1.0,1,0.25,0.67,1509,volatile,2.0
166,1.0,1,0.83,0.51,814,volatile,2.0
167,1.0,1,0.38,0.87,1023,volatile,2.0
168,1.0,1,0.78,0.3,870,volatile,2.0
169,1.0,1,0.95,0.84,977,volatile,2.0
170,1.0,0,0.93,0.68,875,volatile,2.0
