,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.84,0.97,1758,stable,0.0
1,0.0,1,0.8,0.32,1233,stable,0.0
2,0.0,1,0.12,0.58,1309,stable,0.0
3,1.0,0,0.72,0.17,2091,stable,0.0
4,1.0,1,0.98,0.72,838,stable,0.0
5,1.0,1,0.1,0.63,562,stable,0.0
6,1.0,1,0.83,0.35,405,stable,0.0
7,0.0,0,0.29,0.49,549,stable,0.0
8,0.0,1,0.06,0.98,542,stable,0.0
9,0.0,0,0.95,0.54,1048,stable,0.0
10,0.0,1,0.8,0.64,758,stable,0.0
11,0.0,1,0.55,0.36,790,stable,0.0
12,1.0,0,0.22,0.98,1093,stable,0.0
13,1.0,0,0.31,0.14,1734,stable,0.0
14,1.0,1,0.6,0.28,1566,stable,0.0
15,0.0,0,0.68,0.73,511,stable,0.0
16,0.0,0,0.6,0.46,436,stable,0.0
17,1.0,1,0.32,0.85,470,stable,0.0
18,1.0,1,0.88,0.99,496,stable,0.0
19,0.0,1,0.97,0.87,835,stable,0.0
20,0.0,0,0.92,0.41,473,stable,0.0
21,0.0,1,0.36,0.32,685,stable,0.0
22,0.0,1,0.13,0.59,900,stable,0.0
23,1.0,0,0.5,0.8,663,stable,0.0
24,0.0,0,0.49,0.61,505,stable,0.0
25,0.0,1,0.92,0.87,568,stable,0.0
26,0.0,1,0.28,0.95,480,stable,0.0
27,0.0,1,0.64,0.33,728,stable,0.0
28,0.0,1,0.59,0.97,646,stable,0.0
29,1.0,1,0.44,0.52,431,stable,0.0
30,0.0,0,0.9,0.2,915,stable,0.0
31,0.0,1,0.13,0.65,1111,stable,0.0
32,1.0,1,0.47,0.69,625,stable,0.0
33,0.0,0,0.33,0.38,1001,stable,0.0
34,1.0,1,0.21,0.71,416,stable,0.0
35,1.0,1,0.81,0.55,500,stable,0.0
36,1.0,0,0.83,0.05,390,stable,0.0
37,1.0,1,0.75,0.71,959,stable,0.0
38,1.0,1,0.79,0.73,487,stable,0.0
39,1.0,1,0.93,0.2,570,stable,0.0
40,1.0,1,0.8,0.89,427,stable,0.0
41,0.0,0,0.9,0.1,373,stable,0.0
42,1.0,1,0.63,0.17,504,stable,0.0
43,1.0,0,0.74,0.05,1112,stable,0.0
44,1.0,1,0.4,0.62,472,stable,0.0
45,0.0,1,0.17,0.43,1093,stable,0.0
46,1.0,1,0.3,0.9,1200,stable,0.0
47,0.0,0,0.9,0.56,429,stable,0.0
48,1.0,1,0.88,0.37,876,stable,0.0
49,0.0,1,0.4,0.38,615,stable,0.0
50,1.0,1,0.5,0.54,645,stable,0.0
51,0.0,0,0.56,0.07,900,stable,0.0
52,0.0,0,0.9,0.61,981,stable,0.0
53,0.0,0,0.82,0.12,1234,stable,0.0
54,1.0,1,0.9,0.19,575,stable,0.0
55,0.0,1,0.46,0.51,584,stable,0.0
56,0.0,1,0.85,0.51,810,stable,0.0
57,1.0,1,0.65,0.41,4240,stable,0.0
58,1.0,0,0.31,0.64,1735,stable,0.0
59,1.0,1,0.07,0.76,625,stable,0.0
60,1.0,1,0.13,0.65,659,stable,1.0
61,1.0,1,0.94,0.74,619,stable,1.0
62,1.0,0,0.87,0.37,595,stable,1.0
63,1.0,1,0.43,0.4,727,stable,1.0
64,1.0,1,0.25,0.58,408,stable,1.0
65,1.0,1,0.78,0.1,523,stable,1.0
66,1.0,1,0.33,0.83,638,stable,1.0
67,1.0,0,0.63,0.07,676,stable,1.0
68,1.0,1,0.71,0.59,863,stable,1.0
69,0.0,1,0.89,0.56,542,stable,1.0
70,1.0,1,0.44,0.91,763,stable,1.0
71,0.0,1,0.96,0.22,732,stable,1.0
72,1.0,1,0.55,0.3,529,stable,1.0
73,0.0,0,0.69,0.86,617,stable,1.0
74,0.0,0,0.45,0.91,1138,stable,1.0
75,0.0,0,0.87,0.09,442,stable,1.0
76,1.0,1,0.45,0.87,412,stable,1.0
77,0.0,1,0.55,0.92,472,stable,1.0
78,0.0,1,0.57,0.9,458,stable,1.0
79,1.0,1,0.33,0.67,420,stable,1.0
80,0.0,1,0.52,0.39,602,stable,1.0
81,0.0,1,0.9,0.83,1615,stable,1.0
82,0.0,0,0.23,0.38,514,stable,1.0
83,0.0,1,0.45,0.59,1021,stable,1.0
84,0.0,1,0.6,0.25,403,stable,1.0
85,0.0,1,0.81,0.94,482,stable,1.0
86,0.0,1,0.49,0.43,463,stable,1.0
87,1.0,0,0.42,0.65,500,stable,1.0
88,0.0,1,0.5,0.66,485,stable,1.0
89,1.0,1,0.89,0.35,477,stable,1.0
90,1.0,1,0.89,0.99,1337,volatile,1.0
91,1.0,0,0.96,0.96,941,volatile,1.0
92,1.0,0,0.58,0.58,460,volatile,1.0
93,1.0,0,0.52,0.33,1193,volatile,1.0
94,1.0,1,0.02,0.92,505,volatile,1.0
95,0.0,0,0.93,0.34,464,volatile,1.0
96,1.0,0,0.08,0.28,484,volatile,1.0
97,0.0,0,0.44,0.91,554,volatile,1.0
98,1.0,0,0.6,0.78,405,volatile,1.0
99,0.0,1,0.35,0.42,488,volatile,1.0
100,1.0,0,0.5,0.82,508,volatile,1.0
101,1.0,0,0.42,0.39,428,volatile,1.0
102,0.0,0,0.29,0.54,464,volatile,1.0
103,1.0,0,0.85,0.05,1004,volatile,1.0
104,1.0,0,0.96,0.99,529,volatile,1.0
105,1.0,1,0.74,0.48,459,volatile,1.0
106,1.0,0,0.95,0.93,546,volatile,1.0
107,0.0,0,0.33,0.68,1684,volatile,1.0
108,0.0,0,0.87,0.46,512,volatile,1.0
109,1.0,0,0.85,0.98,420,volatile,1.0
110,0.0,1,0.24,0.3,410,volatile,1.0
111,1.0,1,0.36,0.32,1053,volatile,1.0
112,1.0,0,0.19,0.6,801,volatile,1.0
113,0.0,1,0.57,0.91,559,volatile,1.0
114,1.0,0,0.44,0.37,1141,volatile,1.0
115,0.0,1,0.45,0.28,491,volatile,1.0
116,1.0,1,0.52,0.51,1052,volatile,1.0
117,1.0,1,0.72,0.55,532,volatile,1.0
118,0.0,1,0.72,0.99,496,volatile,1.0
119,1.0,1,0.07,0.71,465,volatile,1.0
120,1.0,1,0.41,0.77,547,volatile,2.0
121,0.0,1,0.89,0.71,362,volatile,2.0
122,0.0,1,0.56,0.72,380,volatile,2.0
123,1.0,1,0.41,0.71,831,volatile,2.0
124,1.0,0,0.99,0.86,477,volatile,2.0
125,1.0,1,0.61,0.98,423,volatile,2.0
126,0.0,0,0.58,0.42,444,volatile,2.0
127,1.0,0,0.72,0.68,982,volatile,2.0
128,1.0,0,0.56,0.46,425,volatile,2.0
129,0.0,0,0.4,0.41,582,volatile,2.0
130,0.0,0,0.71,0.53,415,volatile,2.0
131,1.0,0,0.78,0.86,639,volatile,2.0
132,1.0,0,0.33,0.33,923,volatile,2.0
133,1.0,1,0.95,0.86,543,volatile,2.0
134,0.0,1,0.03,0.53,1051,volatile,2.0
135,0.0,0,0.34,0.92,1092,volatile,2.0
136,1.0,0,0.31,0.29,545,volatile,2.0
137,1.0,0,0.72,0.93,451,volatile,2.0
138,0.0,0,0.42,0.86,736,volatile,2.0
139,0.0,0,0.91,0.32,1059,volatile,2.0
140,0.0,1,0.64,0.13,632,volatile,2.0
141,1.0,0,0.45,0.67,554,volatile,2.0
142,1.0,0,0.46,0.79,485,volatile,2.0
143,0.0,0,0.88,0.39,555,volatile,2.0
144,0.0,0,0.38,0.39,447,volatile,2.0
145,1.0,0,0.71,0.85,403,volatile,2.0
146,0.0,0,0.32,0.1,409,volatile,2.0
147,0.0,1,0.86,0.45,595,volatile,2.0
148,0.0,0,0.92,0.83,1095,volatile,2.0
149,0.0,1,0.16,0.84,408,volatile,2.0
150,1.0,0,0.34,0.89,420,volatile,2.0
151,0.0,1,0.35,0.75,521,volatile,2.0
152,1.0,1,0.92,0.68,1050,volatile,2.0
153,1.0,1,0.25,0.13,821,volatile,2.0
154,1.0,1,0.77,0.74,407,volatile,2.0
155,0.0,1,0.13,0.62,398,volatile,2.0
156,0.0,0,0.65,0.73,439,volatile,2.0
157,0.0,0,0.37,0.95,692,volatile,2.0
158,1.0,0,0.96,0.63,443,volatile,2.0
159,0.0,1,0.39,0.47,465,volatile,2.0
160,0.0,1,0.59,0.49,361,volatile,2.0
161,0.0,1,0.43,0.87,470,volatile,2.0
162,0.0,1,0.04,0.82,950,volatile,2.0
163,0.0,1,0.27,0.61,546,volatile,2.0
164,0.0,1,0.36,0.57,588,volatile,2.0
165,0.0,1,0.25,0.67,519,volatile,2.0
166,1.0,1,0.83,0.51,457,volatile,2.0
167,1.0,1,0.38,0.87,436,volatile,2.0
168,1.0,1,0.78,0.3,533,volatile,2.0
169,1.0,1,0.95,0.84,576,volatile,2.0
170,0.0,0,0.93,0.68,427,volatile,2.0
171,0.0,0,0.54,0.3,751,volatile,2.0
172,0.0,0,0.72,0.91,573,volatile,2.0
173,1.0,1,0.02,0.77,433,volatile,2.0
174,1.0,1,0.49,0.53,446,volatile,2.0
175,0.0,0,0.56,0.51,455,volatile,2.0
176,1.0,0,0.54,0.49,386,volatile,2.0
177,1.0,0,0.51,0.85,496,volatile,2.0
178,1.0,0,0.06,0.88,620,volatile,2.0
179,0.0,0,0.84,0.93,478,volatile,2.0
