,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,0.84,0.97,2567,stable,0.0
1,1.0,1,0.8,0.32,1383,stable,0.0
2,1.0,1,0.12,0.58,1463,stable,0.0
3,1.0,0,0.72,0.17,1263,stable,0.0
4,1.0,1,0.98,0.72,1307,stable,0.0
5,0.0,1,0.1,0.63,1584,stable,0.0
6,1.0,1,0.83,0.35,1240,stable,0.0
7,1.0,0,0.29,0.49,1453,stable,0.0
8,0.0,1,0.06,0.98,1207,stable,0.0
9,1.0,0,0.95,0.54,998,stable,0.0
10,1.0,1,0.8,0.64,988,stable,0.0
11,1.0,1,0.55,0.36,1376,stable,0.0
12,1.0,0,0.22,0.98,1699,stable,0.0
13,1.0,0,0.31,0.14,1547,stable,0.0
14,0.0,1,0.6,0.28,2030,stable,0.0
15,1.0,0,0.68,0.73,866,stable,0.0
16,0.0,0,0.6,0.46,854,stable,0.0
17,0.0,1,0.32,0.85,701,stable,0.0
18,1.0,1,0.88,0.99,696,stable,0.0
19,1.0,1,0.97,0.87,883,stable,0.0
20,1.0,0,0.92,0.41,580,stable,0.0
21,1.0,1,0.36,0.32,927,stable,0.0
22,1.0,1,0.13,0.59,1317,stable,0.0
23,1.0,0,0.5,0.8,1386,stable,0.0
24,0.0,0,0.49,0.61,839,stable,0.0
25,1.0,1,0.92,0.87,920,stable,0.0
26,0.0,1,0.28,0.95,832,stable,0.0
27,1.0,1,0.64,0.33,731,stable,0.0
28,0.0,1,0.59,0.97,965,stable,0.0
29,0.0,1,0.44,0.52,774,stable,0.0
30,1.0,0,0.9,0.2,2068,stable,0.0
31,0.0,1,0.13,0.65,997,stable,0.0
32,0.0,1,0.47,0.69,1178,stable,0.0
33,1.0,0,0.33,0.38,1403,stable,0.0
34,0.0,1,0.21,0.71,959,stable,0.0
35,1.0,1,0.81,0.55,965,stable,0.0
36,1.0,0,0.83,0.05,658,stable,0.0
37,0.0,1,0.75,0.71,886,stable,0.0
38,1.0,1,0.79,0.73,609,stable,0.0
39,1.0,1,0.93,0.2,938,stable,0.0
40,0.0,1,0.8,0.89,1137,stable,0.0
41,1.0,0,0.9,0.1,637,stable,0.0
42,1.0,1,0.63,0.17,867,stable,0.0
43,0.0,0,0.74,0.05,616,stable,0.0
44,1.0,1,0.4,0.62,749,stable,0.0
45,0.0,1,0.17,0.43,1210,stable,0.0
46,0.0,1,0.3,0.9,866,stable,0.0
47,1.0,0,0.9,0.56,528,stable,0.0
48,1.0,1,0.88,0.37,1103,stable,0.0
49,1.0,1,0.4,0.38,843,stable,0.0
50,1.0,1,0.5,0.54,830,stable,0.0
51,1.0,0,0.56,0.07,773,stable,0.0
52,1.0,0,0.9,0.61,756,stable,0.0
53,1.0,0,0.82,0.12,704,stable,0.0
54,1.0,1,0.9,0.19,613,stable,0.0
55,1.0,1,0.46,0.51,593,stable,0.0
56,0.0,1,0.85,0.51,651,stable,0.0
57,0.0,1,0.65,0.41,1304,stable,0.0
58,0.0,0,0.31,0.64,1248,stable,0.0
59,1.0,1,0.07,0.76,1047,stable,0.0
60,1.0,1,0.13,0.65,641,stable,1.0
61,1.0,1,0.94,0.74,748,stable,1.0
62,0.0,0,0.87,0.37,706,stable,1.0
63,1.0,1,0.43,0.4,636,stable,1.0
64,1.0,1,0.25,0.58,785,stable,1.0
65,1.0,1,0.78,0.1,619,stable,1.0
66,0.0,1,0.33,0.83,825,stable,1.0
67,1.0,0,0.63,0.07,665,stable,1.0
68,0.0,1,0.71,0.59,726,stable,1.0
69,0.0,1,0.89,0.56,778,stable,1.0
70,1.0,1,0.44,0.91,655,stable,1.0
71,1.0,1,0.96,0.22,721,stable,1.0
72,1.0,1,0.55,0.3,728,stable,1.0
73,0.0,0,0.69,0.86,711,stable,1.0
74,0.0,0,0.45,0.91,813,stable,1.0
75,0.0,0,0.87,0.09,803,stable,1.0
76,0.0,1,0.45,0.87,653,stable,1.0
77,0.0,1,0.55,0.92,1011,stable,1.0
78,0.0,1,0.57,0.9,669,stable,1.0
79,0.0,1,0.33,0.67,573,stable,1.0
80,1.0,1,0.52,0.39,677,stable,1.0
81,0.0,1,0.9,0.83,807,stable,1.0
82,1.0,0,0.23,0.38,1266,stable,1.0
83,0.0,1,0.45,0.59,695,stable,1.0
84,1.0,1,0.6,0.25,783,stable,1.0
85,1.0,1,0.81,0.94,1149,stable,1.0
86,0.0,1,0.49,0.43,768,stable,1.0
87,0.0,0,0.42,0.65,729,stable,1.0
88,1.0,1,0.5,0.66,1604,stable,1.0
89,0.0,1,0.89,0.35,909,stable,1.0
90,0.0,1,0.89,0.99,2751,volatile,1.0
91,1.0,0,0.96,0.96,923,volatile,1.0
92,1.0,0,0.58,0.58,762,volatile,1.0
93,0.0,0,0.52,0.33,668,volatile,1.0
94,1.0,1,0.02,0.92,779,volatile,1.0
95,1.0,0,0.93,0.34,660,volatile,1.0
96,1.0,0,0.08,0.28,641,volatile,1.0
97,1.0,0,0.44,0.91,670,volatile,1.0
98,1.0,0,0.6,0.78,647,volatile,1.0
99,0.0,1,0.35,0.42,628,volatile,1.0
100,0.0,0,0.5,0.82,600,volatile,1.0
101,0.0,0,0.42,0.39,933,volatile,1.0
102,0.0,0,0.29,0.54,1039,volatile,1.0
103,1.0,0,0.85,0.05,1120,volatile,1.0
104,0.0,0,0.96,0.99,790,volatile,1.0
105,1.0,1,0.74,0.48,780,volatile,1.0
106,1.0,0,0.95,0.93,860,volatile,1.0
107,1.0,0,0.33,0.68,630,volatile,1.0
108,1.0,0,0.87,0.46,938,volatile,1.0
109,0.0,0,0.85,0.98,1827,volatile,1.0
110,0.0,1,0.24,0.3,727,volatile,1.0
111,0.0,1,0.36,0.32,520,volatile,1.0
112,0.0,0,0.19,0.6,694,volatile,1.0
113,0.0,1,0.57,0.91,808,volatile,1.0
114,0.0,0,0.44,0.37,599,volatile,1.0
115,0.0,1,0.45,0.28,2503,volatile,1.0
116,0.0,1,0.52,0.51,2066,volatile,1.0
117,1.0,1,0.72,0.55,1644,volatile,1.0
118,0.0,1,0.72,0.99,790,volatile,1.0
119,0.0,1,0.07,0.71,1413,volatile,1.0
120,0.0,1,0.41,0.77,781,volatile,2.0
121,1.0,1,0.89,0.71,906,volatile,2.0
122,0.0,1,0.56,0.72,703,volatile,2.0
123,0.0,1,0.41,0.71,418,volatile,2.0
124,0.0,0,0.99,0.86,981,volatile,2.0
125,1.0,1,0.61,0.98,911,volatile,2.0
126,0.0,0,0.58,0.42,861,volatile,2.0
127,0.0,0,0.72,0.68,849,volatile,2.0
128,1.0,0,0.56,0.46,799,volatile,2.0
129,1.0,0,0.4,0.41,1000,volatile,2.0
130,0.0,0,0.71,0.53,843,volatile,2.0
131,1.0,0,0.78,0.86,937,volatile,2.0
132,1.0,0,0.33,0.33,934,volatile,2.0
133,1.0,1,0.95,0.86,723,volatile,2.0
134,1.0,1,0.03,0.53,661,volatile,2.0
135,1.0,0,0.34,0.92,3286,volatile,2.0
136,,0,0.31,0.29,6251,volatile,2.0
137,1.0,0,0.72,0.93,1187,volatile,2.0
138,0.0,0,0.42,0.86,793,volatile,2.0
139,0.0,0,0.91,0.32,701,volatile,2.0
140,0.0,1,0.64,0.13,880,volatile,2.0
141,1.0,0,0.45,0.67,1558,volatile,2.0
142,,0,0.46,0.79,6252,volatile,2.0
143,0.0,0,0.88,0.39,722,volatile,2.0
144,0.0,0,0.38,0.39,1118,volatile,2.0
145,0.0,0,0.71,0.85,1966,volatile,2.0
146,1.0,0,0.32,0.1,1708,volatile,2.0
147,0.0,1,0.86,0.45,692,volatile,2.0
148,1.0,0,0.92,0.83,958,volatile,2.0
149,0.0,1,0.16,0.84,898,volatile,2.0
150,1.0,0,0.34,0.89,942,volatile,2.0
151,0.0,1,0.35,0.75,3154,volatile,2.0
152,0.0,1,0.92,0.68,833,volatile,2.0
153,0.0,1,0.25,0.13,1982,volatile,2.0
154,0.0,1,0.77,0.74,924,volatile,2.0
155,1.0,1,0.13,0.62,1070,volatile,2.0
156,1.0,0,0.65,0.73,674,volatile,2.0
157,0.0,0,0.37,0.95,942,volatile,2.0
158,1.0,0,0.96,0.63,1818,volatile,2.0
159,1.0,1,0.39,0.47,1803,volatile,2.0
160,0.0,1,0.59,0.49,673,volatile,2.0
161,1.0,1,0.43,0.87,705,volatile,2.0
162,0.0,1,0.04,0.82,745,volatile,2.0
163,1.0,1,0.27,0.61,721,volatile,2.0
164,0.0,1,0.36,0.57,743,volatile,2.0
165,1.0,1,0.25,0.67,785,volatile,2.0
166,0.0,1,0.83,0.51,1013,volatile,2.0
167,0.0,1,0.38,0.87,695,volatile,2.0
168,0.0,1,0.78,0.3,1036,volatile,2.0
169,1.0,1,0.95,0.84,656,volatile,2.0
170,1.0,0,0.93,0.68,710,volatile,2.0
171,1.0,0,0.54,0.3,1220,volatile,2.0
172,0.0,0,0.72,0.91,699,volatile,2.0
173,1.0,1,0.02,0.77,674,volatile,2.0
174,0.0,1,0.49,0.53,1615,volatile,2.0
175,0.0,0,0.56,0.51,4098,volatile,2.0
176,1.0,0,0.54,0.49,720,volatile,2.0
177,1.0,0,0.51,0.85,619,volatile,2.0
178,1.0,0,0.06,0.88,784,volatile,2.0
179,0.0,0,0.84,0.93,771,volatile,2.0
