,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,0,0.2,0.01,1305,volatile,0.0
1,0.0,0,0.43,0.12,1543,volatile,0.0
2,0.0,0,0.21,0.9,821,volatile,0.0
3,0.0,1,0.26,0.62,823,volatile,0.0
4,1.0,0,0.95,0.19,1728,volatile,0.0
5,0.0,0,0.1,0.61,639,volatile,0.0
6,0.0,0,0.9,0.12,1362,volatile,0.0
7,0.0,0,0.47,0.99,917,volatile,0.0
8,0.0,0,0.08,0.06,1115,volatile,0.0
9,0.0,0,0.29,0.81,831,volatile,0.0
10,0.0,0,0.49,0.34,677,volatile,0.0
11,0.0,0,0.74,0.99,685,volatile,0.0
12,0.0,0,0.8,0.87,512,volatile,0.0
13,0.0,0,0.02,0.28,522,volatile,0.0
14,0.0,0,0.4,0.81,713,volatile,0.0
15,0.0,0,0.45,0.78,532,volatile,0.0
16,1.0,1,0.28,0.28,918,volatile,0.0
17,0.0,1,0.35,0.22,447,volatile,0.0
18,1.0,1,0.39,0.94,973,volatile,0.0
19,1.0,0,0.72,0.43,968,volatile,0.0
20,1.0,1,0.35,0.59,708,volatile,0.0
21,1.0,1,0.85,0.83,905,volatile,0.0
22,1.0,1,0.89,0.81,738,volatile,0.0
23,1.0,1,0.93,0.99,815,volatile,0.0
24,1.0,1,0.42,0.5,884,volatile,0.0
25,1.0,0,0.46,0.73,908,volatile,0.0
26,1.0,1,0.5,0.51,724,volatile,0.0
27,1.0,1,0.74,0.03,754,volatile,0.0
28,1.0,1,0.85,0.32,651,volatile,0.0
29,1.0,1,0.3,0.68,1057,volatile,0.0
30,1.0,0,0.12,0.25,1330,volatile,0.0
31,1.0,1,0.52,0.46,1154,volatile,0.0
32,1.0,1,0.87,0.12,745,volatile,0.0
33,1.0,1,0.29,0.76,1380,volatile,0.0
34,1.0,0,0.42,0.82,790,volatile,0.0
35,1.0,1,0.65,0.39,888,volatile,0.0
36,1.0,0,0.26,0.24,970,volatile,0.0
37,1.0,0,0.5,0.4,838,volatile,0.0
38,0.0,0,0.14,0.95,754,volatile,0.0
39,0.0,0,0.11,0.33,916,volatile,0.0
40,0.0,0,0.68,0.4,978,volatile,0.0
41,0.0,0,0.3,0.45,949,volatile,0.0
42,0.0,1,0.7,0.52,1207,volatile,0.0
43,0.0,0,0.64,0.79,737,volatile,0.0
44,0.0,0,0.19,0.67,1115,volatile,0.0
45,0.0,0,0.22,0.11,990,volatile,0.0
46,0.0,1,0.21,0.1,988,volatile,0.0
47,0.0,0,0.13,0.76,891,volatile,0.0
48,0.0,0,0.61,0.28,839,volatile,0.0
49,0.0,1,0.74,0.56,1052,volatile,0.0
50,0.0,0,0.34,0.39,851,volatile,0.0
51,0.0,0,0.18,0.89,660,volatile,0.0
52,0.0,0,0.78,0.54,926,volatile,0.0
53,0.0,0,0.87,0.02,1847,volatile,0.0
54,0.0,1,0.27,0.19,865,volatile,0.0
55,0.0,1,0.32,0.28,1154,volatile,0.0
56,1.0,0,0.85,0.17,983,volatile,0.0
57,0.0,0,0.17,0.57,1234,volatile,0.0
58,0.0,0,0.21,0.88,846,volatile,0.0
59,0.0,1,0.46,0.19,1369,volatile,0.0
60,0.0,1,0.06,0.53,915,volatile,1.0
61,1.0,1,0.69,0.55,963,volatile,1.0
62,1.0,1,0.81,0.89,963,volatile,1.0
63,1.0,1,0.83,0.54,779,volatile,1.0
64,1.0,1,0.39,0.7,1098,volatile,1.0
65,1.0,1,0.5,0.36,812,volatile,1.0
66,1.0,1,0.8,0.17,793,volatile,1.0
67,1.0,1,0.44,0.3,923,volatile,1.0
68,1.0,1,0.22,0.59,1009,volatile,1.0
69,1.0,1,0.75,0.65,921,volatile,1.0
70,1.0,1,0.34,0.71,1246,volatile,1.0
71,1.0,0,0.78,0.53,836,volatile,1.0
72,1.0,1,0.59,0.83,1136,volatile,1.0
73,1.0,0,0.71,0.21,949,volatile,1.0
74,1.0,1,0.78,0.78,934,volatile,1.0
75,1.0,1,0.47,0.83,1116,volatile,1.0
76,1.0,1,0.59,0.47,810,volatile,1.0
77,1.0,0,0.42,0.87,1240,volatile,1.0
78,1.0,1,0.15,0.15,1250,volatile,1.0
79,1.0,0,0.02,0.19,658,volatile,1.0
80,1.0,0,0.04,0.36,1675,volatile,1.0
81,1.0,0,0.36,0.07,971,volatile,1.0
82,0.0,0,0.72,0.62,570,volatile,1.0
83,0.0,1,0.32,0.4,881,volatile,1.0
84,0.0,0,0.62,0.35,1143,volatile,1.0
85,0.0,0,0.91,0.9,935,volatile,1.0
86,0.0,0,0.17,0.59,772,volatile,1.0
87,0.0,0,0.32,0.39,558,volatile,1.0
88,0.0,0,0.77,0.79,659,volatile,1.0
89,0.0,1,0.61,0.33,1148,volatile,1.0
90,0.0,1,0.14,0.48,546,stable,1.0
91,1.0,1,0.9,0.19,1085,stable,1.0
92,1.0,1,0.43,0.34,1044,stable,1.0
93,1.0,1,0.87,0.51,716,stable,1.0
94,1.0,1,0.55,0.22,490,stable,1.0
95,1.0,1,0.62,0.95,465,stable,1.0
96,1.0,1,0.07,0.21,859,stable,1.0
97,1.0,1,0.05,0.55,1296,stable,1.0
98,1.0,1,0.24,0.91,906,stable,1.0
99,1.0,1,0.12,0.65,1031,stable,1.0
100,1.0,1,0.69,0.3,775,stable,1.0
101,1.0,0,0.3,0.27,708,stable,1.0
102,1.0,1,0.94,0.42,620,stable,1.0
103,1.0,1,0.97,0.33,479,stable,1.0
104,1.0,1,0.7,0.51,663,stable,1.0
105,1.0,1,0.84,0.71,588,stable,1.0
106,1.0,1,0.09,0.29,797,stable,1.0
107,1.0,1,0.18,0.52,623,stable,1.0
108,1.0,1,0.88,0.24,746,stable,1.0
109,1.0,1,0.88,0.38,1031,stable,1.0
110,1.0,1,0.59,0.2,457,stable,1.0
111,1.0,0,0.84,0.1,427,stable,1.0
112,1.0,1,0.73,0.69,767,stable,1.0
113,1.0,1,1.0,0.18,898,stable,1.0
114,1.0,0,0.57,0.86,586,stable,1.0
115,1.0,1,0.56,0.41,492,stable,1.0
116,1.0,1,0.84,0.77,560,stable,1.0
117,1.0,0,0.16,0.99,733,stable,1.0
118,1.0,1,0.94,0.53,649,stable,1.0
119,1.0,1,0.34,0.72,861,stable,1.0
120,1.0,1,0.56,0.76,414,stable,2.0
121,1.0,1,0.25,0.92,756,stable,2.0
122,1.0,0,0.61,0.41,387,stable,2.0
123,1.0,1,0.8,0.97,586,stable,2.0
124,1.0,1,0.25,0.75,454,stable,2.0
125,1.0,1,0.43,0.91,631,stable,2.0
126,1.0,1,0.22,0.15,802,stable,2.0
127,1.0,0,0.64,0.19,437,stable,2.0
128,1.0,1,0.15,0.09,595,stable,2.0
129,1.0,0,0.39,0.58,623,stable,2.0
130,0.0,1,0.32,0.85,597,stable,2.0
131,1.0,1,0.51,0.94,1073,stable,2.0
132,1.0,1,0.79,0.33,933,stable,2.0
133,1.0,1,0.5,0.51,1163,stable,2.0
134,1.0,0,0.2,0.63,963,stable,2.0
135,0.0,1,0.9,0.51,593,stable,2.0
136,1.0,1,0.73,0.64,623,stable,2.0
137,1.0,0,0.7,0.47,773,stable,2.0
138,1.0,1,0.77,0.52,833,stable,2.0
139,1.0,1,0.25,0.58,1354,stable,2.0
140,1.0,1,0.82,0.93,662,stable,2.0
141,1.0,0,0.91,0.43,677,stable,2.0
142,1.0,1,0.42,0.17,656,stable,2.0
143,1.0,0,0.35,0.2,772,stable,2.0
144,0.0,1,0.58,0.61,961,stable,2.0
145,1.0,1,0.4,0.66,1019,stable,2.0
146,1.0,0,0.64,0.29,658,stable,2.0
147,1.0,1,0.34,0.97,1618,stable,2.0
148,1.0,0,0.47,0.85,461,stable,2.0
149,1.0,1,0.71,0.96,447,stable,2.0
150,1.0,0,0.75,0.27,533,stable,2.0
151,1.0,1,0.9,0.86,633,stable,2.0
152,1.0,1,0.59,0.83,574,stable,2.0
153,1.0,1,0.18,0.95,1411,stable,2.0
154,1.0,0,0.21,0.29,581,stable,2.0
155,1.0,1,0.75,0.05,507,stable,2.0
156,1.0,1,0.44,0.3,706,stable,2.0
157,1.0,0,0.01,0.73,1388,stable,2.0
158,1.0,1,0.55,0.54,696,stable,2.0
159,1.0,1,0.71,0.22,463,stable,2.0
160,1.0,1,0.08,0.14,814,stable,2.0
161,1.0,1,0.72,0.9,418,stable,2.0
162,1.0,1,0.79,0.65,591,stable,2.0
163,1.0,1,0.68,0.44,524,stable,2.0
164,1.0,0,0.22,0.07,451,stable,2.0
165,1.0,1,0.76,0.35,658,stable,2.0
166,1.0,1,0.68,0.76,617,stable,2.0
167,1.0,0,0.5,0.57,543,stable,2.0
168,1.0,1,0.65,0.72,608,stable,2.0
169,1.0,1,0.85,0.86,419,stable,2.0
170,1.0,1,0.36,0.11,425,stable,2.0
171,1.0,0,0.45,0.02,504,stable,2.0
172,1.0,0,0.59,0.65,537,stable,2.0
173,1.0,0,0.91,0.48,728,stable,2.0
174,1.0,0,0.8,0.54,823,stable,2.0
175,0.0,1,0.27,0.74,1041,stable,2.0
176,1.0,1,0.99,0.1,844,stable,2.0
177,1.0,1,0.18,0.61,1015,stable,2.0
178,1.0,1,0.63,0.72,577,stable,2.0
179,,0,0.5,0.4,838,stable,2.0
