,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,0.84,0.97,1401,stable,0.0
1,0.0,1,0.8,0.32,1373,stable,0.0
2,1.0,1,0.12,0.58,847,stable,0.0
3,1.0,0,0.72,0.17,977,stable,0.0
4,1.0,1,0.98,0.72,818,stable,0.0
5,0.0,1,0.1,0.63,1143,stable,0.0
6,1.0,1,0.83,0.35,657,stable,0.0
7,1.0,0,0.29,0.49,778,stable,0.0
8,0.0,1,0.06,0.98,769,stable,0.0
9,1.0,0,0.95,0.54,826,stable,0.0
10,1.0,1,0.8,0.64,1033,stable,0.0
11,1.0,1,0.55,0.36,1170,stable,0.0
12,0.0,0,0.22,0.98,1179,stable,0.0
13,0.0,0,0.31,0.14,1007,stable,0.0
14,1.0,1,0.6,0.28,1165,stable,0.0
15,0.0,0,0.68,0.73,876,stable,0.0
16,0.0,0,0.6,0.46,1184,stable,0.0
17,1.0,1,0.32,0.85,1369,stable,0.0
18,1.0,1,0.88,0.99,1637,stable,0.0
19,1.0,1,0.97,0.87,1537,stable,0.0
20,1.0,0,0.92,0.41,924,stable,0.0
21,1.0,1,0.36,0.32,600,stable,0.0
22,0.0,1,0.13,0.59,981,stable,0.0
23,1.0,0,0.5,0.8,621,stable,0.0
24,1.0,0,0.49,0.61,489,stable,0.0
25,1.0,1,0.92,0.87,547,stable,0.0
26,1.0,1,0.28,0.95,601,stable,0.0
27,1.0,1,0.64,0.33,889,stable,0.0
28,0.0,1,0.59,0.97,1149,stable,0.0
29,1.0,1,0.44,0.52,714,stable,0.0
30,0.0,0,0.9,0.2,762,stable,0.0
31,0.0,1,0.13,0.65,1028,stable,0.0
32,0.0,1,0.47,0.69,659,stable,0.0
33,0.0,0,0.33,0.38,636,stable,0.0
34,0.0,1,0.21,0.71,912,stable,0.0
35,1.0,1,0.81,0.55,711,stable,0.0
36,0.0,0,0.83,0.05,837,stable,0.0
37,0.0,1,0.75,0.71,883,stable,0.0
38,1.0,1,0.79,0.73,1231,stable,0.0
39,1.0,1,0.93,0.2,889,stable,0.0
40,0.0,1,0.8,0.89,989,stable,0.0
41,1.0,0,0.9,0.1,953,stable,0.0
42,1.0,1,0.63,0.17,681,stable,0.0
43,1.0,0,0.74,0.05,765,stable,0.0
44,0.0,1,0.4,0.62,848,stable,0.0
45,1.0,1,0.17,0.43,1406,stable,0.0
46,1.0,1,0.3,0.9,726,stable,0.0
47,1.0,0,0.9,0.56,831,stable,0.0
48,1.0,1,0.88,0.37,636,stable,0.0
49,1.0,1,0.4,0.38,603,stable,0.0
50,0.0,1,0.5,0.54,900,stable,0.0
51,0.0,0,0.56,0.07,785,stable,0.0
52,0.0,0,0.9,0.61,825,stable,0.0
53,1.0,0,0.82,0.12,638,stable,0.0
54,1.0,1,0.9,0.19,787,stable,0.0
55,0.0,1,0.46,0.51,834,stable,0.0
56,0.0,1,0.85,0.51,617,stable,0.0
57,1.0,1,0.65,0.41,587,stable,0.0
58,1.0,0,0.31,0.64,1113,stable,0.0
59,1.0,1,0.07,0.76,930,stable,0.0
60,1.0,1,0.13,0.65,686,stable,1.0
61,1.0,1,0.94,0.74,951,stable,1.0
62,1.0,0,0.87,0.37,1004,stable,1.0
63,1.0,1,0.43,0.4,689,stable,1.0
64,1.0,1,0.25,0.58,763,stable,1.0
65,1.0,1,0.78,0.1,740,stable,1.0
66,1.0,1,0.33,0.83,855,stable,1.0
67,1.0,0,0.63,0.07,867,stable,1.0
68,1.0,1,0.71,0.59,892,stable,1.0
69,1.0,1,0.89,0.56,701,stable,1.0
70,1.0,1,0.44,0.91,705,stable,1.0
71,1.0,1,0.96,0.22,1170,stable,1.0
72,0.0,1,0.55,0.3,771,stable,1.0
73,0.0,0,0.69,0.86,588,stable,1.0
74,0.0,0,0.45,0.91,970,stable,1.0
75,1.0,0,0.87,0.09,686,stable,1.0
76,1.0,1,0.45,0.87,685,stable,1.0
77,1.0,1,0.55,0.92,846,stable,1.0
78,0.0,1,0.57,0.9,1028,stable,1.0
79,1.0,1,0.33,0.67,648,stable,1.0
