,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.41,-0.2,1194,volatile,0.0
1,0.0,0,-0.76,-0.69,1031,volatile,0.0
2,0.0,0,-0.73,-0.52,1047,volatile,0.0
3,1.0,0,-0.41,-0.43,642,volatile,0.0
4,1.0,1,-0.25,-0.34,677,volatile,0.0
5,1.0,0,-0.34,-0.48,923,volatile,0.0
6,1.0,0,-0.3,-0.35,722,volatile,0.0
7,1.0,0,-0.91,-0.42,578,volatile,0.0
8,0.0,0,-0.7,-0.44,953,volatile,0.0
9,0.0,1,-0.64,-0.5,1172,volatile,0.0
10,1.0,0,-0.28,-0.19,782,volatile,0.0
11,1.0,0,-0.02,-0.59,750,volatile,0.0
12,0.0,0,-0.2,-0.09,1005,volatile,0.0
13,1.0,0,-0.32,-0.76,1042,volatile,0.0
14,1.0,0,-0.09,-0.98,796,volatile,0.0
15,0.0,1,-0.62,-0.56,1416,volatile,0.0
16,0.0,0,-0.17,-0.16,779,volatile,0.0
17,0.0,0,-0.74,-0.07,815,volatile,0.0
18,0.0,0,-0.7,-0.57,1419,volatile,0.0
19,1.0,1,-0.24,-0.28,865,volatile,0.0
20,1.0,1,-0.59,-0.76,1160,volatile,0.0
21,0.0,0,-0.15,-0.19,872,volatile,0.0
22,1.0,1,-0.5,-0.68,977,volatile,0.0
23,1.0,0,-0.43,-0.68,916,volatile,0.0
24,1.0,1,-0.14,-0.19,993,volatile,0.0
25,0.0,1,-0.12,-0.11,1154,volatile,0.0
26,0.0,1,-0.4,-0.36,4794,volatile,0.0
27,0.0,1,-0.88,-0.64,1034,volatile,0.0
28,0.0,1,-0.51,-0.03,690,volatile,0.0
29,1.0,1,-0.44,-0.76,746,volatile,0.0
30,1.0,1,-0.23,-0.92,793,volatile,0.0
31,1.0,1,-0.23,-0.14,907,volatile,0.0
32,0.0,1,-0.94,-0.77,1386,volatile,0.0
33,0.0,0,-0.85,-0.2,913,volatile,0.0
34,0.0,1,-0.86,-0.63,1213,volatile,0.0
35,0.0,0,-0.82,-0.56,979,volatile,0.0
36,1.0,0,-0.68,-0.63,1019,volatile,0.0
37,1.0,0,-0.65,-0.8,1002,volatile,0.0
38,0.0,0,-0.25,-0.1,1082,volatile,0.0
39,1.0,0,-0.67,-0.8,1170,volatile,0.0
40,0.0,0,-0.82,-0.57,1019,volatile,0.0
41,0.0,0,-0.88,-0.47,762,volatile,0.0
42,1.0,1,-0.55,-0.99,827,volatile,0.0
43,1.0,1,-0.74,-0.67,586,volatile,0.0
44,1.0,0,-0.18,-0.27,1298,volatile,0.0
45,1.0,0,-0.15,-0.67,928,volatile,0.0
46,1.0,0,-0.91,-0.32,658,volatile,0.0
47,0.0,0,-0.66,-0.48,1138,volatile,0.0
48,0.0,0,-0.67,-0.66,1283,volatile,0.0
49,1.0,1,-0.11,-0.72,898,volatile,0.0
50,1.0,0,-0.36,-0.52,643,volatile,0.0
51,1.0,0,-0.44,-0.76,866,volatile,0.0
52,1.0,0,-0.04,-0.37,1465,volatile,0.0
53,0.0,0,-0.86,-0.09,770,volatile,0.0
54,1.0,0,-0.99,-0.86,946,volatile,0.0
55,1.0,0,-0.39,-0.9,1026,volatile,0.0
56,1.0,1,-0.82,-0.85,1363,volatile,0.0
57,1.0,0,-0.89,-0.99,1224,volatile,0.0
58,0.0,1,-0.88,-0.02,873,volatile,0.0
59,1.0,0,-0.05,-0.33,721,volatile,0.0
60,1.0,1,-0.35,-0.86,898,volatile,1.0
61,1.0,1,-0.08,-0.13,762,volatile,1.0
62,0.0,1,-0.78,-0.68,1065,volatile,1.0
63,1.0,1,-0.05,-0.15,657,volatile,1.0
64,0.0,1,-0.62,-0.42,971,volatile,1.0
65,0.0,0,-0.95,-0.51,755,volatile,1.0
66,1.0,0,-0.59,-0.95,850,volatile,1.0
67,1.0,0,-0.14,-0.98,993,volatile,1.0
68,1.0,1,-0.05,-0.84,946,volatile,1.0
69,1.0,1,-0.38,-0.5,834,volatile,1.0
70,1.0,1,-0.45,-0.59,970,volatile,1.0
71,1.0,1,-0.32,-0.72,810,volatile,1.0
72,1.0,1,-0.02,-0.91,643,volatile,1.0
73,1.0,1,-0.72,-0.99,771,volatile,1.0
74,0.0,1,-0.61,-0.43,642,volatile,1.0
75,1.0,1,-0.24,-0.79,699,volatile,1.0
76,0.0,1,-0.48,-0.15,746,volatile,1.0
77,1.0,1,-0.5,-0.61,681,volatile,1.0
78,1.0,1,-0.83,-0.34,721,volatile,1.0
79,1.0,0,-0.84,-0.92,1099,volatile,1.0
80,0.0,0,-0.71,-0.05,731,volatile,1.0
81,1.0,0,-0.5,-0.72,1267,volatile,1.0
82,1.0,1,-0.26,-0.29,593,volatile,1.0
83,0.0,1,-0.37,-0.63,795,volatile,1.0
84,0.0,0,-0.47,-0.12,859,volatile,1.0
85,1.0,0,-0.36,-0.81,890,volatile,1.0
86,0.0,0,-0.87,-0.59,971,volatile,1.0
87,1.0,0,-0.26,-0.75,1145,volatile,1.0
88,0.0,0,-0.17,-0.19,1323,volatile,1.0
89,0.0,1,-0.44,-0.37,2168,volatile,1.0
90,0.0,1,-0.66,-0.12,1281,stable,1.0
91,0.0,1,-0.98,-0.02,610,stable,1.0
92,1.0,0,-0.57,-0.95,763,stable,1.0
93,0.0,1,-0.28,-0.08,779,stable,1.0
94,0.0,1,-0.3,-0.33,1186,stable,1.0
95,0.0,1,-0.27,-0.24,1130,stable,1.0
96,0.0,0,-0.58,-0.43,993,stable,1.0
97,0.0,1,-0.72,-0.47,1146,stable,1.0
98,0.0,0,-0.45,-0.44,1626,stable,1.0
99,0.0,1,-0.69,-0.26,2700,stable,1.0
100,1.0,1,-0.06,-0.41,1450,stable,1.0
101,0.0,0,-0.88,-0.34,843,stable,1.0
102,0.0,0,-0.73,-0.2,914,stable,1.0
103,0.0,1,-0.6,-0.25,338,stable,1.0
104,0.0,0,-0.98,-0.06,379,stable,1.0
105,0.0,0,-0.48,-0.39,387,stable,1.0
106,0.0,1,-0.35,-0.95,346,stable,1.0
107,1.0,1,-0.67,-0.85,305,stable,1.0
108,1.0,1,-0.54,-0.22,355,stable,1.0
109,0.0,0,-0.23,-0.9,273,stable,1.0
110,1.0,1,-0.98,-0.41,427,stable,1.0
111,1.0,1,-0.58,-0.8,267,stable,1.0
112,1.0,0,-0.52,-0.85,323,stable,1.0
113,0.0,0,-0.83,-0.15,434,stable,1.0
114,0.0,1,-0.18,-0.16,258,stable,1.0
115,1.0,1,-0.56,-0.7,266,stable,1.0
116,1.0,1,-0.59,-0.95,290,stable,1.0
117,1.0,1,-0.68,-0.18,314,stable,1.0
118,0.0,1,-0.3,-0.16,281,stable,1.0
119,1.0,0,-0.86,-0.37,395,stable,1.0
120,0.0,1,-0.47,-0.44,275,stable,2.0
121,1.0,1,-0.03,-0.91,411,stable,2.0
122,1.0,0,-0.6,-0.1,363,stable,2.0
123,1.0,1,-0.54,-0.84,274,stable,2.0
124,1.0,1,-0.34,-0.95,314,stable,2.0
125,1.0,0,-0.96,-0.28,275,stable,2.0
126,0.0,1,-0.83,-0.94,370,stable,2.0
127,0.0,1,-0.23,-0.86,289,stable,2.0
128,0.0,1,-0.99,-0.2,267,stable,2.0
129,0.0,1,-0.29,-0.91,386,stable,2.0
130,0.0,0,-0.88,-0.64,267,stable,2.0
131,1.0,1,-0.84,-0.8,266,stable,2.0
132,0.0,0,-0.61,-0.88,370,stable,2.0
133,0.0,1,-0.23,-0.77,276,stable,2.0
134,0.0,1,-0.87,-0.54,701,stable,2.0
135,0.0,1,-0.25,-0.9,261,stable,2.0
136,1.0,0,-0.71,-0.44,296,stable,2.0
137,0.0,1,-0.42,-0.52,338,stable,2.0
138,1.0,1,-0.39,-0.94,298,stable,2.0
139,0.0,1,-0.39,-0.24,281,stable,2.0
140,0.0,0,-0.2,-0.1,266,stable,2.0
141,0.0,0,-0.85,-0.43,274,stable,2.0
142,0.0,0,-0.77,-0.02,265,stable,2.0
143,0.0,1,-0.54,-0.87,307,stable,2.0
144,0.0,1,-0.56,-0.57,315,stable,2.0
145,0.0,1,-0.5,-0.79,426,stable,2.0
146,1.0,1,-0.04,-0.88,290,stable,2.0
147,1.0,0,-0.4,-0.38,339,stable,2.0
148,1.0,1,-0.47,-0.86,362,stable,2.0
149,1.0,1,-0.15,-0.49,257,stable,2.0
150,1.0,1,-0.17,-0.39,402,stable,2.0
151,1.0,0,-0.76,-0.97,307,stable,2.0
152,0.0,1,-0.73,-0.14,323,stable,2.0
153,1.0,1,-0.67,-0.29,371,stable,2.0
154,0.0,1,-0.48,-0.39,357,stable,2.0
155,0.0,1,-0.3,-0.87,303,stable,2.0
156,1.0,0,-0.13,-0.37,386,stable,2.0
157,1.0,1,-0.66,-0.59,322,stable,2.0
158,0.0,1,-0.2,-0.77,346,stable,2.0
159,1.0,1,-0.39,-0.28,403,stable,2.0
160,0.0,1,-0.61,-0.55,307,stable,2.0
161,0.0,1,-0.62,-0.02,386,stable,2.0
162,0.0,0,-0.5,-0.8,306,stable,2.0
163,1.0,0,-0.6,-0.07,258,stable,2.0
164,0.0,0,-0.76,-0.52,291,stable,2.0
165,0.0,1,-0.49,-0.14,338,stable,2.0
166,1.0,1,-0.46,-0.36,386,stable,2.0
167,0.0,1,-0.84,-0.29,340,stable,2.0
168,0.0,1,-0.44,-0.47,257,stable,2.0
169,1.0,1,-0.73,-0.44,379,stable,2.0
170,0.0,1,-0.3,-0.95,362,stable,2.0
171,0.0,0,-0.8,-0.39,450,stable,2.0
172,1.0,1,-0.67,-0.61,402,stable,2.0
173,0.0,1,-0.95,-0.61,274,stable,2.0
174,0.0,1,-0.65,-0.19,385,stable,2.0
175,1.0,1,-0.72,-0.33,387,stable,2.0
176,1.0,0,-0.87,-0.17,401,stable,2.0
177,0.0,1,-0.65,-0.53,393,stable,2.0
178,1.0,1,-0.38,-0.76,418,stable,2.0
179,,1,-0.41,-0.2,1194,stable,2.0
