,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.41,-0.2,1984,volatile,0.0
1,0.0,0,-0.76,-0.69,1320,volatile,0.0
2,0.0,0,-0.73,-0.52,1601,volatile,0.0
3,1.0,0,-0.41,-0.43,1317,volatile,0.0
4,1.0,1,-0.25,-0.34,1412,volatile,0.0
5,0.0,0,-0.34,-0.48,1321,volatile,0.0
6,1.0,0,-0.3,-0.35,1537,volatile,0.0
7,0.0,0,-0.91,-0.42,2179,volatile,0.0
8,1.0,0,-0.7,-0.44,1545,volatile,0.0
9,1.0,1,-0.64,-0.5,2263,volatile,0.0
10,0.0,0,-0.28,-0.19,2368,volatile,0.0
11,0.0,0,-0.02,-0.59,1377,volatile,0.0
12,1.0,0,-0.2,-0.09,2486,volatile,0.0
13,1.0,0,-0.32,-0.76,1057,volatile,0.0
14,1.0,0,-0.09,-0.98,1415,volatile,0.0
15,1.0,1,-0.62,-0.56,1146,volatile,0.0
16,1.0,0,-0.17,-0.16,1880,volatile,0.0
17,1.0,0,-0.74,-0.07,1559,volatile,0.0
18,1.0,0,-0.02,-0.41,1191,volatile,0.0
19,1.0,0,-0.7,-0.57,1211,volatile,0.0
20,1.0,1,-0.24,-0.28,1100,volatile,0.0
21,0.0,1,-0.59,-0.76,1093,volatile,0.0
22,0.0,0,-0.15,-0.19,1237,volatile,0.0
23,1.0,1,-0.5,-0.68,1738,volatile,0.0
24,0.0,0,-0.43,-0.68,1418,volatile,0.0
25,0.0,1,-0.14,-0.19,1137,volatile,0.0
26,1.0,1,-0.12,-0.11,1048,volatile,0.0
27,0.0,1,-0.4,-0.36,1116,volatile,0.0
28,0.0,1,-0.88,-0.64,1297,volatile,0.0
29,0.0,1,-0.51,-0.03,1414,volatile,0.0
30,0.0,1,-0.44,-0.76,1475,volatile,0.0
31,0.0,1,-0.23,-0.92,1499,volatile,0.0
32,0.0,1,-0.23,-0.14,1076,volatile,0.0
33,0.0,1,-0.94,-0.77,1250,volatile,0.0
34,0.0,0,-0.85,-0.2,1106,volatile,0.0
35,1.0,1,-0.86,-0.63,1225,volatile,0.0
36,0.0,0,-0.82,-0.56,1128,volatile,0.0
