,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,-0.41,-0.2,1350,volatile,0.0
1,1.0,0,-0.76,-0.69,551,volatile,0.0
2,0.0,0,-0.73,-0.52,747,volatile,0.0
3,1.0,0,-0.41,-0.43,596,volatile,0.0
4,1.0,1,-0.25,-0.34,685,volatile,0.0
5,1.0,0,-0.34,-0.48,842,volatile,0.0
6,1.0,0,-0.3,-0.35,810,volatile,0.0
7,1.0,0,-0.91,-0.42,593,volatile,0.0
8,1.0,0,-0.7,-0.44,459,volatile,0.0
9,0.0,1,-0.64,-0.5,786,volatile,0.0
10,0.0,0,-0.28,-0.19,500,volatile,0.0
11,1.0,0,-0.02,-0.59,467,volatile,0.0
12,0.0,0,-0.2,-0.09,455,volatile,0.0
13,0.0,0,-0.32,-0.76,488,volatile,0.0
14,0.0,0,-0.09,-0.98,591,volatile,0.0
15,0.0,1,-0.62,-0.56,1001,volatile,0.0
16,0.0,0,-0.17,-0.16,964,volatile,0.0
17,1.0,0,-0.74,-0.07,509,volatile,0.0
18,0.0,0,-0.02,-0.41,783,volatile,0.0
19,0.0,0,-0.7,-0.57,672,volatile,0.0
20,1.0,1,-0.24,-0.28,469,volatile,0.0
21,0.0,1,-0.59,-0.76,1023,volatile,0.0
22,1.0,0,-0.15,-0.19,413,volatile,0.0
23,0.0,1,-0.5,-0.68,447,volatile,0.0
24,0.0,0,-0.43,-0.68,1044,volatile,0.0
25,0.0,1,-0.14,-0.19,417,volatile,0.0
26,1.0,1,-0.12,-0.11,619,volatile,0.0
27,1.0,1,-0.4,-0.36,412,volatile,0.0
28,0.0,1,-0.88,-0.64,408,volatile,0.0
29,0.0,1,-0.51,-0.03,382,volatile,0.0
30,0.0,1,-0.44,-0.76,927,volatile,0.0
31,0.0,1,-0.23,-0.92,453,volatile,0.0
32,0.0,1,-0.23,-0.14,1565,volatile,0.0
33,1.0,1,-0.94,-0.77,2310,volatile,0.0
34,0.0,0,-0.85,-0.2,1025,volatile,0.0
35,0.0,1,-0.86,-0.63,488,volatile,0.0
36,1.0,0,-0.82,-0.56,593,volatile,0.0
37,0.0,0,-0.68,-0.63,556,volatile,0.0
38,1.0,0,-0.65,-0.8,696,volatile,0.0
39,1.0,0,-0.25,-0.1,516,volatile,0.0
40,1.0,0,-0.67,-0.8,835,volatile,0.0
41,1.0,0,-0.82,-0.57,1605,volatile,0.0
42,1.0,0,-0.88,-0.47,1178,volatile,0.0
43,1.0,1,-0.55,-0.99,1145,volatile,0.0
44,0.0,1,-0.74,-0.67,354,volatile,0.0
45,1.0,0,-0.18,-0.27,1165,volatile,0.0
46,0.0,0,-0.15,-0.67,663,volatile,0.0
47,0.0,0,-0.91,-0.32,999,volatile,0.0
48,1.0,0,-0.66,-0.48,616,volatile,0.0
49,1.0,0,-0.67,-0.66,1002,volatile,0.0
50,1.0,1,-0.11,-0.72,461,volatile,0.0
51,1.0,0,-0.36,-0.52,3995,volatile,0.0
52,1.0,0,-0.44,-0.76,2746,volatile,0.0
53,0.0,0,-0.04,-0.37,507,volatile,0.0
54,1.0,0,-0.86,-0.09,608,volatile,0.0
55,1.0,0,-0.99,-0.86,639,volatile,0.0
56,1.0,0,-0.39,-0.9,651,volatile,0.0
57,1.0,1,-0.82,-0.85,800,volatile,0.0
58,0.0,0,-0.89,-0.99,582,volatile,0.0
59,1.0,1,-0.88,-0.02,555,volatile,0.0
60,1.0,0,-0.05,-0.33,631,volatile,1.0
61,1.0,1,-0.35,-0.86,2928,volatile,1.0
62,0.0,1,-0.08,-0.13,390,volatile,1.0
63,1.0,1,-0.78,-0.68,1850,volatile,1.0
64,0.0,1,-0.05,-0.15,1028,volatile,1.0
65,0.0,1,-0.62,-0.42,691,volatile,1.0
66,1.0,0,-0.95,-0.51,708,volatile,1.0
67,0.0,0,-0.59,-0.95,555,volatile,1.0
68,1.0,0,-0.14,-0.98,514,volatile,1.0
69,1.0,1,-0.05,-0.84,582,volatile,1.0
70,1.0,1,-0.38,-0.5,874,volatile,1.0
71,1.0,1,-0.45,-0.59,434,volatile,1.0
72,1.0,1,-0.32,-0.72,425,volatile,1.0
73,1.0,1,-0.02,-0.91,2578,volatile,1.0
74,1.0,1,-0.72,-0.99,460,volatile,1.0
75,1.0,1,-0.61,-0.43,460,volatile,1.0
76,0.0,1,-0.24,-0.79,817,volatile,1.0
77,0.0,1,-0.48,-0.15,470,volatile,1.0
78,1.0,1,-0.5,-0.61,518,volatile,1.0
79,0.0,1,-0.83,-0.34,289,volatile,1.0
80,0.0,0,-0.84,-0.92,380,volatile,1.0
81,1.0,0,-0.71,-0.05,637,volatile,1.0
82,1.0,0,-0.5,-0.72,734,volatile,1.0
83,1.0,1,-0.26,-0.29,528,volatile,1.0
84,0.0,1,-0.37,-0.63,478,volatile,1.0
85,1.0,0,-0.47,-0.12,408,volatile,1.0
86,0.0,0,-0.36,-0.81,394,volatile,1.0
87,0.0,0,-0.87,-0.59,3731,volatile,1.0
88,0.0,0,-0.26,-0.75,460,volatile,1.0
89,0.0,0,-0.17,-0.19,446,volatile,1.0
90,0.0,1,-0.44,-0.37,1492,stable,1.0
91,0.0,1,-0.66,-0.12,685,stable,1.0
92,0.0,1,-0.98,-0.02,478,stable,1.0
93,1.0,0,-0.57,-0.95,505,stable,1.0
94,1.0,1,-0.28,-0.08,598,stable,1.0
95,1.0,1,-0.3,-0.33,530,stable,1.0
96,0.0,1,-0.27,-0.24,447,stable,1.0
97,0.0,0,-0.58,-0.43,529,stable,1.0
98,0.0,1,-0.72,-0.47,464,stable,1.0
99,1.0,0,-0.45,-0.44,659,stable,1.0
100,1.0,1,-0.69,-0.26,413,stable,1.0
101,0.0,1,-0.06,-0.41,824,stable,1.0
102,1.0,0,-0.88,-0.34,1424,stable,1.0
103,1.0,0,-0.73,-0.2,1196,stable,1.0
104,1.0,1,-0.6,-0.25,436,stable,1.0
105,1.0,0,-0.98,-0.06,505,stable,1.0
106,1.0,0,-0.48,-0.39,413,stable,1.0
107,0.0,1,-0.35,-0.95,408,stable,1.0
108,1.0,1,-0.67,-0.85,469,stable,1.0
109,1.0,1,-0.54,-0.22,1194,stable,1.0
110,0.0,0,-0.23,-0.9,511,stable,1.0
111,,1,-0.98,-0.41,6252,stable,1.0
112,1.0,1,-0.58,-0.8,465,stable,1.0
113,1.0,0,-0.52,-0.85,362,stable,1.0
114,0.0,0,-0.83,-0.15,431,stable,1.0
115,1.0,1,-0.18,-0.16,422,stable,1.0
116,1.0,1,-0.56,-0.7,308,stable,1.0
117,1.0,1,-0.59,-0.95,1357,stable,1.0
118,0.0,1,-0.68,-0.18,768,stable,1.0
119,0.0,1,-0.3,-0.16,348,stable,1.0
120,1.0,0,-0.86,-0.37,704,stable,2.0
121,0.0,1,-0.47,-0.44,1534,stable,2.0
122,1.0,1,-0.03,-0.91,881,stable,2.0
123,1.0,0,-0.6,-0.1,449,stable,2.0
124,0.0,1,-0.54,-0.84,487,stable,2.0
125,1.0,1,-0.34,-0.95,498,stable,2.0
126,0.0,0,-0.96,-0.28,261,stable,2.0
127,1.0,1,-0.83,-0.94,478,stable,2.0
128,1.0,1,-0.23,-0.86,260,stable,2.0
129,1.0,1,-0.99,-0.2,472,stable,2.0
130,1.0,1,-0.29,-0.91,333,stable,2.0
131,1.0,0,-0.88,-0.64,461,stable,2.0
132,0.0,1,-0.84,-0.8,498,stable,2.0
133,0.0,0,-0.61,-0.88,717,stable,2.0
134,0.0,1,-0.23,-0.77,392,stable,2.0
135,1.0,1,-0.87,-0.54,944,stable,2.0
136,0.0,1,-0.25,-0.9,447,stable,2.0
137,1.0,0,-0.71,-0.44,311,stable,2.0
138,1.0,1,-0.42,-0.52,494,stable,2.0
139,0.0,1,-0.39,-0.94,590,stable,2.0
140,0.0,1,-0.39,-0.24,468,stable,2.0
141,0.0,0,-0.2,-0.1,512,stable,2.0
142,1.0,0,-0.85,-0.43,257,stable,2.0
143,1.0,0,-0.77,-0.02,418,stable,2.0
144,1.0,1,-0.54,-0.87,628,stable,2.0
145,0.0,1,-0.56,-0.57,576,stable,2.0
146,0.0,1,-0.5,-0.79,565,stable,2.0
147,0.0,1,-0.04,-0.88,550,stable,2.0
148,1.0,0,-0.4,-0.38,434,stable,2.0
149,1.0,1,-0.47,-0.86,404,stable,2.0
150,0.0,1,-0.15,-0.49,555,stable,2.0
151,1.0,1,-0.17,-0.39,259,stable,2.0
152,0.0,0,-0.76,-0.97,392,stable,2.0
153,1.0,1,-0.73,-0.14,334,stable,2.0
154,1.0,1,-0.67,-0.29,368,stable,2.0
155,0.0,1,-0.48,-0.39,557,stable,2.0
156,0.0,1,-0.3,-0.87,582,stable,2.0
157,0.0,0,-0.13,-0.37,473,stable,2.0
158,0.0,1,-0.66,-0.59,5202,stable,2.0
159,0.0,1,-0.2,-0.77,507,stable,2.0
