,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.44,-0.37,1338,stable,0.0
1,0.0,1,-0.66,-0.12,411,stable,0.0
2,0.0,1,-0.98,-0.02,720,stable,0.0
3,1.0,0,-0.57,-0.95,745,stable,0.0
4,0.0,1,-0.28,-0.08,1055,stable,0.0
5,1.0,1,-0.3,-0.33,1086,stable,0.0
6,0.0,1,-0.27,-0.24,1089,stable,0.0
7,0.0,0,-0.58,-0.43,1064,stable,0.0
8,0.0,1,-0.72,-0.47,1023,stable,0.0
9,0.0,0,-0.45,-0.44,722,stable,0.0
10,0.0,1,-0.69,-0.26,1041,stable,0.0
11,1.0,1,-0.06,-0.41,706,stable,0.0
12,0.0,0,-0.88,-0.34,976,stable,0.0
13,0.0,0,-0.73,-0.2,939,stable,0.0
14,0.0,1,-0.6,-0.25,1631,stable,0.0
15,0.0,0,-0.98,-0.06,720,stable,0.0
16,0.0,0,-0.48,-0.39,952,stable,0.0
17,1.0,1,-0.35,-0.95,855,stable,0.0
18,1.0,1,-0.67,-0.85,1138,stable,0.0
19,1.0,1,-0.54,-0.22,838,stable,0.0
20,1.0,0,-0.23,-0.9,712,stable,0.0
21,0.0,1,-0.98,-0.41,1049,stable,0.0
22,1.0,1,-0.58,-0.8,667,stable,0.0
23,0.0,0,-0.52,-0.85,927,stable,0.0
24,0.0,0,-0.83,-0.15,1178,stable,0.0
25,1.0,1,-0.18,-0.16,4962,stable,0.0
26,1.0,1,-0.56,-0.7,935,stable,0.0
27,1.0,1,-0.59,-0.95,834,stable,0.0
28,0.0,1,-0.68,-0.18,3686,stable,0.0
29,1.0,1,-0.3,-0.16,913,stable,0.0
30,0.0,0,-0.86,-0.37,1361,stable,0.0
31,0.0,1,-0.47,-0.44,1031,stable,0.0
32,1.0,1,-0.03,-0.91,745,stable,0.0
33,0.0,0,-0.6,-0.1,2313,stable,0.0
34,1.0,1,-0.54,-0.84,1113,stable,0.0
35,1.0,1,-0.34,-0.95,745,stable,0.0
36,0.0,0,-0.96,-0.28,815,stable,0.0
37,1.0,1,-0.83,-0.94,1049,stable,0.0
38,1.0,1,-0.23,-0.86,946,stable,0.0
39,0.0,1,-0.99,-0.2,897,stable,0.0
40,1.0,1,-0.29,-0.91,803,stable,0.0
41,1.0,0,-0.88,-0.64,834,stable,0.0
42,0.0,1,-0.84,-0.8,1248,stable,0.0
43,1.0,0,-0.61,-0.88,1305,stable,0.0
44,1.0,1,-0.23,-0.77,757,stable,0.0
45,0.0,1,-0.87,-0.54,1432,stable,0.0
46,1.0,1,-0.25,-0.9,967,stable,0.0
47,0.0,0,-0.71,-0.44,770,stable,0.0
48,1.0,1,-0.42,-0.52,930,stable,0.0
49,0.0,1,-0.39,-0.94,641,stable,0.0
50,1.0,1,-0.39,-0.24,841,stable,0.0
51,0.0,0,-0.2,-0.1,1009,stable,0.0
52,0.0,0,-0.85,-0.43,750,stable,0.0
53,0.0,0,-0.77,-0.02,669,stable,0.0
54,1.0,1,-0.54,-0.87,888,stable,0.0
55,0.0,1,-0.56,-0.57,1473,stable,0.0
56,0.0,1,-0.5,-0.79,857,stable,0.0
57,1.0,1,-0.04,-0.88,746,stable,0.0
58,0.0,0,-0.4,-0.38,1253,stable,0.0
59,1.0,1,-0.47,-0.86,969,stable,0.0
60,1.0,1,-0.15,-0.49,954,stable,1.0
61,1.0,1,-0.17,-0.39,802,stable,1.0
62,1.0,0,-0.76,-0.97,1073,stable,1.0
63,0.0,1,-0.73,-0.14,768,stable,1.0
64,0.0,1,-0.67,-0.29,1090,stable,1.0
65,0.0,1,-0.48,-0.39,1023,stable,1.0
66,1.0,1,-0.3,-0.87,998,stable,1.0
67,1.0,0,-0.13,-0.37,879,stable,1.0
68,0.0,1,-0.66,-0.59,1225,stable,1.0
69,0.0,1,-0.2,-0.77,797,stable,1.0
