,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.44,-0.37,4228,stable,0.0
1,0.0,1,-0.66,-0.12,2083,stable,0.0
2,0.0,1,-0.98,-0.02,2724,stable,0.0
3,0.0,0,-0.57,-0.95,1025,stable,0.0
4,1.0,1,-0.28,-0.08,1489,stable,0.0
5,0.0,1,-0.3,-0.33,999,stable,0.0
6,0.0,1,-0.27,-0.24,1098,stable,0.0
7,0.0,0,-0.58,-0.43,1718,stable,0.0
8,0.0,1,-0.72,-0.47,977,stable,0.0
9,0.0,0,-0.45,-0.44,937,stable,0.0
10,0.0,1,-0.69,-0.26,1701,stable,0.0
11,1.0,1,-0.06,-0.41,1955,stable,0.0
12,0.0,0,-0.88,-0.34,2116,stable,0.0
13,0.0,0,-0.73,-0.2,1967,stable,0.0
14,1.0,1,-0.6,-0.25,2173,stable,0.0
15,0.0,0,-0.98,-0.06,1033,stable,0.0
16,0.0,0,-0.48,-0.39,945,stable,0.0
17,1.0,1,-0.35,-0.95,1096,stable,0.0
18,0.0,1,-0.67,-0.85,1827,stable,0.0
19,0.0,1,-0.54,-0.22,1175,stable,0.0
20,0.0,0,-0.23,-0.9,785,stable,0.0
21,1.0,1,-0.98,-0.41,1013,stable,0.0
22,0.0,1,-0.58,-0.8,1547,stable,0.0
23,0.0,0,-0.52,-0.85,790,stable,0.0
24,1.0,0,-0.83,-0.15,982,stable,0.0
25,1.0,1,-0.18,-0.16,1776,stable,0.0
26,0.0,1,-0.56,-0.7,1338,stable,0.0
27,0.0,1,-0.59,-0.95,929,stable,0.0
28,0.0,1,-0.68,-0.18,1134,stable,0.0
29,0.0,1,-0.3,-0.16,984,stable,0.0
30,0.0,0,-0.86,-0.37,843,stable,0.0
31,1.0,1,-0.47,-0.44,1235,stable,0.0
32,0.0,1,-0.03,-0.91,832,stable,0.0
33,0.0,0,-0.6,-0.1,722,stable,0.0
34,0.0,1,-0.54,-0.84,1613,stable,0.0
35,0.0,1,-0.34,-0.95,885,stable,0.0
36,0.0,0,-0.96,-0.28,3169,stable,0.0
37,0.0,1,-0.83,-0.94,1147,stable,0.0
38,0.0,1,-0.23,-0.86,741,stable,0.0
39,0.0,1,-0.99,-0.2,913,stable,0.0
40,0.0,1,-0.29,-0.91,1399,stable,0.0
41,0.0,0,-0.88,-0.64,2170,stable,0.0
42,1.0,1,-0.84,-0.8,931,stable,0.0
43,0.0,0,-0.61,-0.88,747,stable,0.0
44,0.0,1,-0.23,-0.77,1079,stable,0.0
45,0.0,1,-0.87,-0.54,2125,stable,0.0
46,0.0,1,-0.25,-0.9,792,stable,0.0
47,0.0,0,-0.71,-0.44,1241,stable,0.0
48,0.0,1,-0.42,-0.52,882,stable,0.0
49,0.0,1,-0.39,-0.94,1620,stable,0.0
50,0.0,1,-0.39,-0.24,1108,stable,0.0
51,0.0,0,-0.2,-0.1,1570,stable,0.0
52,0.0,0,-0.85,-0.43,1014,stable,0.0
53,0.0,0,-0.77,-0.02,1375,stable,0.0
54,1.0,1,-0.54,-0.87,931,stable,0.0
55,0.0,1,-0.56,-0.57,774,stable,0.0
56,0.0,1,-0.5,-0.79,873,stable,0.0
57,0.0,1,-0.04,-0.88,778,stable,0.0
58,0.0,0,-0.4,-0.38,983,stable,0.0
59,0.0,1,-0.47,-0.86,1303,stable,0.0
60,0.0,1,-0.15,-0.49,713,stable,1.0
61,0.0,1,-0.17,-0.39,837,stable,1.0
62,0.0,0,-0.76,-0.97,1086,stable,1.0
63,1.0,1,-0.73,-0.14,932,stable,1.0
64,0.0,1,-0.67,-0.29,756,stable,1.0
65,0.0,1,-0.48,-0.39,1038,stable,1.0
66,0.0,1,-0.3,-0.87,758,stable,1.0
67,0.0,0,-0.13,-0.37,758,stable,1.0
68,0.0,1,-0.66,-0.59,983,stable,1.0
69,0.0,1,-0.2,-0.77,784,stable,1.0
70,0.0,1,-0.39,-0.28,697,stable,1.0
71,0.0,1,-0.61,-0.55,906,stable,1.0
72,0.0,1,-0.62,-0.02,2023,stable,1.0
73,0.0,0,-0.5,-0.8,922,stable,1.0
74,0.0,0,-0.6,-0.07,1586,stable,1.0
75,0.0,0,-0.76,-0.52,2850,stable,1.0
76,0.0,1,-0.49,-0.14,758,stable,1.0
77,0.0,1,-0.46,-0.36,664,stable,1.0
78,0.0,1,-0.84,-0.29,993,stable,1.0
79,0.0,1,-0.44,-0.47,930,stable,1.0
80,0.0,1,-0.73,-0.44,847,stable,1.0
81,1.0,1,-0.3,-0.95,985,stable,1.0
82,0.0,0,-0.8,-0.39,672,stable,1.0
83,0.0,1,-0.67,-0.61,1045,stable,1.0
84,0.0,1,-0.95,-0.61,660,stable,1.0
85,0.0,1,-0.65,-0.19,1847,stable,1.0
86,0.0,1,-0.72,-0.33,616,stable,1.0
87,0.0,0,-0.87,-0.17,1109,stable,1.0
88,1.0,1,-0.65,-0.53,1113,stable,1.0
89,0.0,1,-0.38,-0.76,748,stable,1.0
90,0.0,1,-0.41,-0.2,2705,volatile,1.0
91,0.0,0,-0.76,-0.69,691,volatile,1.0
92,0.0,0,-0.73,-0.52,705,volatile,1.0
93,0.0,0,-0.41,-0.43,710,volatile,1.0
94,1.0,1,-0.25,-0.34,929,volatile,1.0
95,0.0,0,-0.34,-0.48,779,volatile,1.0
96,0.0,0,-0.3,-0.35,703,volatile,1.0
97,1.0,0,-0.91,-0.42,962,volatile,1.0
98,1.0,0,-0.7,-0.44,774,volatile,1.0
99,1.0,1,-0.64,-0.5,763,volatile,1.0
100,0.0,0,-0.28,-0.19,1028,volatile,1.0
101,1.0,0,-0.02,-0.59,1708,volatile,1.0
102,1.0,0,-0.2,-0.09,1222,volatile,1.0
103,1.0,0,-0.32,-0.76,707,volatile,1.0
104,1.0,0,-0.09,-0.98,752,volatile,1.0
105,1.0,1,-0.62,-0.56,677,volatile,1.0
106,1.0,0,-0.17,-0.16,959,volatile,1.0
107,1.0,0,-0.74,-0.07,652,volatile,1.0
108,1.0,0,-0.02,-0.41,669,volatile,1.0
109,1.0,0,-0.7,-0.57,1266,volatile,1.0
110,1.0,1,-0.24,-0.28,738,volatile,1.0
111,1.0,1,-0.59,-0.76,744,volatile,1.0
112,1.0,0,-0.15,-0.19,942,volatile,1.0
113,1.0,1,-0.5,-0.68,683,volatile,1.0
114,1.0,0,-0.43,-0.68,1068,volatile,1.0
115,1.0,1,-0.14,-0.19,676,volatile,1.0
116,1.0,1,-0.12,-0.11,1220,volatile,1.0
117,1.0,1,-0.4,-0.36,829,volatile,1.0
118,0.0,1,-0.88,-0.64,684,volatile,1.0
119,0.0,1,-0.51,-0.03,742,volatile,1.0
120,0.0,1,-0.44,-0.76,1068,volatile,2.0
121,0.0,1,-0.23,-0.92,766,volatile,2.0
122,0.0,1,-0.23,-0.14,767,volatile,2.0
123,0.0,1,-0.94,-0.77,703,volatile,2.0
124,0.0,0,-0.85,-0.2,837,volatile,2.0
125,1.0,1,-0.86,-0.63,1010,volatile,2.0
126,0.0,0,-0.82,-0.56,689,volatile,2.0
127,0.0,0,-0.68,-0.63,890,volatile,2.0
128,1.0,0,-0.65,-0.8,716,volatile,2.0
129,1.0,0,-0.25,-0.1,700,volatile,2.0
130,1.0,0,-0.67,-0.8,825,volatile,2.0
131,1.0,0,-0.82,-0.57,742,volatile,2.0
132,1.0,0,-0.88,-0.47,945,volatile,2.0
133,1.0,1,-0.55,-0.99,1330,volatile,2.0
