,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.44,-0.37,2539,stable,0.0
1,0.0,1,-0.66,-0.12,1426,stable,0.0
2,0.0,1,-0.98,-0.02,4310,stable,0.0
3,1.0,0,-0.57,-0.95,1945,stable,0.0
4,0.0,1,-0.28,-0.08,6083,stable,0.0
5,1.0,1,-0.3,-0.33,2230,stable,0.0
6,0.0,1,-0.27,-0.24,2616,stable,0.0
7,0.0,0,-0.58,-0.43,2313,stable,0.0
8,0.0,1,-0.72,-0.47,3659,stable,0.0
9,0.0,0,-0.45,-0.44,1602,stable,0.0
10,0.0,1,-0.69,-0.26,1973,stable,0.0
11,0.0,1,-0.06,-0.41,2731,stable,0.0
12,0.0,0,-0.88,-0.34,2163,stable,0.0
13,0.0,0,-0.73,-0.2,1272,stable,0.0
14,0.0,1,-0.6,-0.25,1384,stable,0.0
15,0.0,0,-0.98,-0.06,1650,stable,0.0
16,1.0,0,-0.48,-0.39,3616,stable,0.0
17,1.0,1,-0.35,-0.95,1226,stable,0.0
18,1.0,1,-0.67,-0.85,3202,stable,0.0
19,0.0,1,-0.54,-0.22,1439,stable,0.0
20,1.0,0,-0.23,-0.9,1323,stable,0.0
21,0.0,1,-0.98,-0.41,3119,stable,0.0
22,1.0,1,-0.58,-0.8,1844,stable,0.0
23,1.0,0,-0.52,-0.85,1689,stable,0.0
24,0.0,0,-0.83,-0.15,2464,stable,0.0
25,0.0,1,-0.18,-0.16,4072,stable,0.0
26,0.0,1,-0.56,-0.7,2390,stable,0.0
27,1.0,1,-0.59,-0.95,3039,stable,0.0
28,0.0,1,-0.68,-0.18,979,stable,0.0
29,0.0,1,-0.3,-0.16,1337,stable,0.0
30,0.0,0,-0.86,-0.37,1417,stable,0.0
31,0.0,1,-0.47,-0.44,2024,stable,0.0
32,1.0,1,-0.03,-0.91,1266,stable,0.0
33,0.0,0,-0.6,-0.1,1908,stable,0.0
34,1.0,1,-0.54,-0.84,1532,stable,0.0
35,1.0,1,-0.34,-0.95,1757,stable,0.0
36,0.0,0,-0.96,-0.28,2232,stable,0.0
37,1.0,1,-0.83,-0.94,1896,stable,0.0
38,1.0,1,-0.23,-0.86,1258,stable,0.0
39,0.0,1,-0.99,-0.2,1211,stable,0.0
40,0.0,1,-0.29,-0.91,1315,stable,0.0
41,0.0,0,-0.88,-0.64,1305,stable,0.0
42,0.0,1,-0.84,-0.8,2680,stable,0.0
43,1.0,0,-0.61,-0.88,2262,stable,0.0
44,1.0,1,-0.23,-0.77,1307,stable,0.0
45,0.0,1,-0.87,-0.54,2271,stable,0.0
46,1.0,1,-0.25,-0.9,3390,stable,0.0
47,0.0,0,-0.71,-0.44,766,stable,0.0
48,1.0,1,-0.42,-0.52,1449,stable,0.0
49,0.0,1,-0.39,-0.94,1129,stable,0.0
50,1.0,1,-0.39,-0.24,1585,stable,0.0
51,1.0,0,-0.2,-0.1,1762,stable,0.0
52,0.0,0,-0.85,-0.43,1499,stable,0.0
53,0.0,0,-0.77,-0.02,1129,stable,0.0
54,0.0,1,-0.54,-0.87,1201,stable,0.0
55,1.0,1,-0.56,-0.57,1319,stable,0.0
56,1.0,1,-0.5,-0.79,1498,stable,0.0
57,1.0,1,-0.04,-0.88,3163,stable,0.0
58,0.0,0,-0.4,-0.38,777,stable,0.0
59,0.0,1,-0.47,-0.86,2095,stable,0.0
60,0.0,1,-0.15,-0.49,987,stable,1.0
61,1.0,1,-0.17,-0.39,1007,stable,1.0
62,1.0,0,-0.76,-0.97,2280,stable,1.0
63,1.0,1,-0.73,-0.14,1336,stable,1.0
64,0.0,1,-0.67,-0.29,1642,stable,1.0
65,0.0,1,-0.48,-0.39,856,stable,1.0
66,0.0,1,-0.3,-0.87,1742,stable,1.0
67,1.0,0,-0.13,-0.37,1495,stable,1.0
68,1.0,1,-0.66,-0.59,2088,stable,1.0
69,1.0,1,-0.2,-0.77,972,stable,1.0
70,0.0,1,-0.39,-0.28,1033,stable,1.0
71,0.0,1,-0.61,-0.55,2152,stable,1.0
72,0.0,1,-0.62,-0.02,2029,stable,1.0
73,1.0,0,-0.5,-0.8,1718,stable,1.0
74,1.0,0,-0.6,-0.07,1864,stable,1.0
75,1.0,0,-0.76,-0.52,1510,stable,1.0
76,0.0,1,-0.49,-0.14,1626,stable,1.0
77,0.0,1,-0.46,-0.36,984,stable,1.0
78,0.0,1,-0.84,-0.29,887,stable,1.0
79,1.0,1,-0.44,-0.47,1269,stable,1.0
80,0.0,1,-0.73,-0.44,1096,stable,1.0
81,0.0,1,-0.3,-0.95,1501,stable,1.0
82,0.0,0,-0.8,-0.39,1012,stable,1.0
83,0.0,1,-0.67,-0.61,2064,stable,1.0
84,0.0,1,-0.95,-0.61,3401,stable,1.0
85,0.0,1,-0.65,-0.19,1190,stable,1.0
86,0.0,1,-0.72,-0.33,1468,stable,1.0
87,0.0,0,-0.87,-0.17,1338,stable,1.0
88,1.0,1,-0.65,-0.53,994,stable,1.0
89,1.0,1,-0.38,-0.76,1151,stable,1.0
90,0.0,1,-0.41,-0.2,4495,volatile,1.0
91,0.0,0,-0.76,-0.69,1445,volatile,1.0
92,0.0,0,-0.73,-0.52,1582,volatile,1.0
93,1.0,0,-0.41,-0.43,2488,volatile,1.0
94,1.0,1,-0.25,-0.34,1210,volatile,1.0
95,0.0,0,-0.34,-0.48,1295,volatile,1.0
96,1.0,0,-0.3,-0.35,1695,volatile,1.0
97,0.0,0,-0.91,-0.42,1708,volatile,1.0
98,0.0,0,-0.7,-0.44,2072,volatile,1.0
99,0.0,1,-0.64,-0.5,1373,volatile,1.0
100,0.0,0,-0.28,-0.19,1468,volatile,1.0
101,1.0,0,-0.02,-0.59,1150,volatile,1.0
102,1.0,0,-0.2,-0.09,1817,volatile,1.0
103,0.0,0,-0.32,-0.76,1765,volatile,1.0
104,1.0,0,-0.09,-0.98,1064,volatile,1.0
105,1.0,1,-0.62,-0.56,1395,volatile,1.0
106,0.0,0,-0.17,-0.16,969,volatile,1.0
107,0.0,0,-0.74,-0.07,960,volatile,1.0
108,1.0,0,-0.02,-0.41,968,volatile,1.0
109,1.0,0,-0.7,-0.57,2056,volatile,1.0
110,1.0,1,-0.24,-0.28,2121,volatile,1.0
111,1.0,1,-0.59,-0.76,1097,volatile,1.0
112,1.0,0,-0.15,-0.19,1161,volatile,1.0
113,1.0,1,-0.5,-0.68,1191,volatile,1.0
114,0.0,0,-0.43,-0.68,3172,volatile,1.0
115,0.0,1,-0.14,-0.19,871,volatile,1.0
116,1.0,1,-0.12,-0.11,776,volatile,1.0
117,1.0,1,-0.4,-0.36,726,volatile,1.0
118,1.0,1,-0.88,-0.64,633,volatile,1.0
119,0.0,1,-0.51,-0.03,817,volatile,1.0
120,1.0,1,-0.44,-0.76,985,volatile,2.0
121,1.0,1,-0.23,-0.92,1143,volatile,2.0
122,1.0,1,-0.23,-0.14,1014,volatile,2.0
123,0.0,1,-0.94,-0.77,1953,volatile,2.0
124,0.0,0,-0.85,-0.2,826,volatile,2.0
125,0.0,1,-0.86,-0.63,1173,volatile,2.0
126,0.0,0,-0.82,-0.56,1368,volatile,2.0
127,0.0,0,-0.68,-0.63,1256,volatile,2.0
128,0.0,0,-0.65,-0.8,2184,volatile,2.0
129,0.0,0,-0.25,-0.1,914,volatile,2.0
130,1.0,0,-0.67,-0.8,2522,volatile,2.0
131,,0,-0.82,-0.57,6251,volatile,2.0
132,0.0,0,-0.88,-0.47,1220,volatile,2.0
133,1.0,1,-0.55,-0.99,1177,volatile,2.0
134,0.0,1,-0.74,-0.67,1765,volatile,2.0
135,1.0,0,-0.18,-0.27,2322,volatile,2.0
136,1.0,0,-0.15,-0.67,976,volatile,2.0
137,1.0,0,-0.91,-0.32,1096,volatile,2.0
138,1.0,0,-0.66,-0.48,922,volatile,2.0
139,1.0,0,-0.67,-0.66,769,volatile,2.0
140,1.0,1,-0.11,-0.72,841,volatile,2.0
141,1.0,0,-0.36,-0.52,838,volatile,2.0
142,1.0,0,-0.44,-0.76,712,volatile,2.0
143,1.0,0,-0.04,-0.37,850,volatile,2.0
144,1.0,0,-0.86,-0.09,936,volatile,2.0
145,1.0,0,-0.99,-0.86,697,volatile,2.0
146,1.0,0,-0.39,-0.9,689,volatile,2.0
147,1.0,1,-0.82,-0.85,661,volatile,2.0
148,1.0,0,-0.89,-0.99,920,volatile,2.0
149,1.0,1,-0.88,-0.02,761,volatile,2.0
150,1.0,0,-0.05,-0.33,680,volatile,2.0
151,1.0,1,-0.35,-0.86,810,volatile,2.0
152,1.0,1,-0.08,-0.13,792,volatile,2.0
153,1.0,1,-0.78,-0.68,969,volatile,2.0
154,0.0,1,-0.05,-0.15,970,volatile,2.0
155,0.0,1,-0.62,-0.42,735,volatile,2.0
156,0.0,0,-0.95,-0.51,824,volatile,2.0
157,0.0,0,-0.59,-0.95,1268,volatile,2.0
158,1.0,0,-0.14,-0.98,974,volatile,2.0
159,1.0,1,-0.05,-0.84,1320,volatile,2.0
160,1.0,1,-0.38,-0.5,1119,volatile,2.0
161,0.0,1,-0.45,-0.59,1144,volatile,2.0
162,0.0,1,-0.32,-0.72,993,volatile,2.0
163,0.0,1,-0.02,-0.91,839,volatile,2.0
164,0.0,1,-0.72,-0.99,1070,volatile,2.0
165,0.0,1,-0.61,-0.43,896,volatile,2.0
166,0.0,1,-0.24,-0.79,996,volatile,2.0
167,0.0,1,-0.48,-0.15,890,volatile,2.0
168,0.0,1,-0.5,-0.61,1107,volatile,2.0
169,0.0,1,-0.83,-0.34,815,volatile,2.0
170,0.0,0,-0.84,-0.92,968,volatile,2.0
171,0.0,0,-0.71,-0.05,1817,volatile,2.0
172,1.0,0,-0.5,-0.72,841,volatile,2.0
173,1.0,1,-0.26,-0.29,870,volatile,2.0
174,0.0,1,-0.37,-0.63,1160,volatile,2.0
175,0.0,0,-0.47,-0.12,880,volatile,2.0
176,1.0,0,-0.36,-0.81,2839,volatile,2.0
177,1.0,0,-0.87,-0.59,1335,volatile,2.0
178,1.0,0,-0.26,-0.75,961,volatile,2.0
179,1.0,0,-0.17,-0.19,1089,volatile,2.0
