,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.44,-0.37,1131,stable,0.0
1,1.0,1,-0.66,-0.12,682,stable,0.0
2,0.0,1,-0.98,-0.02,767,stable,0.0
3,1.0,0,-0.57,-0.95,995,stable,0.0
4,0.0,1,-0.28,-0.08,834,stable,0.0
5,1.0,1,-0.3,-0.33,481,stable,0.0
6,1.0,1,-0.27,-0.24,913,stable,0.0
7,1.0,0,-0.58,-0.43,544,stable,0.0
8,0.0,1,-0.72,-0.47,1141,stable,0.0
9,1.0,0,-0.45,-0.44,765,stable,0.0
10,0.0,1,-0.69,-0.26,958,stable,0.0
11,1.0,1,-0.06,-0.41,813,stable,0.0
12,0.0,0,-0.88,-0.34,970,stable,0.0
13,1.0,0,-0.73,-0.2,529,stable,0.0
14,0.0,1,-0.6,-0.25,599,stable,0.0
15,0.0,0,-0.98,-0.06,853,stable,0.0
16,0.0,0,-0.48,-0.39,989,stable,0.0
17,1.0,1,-0.35,-0.95,626,stable,0.0
18,1.0,1,-0.67,-0.85,636,stable,0.0
19,0.0,1,-0.54,-0.22,940,stable,0.0
20,1.0,0,-0.23,-0.9,751,stable,0.0
21,0.0,1,-0.98,-0.41,455,stable,0.0
22,0.0,1,-0.58,-0.8,512,stable,0.0
23,1.0,0,-0.52,-0.85,489,stable,0.0
24,1.0,0,-0.83,-0.15,601,stable,0.0
25,0.0,1,-0.18,-0.16,504,stable,0.0
26,0.0,1,-0.56,-0.7,601,stable,0.0
27,1.0,1,-0.59,-0.95,481,stable,0.0
28,1.0,1,-0.68,-0.18,536,stable,0.0
29,1.0,1,-0.3,-0.16,525,stable,0.0
30,0.0,0,-0.86,-0.37,667,stable,0.0
31,0.0,1,-0.47,-0.44,821,stable,0.0
32,1.0,1,-0.03,-0.91,583,stable,0.0
33,1.0,0,-0.6,-0.1,608,stable,0.0
34,0.0,1,-0.54,-0.84,652,stable,0.0
35,0.0,1,-0.34,-0.95,648,stable,0.0
36,1.0,0,-0.96,-0.28,562,stable,0.0
37,1.0,1,-0.83,-0.94,816,stable,0.0
38,1.0,1,-0.23,-0.86,602,stable,0.0
39,0.0,1,-0.99,-0.2,371,stable,0.0
40,1.0,1,-0.29,-0.91,601,stable,0.0
41,0.0,0,-0.88,-0.64,956,stable,0.0
42,0.0,1,-0.84,-0.8,257,stable,0.0
43,0.0,0,-0.61,-0.88,552,stable,0.0
44,1.0,1,-0.23,-0.77,679,stable,0.0
45,1.0,1,-0.87,-0.54,997,stable,0.0
46,1.0,1,-0.25,-0.9,611,stable,0.0
47,0.0,0,-0.71,-0.44,570,stable,0.0
48,1.0,1,-0.42,-0.52,606,stable,0.0
49,0.0,1,-0.39,-0.94,473,stable,0.0
50,1.0,1,-0.39,-0.24,648,stable,0.0
51,1.0,0,-0.2,-0.1,578,stable,0.0
52,1.0,0,-0.85,-0.43,707,stable,0.0
53,0.0,0,-0.77,-0.02,814,stable,0.0
54,0.0,1,-0.54,-0.87,594,stable,0.0
55,0.0,1,-0.56,-0.57,505,stable,0.0
56,1.0,1,-0.5,-0.79,650,stable,0.0
57,0.0,1,-0.04,-0.88,605,stable,0.0
58,0.0,0,-0.4,-0.38,552,stable,0.0
59,0.0,1,-0.47,-0.86,611,stable,0.0
60,0.0,1,-0.15,-0.49,644,stable,1.0
61,0.0,1,-0.17,-0.39,605,stable,1.0
62,0.0,0,-0.76,-0.97,681,stable,1.0
63,1.0,1,-0.73,-0.14,740,stable,1.0
64,0.0,1,-0.67,-0.29,578,stable,1.0
65,1.0,1,-0.48,-0.39,557,stable,1.0
66,0.0,1,-0.3,-0.87,1133,stable,1.0
67,1.0,0,-0.13,-0.37,578,stable,1.0
68,1.0,1,-0.66,-0.59,584,stable,1.0
69,0.0,1,-0.2,-0.77,1943,stable,1.0
70,0.0,1,-0.39,-0.28,597,stable,1.0
71,1.0,1,-0.61,-0.55,865,stable,1.0
72,0.0,1,-0.62,-0.02,961,stable,1.0
73,1.0,0,-0.5,-0.8,506,stable,1.0
74,0.0,0,-0.6,-0.07,495,stable,1.0
75,0.0,0,-0.76,-0.52,538,stable,1.0
76,0.0,1,-0.49,-0.14,1105,stable,1.0
77,0.0,1,-0.46,-0.36,891,stable,1.0
78,0.0,1,-0.84,-0.29,618,stable,1.0
79,1.0,1,-0.44,-0.47,544,stable,1.0
80,0.0,1,-0.73,-0.44,1674,stable,1.0
81,1.0,1,-0.3,-0.95,894,stable,1.0
82,1.0,0,-0.8,-0.39,704,stable,1.0
83,0.0,1,-0.67,-0.61,672,stable,1.0
84,0.0,1,-0.95,-0.61,850,stable,1.0
85,0.0,1,-0.65,-0.19,727,stable,1.0
86,1.0,1,-0.72,-0.33,1572,stable,1.0
87,1.0,0,-0.87,-0.17,538,stable,1.0
88,0.0,1,-0.65,-0.53,642,stable,1.0
89,1.0,1,-0.38,-0.76,829,stable,1.0
90,0.0,1,-0.41,-0.2,861,volatile,1.0
91,1.0,0,-0.76,-0.69,778,volatile,1.0
92,0.0,0,-0.73,-0.52,563,volatile,1.0
93,0.0,0,-0.41,-0.43,474,volatile,1.0
94,1.0,1,-0.25,-0.34,573,volatile,1.0
95,1.0,0,-0.34,-0.48,511,volatile,1.0
96,1.0,0,-0.3,-0.35,560,volatile,1.0
97,1.0,0,-0.91,-0.42,1166,volatile,1.0
98,1.0,0,-0.7,-0.44,563,volatile,1.0
99,0.0,1,-0.64,-0.5,585,volatile,1.0
100,1.0,0,-0.28,-0.19,546,volatile,1.0
101,0.0,0,-0.02,-0.59,575,volatile,1.0
102,1.0,0,-0.2,-0.09,734,volatile,1.0
103,1.0,0,-0.32,-0.76,815,volatile,1.0
104,1.0,0,-0.09,-0.98,815,volatile,1.0
105,1.0,1,-0.62,-0.56,1029,volatile,1.0
106,0.0,0,-0.17,-0.16,665,volatile,1.0
107,0.0,0,-0.74,-0.07,1420,volatile,1.0
108,1.0,0,-0.02,-0.41,566,volatile,1.0
109,1.0,0,-0.7,-0.57,1261,volatile,1.0
110,0.0,1,-0.24,-0.28,580,volatile,1.0
111,0.0,1,-0.59,-0.76,889,volatile,1.0
112,1.0,0,-0.15,-0.19,547,volatile,1.0
113,0.0,1,-0.5,-0.68,541,volatile,1.0
114,1.0,0,-0.43,-0.68,870,volatile,1.0
115,1.0,1,-0.14,-0.19,886,volatile,1.0
116,1.0,1,-0.12,-0.11,880,volatile,1.0
117,0.0,1,-0.4,-0.36,567,volatile,1.0
118,0.0,1,-0.88,-0.64,558,volatile,1.0
119,0.0,1,-0.51,-0.03,574,volatile,1.0
120,1.0,1,-0.44,-0.76,1007,volatile,2.0
121,1.0,1,-0.23,-0.92,813,volatile,2.0
122,1.0,1,-0.23,-0.14,536,volatile,2.0
123,1.0,1,-0.94,-0.77,1224,volatile,2.0
124,0.0,0,-0.85,-0.2,625,volatile,2.0
125,1.0,1,-0.86,-0.63,887,volatile,2.0
126,1.0,0,-0.82,-0.56,574,volatile,2.0
127,0.0,0,-0.68,-0.63,542,volatile,2.0
128,0.0,0,-0.65,-0.8,536,volatile,2.0
129,1.0,0,-0.25,-0.1,552,volatile,2.0
130,0.0,0,-0.67,-0.8,530,volatile,2.0
131,0.0,0,-0.82,-0.57,549,volatile,2.0
132,1.0,0,-0.88,-0.47,596,volatile,2.0
133,0.0,1,-0.55,-0.99,801,volatile,2.0
134,1.0,1,-0.74,-0.67,620,volatile,2.0
135,1.0,0,-0.18,-0.27,1256,volatile,2.0
136,0.0,0,-0.15,-0.67,785,volatile,2.0
137,1.0,0,-0.91,-0.32,883,volatile,2.0
138,1.0,0,-0.66,-0.48,1263,volatile,2.0
139,1.0,0,-0.67,-0.66,941,volatile,2.0
140,1.0,1,-0.11,-0.72,888,volatile,2.0
141,1.0,0,-0.36,-0.52,600,volatile,2.0
142,0.0,0,-0.44,-0.76,673,volatile,2.0
143,1.0,0,-0.04,-0.37,627,volatile,2.0
144,0.0,0,-0.86,-0.09,804,volatile,2.0
145,0.0,0,-0.99,-0.86,1206,volatile,2.0
146,0.0,0,-0.39,-0.9,560,volatile,2.0
147,0.0,1,-0.82,-0.85,598,volatile,2.0
148,1.0,0,-0.89,-0.99,572,volatile,2.0
149,0.0,1,-0.88,-0.02,592,volatile,2.0
150,1.0,0,-0.05,-0.33,654,volatile,2.0
151,1.0,1,-0.35,-0.86,1072,volatile,2.0
152,0.0,1,-0.08,-0.13,581,volatile,2.0
153,1.0,1,-0.78,-0.68,739,volatile,2.0
154,0.0,1,-0.05,-0.15,574,volatile,2.0
155,1.0,1,-0.62,-0.42,1029,volatile,2.0
156,1.0,0,-0.95,-0.51,4409,volatile,2.0
157,0.0,0,-0.59,-0.95,1134,volatile,2.0
158,1.0,0,-0.14,-0.98,772,volatile,2.0
159,1.0,1,-0.05,-0.84,703,volatile,2.0
160,0.0,1,-0.38,-0.5,799,volatile,2.0
161,1.0,1,-0.45,-0.59,760,volatile,2.0
162,0.0,1,-0.32,-0.72,1327,volatile,2.0
163,1.0,1,-0.02,-0.91,634,volatile,2.0
164,1.0,1,-0.72,-0.99,834,volatile,2.0
165,0.0,1,-0.61,-0.43,723,volatile,2.0
166,0.0,1,-0.24,-0.79,1076,volatile,2.0
167,0.0,1,-0.48,-0.15,697,volatile,2.0
168,1.0,1,-0.5,-0.61,627,volatile,2.0
169,1.0,1,-0.83,-0.34,900,volatile,2.0
170,1.0,0,-0.84,-0.92,689,volatile,2.0
171,0.0,0,-0.71,-0.05,622,volatile,2.0
172,1.0,0,-0.5,-0.72,626,volatile,2.0
173,0.0,1,-0.26,-0.29,1098,volatile,2.0
174,1.0,1,-0.37,-0.63,858,volatile,2.0
175,1.0,0,-0.47,-0.12,584,volatile,2.0
176,0.0,0,-0.36,-0.81,1132,volatile,2.0
177,0.0,0,-0.87,-0.59,795,volatile,2.0
178,1.0,0,-0.26,-0.75,697,volatile,2.0
179,1.0,0,-0.17,-0.19,582,volatile,2.0
