,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.41,-0.2,1505,volatile,0.0
1,0.0,0,-0.76,-0.69,1275,volatile,0.0
2,0.0,0,-0.73,-0.52,1400,volatile,0.0
3,1.0,0,-0.41,-0.43,1520,volatile,0.0
4,1.0,1,-0.25,-0.34,1219,volatile,0.0
5,1.0,0,-0.34,-0.48,1022,volatile,0.0
6,1.0,0,-0.3,-0.35,1005,volatile,0.0
7,0.0,0,-0.91,-0.42,1043,volatile,0.0
8,0.0,0,-0.7,-0.44,1214,volatile,0.0
9,0.0,1,-0.64,-0.5,1217,volatile,0.0
10,0.0,0,-0.28,-0.19,1062,volatile,0.0
11,1.0,0,-0.02,-0.59,911,volatile,0.0
12,0.0,0,-0.2,-0.09,942,volatile,0.0
13,1.0,0,-0.32,-0.76,1013,volatile,0.0
14,1.0,0,-0.09,-0.98,956,volatile,0.0
15,1.0,1,-0.62,-0.56,916,volatile,0.0
16,1.0,0,-0.17,-0.16,919,volatile,0.0
17,0.0,0,-0.74,-0.07,1094,volatile,0.0
18,1.0,0,-0.02,-0.41,863,volatile,0.0
19,0.0,0,-0.7,-0.57,1199,volatile,0.0
20,1.0,1,-0.24,-0.28,1422,volatile,0.0
21,1.0,1,-0.59,-0.76,1305,volatile,0.0
22,1.0,0,-0.15,-0.19,960,volatile,0.0
23,1.0,1,-0.5,-0.68,1297,volatile,0.0
24,1.0,0,-0.43,-0.68,1023,volatile,0.0
25,1.0,1,-0.14,-0.19,1230,volatile,0.0
26,0.0,1,-0.12,-0.11,1119,volatile,0.0
27,0.0,1,-0.4,-0.36,1086,volatile,0.0
28,1.0,1,-0.88,-0.64,1296,volatile,0.0
29,0.0,1,-0.51,-0.03,2962,volatile,0.0
30,1.0,1,-0.44,-0.76,1807,volatile,0.0
31,1.0,1,-0.23,-0.92,2796,volatile,0.0
32,0.0,1,-0.23,-0.14,1257,volatile,0.0
33,1.0,1,-0.94,-0.77,1049,volatile,0.0
34,0.0,0,-0.85,-0.2,1187,volatile,0.0
35,0.0,1,-0.86,-0.63,1365,volatile,0.0
36,0.0,0,-0.82,-0.56,1355,volatile,0.0
37,1.0,0,-0.68,-0.63,1926,volatile,0.0
38,1.0,0,-0.65,-0.8,1246,volatile,0.0
39,0.0,0,-0.25,-0.1,895,volatile,0.0
40,1.0,0,-0.67,-0.8,1484,volatile,0.0
41,0.0,0,-0.82,-0.57,1506,volatile,0.0
42,0.0,0,-0.88,-0.47,1726,volatile,0.0
43,1.0,1,-0.55,-0.99,1010,volatile,0.0
44,0.0,1,-0.74,-0.67,1397,volatile,0.0
45,1.0,0,-0.18,-0.27,1631,volatile,0.0
46,1.0,0,-0.15,-0.67,922,volatile,0.0
47,0.0,0,-0.91,-0.32,1074,volatile,0.0
48,1.0,0,-0.66,-0.48,1584,volatile,0.0
49,1.0,0,-0.67,-0.66,1428,volatile,0.0
50,1.0,1,-0.11,-0.72,1430,volatile,0.0
51,1.0,0,-0.36,-0.52,1137,volatile,0.0
52,1.0,0,-0.44,-0.76,1271,volatile,0.0
53,1.0,0,-0.04,-0.37,903,volatile,0.0
54,0.0,0,-0.86,-0.09,2693,volatile,0.0
55,1.0,0,-0.99,-0.86,2866,volatile,0.0
56,1.0,0,-0.39,-0.9,735,volatile,0.0
57,1.0,1,-0.82,-0.85,1170,volatile,0.0
58,1.0,0,-0.89,-0.99,2372,volatile,0.0
59,0.0,1,-0.88,-0.02,2195,volatile,0.0
60,1.0,0,-0.05,-0.33,1169,volatile,1.0
61,1.0,1,-0.35,-0.86,1072,volatile,1.0
62,1.0,1,-0.08,-0.13,620,volatile,1.0
63,1.0,1,-0.78,-0.68,693,volatile,1.0
64,1.0,1,-0.05,-0.15,1012,volatile,1.0
65,1.0,1,-0.62,-0.42,2407,volatile,1.0
66,1.0,0,-0.95,-0.51,2423,volatile,1.0
67,1.0,0,-0.59,-0.95,1459,volatile,1.0
68,1.0,0,-0.14,-0.98,1322,volatile,1.0
69,1.0,1,-0.05,-0.84,1227,volatile,1.0
70,1.0,1,-0.38,-0.5,880,volatile,1.0
71,0.0,1,-0.45,-0.59,1886,volatile,1.0
72,1.0,1,-0.32,-0.72,835,volatile,1.0
73,1.0,1,-0.02,-0.91,752,volatile,1.0
74,1.0,1,-0.72,-0.99,1585,volatile,1.0
75,0.0,1,-0.61,-0.43,1657,volatile,1.0
76,1.0,1,-0.24,-0.79,2190,volatile,1.0
77,0.0,1,-0.48,-0.15,1405,volatile,1.0
78,1.0,1,-0.5,-0.61,1014,volatile,1.0
79,0.0,1,-0.83,-0.34,1280,volatile,1.0
80,1.0,0,-0.84,-0.92,1229,volatile,1.0
81,0.0,0,-0.71,-0.05,1086,volatile,1.0
82,1.0,0,-0.5,-0.72,1323,volatile,1.0
83,1.0,1,-0.26,-0.29,1126,volatile,1.0
84,1.0,1,-0.37,-0.63,1336,volatile,1.0
85,0.0,0,-0.47,-0.12,1707,volatile,1.0
86,1.0,0,-0.36,-0.81,1775,volatile,1.0
87,0.0,0,-0.87,-0.59,2031,volatile,1.0
88,1.0,0,-0.26,-0.75,1136,volatile,1.0
89,1.0,0,-0.17,-0.19,861,volatile,1.0
90,0.0,1,-0.44,-0.37,1731,stable,1.0
91,0.0,1,-0.66,-0.12,1206,stable,1.0
92,0.0,1,-0.98,-0.02,1313,stable,1.0
93,1.0,0,-0.57,-0.95,1273,stable,1.0
94,0.0,1,-0.28,-0.08,1967,stable,1.0
95,1.0,1,-0.3,-0.33,1318,stable,1.0
96,0.0,1,-0.27,-0.24,901,stable,1.0
97,0.0,0,-0.58,-0.43,1210,stable,1.0
98,0.0,1,-0.72,-0.47,1217,stable,1.0
99,0.0,0,-0.45,-0.44,1044,stable,1.0
100,0.0,1,-0.69,-0.26,1254,stable,1.0
101,1.0,1,-0.06,-0.41,1170,stable,1.0
102,0.0,0,-0.88,-0.34,1563,stable,1.0
103,0.0,0,-0.73,-0.2,1140,stable,1.0
104,0.0,1,-0.6,-0.25,1340,stable,1.0
105,0.0,0,-0.98,-0.06,1045,stable,1.0
106,1.0,0,-0.48,-0.39,2355,stable,1.0
107,1.0,1,-0.35,-0.95,1454,stable,1.0
108,0.0,1,-0.67,-0.85,1138,stable,1.0
109,0.0,1,-0.54,-0.22,1603,stable,1.0
110,1.0,0,-0.23,-0.9,887,stable,1.0
111,0.0,1,-0.98,-0.41,1163,stable,1.0
112,1.0,1,-0.58,-0.8,1149,stable,1.0
113,,0,-0.52,-0.85,6257,stable,1.0
114,0.0,0,-0.83,-0.15,1781,stable,1.0
115,1.0,1,-0.18,-0.16,1741,stable,1.0
116,1.0,1,-0.56,-0.7,1352,stable,1.0
117,1.0,1,-0.59,-0.95,1512,stable,1.0
118,0.0,1,-0.68,-0.18,2615,stable,1.0
119,0.0,1,-0.3,-0.16,1392,stable,1.0
120,0.0,0,-0.86,-0.37,1127,stable,2.0
121,1.0,1,-0.47,-0.44,1515,stable,2.0
122,1.0,1,-0.03,-0.91,1043,stable,2.0
123,0.0,0,-0.6,-0.1,1174,stable,2.0
124,1.0,1,-0.54,-0.84,1173,stable,2.0
125,1.0,1,-0.34,-0.95,1041,stable,2.0
126,0.0,0,-0.96,-0.28,1165,stable,2.0
127,1.0,1,-0.83,-0.94,1351,stable,2.0
128,1.0,1,-0.23,-0.86,1777,stable,2.0
129,0.0,1,-0.99,-0.2,1199,stable,2.0
130,1.0,1,-0.29,-0.91,929,stable,2.0
131,0.0,0,-0.88,-0.64,1522,stable,2.0
132,1.0,1,-0.84,-0.8,1648,stable,2.0
133,1.0,0,-0.61,-0.88,1478,stable,2.0
134,1.0,1,-0.23,-0.77,1109,stable,2.0
135,0.0,1,-0.87,-0.54,1944,stable,2.0
136,1.0,1,-0.25,-0.9,1520,stable,2.0
137,0.0,0,-0.71,-0.44,1113,stable,2.0
138,1.0,1,-0.42,-0.52,4044,stable,2.0
139,1.0,1,-0.39,-0.94,990,stable,2.0
140,1.0,1,-0.39,-0.24,1889,stable,2.0
141,1.0,0,-0.2,-0.1,2055,stable,2.0
142,0.0,0,-0.85,-0.43,2369,stable,2.0
143,0.0,0,-0.77,-0.02,2015,stable,2.0
144,1.0,1,-0.54,-0.87,1119,stable,2.0
145,0.0,1,-0.56,-0.57,3874,stable,2.0
146,1.0,1,-0.5,-0.79,1676,stable,2.0
147,1.0,1,-0.04,-0.88,914,stable,2.0
148,1.0,0,-0.4,-0.38,1780,stable,2.0
149,1.0,1,-0.47,-0.86,1575,stable,2.0
150,1.0,1,-0.15,-0.49,1214,stable,2.0
151,1.0,1,-0.17,-0.39,954,stable,2.0
152,1.0,0,-0.76,-0.97,1892,stable,2.0
