,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,-0.44,-0.37,1852,stable,0.0
1,0.0,1,-0.66,-0.12,780,stable,0.0
2,0.0,1,-0.98,-0.02,502,stable,0.0
3,0.0,0,-0.57,-0.95,840,stable,0.0
4,0.0,1,-0.28,-0.08,791,stable,0.0
5,0.0,1,-0.3,-0.33,854,stable,0.0
6,0.0,1,-0.27,-0.24,640,stable,0.0
7,0.0,0,-0.58,-0.43,816,stable,0.0
8,0.0,1,-0.72,-0.47,834,stable,0.0
9,0.0,0,-0.45,-0.44,762,stable,0.0
10,1.0,1,-0.69,-0.26,987,stable,0.0
11,1.0,1,-0.06,-0.41,926,stable,0.0
12,0.0,0,-0.88,-0.34,931,stable,0.0
13,0.0,0,-0.73,-0.2,983,stable,0.0
14,0.0,1,-0.6,-0.25,655,stable,0.0
15,0.0,0,-0.98,-0.06,690,stable,0.0
16,0.0,0,-0.48,-0.39,1041,stable,0.0
17,0.0,1,-0.35,-0.95,900,stable,0.0
18,1.0,1,-0.67,-0.85,910,stable,0.0
19,0.0,1,-0.54,-0.22,981,stable,0.0
20,1.0,0,-0.23,-0.9,838,stable,0.0
21,0.0,1,-0.98,-0.41,885,stable,0.0
22,1.0,1,-0.58,-0.8,897,stable,0.0
23,1.0,0,-0.52,-0.85,957,stable,0.0
24,1.0,0,-0.83,-0.15,512,stable,0.0
25,0.0,1,-0.18,-0.16,1447,stable,0.0
26,1.0,1,-0.56,-0.7,950,stable,0.0
27,1.0,1,-0.59,-0.95,818,stable,0.0
28,0.0,1,-0.68,-0.18,914,stable,0.0
29,0.0,1,-0.3,-0.16,774,stable,0.0
30,0.0,0,-0.86,-0.37,1062,stable,0.0
31,0.0,1,-0.47,-0.44,1039,stable,0.0
32,1.0,1,-0.03,-0.91,1164,stable,0.0
33,0.0,0,-0.6,-0.1,954,stable,0.0
34,1.0,1,-0.54,-0.84,971,stable,0.0
35,1.0,1,-0.34,-0.95,1094,stable,0.0
36,0.0,0,-0.96,-0.28,931,stable,0.0
37,0.0,1,-0.83,-0.94,1243,stable,0.0
38,1.0,1,-0.23,-0.86,994,stable,0.0
39,0.0,1,-0.99,-0.2,853,stable,0.0
40,1.0,1,-0.29,-0.91,776,stable,0.0
41,1.0,0,-0.88,-0.64,1079,stable,0.0
42,0.0,1,-0.84,-0.8,1010,stable,0.0
43,1.0,0,-0.61,-0.88,1066,stable,0.0
44,1.0,1,-0.23,-0.77,870,stable,0.0
45,1.0,1,-0.87,-0.54,816,stable,0.0
46,1.0,1,-0.25,-0.9,1338,stable,0.0
47,0.0,0,-0.71,-0.44,590,stable,0.0
48,0.0,1,-0.42,-0.52,660,stable,0.0
49,0.0,1,-0.39,-0.94,753,stable,0.0
50,0.0,1,-0.39,-0.24,675,stable,0.0
51,0.0,0,-0.2,-0.1,626,stable,0.0
52,0.0,0,-0.85,-0.43,823,stable,0.0
53,0.0,0,-0.77,-0.02,748,stable,0.0
54,1.0,1,-0.54,-0.87,866,stable,0.0
55,0.0,1,-0.56,-0.57,742,stable,0.0
56,1.0,1,-0.5,-0.79,908,stable,0.0
57,1.0,1,-0.04,-0.88,643,stable,0.0
58,0.0,0,-0.4,-0.38,819,stable,0.0
59,0.0,1,-0.47,-0.86,830,stable,0.0
60,1.0,1,-0.15,-0.49,991,stable,1.0
61,0.0,1,-0.17,-0.39,1052,stable,1.0
62,0.0,0,-0.76,-0.97,1024,stable,1.0
63,0.0,1,-0.73,-0.14,1226,stable,1.0
64,0.0,1,-0.67,-0.29,872,stable,1.0
65,0.0,1,-0.48,-0.39,533,stable,1.0
66,0.0,1,-0.3,-0.87,549,stable,1.0
67,0.0,0,-0.13,-0.37,470,stable,1.0
68,0.0,1,-0.66,-0.59,633,stable,1.0
69,1.0,1,-0.2,-0.77,927,stable,1.0
70,1.0,1,-0.39,-0.28,741,stable,1.0
71,0.0,1,-0.61,-0.55,736,stable,1.0
72,0.0,1,-0.62,-0.02,778,stable,1.0
73,0.0,0,-0.5,-0.8,1124,stable,1.0
74,0.0,0,-0.6,-0.07,632,stable,1.0
75,1.0,0,-0.76,-0.52,1099,stable,1.0
76,0.0,1,-0.49,-0.14,666,stable,1.0
77,1.0,1,-0.46,-0.36,674,stable,1.0
78,0.0,1,-0.84,-0.29,690,stable,1.0
79,0.0,1,-0.44,-0.47,621,stable,1.0
80,0.0,1,-0.73,-0.44,586,stable,1.0
81,1.0,1,-0.3,-0.95,754,stable,1.0
82,0.0,0,-0.8,-0.39,827,stable,1.0
83,1.0,1,-0.67,-0.61,597,stable,1.0
84,1.0,1,-0.95,-0.61,904,stable,1.0
85,0.0,1,-0.65,-0.19,819,stable,1.0
86,0.0,1,-0.72,-0.33,706,stable,1.0
87,0.0,0,-0.87,-0.17,674,stable,1.0
88,1.0,1,-0.65,-0.53,1031,stable,1.0
89,1.0,1,-0.38,-0.76,769,stable,1.0
90,1.0,1,-0.41,-0.2,582,volatile,1.0
91,0.0,0,-0.76,-0.69,607,volatile,1.0
92,0.0,0,-0.73,-0.52,669,volatile,1.0
93,0.0,0,-0.41,-0.43,695,volatile,1.0
94,0.0,1,-0.25,-0.34,631,volatile,1.0
95,0.0,0,-0.34,-0.48,898,volatile,1.0
96,1.0,0,-0.3,-0.35,727,volatile,1.0
97,0.0,0,-0.91,-0.42,829,volatile,1.0
98,0.0,0,-0.7,-0.44,822,volatile,1.0
99,0.0,1,-0.64,-0.5,900,volatile,1.0
100,0.0,0,-0.28,-0.19,646,volatile,1.0
101,1.0,0,-0.02,-0.59,677,volatile,1.0
102,0.0,0,-0.2,-0.09,672,volatile,1.0
103,1.0,0,-0.32,-0.76,687,volatile,1.0
104,1.0,0,-0.09,-0.98,617,volatile,1.0
105,1.0,1,-0.62,-0.56,913,volatile,1.0
106,1.0,0,-0.17,-0.16,679,volatile,1.0
107,0.0,0,-0.74,-0.07,639,volatile,1.0
108,1.0,0,-0.02,-0.41,594,volatile,1.0
109,1.0,0,-0.7,-0.57,907,volatile,1.0
110,0.0,1,-0.24,-0.28,830,volatile,1.0
111,1.0,1,-0.59,-0.76,922,volatile,1.0
112,0.0,0,-0.15,-0.19,825,volatile,1.0
113,1.0,1,-0.5,-0.68,875,volatile,1.0
114,1.0,0,-0.43,-0.68,872,volatile,1.0
115,1.0,1,-0.14,-0.19,909,volatile,1.0
116,0.0,1,-0.12,-0.11,766,volatile,1.0
117,0.0,1,-0.4,-0.36,718,volatile,1.0
