,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,-0.41,-0.2,884,volatile,0.0
1,0.0,0,-0.76,-0.69,1142,volatile,0.0
2,0.0,0,-0.73,-0.52,1104,volatile,0.0
3,1.0,0,-0.41,-0.43,1250,volatile,0.0
4,1.0,1,-0.25,-0.34,1066,volatile,0.0
5,1.0,0,-0.34,-0.48,755,volatile,0.0
6,1.0,0,-0.3,-0.35,1135,volatile,0.0
7,1.0,0,-0.91,-0.42,945,volatile,0.0
8,0.0,0,-0.7,-0.44,1426,volatile,0.0
9,0.0,1,-0.64,-0.5,1326,volatile,0.0
10,1.0,0,-0.28,-0.19,1247,volatile,0.0
11,1.0,0,-0.02,-0.59,1257,volatile,0.0
12,0.0,0,-0.2,-0.09,1066,volatile,0.0
13,1.0,0,-0.32,-0.76,1258,volatile,0.0
14,1.0,0,-0.09,-0.98,1106,volatile,0.0
15,0.0,1,-0.62,-0.56,1219,volatile,0.0
16,0.0,0,-0.17,-0.16,1137,volatile,0.0
17,0.0,0,-0.74,-0.07,866,volatile,0.0
18,1.0,0,-0.02,-0.41,881,volatile,0.0
19,0.0,0,-0.7,-0.57,1383,volatile,0.0
20,0.0,1,-0.24,-0.28,841,volatile,0.0
21,1.0,1,-0.59,-0.76,1120,volatile,0.0
22,0.0,0,-0.15,-0.19,882,volatile,0.0
23,1.0,1,-0.5,-0.68,1274,volatile,0.0
24,1.0,0,-0.43,-0.68,1042,volatile,0.0
25,0.0,1,-0.14,-0.19,1176,volatile,0.0
26,0.0,1,-0.12,-0.11,994,volatile,0.0
27,0.0,1,-0.4,-0.36,1411,volatile,0.0
28,1.0,1,-0.88,-0.64,1737,volatile,0.0
29,0.0,1,-0.51,-0.03,1034,volatile,0.0
30,1.0,1,-0.44,-0.76,1139,volatile,0.0
31,1.0,1,-0.23,-0.92,1017,volatile,0.0
32,0.0,1,-0.23,-0.14,1353,volatile,0.0
33,0.0,1,-0.94,-0.77,1259,volatile,0.0
34,0.0,0,-0.85,-0.2,1144,volatile,0.0
35,0.0,1,-0.86,-0.63,1103,volatile,0.0
36,0.0,0,-0.82,-0.56,1210,volatile,0.0
37,0.0,0,-0.68,-0.63,1170,volatile,0.0
38,0.0,0,-0.65,-0.8,601,volatile,0.0
39,0.0,0,-0.25,-0.1,826,volatile,0.0
40,1.0,0,-0.67,-0.8,1201,volatile,0.0
41,0.0,0,-0.82,-0.57,434,volatile,0.0
42,0.0,0,-0.88,-0.47,929,volatile,0.0
43,0.0,1,-0.55,-0.99,1817,volatile,0.0
44,0.0,1,-0.74,-0.67,512,volatile,0.0
45,1.0,0,-0.18,-0.27,811,volatile,0.0
46,1.0,0,-0.15,-0.67,662,volatile,0.0
47,0.0,0,-0.91,-0.32,630,volatile,0.0
48,0.0,0,-0.66,-0.48,849,volatile,0.0
49,0.0,0,-0.67,-0.66,564,volatile,0.0
50,0.0,1,-0.11,-0.72,618,volatile,0.0
51,0.0,0,-0.36,-0.52,434,volatile,0.0
52,1.0,0,-0.44,-0.76,1082,volatile,0.0
53,1.0,0,-0.04,-0.37,833,volatile,0.0
54,0.0,0,-0.86,-0.09,930,volatile,0.0
55,1.0,0,-0.99,-0.86,1010,volatile,0.0
56,0.0,0,-0.39,-0.9,600,volatile,0.0
57,1.0,1,-0.82,-0.85,573,volatile,0.0
58,0.0,0,-0.89,-0.99,1810,volatile,0.0
59,1.0,1,-0.88,-0.02,1193,volatile,0.0
60,1.0,0,-0.05,-0.33,953,volatile,1.0
61,0.0,1,-0.35,-0.86,1562,volatile,1.0
62,1.0,1,-0.08,-0.13,660,volatile,1.0
63,0.0,1,-0.78,-0.68,817,volatile,1.0
64,1.0,1,-0.05,-0.15,899,volatile,1.0
65,0.0,1,-0.62,-0.42,1055,volatile,1.0
66,1.0,0,-0.95,-0.51,1882,volatile,1.0
67,1.0,0,-0.59,-0.95,730,volatile,1.0
68,0.0,0,-0.14,-0.98,666,volatile,1.0
69,0.0,1,-0.05,-0.84,1178,volatile,1.0
70,0.0,1,-0.38,-0.5,2026,volatile,1.0
71,1.0,1,-0.45,-0.59,3026,volatile,1.0
72,1.0,1,-0.32,-0.72,300,volatile,1.0
73,1.0,1,-0.02,-0.91,874,volatile,1.0
74,1.0,1,-0.72,-0.99,1008,volatile,1.0
75,1.0,1,-0.61,-0.43,330,volatile,1.0
76,1.0,1,-0.24,-0.79,866,volatile,1.0
77,1.0,1,-0.48,-0.15,1002,volatile,1.0
78,0.0,1,-0.5,-0.61,334,volatile,1.0
79,0.0,1,-0.83,-0.34,1088,volatile,1.0
80,0.0,0,-0.84,-0.92,4506,volatile,1.0
81,0.0,0,-0.71,-0.05,1073,volatile,1.0
82,0.0,0,-0.5,-0.72,1098,volatile,1.0
83,0.0,1,-0.26,-0.29,1074,volatile,1.0
84,0.0,1,-0.37,-0.63,1058,volatile,1.0
85,1.0,0,-0.47,-0.12,559,volatile,1.0
86,1.0,0,-0.36,-0.81,1209,volatile,1.0
87,0.0,0,-0.87,-0.59,1062,volatile,1.0
88,1.0,0,-0.26,-0.75,2942,volatile,1.0
89,0.0,0,-0.17,-0.19,413,volatile,1.0
90,0.0,1,-0.44,-0.37,1929,stable,1.0
91,0.0,1,-0.66,-0.12,1157,stable,1.0
92,1.0,1,-0.98,-0.02,5984,stable,1.0
93,1.0,0,-0.57,-0.95,998,stable,1.0
94,0.0,1,-0.28,-0.08,855,stable,1.0
95,1.0,1,-0.3,-0.33,1442,stable,1.0
96,1.0,1,-0.27,-0.24,364,stable,1.0
97,0.0,0,-0.58,-0.43,1161,stable,1.0
98,0.0,1,-0.72,-0.47,1445,stable,1.0
99,0.0,0,-0.45,-0.44,1151,stable,1.0
100,0.0,1,-0.69,-0.26,1074,stable,1.0
101,1.0,1,-0.06,-0.41,886,stable,1.0
