,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,-0.41,-0.2,1848,volatile,0.0
1,0.0,0,-0.76,-0.69,995,volatile,0.0
2,1.0,0,-0.73,-0.52,1000,volatile,0.0
3,0.0,0,-0.41,-0.43,1207,volatile,0.0
4,0.0,1,-0.25,-0.34,1754,volatile,0.0
5,0.0,0,-0.34,-0.48,625,volatile,0.0
6,1.0,0,-0.3,-0.35,1160,volatile,0.0
7,0.0,0,-0.91,-0.42,698,volatile,0.0
8,0.0,0,-0.7,-0.44,553,volatile,0.0
9,1.0,1,-0.64,-0.5,1106,volatile,0.0
10,1.0,0,-0.28,-0.19,489,volatile,0.0
11,0.0,0,-0.02,-0.59,600,volatile,0.0
12,0.0,0,-0.2,-0.09,1257,volatile,0.0
13,0.0,0,-0.32,-0.76,1791,volatile,0.0
14,0.0,0,-0.09,-0.98,1657,volatile,0.0
15,0.0,1,-0.62,-0.56,1551,volatile,0.0
16,0.0,0,-0.17,-0.16,1081,volatile,0.0
17,0.0,0,-0.74,-0.07,841,volatile,0.0
18,0.0,0,-0.02,-0.41,1033,volatile,0.0
19,0.0,0,-0.7,-0.57,472,volatile,0.0
20,0.0,1,-0.24,-0.28,1368,volatile,0.0
21,0.0,1,-0.59,-0.76,1066,volatile,0.0
22,0.0,0,-0.15,-0.19,749,volatile,0.0
23,1.0,1,-0.5,-0.68,826,volatile,0.0
24,1.0,0,-0.43,-0.68,1818,volatile,0.0
25,0.0,1,-0.14,-0.19,815,volatile,0.0
26,1.0,1,-0.12,-0.11,537,volatile,0.0
27,0.0,1,-0.4,-0.36,1706,volatile,0.0
28,1.0,1,-0.88,-0.64,1067,volatile,0.0
29,0.0,1,-0.51,-0.03,2800,volatile,0.0
30,0.0,1,-0.44,-0.76,2008,volatile,0.0
31,0.0,1,-0.23,-0.92,1111,volatile,0.0
32,1.0,1,-0.23,-0.14,1481,volatile,0.0
33,0.0,1,-0.94,-0.77,855,volatile,0.0
34,0.0,0,-0.85,-0.2,977,volatile,0.0
35,1.0,1,-0.86,-0.63,1835,volatile,0.0
36,0.0,0,-0.82,-0.56,1313,volatile,0.0
37,1.0,0,-0.68,-0.63,2425,volatile,0.0
38,0.0,0,-0.65,-0.8,743,volatile,0.0
39,0.0,0,-0.25,-0.1,1273,volatile,0.0
40,0.0,0,-0.67,-0.8,1814,volatile,0.0
41,1.0,0,-0.82,-0.57,1352,volatile,0.0
42,1.0,0,-0.88,-0.47,1705,volatile,0.0
43,1.0,1,-0.55,-0.99,1178,volatile,0.0
44,0.0,1,-0.74,-0.67,1049,volatile,0.0
45,1.0,0,-0.18,-0.27,1832,volatile,0.0
46,1.0,0,-0.15,-0.67,648,volatile,0.0
47,0.0,0,-0.91,-0.32,1851,volatile,0.0
48,1.0,0,-0.66,-0.48,826,volatile,0.0
49,1.0,0,-0.67,-0.66,921,volatile,0.0
50,1.0,1,-0.11,-0.72,961,volatile,0.0
51,0.0,0,-0.36,-0.52,1544,volatile,0.0
52,0.0,0,-0.44,-0.76,2378,volatile,0.0
53,1.0,0,-0.04,-0.37,711,volatile,0.0
54,1.0,0,-0.86,-0.09,617,volatile,0.0
55,1.0,0,-0.99,-0.86,617,volatile,0.0
56,0.0,0,-0.39,-0.9,906,volatile,0.0
57,0.0,1,-0.82,-0.85,745,volatile,0.0
58,1.0,0,-0.89,-0.99,2771,volatile,0.0
59,1.0,1,-0.88,-0.02,835,volatile,0.0
60,1.0,0,-0.05,-0.33,1645,volatile,1.0
61,0.0,1,-0.35,-0.86,1055,volatile,1.0
62,1.0,1,-0.08,-0.13,648,volatile,1.0
63,1.0,1,-0.78,-0.68,1817,volatile,1.0
64,1.0,1,-0.05,-0.15,1212,volatile,1.0
65,0.0,1,-0.62,-0.42,536,volatile,1.0
66,0.0,0,-0.95,-0.51,677,volatile,1.0
67,1.0,0,-0.59,-0.95,713,volatile,1.0
68,1.0,0,-0.14,-0.98,809,volatile,1.0
69,1.0,1,-0.05,-0.84,1258,volatile,1.0
70,0.0,1,-0.38,-0.5,685,volatile,1.0
71,1.0,1,-0.45,-0.59,984,volatile,1.0
72,0.0,1,-0.32,-0.72,921,volatile,1.0
73,0.0,1,-0.02,-0.91,2394,volatile,1.0
74,0.0,1,-0.72,-0.99,1656,volatile,1.0
75,0.0,1,-0.61,-0.43,1198,volatile,1.0
76,0.0,1,-0.24,-0.79,1096,volatile,1.0
77,0.0,1,-0.48,-0.15,2857,volatile,1.0
78,0.0,1,-0.5,-0.61,1081,volatile,1.0
79,0.0,1,-0.83,-0.34,1130,volatile,1.0
80,0.0,0,-0.84,-0.92,1146,volatile,1.0
81,1.0,0,-0.71,-0.05,733,volatile,1.0
82,1.0,0,-0.5,-0.72,601,volatile,1.0
83,1.0,1,-0.26,-0.29,1130,volatile,1.0
84,0.0,1,-0.37,-0.63,1738,volatile,1.0
85,0.0,0,-0.47,-0.12,890,volatile,1.0
86,1.0,0,-0.36,-0.81,695,volatile,1.0
87,1.0,0,-0.87,-0.59,1017,volatile,1.0
88,1.0,0,-0.26,-0.75,665,volatile,1.0
89,1.0,0,-0.17,-0.19,682,volatile,1.0
90,1.0,1,-0.44,-0.37,1852,stable,1.0
91,0.0,1,-0.66,-0.12,713,stable,1.0
92,0.0,1,-0.98,-0.02,681,stable,1.0
93,0.0,0,-0.57,-0.95,1097,stable,1.0
94,1.0,1,-0.28,-0.08,810,stable,1.0
95,0.0,1,-0.3,-0.33,649,stable,1.0
96,0.0,1,-0.27,-0.24,697,stable,1.0
97,1.0,0,-0.58,-0.43,650,stable,1.0
98,0.0,1,-0.72,-0.47,1337,stable,1.0
99,0.0,0,-0.45,-0.44,730,stable,1.0
100,1.0,1,-0.69,-0.26,569,stable,1.0
101,0.0,1,-0.06,-0.41,601,stable,1.0
102,1.0,0,-0.88,-0.34,1011,stable,1.0
103,0.0,0,-0.73,-0.2,825,stable,1.0
104,1.0,1,-0.6,-0.25,938,stable,1.0
105,1.0,0,-0.98,-0.06,712,stable,1.0
106,0.0,0,-0.48,-0.39,1145,stable,1.0
107,1.0,1,-0.35,-0.95,667,stable,1.0
108,0.0,1,-0.67,-0.85,1896,stable,1.0
109,0.0,1,-0.54,-0.22,761,stable,1.0
110,0.0,0,-0.23,-0.9,1549,stable,1.0
111,0.0,1,-0.98,-0.41,1354,stable,1.0
112,0.0,1,-0.58,-0.8,2617,stable,1.0
113,0.0,0,-0.52,-0.85,2201,stable,1.0
114,0.0,0,-0.83,-0.15,3018,stable,1.0
115,0.0,1,-0.18,-0.16,2698,stable,1.0
116,0.0,1,-0.56,-0.7,3418,stable,1.0
117,0.0,1,-0.59,-0.95,3929,stable,1.0
118,0.0,1,-0.68,-0.18,2762,stable,1.0
119,1.0,1,-0.3,-0.16,1561,stable,1.0
120,1.0,0,-0.86,-0.37,2761,stable,2.0
121,0.0,1,-0.47,-0.44,2090,stable,2.0
122,1.0,1,-0.03,-0.91,2809,stable,2.0
123,1.0,0,-0.6,-0.1,2581,stable,2.0
124,0.0,1,-0.54,-0.84,3898,stable,2.0
125,1.0,1,-0.34,-0.95,2986,stable,2.0
126,1.0,0,-0.96,-0.28,2933,stable,2.0
127,1.0,1,-0.83,-0.94,2153,stable,2.0
128,0.0,1,-0.23,-0.86,2634,stable,2.0
129,0.0,1,-0.99,-0.2,1609,stable,2.0
130,0.0,1,-0.29,-0.91,2614,stable,2.0
131,0.0,0,-0.88,-0.64,3497,stable,2.0
132,0.0,1,-0.84,-0.8,1463,stable,2.0
133,0.0,0,-0.61,-0.88,2522,stable,2.0
134,1.0,1,-0.23,-0.77,2328,stable,2.0
135,0.0,1,-0.87,-0.54,2682,stable,2.0
136,0.0,1,-0.25,-0.9,2312,stable,2.0
137,1.0,0,-0.71,-0.44,1449,stable,2.0
138,1.0,1,-0.42,-0.52,2042,stable,2.0
139,0.0,1,-0.39,-0.94,3400,stable,2.0
140,0.0,1,-0.39,-0.24,2010,stable,2.0
141,0.0,0,-0.2,-0.1,1273,stable,2.0
142,1.0,0,-0.85,-0.43,3257,stable,2.0
143,0.0,0,-0.77,-0.02,2269,stable,2.0
144,1.0,1,-0.54,-0.87,2912,stable,2.0
145,1.0,1,-0.56,-0.57,1370,stable,2.0
146,0.0,1,-0.5,-0.79,792,stable,2.0
147,0.0,1,-0.04,-0.88,1994,stable,2.0
148,0.0,0,-0.4,-0.38,1018,stable,2.0
149,0.0,1,-0.47,-0.86,2618,stable,2.0
150,1.0,1,-0.15,-0.49,2283,stable,2.0
151,0.0,1,-0.17,-0.39,3177,stable,2.0
152,1.0,0,-0.76,-0.97,1849,stable,2.0
153,1.0,1,-0.73,-0.14,3082,stable,2.0
154,1.0,1,-0.67,-0.29,4235,stable,2.0
155,1.0,1,-0.48,-0.39,1881,stable,2.0
156,0.0,1,-0.3,-0.87,825,stable,2.0
157,0.0,0,-0.13,-0.37,905,stable,2.0
158,1.0,1,-0.66,-0.59,2413,stable,2.0
159,0.0,1,-0.2,-0.77,1109,stable,2.0
160,0.0,1,-0.39,-0.28,1066,stable,2.0
161,1.0,1,-0.61,-0.55,2723,stable,2.0
162,0.0,1,-0.62,-0.02,826,stable,2.0
163,1.0,0,-0.5,-0.8,1210,stable,2.0
164,0.0,0,-0.6,-0.07,1691,stable,2.0
165,1.0,0,-0.76,-0.52,1641,stable,2.0
166,1.0,1,-0.49,-0.14,1049,stable,2.0
167,0.0,1,-0.46,-0.36,1033,stable,2.0
168,0.0,1,-0.84,-0.29,1673,stable,2.0
169,0.0,1,-0.44,-0.47,1513,stable,2.0
170,0.0,1,-0.73,-0.44,842,stable,2.0
171,1.0,1,-0.3,-0.95,864,stable,2.0
172,0.0,0,-0.8,-0.39,2169,stable,2.0
173,1.0,1,-0.67,-0.61,974,stable,2.0
174,0.0,1,-0.95,-0.61,728,stable,2.0
175,1.0,1,-0.65,-0.19,1855,stable,2.0
176,1.0,1,-0.72,-0.33,1863,stable,2.0
177,0.0,0,-0.87,-0.17,1557,stable,2.0
178,1.0,1,-0.65,-0.53,1678,stable,2.0
179,1.0,1,-0.38,-0.76,2800,stable,2.0
