,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.44,-0.37,1383,stable,0.0
1,0.0,1,-0.66,-0.12,890,stable,0.0
2,0.0,1,-0.98,-0.02,504,stable,0.0
3,0.0,0,-0.57,-0.95,1120,stable,0.0
4,1.0,1,-0.28,-0.08,721,stable,0.0
5,0.0,1,-0.3,-0.33,1368,stable,0.0
6,0.0,1,-0.27,-0.24,977,stable,0.0
7,0.0,0,-0.58,-0.43,615,stable,0.0
8,1.0,1,-0.72,-0.47,1081,stable,0.0
9,0.0,0,-0.45,-0.44,904,stable,0.0
10,0.0,1,-0.69,-0.26,1089,stable,0.0
11,1.0,1,-0.06,-0.41,1337,stable,0.0
12,0.0,0,-0.88,-0.34,1280,stable,0.0
13,0.0,0,-0.73,-0.2,874,stable,0.0
14,1.0,1,-0.6,-0.25,1202,stable,0.0
15,0.0,0,-0.98,-0.06,385,stable,0.0
16,1.0,0,-0.48,-0.39,520,stable,0.0
17,1.0,1,-0.35,-0.95,649,stable,0.0
18,0.0,1,-0.67,-0.85,793,stable,0.0
19,0.0,1,-0.54,-0.22,729,stable,0.0
20,0.0,0,-0.23,-0.9,790,stable,0.0
21,1.0,1,-0.98,-0.41,575,stable,0.0
22,0.0,1,-0.58,-0.8,1792,stable,0.0
23,0.0,0,-0.52,-0.85,648,stable,0.0
24,0.0,0,-0.83,-0.15,898,stable,0.0
25,1.0,1,-0.18,-0.16,505,stable,0.0
26,0.0,1,-0.56,-0.7,449,stable,0.0
27,0.0,1,-0.59,-0.95,873,stable,0.0
28,0.0,1,-0.68,-0.18,825,stable,0.0
29,0.0,1,-0.3,-0.16,857,stable,0.0
30,0.0,0,-0.86,-0.37,609,stable,0.0
31,0.0,1,-0.47,-0.44,714,stable,0.0
32,0.0,1,-0.03,-0.91,856,stable,0.0
33,0.0,0,-0.6,-0.1,673,stable,0.0
34,0.0,1,-0.54,-0.84,762,stable,0.0
35,0.0,1,-0.34,-0.95,624,stable,0.0
36,0.0,0,-0.96,-0.28,528,stable,0.0
37,0.0,1,-0.83,-0.94,618,stable,0.0
38,0.0,1,-0.23,-0.86,905,stable,0.0
39,0.0,1,-0.99,-0.2,1145,stable,0.0
40,0.0,1,-0.29,-0.91,576,stable,0.0
41,0.0,0,-0.88,-0.64,513,stable,0.0
42,0.0,1,-0.84,-0.8,577,stable,0.0
43,0.0,0,-0.61,-0.88,513,stable,0.0
44,1.0,1,-0.23,-0.77,441,stable,0.0
45,0.0,1,-0.87,-0.54,1828,stable,0.0
46,0.0,1,-0.25,-0.9,592,stable,0.0
47,1.0,0,-0.71,-0.44,1537,stable,0.0
48,1.0,1,-0.42,-0.52,505,stable,0.0
49,0.0,1,-0.39,-0.94,649,stable,0.0
50,0.0,1,-0.39,-0.24,659,stable,0.0
51,0.0,0,-0.2,-0.1,728,stable,0.0
52,1.0,0,-0.85,-0.43,505,stable,0.0
53,0.0,0,-0.77,-0.02,569,stable,0.0
54,1.0,1,-0.54,-0.87,513,stable,0.0
55,0.0,1,-0.56,-0.57,569,stable,0.0
56,0.0,1,-0.5,-0.79,633,stable,0.0
57,1.0,1,-0.04,-0.88,920,stable,0.0
58,1.0,0,-0.4,-0.38,641,stable,0.0
59,1.0,1,-0.47,-0.86,513,stable,0.0
60,0.0,1,-0.15,-0.49,890,stable,1.0
61,0.0,1,-0.17,-0.39,601,stable,1.0
62,0.0,0,-0.76,-0.97,737,stable,1.0
63,0.0,1,-0.73,-0.14,497,stable,1.0
64,0.0,1,-0.67,-0.29,898,stable,1.0
65,0.0,1,-0.48,-0.39,601,stable,1.0
66,1.0,1,-0.3,-0.87,650,stable,1.0
67,0.0,0,-0.13,-0.37,715,stable,1.0
68,1.0,1,-0.66,-0.59,785,stable,1.0
