,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.41,-0.2,1379,volatile,0.0
1,1.0,0,-0.76,-0.69,2837,volatile,0.0
2,0.0,0,-0.73,-0.52,1659,volatile,0.0
3,0.0,0,-0.41,-0.43,2259,volatile,0.0
4,1.0,1,-0.25,-0.34,1042,volatile,0.0
5,1.0,0,-0.34,-0.48,1090,volatile,0.0
6,1.0,0,-0.3,-0.35,1234,volatile,0.0
7,0.0,0,-0.91,-0.42,1129,volatile,0.0
8,0.0,0,-0.7,-0.44,851,volatile,0.0
9,1.0,1,-0.64,-0.5,1195,volatile,0.0
10,0.0,0,-0.28,-0.19,840,volatile,0.0
11,,0,-0.02,-0.59,6250,volatile,0.0
12,0.0,0,-0.2,-0.09,859,volatile,0.0
13,1.0,0,-0.32,-0.76,931,volatile,0.0
14,1.0,0,-0.09,-0.98,635,volatile,0.0
15,0.0,1,-0.62,-0.56,1026,volatile,0.0
16,1.0,0,-0.17,-0.16,1857,volatile,0.0
17,0.0,0,-0.74,-0.07,848,volatile,0.0
18,1.0,0,-0.02,-0.41,1002,volatile,0.0
19,0.0,0,-0.7,-0.57,1178,volatile,0.0
20,0.0,1,-0.24,-0.28,979,volatile,0.0
21,1.0,1,-0.59,-0.76,4003,volatile,0.0
22,0.0,0,-0.15,-0.19,1138,volatile,0.0
23,1.0,1,-0.5,-0.68,2482,volatile,0.0
24,1.0,0,-0.43,-0.68,867,volatile,0.0
25,1.0,1,-0.14,-0.19,1036,volatile,0.0
26,0.0,1,-0.12,-0.11,1445,volatile,0.0
27,1.0,1,-0.4,-0.36,2266,volatile,0.0
28,0.0,1,-0.88,-0.64,1270,volatile,0.0
29,0.0,1,-0.51,-0.03,3891,volatile,0.0
30,1.0,1,-0.44,-0.76,2617,volatile,0.0
31,1.0,1,-0.23,-0.92,1233,volatile,0.0
32,0.0,1,-0.23,-0.14,1035,volatile,0.0
33,1.0,1,-0.94,-0.77,1004,volatile,0.0
34,0.0,0,-0.85,-0.2,855,volatile,0.0
35,0.0,1,-0.86,-0.63,914,volatile,0.0
36,0.0,0,-0.82,-0.56,1291,volatile,0.0
37,0.0,0,-0.68,-0.63,1386,volatile,0.0
38,1.0,0,-0.65,-0.8,996,volatile,0.0
39,0.0,0,-0.25,-0.1,811,volatile,0.0
40,1.0,0,-0.67,-0.8,1153,volatile,0.0
41,0.0,0,-0.82,-0.57,898,volatile,0.0
42,0.0,0,-0.88,-0.47,819,volatile,0.0
43,1.0,1,-0.55,-0.99,922,volatile,0.0
44,0.0,1,-0.74,-0.67,986,volatile,0.0
45,0.0,0,-0.18,-0.27,998,volatile,0.0
46,1.0,0,-0.15,-0.67,1849,volatile,0.0
47,0.0,0,-0.91,-0.32,1971,volatile,0.0
48,0.0,0,-0.66,-0.48,970,volatile,0.0
49,1.0,0,-0.67,-0.66,966,volatile,0.0
50,1.0,1,-0.11,-0.72,786,volatile,0.0
51,1.0,0,-0.36,-0.52,888,volatile,0.0
52,1.0,0,-0.44,-0.76,871,volatile,0.0
53,1.0,0,-0.04,-0.37,733,volatile,0.0
54,0.0,0,-0.86,-0.09,738,volatile,0.0
55,0.0,0,-0.99,-0.86,939,volatile,0.0
56,1.0,0,-0.39,-0.9,1223,volatile,0.0
57,1.0,1,-0.82,-0.85,897,volatile,0.0
58,0.0,0,-0.89,-0.99,1852,volatile,0.0
59,0.0,1,-0.88,-0.02,891,volatile,0.0
60,1.0,0,-0.05,-0.33,803,volatile,1.0
61,1.0,1,-0.35,-0.86,1451,volatile,1.0
62,1.0,1,-0.08,-0.13,1187,volatile,1.0
63,0.0,1,-0.78,-0.68,1321,volatile,1.0
64,1.0,1,-0.05,-0.15,1666,volatile,1.0
65,0.0,1,-0.62,-0.42,1218,volatile,1.0
66,0.0,0,-0.95,-0.51,1169,volatile,1.0
67,1.0,0,-0.59,-0.95,1857,volatile,1.0
68,1.0,0,-0.14,-0.98,784,volatile,1.0
69,1.0,1,-0.05,-0.84,1018,volatile,1.0
70,1.0,1,-0.38,-0.5,994,volatile,1.0
71,1.0,1,-0.45,-0.59,1096,volatile,1.0
72,1.0,1,-0.32,-0.72,859,volatile,1.0
73,1.0,1,-0.02,-0.91,763,volatile,1.0
74,0.0,1,-0.72,-0.99,962,volatile,1.0
75,1.0,1,-0.61,-0.43,1203,volatile,1.0
76,1.0,1,-0.24,-0.79,843,volatile,1.0
77,0.0,1,-0.48,-0.15,2031,volatile,1.0
78,1.0,1,-0.5,-0.61,2682,volatile,1.0
79,0.0,1,-0.83,-0.34,1698,volatile,1.0
80,1.0,0,-0.84,-0.92,1929,volatile,1.0
81,0.0,0,-0.71,-0.05,1114,volatile,1.0
82,0.0,0,-0.5,-0.72,1487,volatile,1.0
83,0.0,1,-0.26,-0.29,858,volatile,1.0
84,1.0,1,-0.37,-0.63,1529,volatile,1.0
85,0.0,0,-0.47,-0.12,1074,volatile,1.0
86,0.0,0,-0.36,-0.81,1131,volatile,1.0
87,1.0,0,-0.87,-0.59,979,volatile,1.0
88,0.0,0,-0.26,-0.75,1179,volatile,1.0
89,0.0,0,-0.17,-0.19,884,volatile,1.0
90,0.0,1,-0.44,-0.37,1561,stable,1.0
91,0.0,1,-0.66,-0.12,728,stable,1.0
92,0.0,1,-0.98,-0.02,298,stable,1.0
93,0.0,0,-0.57,-0.95,391,stable,1.0
94,1.0,1,-0.28,-0.08,315,stable,1.0
95,0.0,1,-0.3,-0.33,259,stable,1.0
96,1.0,1,-0.27,-0.24,282,stable,1.0
97,1.0,0,-0.58,-0.43,345,stable,1.0
98,1.0,1,-0.72,-0.47,297,stable,1.0
99,1.0,0,-0.45,-0.44,276,stable,1.0
100,1.0,1,-0.69,-0.26,362,stable,1.0
101,1.0,1,-0.06,-0.41,363,stable,1.0
102,1.0,0,-0.88,-0.34,251,stable,1.0
103,0.0,0,-0.73,-0.2,307,stable,1.0
104,0.0,1,-0.6,-0.25,322,stable,1.0
105,0.0,0,-0.98,-0.06,1074,stable,1.0
106,1.0,0,-0.48,-0.39,421,stable,1.0
107,1.0,1,-0.35,-0.95,365,stable,1.0
108,1.0,1,-0.67,-0.85,342,stable,1.0
109,0.0,1,-0.54,-0.22,257,stable,1.0
110,1.0,0,-0.23,-0.9,282,stable,1.0
111,0.0,1,-0.98,-0.41,252,stable,1.0
112,0.0,1,-0.58,-0.8,323,stable,1.0
113,1.0,0,-0.52,-0.85,306,stable,1.0
114,1.0,0,-0.83,-0.15,503,stable,1.0
115,0.0,1,-0.18,-0.16,297,stable,1.0
116,0.0,1,-0.56,-0.7,286,stable,1.0
117,1.0,1,-0.59,-0.95,409,stable,1.0
118,0.0,1,-0.68,-0.18,322,stable,1.0
119,1.0,1,-0.3,-0.16,284,stable,1.0
120,1.0,0,-0.86,-0.37,314,stable,2.0
