,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.41,-0.2,1827,volatile,0.0
1,0.0,0,-0.76,-0.69,1306,volatile,0.0
2,0.0,0,-0.73,-0.52,1530,volatile,0.0
3,1.0,0,-0.41,-0.43,1147,volatile,0.0
4,1.0,1,-0.25,-0.34,919,volatile,0.0
5,1.0,0,-0.34,-0.48,1162,volatile,0.0
6,1.0,0,-0.3,-0.35,1151,volatile,0.0
7,1.0,0,-0.91,-0.42,1217,volatile,0.0
8,1.0,0,-0.7,-0.44,778,volatile,0.0
9,1.0,1,-0.64,-0.5,764,volatile,0.0
10,1.0,0,-0.28,-0.19,638,volatile,0.0
11,1.0,0,-0.02,-0.59,723,volatile,0.0
12,1.0,0,-0.2,-0.09,1562,volatile,0.0
13,1.0,0,-0.32,-0.76,1312,volatile,0.0
14,1.0,0,-0.09,-0.98,1855,volatile,0.0
15,1.0,1,-0.62,-0.56,1362,volatile,0.0
16,1.0,0,-0.17,-0.16,1459,volatile,0.0
17,1.0,0,-0.74,-0.07,1889,volatile,0.0
18,1.0,0,-0.02,-0.41,1162,volatile,0.0
19,1.0,0,-0.7,-0.57,1353,volatile,0.0
20,0.0,1,-0.24,-0.28,2217,volatile,0.0
21,1.0,1,-0.59,-0.76,1023,volatile,0.0
22,0.0,0,-0.15,-0.19,905,volatile,0.0
23,1.0,1,-0.5,-0.68,1186,volatile,0.0
24,0.0,0,-0.43,-0.68,978,volatile,0.0
25,0.0,1,-0.14,-0.19,1585,volatile,0.0
26,0.0,1,-0.12,-0.11,924,volatile,0.0
27,0.0,1,-0.4,-0.36,1113,volatile,0.0
28,0.0,1,-0.88,-0.64,1232,volatile,0.0
29,0.0,1,-0.51,-0.03,1274,volatile,0.0
30,0.0,1,-0.44,-0.76,921,volatile,0.0
31,0.0,1,-0.23,-0.92,1049,volatile,0.0
32,0.0,1,-0.23,-0.14,1106,volatile,0.0
33,0.0,1,-0.94,-0.77,1008,volatile,0.0
34,0.0,0,-0.85,-0.2,761,volatile,0.0
35,0.0,1,-0.86,-0.63,1049,volatile,0.0
36,0.0,0,-0.82,-0.56,831,volatile,0.0
37,0.0,0,-0.68,-0.63,937,volatile,0.0
38,1.0,0,-0.65,-0.8,1945,volatile,0.0
39,1.0,0,-0.25,-0.1,691,volatile,0.0
40,1.0,0,-0.67,-0.8,1832,volatile,0.0
41,1.0,0,-0.82,-0.57,1010,volatile,0.0
42,1.0,0,-0.88,-0.47,1095,volatile,0.0
43,1.0,1,-0.55,-0.99,771,volatile,0.0
44,1.0,1,-0.74,-0.67,968,volatile,0.0
45,1.0,0,-0.18,-0.27,1610,volatile,0.0
46,1.0,0,-0.15,-0.67,849,volatile,0.0
47,1.0,0,-0.91,-0.32,716,volatile,0.0
48,1.0,0,-0.66,-0.48,799,volatile,0.0
49,1.0,0,-0.67,-0.66,707,volatile,0.0
50,1.0,1,-0.11,-0.72,1273,volatile,0.0
51,1.0,0,-0.36,-0.52,1194,volatile,0.0
52,1.0,0,-0.44,-0.76,986,volatile,0.0
53,1.0,0,-0.04,-0.37,633,volatile,0.0
54,1.0,0,-0.86,-0.09,687,volatile,0.0
55,1.0,0,-0.99,-0.86,1306,volatile,0.0
56,1.0,0,-0.39,-0.9,994,volatile,0.0
57,1.0,1,-0.82,-0.85,1180,volatile,0.0
58,1.0,0,-0.89,-0.99,858,volatile,0.0
59,0.0,1,-0.88,-0.02,2200,volatile,0.0
60,1.0,0,-0.05,-0.33,1057,volatile,1.0
61,1.0,1,-0.35,-0.86,1331,volatile,1.0
62,1.0,1,-0.08,-0.13,903,volatile,1.0
63,0.0,1,-0.78,-0.68,1370,volatile,1.0
64,0.0,1,-0.05,-0.15,768,volatile,1.0
65,0.0,1,-0.62,-0.42,1097,volatile,1.0
66,0.0,0,-0.95,-0.51,881,volatile,1.0
67,0.0,0,-0.59,-0.95,1433,volatile,1.0
68,1.0,0,-0.14,-0.98,766,volatile,1.0
69,1.0,1,-0.05,-0.84,1049,volatile,1.0
70,1.0,1,-0.38,-0.5,1449,volatile,1.0
71,0.0,1,-0.45,-0.59,776,volatile,1.0
72,0.0,1,-0.32,-0.72,1233,volatile,1.0
73,0.0,1,-0.02,-0.91,705,volatile,1.0
