,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.44,-0.37,1644,stable,0.0
1,0.0,1,-0.66,-0.12,1211,stable,0.0
2,0.0,1,-0.98,-0.02,1045,stable,0.0
3,1.0,0,-0.57,-0.95,1641,stable,0.0
4,0.0,1,-0.28,-0.08,1111,stable,0.0
5,1.0,1,-0.3,-0.33,1551,stable,0.0
6,1.0,1,-0.27,-0.24,1169,stable,0.0
7,1.0,0,-0.58,-0.43,1350,stable,0.0
8,0.0,1,-0.72,-0.47,1418,stable,0.0
9,0.0,0,-0.45,-0.44,1622,stable,0.0
10,0.0,1,-0.69,-0.26,1235,stable,0.0
11,1.0,1,-0.06,-0.41,5294,stable,0.0
12,0.0,0,-0.88,-0.34,2571,stable,0.0
13,0.0,0,-0.73,-0.2,2881,stable,0.0
14,0.0,1,-0.6,-0.25,1466,stable,0.0
15,0.0,0,-0.98,-0.06,4013,stable,0.0
16,,0,-0.48,-0.39,6252,stable,0.0
17,1.0,1,-0.35,-0.95,1102,stable,0.0
18,1.0,1,-0.67,-0.85,1548,stable,0.0
19,0.0,1,-0.54,-0.22,886,stable,0.0
20,1.0,0,-0.23,-0.9,1033,stable,0.0
21,0.0,1,-0.98,-0.41,1062,stable,0.0
22,1.0,1,-0.58,-0.8,1318,stable,0.0
23,1.0,0,-0.52,-0.85,1455,stable,0.0
24,0.0,0,-0.83,-0.15,1334,stable,0.0
25,0.0,1,-0.18,-0.16,1463,stable,0.0
26,,1,-0.56,-0.7,6253,stable,0.0
27,1.0,1,-0.59,-0.95,1037,stable,0.0
28,,1,-0.68,-0.18,6251,stable,0.0
29,0.0,1,-0.3,-0.16,952,stable,0.0
30,0.0,0,-0.86,-0.37,1323,stable,0.0
31,0.0,1,-0.47,-0.44,4704,stable,0.0
32,,1,-0.03,-0.91,6254,stable,0.0
33,0.0,0,-0.6,-0.1,1884,stable,0.0
34,1.0,1,-0.54,-0.84,1913,stable,0.0
35,1.0,1,-0.34,-0.95,1084,stable,0.0
36,0.0,0,-0.96,-0.28,1420,stable,0.0
37,1.0,1,-0.83,-0.94,4209,stable,0.0
38,1.0,1,-0.23,-0.86,1921,stable,0.0
39,0.0,1,-0.99,-0.2,1911,stable,0.0
40,1.0,1,-0.29,-0.91,1328,stable,0.0
41,0.0,0,-0.88,-0.64,6161,stable,0.0
42,0.0,1,-0.84,-0.8,2830,stable,0.0
43,1.0,0,-0.61,-0.88,1444,stable,0.0
44,1.0,1,-0.23,-0.77,1568,stable,0.0
45,0.0,1,-0.87,-0.54,2214,stable,0.0
46,,1,-0.25,-0.9,6253,stable,0.0
47,0.0,0,-0.71,-0.44,1512,stable,0.0
48,1.0,1,-0.42,-0.52,1513,stable,0.0
49,0.0,1,-0.39,-0.94,2580,stable,0.0
50,0.0,1,-0.39,-0.24,2375,stable,0.0
51,0.0,0,-0.2,-0.1,1007,stable,0.0
52,0.0,0,-0.85,-0.43,1087,stable,0.0
53,0.0,0,-0.77,-0.02,908,stable,0.0
54,1.0,1,-0.54,-0.87,1164,stable,0.0
55,1.0,1,-0.56,-0.57,1054,stable,0.0
56,1.0,1,-0.5,-0.79,1135,stable,0.0
57,1.0,1,-0.04,-0.88,865,stable,0.0
58,0.0,0,-0.4,-0.38,1068,stable,0.0
59,,1,-0.47,-0.86,6255,stable,0.0
60,1.0,1,-0.15,-0.49,1610,stable,1.0
61,1.0,1,-0.17,-0.39,1995,stable,1.0
62,,0,-0.76,-0.97,6252,stable,1.0
63,0.0,1,-0.73,-0.14,4143,stable,1.0
64,0.0,1,-0.67,-0.29,4274,stable,1.0
65,0.0,1,-0.48,-0.39,2827,stable,1.0
66,1.0,1,-0.3,-0.87,5986,stable,1.0
67,1.0,0,-0.13,-0.37,1391,stable,1.0
68,0.0,1,-0.66,-0.59,1611,stable,1.0
69,1.0,1,-0.2,-0.77,1160,stable,1.0
70,0.0,1,-0.39,-0.28,1360,stable,1.0
71,0.0,1,-0.61,-0.55,2007,stable,1.0
72,0.0,1,-0.62,-0.02,3780,stable,1.0
73,1.0,0,-0.5,-0.8,3694,stable,1.0
74,0.0,0,-0.6,-0.07,2556,stable,1.0
75,0.0,0,-0.76,-0.52,2928,stable,1.0
76,0.0,1,-0.49,-0.14,1450,stable,1.0
77,0.0,1,-0.46,-0.36,1253,stable,1.0
78,0.0,1,-0.84,-0.29,1385,stable,1.0
79,1.0,1,-0.44,-0.47,1426,stable,1.0
80,0.0,1,-0.73,-0.44,1508,stable,1.0
81,1.0,1,-0.3,-0.95,1340,stable,1.0
82,0.0,0,-0.8,-0.39,1621,stable,1.0
83,0.0,1,-0.67,-0.61,2059,stable,1.0
84,0.0,1,-0.95,-0.61,1775,stable,1.0
85,0.0,1,-0.65,-0.19,1699,stable,1.0
86,0.0,1,-0.72,-0.33,1511,stable,1.0
87,0.0,0,-0.87,-0.17,1731,stable,1.0
88,0.0,1,-0.65,-0.53,1430,stable,1.0
89,1.0,1,-0.38,-0.76,1773,stable,1.0
90,0.0,1,-0.41,-0.2,1768,volatile,1.0
91,0.0,0,-0.76,-0.69,1501,volatile,1.0
92,0.0,0,-0.73,-0.52,1505,volatile,1.0
93,1.0,0,-0.41,-0.43,1145,volatile,1.0
94,1.0,1,-0.25,-0.34,1562,volatile,1.0
95,1.0,0,-0.34,-0.48,1975,volatile,1.0
96,0.0,0,-0.3,-0.35,4995,volatile,1.0
97,0.0,0,-0.91,-0.42,1705,volatile,1.0
98,0.0,0,-0.7,-0.44,1522,volatile,1.0
99,0.0,1,-0.64,-0.5,1901,volatile,1.0
