,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,-0.41,-0.2,1759,volatile,0.0
1,1.0,0,-0.76,-0.69,985,volatile,0.0
2,0.0,0,-0.73,-0.52,1299,volatile,0.0
3,0.0,0,-0.41,-0.43,1043,volatile,0.0
4,0.0,1,-0.25,-0.34,843,volatile,0.0
5,1.0,0,-0.34,-0.48,914,volatile,0.0
6,1.0,0,-0.3,-0.35,954,volatile,0.0
7,0.0,0,-0.91,-0.42,986,volatile,0.0
8,0.0,0,-0.7,-0.44,810,volatile,0.0
9,1.0,1,-0.64,-0.5,1131,volatile,0.0
10,0.0,0,-0.28,-0.19,914,volatile,0.0
11,1.0,0,-0.02,-0.59,762,volatile,0.0
12,0.0,0,-0.2,-0.09,827,volatile,0.0
13,1.0,0,-0.32,-0.76,1035,volatile,0.0
14,0.0,0,-0.09,-0.98,1035,volatile,0.0
15,0.0,1,-0.62,-0.56,579,volatile,0.0
16,0.0,0,-0.17,-0.16,971,volatile,0.0
17,0.0,0,-0.74,-0.07,1371,volatile,0.0
18,0.0,0,-0.02,-0.41,787,volatile,0.0
19,0.0,0,-0.7,-0.57,1025,volatile,0.0
20,1.0,1,-0.24,-0.28,979,volatile,0.0
21,1.0,1,-0.59,-0.76,586,volatile,0.0
22,0.0,0,-0.15,-0.19,891,volatile,0.0
23,1.0,1,-0.5,-0.68,691,volatile,0.0
24,1.0,0,-0.43,-0.68,818,volatile,0.0
25,1.0,1,-0.14,-0.19,1644,volatile,0.0
26,1.0,1,-0.12,-0.11,650,volatile,0.0
27,0.0,1,-0.4,-0.36,859,volatile,0.0
28,0.0,1,-0.88,-0.64,778,volatile,0.0
29,0.0,1,-0.51,-0.03,859,volatile,0.0
30,1.0,1,-0.44,-0.76,803,volatile,0.0
31,1.0,1,-0.23,-0.92,819,volatile,0.0
32,1.0,1,-0.23,-0.14,1083,volatile,0.0
33,0.0,1,-0.94,-0.77,963,volatile,0.0
34,0.0,0,-0.85,-0.2,1058,volatile,0.0
35,0.0,1,-0.86,-0.63,987,volatile,0.0
36,1.0,0,-0.82,-0.56,1067,volatile,0.0
37,0.0,0,-0.68,-0.63,1051,volatile,0.0
38,1.0,0,-0.65,-0.8,867,volatile,0.0
39,0.0,0,-0.25,-0.1,787,volatile,0.0
40,1.0,0,-0.67,-0.8,1019,volatile,0.0
41,1.0,0,-0.82,-0.57,1131,volatile,0.0
42,0.0,0,-0.88,-0.47,602,volatile,0.0
43,0.0,1,-0.55,-0.99,1259,volatile,0.0
44,0.0,1,-0.74,-0.67,778,volatile,0.0
45,0.0,0,-0.18,-0.27,1503,volatile,0.0
46,0.0,0,-0.15,-0.67,524,volatile,0.0
47,0.0,0,-0.91,-0.32,1026,volatile,0.0
48,1.0,0,-0.66,-0.48,500,volatile,0.0
49,0.0,0,-0.67,-0.66,794,volatile,0.0
50,1.0,1,-0.11,-0.72,619,volatile,0.0
51,1.0,0,-0.36,-0.52,1027,volatile,0.0
52,0.0,0,-0.44,-0.76,923,volatile,0.0
53,0.0,0,-0.04,-0.37,739,volatile,0.0
54,0.0,0,-0.86,-0.09,858,volatile,0.0
55,1.0,0,-0.99,-0.86,1219,volatile,0.0
56,0.0,0,-0.39,-0.9,914,volatile,0.0
57,0.0,1,-0.82,-0.85,723,volatile,0.0
58,0.0,0,-0.89,-0.99,723,volatile,0.0
59,1.0,1,-0.88,-0.02,1068,volatile,0.0
60,1.0,0,-0.05,-0.33,930,volatile,1.0
61,0.0,1,-0.35,-0.86,1003,volatile,1.0
62,0.0,1,-0.08,-0.13,611,volatile,1.0
63,0.0,1,-0.78,-0.68,1307,volatile,1.0
64,1.0,1,-0.05,-0.15,763,volatile,1.0
65,0.0,1,-0.62,-0.42,874,volatile,1.0
66,1.0,0,-0.95,-0.51,882,volatile,1.0
67,0.0,0,-0.59,-0.95,963,volatile,1.0
68,0.0,0,-0.14,-0.98,763,volatile,1.0
69,1.0,1,-0.05,-0.84,899,volatile,1.0
70,1.0,1,-0.38,-0.5,922,volatile,1.0
71,1.0,1,-0.45,-0.59,779,volatile,1.0
72,1.0,1,-0.32,-0.72,1004,volatile,1.0
73,0.0,1,-0.02,-0.91,658,volatile,1.0
74,1.0,1,-0.72,-0.99,915,volatile,1.0
75,0.0,1,-0.61,-0.43,883,volatile,1.0
76,1.0,1,-0.24,-0.79,835,volatile,1.0
77,0.0,1,-0.48,-0.15,771,volatile,1.0
78,1.0,1,-0.5,-0.61,763,volatile,1.0
79,1.0,1,-0.83,-0.34,914,volatile,1.0
80,1.0,0,-0.84,-0.92,1051,volatile,1.0
81,0.0,0,-0.71,-0.05,867,volatile,1.0
82,0.0,0,-0.5,-0.72,778,volatile,1.0
83,0.0,1,-0.26,-0.29,1011,volatile,1.0
84,0.0,1,-0.37,-0.63,803,volatile,1.0
85,1.0,0,-0.47,-0.12,1019,volatile,1.0
86,1.0,0,-0.36,-0.81,891,volatile,1.0
87,1.0,0,-0.87,-0.59,867,volatile,1.0
88,0.0,0,-0.26,-0.75,963,volatile,1.0
89,0.0,0,-0.17,-0.19,730,volatile,1.0
90,0.0,1,-0.44,-0.37,1492,stable,1.0
91,1.0,1,-0.66,-0.12,1019,stable,1.0
92,1.0,1,-0.98,-0.02,636,stable,1.0
