,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.44,-0.37,1391,stable,0.0
1,0.0,1,-0.66,-0.12,960,stable,0.0
2,0.0,1,-0.98,-0.02,727,stable,0.0
3,1.0,0,-0.57,-0.95,989,stable,0.0
4,0.0,1,-0.28,-0.08,906,stable,0.0
5,1.0,1,-0.3,-0.33,1103,stable,0.0
6,0.0,1,-0.27,-0.24,1101,stable,0.0
7,0.0,0,-0.58,-0.43,1118,stable,0.0
8,0.0,1,-0.72,-0.47,1382,stable,0.0
9,0.0,0,-0.45,-0.44,1579,stable,0.0
10,0.0,1,-0.69,-0.26,1408,stable,0.0
11,1.0,1,-0.06,-0.41,1067,stable,0.0
12,0.0,0,-0.88,-0.34,1010,stable,0.0
13,0.0,0,-0.73,-0.2,1014,stable,0.0
14,0.0,1,-0.6,-0.25,939,stable,0.0
15,0.0,0,-0.98,-0.06,926,stable,0.0
16,0.0,0,-0.48,-0.39,955,stable,0.0
17,1.0,1,-0.35,-0.95,1187,stable,0.0
18,1.0,1,-0.67,-0.85,1106,stable,0.0
19,0.0,1,-0.54,-0.22,900,stable,0.0
20,1.0,0,-0.23,-0.9,1078,stable,0.0
21,0.0,1,-0.98,-0.41,1404,stable,0.0
22,1.0,1,-0.58,-0.8,1031,stable,0.0
23,1.0,0,-0.52,-0.85,1077,stable,0.0
24,0.0,0,-0.83,-0.15,895,stable,0.0
25,1.0,1,-0.18,-0.16,1639,stable,0.0
26,1.0,1,-0.56,-0.7,1127,stable,0.0
27,1.0,1,-0.59,-0.95,1088,stable,0.0
28,0.0,1,-0.68,-0.18,984,stable,0.0
29,0.0,1,-0.3,-0.16,998,stable,0.0
30,0.0,0,-0.86,-0.37,920,stable,0.0
31,0.0,1,-0.47,-0.44,1411,stable,0.0
32,1.0,1,-0.03,-0.91,875,stable,0.0
33,0.0,0,-0.6,-0.1,1259,stable,0.0
34,1.0,1,-0.54,-0.84,999,stable,0.0
35,1.0,1,-0.34,-0.95,1194,stable,0.0
36,0.0,0,-0.96,-0.28,1054,stable,0.0
37,1.0,1,-0.83,-0.94,993,stable,0.0
38,1.0,1,-0.23,-0.86,1395,stable,0.0
39,0.0,1,-0.99,-0.2,1163,stable,0.0
40,1.0,1,-0.29,-0.91,1033,stable,0.0
41,0.0,0,-0.88,-0.64,1066,stable,0.0
42,0.0,1,-0.84,-0.8,1402,stable,0.0
43,1.0,0,-0.61,-0.88,1077,stable,0.0
44,1.0,1,-0.23,-0.77,1059,stable,0.0
45,0.0,1,-0.87,-0.54,1948,stable,0.0
46,1.0,1,-0.25,-0.9,1030,stable,0.0
47,0.0,0,-0.71,-0.44,941,stable,0.0
48,1.0,1,-0.42,-0.52,995,stable,0.0
49,1.0,1,-0.39,-0.94,1096,stable,0.0
50,0.0,1,-0.39,-0.24,1055,stable,0.0
51,0.0,0,-0.2,-0.1,1314,stable,0.0
52,0.0,0,-0.85,-0.43,1015,stable,0.0
